AmountSaved,Shranjeni znesek
HH_TMTransLeadthru,"Vrsta je v načinu usposabljanja,\nnadaljujem s transakcijo?"
TMTransLaneButtonText,Usposabljanje Trx
DateFormat1,(mmddllll)
DateFormat2,(mmddll)
DateFormat3,(ddmmllll)
DateFormat4,(ddmmll)
DateFormat5,(llllmmdd)
DateFormat6,(llmmdd)
GoBackCouponButtonText,Pojdi nazaj
ApproveCouponButtonText,Odobri kupon
CouponExceededLimitLeadthru,"Pritisnite ""Odobri kupon"", da sprejmete kupon ali pojdite na Način asistence, da ga razveljavite."
CouponExceededLimitFinalizationLeadthru,"Transakcija je bila dokončana z uporabo kupona, ki preseže mejo kupona trgovine."
ClearSecurityFinalizationButtonText,Briši varnost
ExpandReceiptButtonText,Razširi račun
CollapseReceiptButtonText,Strni račun
InvalidBarcodeLeadThru,"Vzemite izdelek na vrsti in pritisnite ""Odobri"", da nadaljujete s transakcijo."
InvalidBarcodeLaneButtonText,Overi del
HH_InvalidBarcodeLeadThru,"Vzemite izdelek, pritisnite ""Odobri"", da nadaljujete s transakcijo."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Prosimo pojdite do vrste za odobritev
DisableRapApprovalText,  Onemogoči RAP odobritev
DisableHHRapApprovalText, Onemogoči HHRAP odobritev
UpdateItemButtonText,Posodobi izdelek
SuspendConfirmationTitle,Začasno zaustavi potrditev
DoNotApproveButtonText,Ne odobri
SmVoidAndRemoveItemLeadthru,"Prosimo, odstranite preklican izdelek iz vrečke."
RestrictedItemsNotApprovedTitle,Izdelki z omejitvami - neodobreno
HH_AssistAtLaneLeadthru,"Pojdite do vrste, da razveljavite izdelke."
XM_Acceptor,Sprejemnik
XM_CashStatus,Status gotovine
XM_CashStatusLeadthru,Izberi želeno funkcijo.
XM_CoinAcceptor,Sprejemalec kovancev
XM_CoinOverflow,Pretok kovancev
XM_CoinOverflowText,Pretok
XM_CoinRecycler,Ločevalnik kovancev
XM_Coins,Kovanci
XM_NoteOverflow,Pretok bankovcev
XM_NoteOverflowText,Pretok
XM_NoteRecycler,Ločevalnik bankovcev
XM_Notes,Bankovci
XM_PurgeOperationText,Postopki očiščevanja
XM_TerminalNumber,Številka terminala
XM_TotalCount,Skupno štetje:
XM_TotalValue,Skupna vrednost:
XM_CoinsSubtotal,Vm. št. kovanc.:
XM_NotesSubtotal,Vm. št. bankov.:
XM_GrandTotal,Skupna vsota:
XM_PurgeInstruction,Postopki čiščenja: odkriti zavrnjeni bankovci. Pojdite do vrsto in preverite napravo.
XM_RAP_NegativeAlert,Negative number found. Pojdite do vrsto in preverite napravo.
XM_AreYouSure,"Ali ste prepričani, da želite izvesti spodnje aktivnosti?"
XM_Attendant,Udeleženec
XM_Backspace,Vračalka
XM_BillAcceptor,Sprejemalec bankovcev
XM_BillDispenser,Avtoma za izdajo bankovcev
XM_Bins,Koši
XM_BothDispenseFailure,Neuspešna izdaja %s.\nPremalo gotovine ali avtomat za izdajo je v okvari.
XM_CancelChanges,Prekliči spremembe
XM_CannotCompleteTransfer,"Ne da se zaključiti prenosa.\nKaseta za gotovino nima dovolj prostora.\nProsimo, izpraznite kaseto za gotovino  preden izvedete ta poseg."
XM_CashManagement,Upravljanje gotovine
XM_CashManagementReport,Poročilo o upravljanju gotovine
XM_CashRemove,Odstrani gotovino
XM_CashRemoveLeadthru,Izberi želeno funkcijo.
XM_CashReplenishLeadthru,Izberi želeno funkcijo.
XM_CashReplenishLeadthru1,Vstavite kovance ali izberite funkcijo.
XM_CashReplenishLeadthru2,Vstavite denar ali izberite funkcijo.
XM_CashReplenishLeadthru3,"Ko zaključite, pritisnite ""Izhod""."
XM_CashReplenishment,Dodaj denar
XM_ChangeInCount,Sprem. v štetju
XM_ChangeInValue,Sprem. v vrednosti
XM_Clear,Briši
XM_ClearPrompt1,"Ko končate, izberite drugo funkcijo ali ""Izhod""."
XM_ClearPrompt2,"Izberite drugo funkcijo ali ""Izhod""."
XM_CoinAcceptorOffline,Sprejemalec se ne odziva.\n\nIzklopite in ponovno zaženite terminal.
XM_CoinDispenseFailure,Neuspešna izdaja %s.\nPremalo kovancev ali avtomat za izdajo kovancev je v okvari.
XM_CoinDispenser,Avtomat za izdajo kovancev
XM_CoinManagement,Upravljanje kovancev
XM_ConfirmAction,Potrdi aktivnosti
XM_ConfirmCoinDispense,* Izdaj kovance\nIzdani znesek: %s\nIzdano število: %d
XM_ConfirmEmptyCoinAcceptor,* Ponastavi štetje sprejemalca kovancev na nič\nOdstranjen znesek:%s
XM_ConfirmEmptyCoinOverflow,* Ponastavi štetje pretoka kovancev na nič \nOdstranjen znesek:%s
XM_ConfirmEmptyNoteAcceptor,* Ponastavi štetje sprejemalca bankovcev na nič\nOdstranjen znesek:%s
XM_ConfirmEmptyNoteOverflow,* Ponastavi štetje kasete za denar na nič\nOdstranjen znesek:%s
XM_ConfirmFillLoaderCassette,* Nastavi Štetja bankovcev\nNov znesek: %s\nNovo število: %d
XM_ConfirmManualCoinEmpty,* Ponastavi štetje kovancev na nič\nOdstranjen znesek:%s \nOdstranjeno število: %d
XM_ConfirmManualCoinFill,* Nastavi štetje kovancev\nNov znesek: %s\nNovo število: %d
XM_ConfirmManualNoteEmpty,* Ponastavi štetje bankovcev na nič\nOdstranjen znesek: %s\nOdstranjeno število: %d
XM_ConfirmManualNoteFill,* Nastavi Štetja bankovcev\nNov znesek: %s\nNovo število: %d
XM_ConfirmNoteDispense,* Izdaj bankovce\nIzdani znesek: %s\nIzdano število: %d
XM_ConfirmTransferNotesToOverflow,* Prenesi bankovce v kaseto za denar\nPreneseni znesek: %s\nPreneseno število: %d
XM_Count,Štetje
XM_DispenseCupFull,"Posoda za vračanje kovancev je polna. Prosim, odstranite kovance, da se zaključi izdajanje."
XM_DispenseCupFullPreemptive," Prosim, vzemite kovance\nČe je posoda za vračanje kovancev polna, jo takoj izpraznite.  Izdajanje se bo prekinilo, dokler posoda ne bo izpraznjena."
XM_DispenseFullPreemptive,"Paimkite banknotus ir monetas\nBanknotai išduodami ryšuliukais po 15 vnt. Išdavimas bus laikinai sustabdytas, kol bus paimti visi banknotai. Jei monetų grąžinimo įtaisas pilnas, nedelsdami ištuštinkite. Išdavimas bus laikinai sustabdytas, kol indas bus ištuštintas."
XM_DispenseNoteFullPreemptive,"Paimkite banknotus ir monetas\nBanknotai išduodami ryšuliukais po 15 vnt. Išdavimas bus laikinai sustabdytas, kol bus paimti visi banknotai. Jei monetų grąžinimo įtaisas pilnas, nedelsdami ištuštinkite. Išdavimas bus laikinai sustabdytas, kol indas bus ištuštintas."
XM_DispenseSensorBlock,"Posoda za vračanje kovancev je mogoče polna ali pa je okvarjen senzor. Prosim, odstranite kovance ali pokličite servisno službo."
XM_DispenseText,Izdaja
XM_DispenseThreshold,"Vneseno število presega štetje, ki je na voljo za izdajo.\nVneseno je bilo maksimalno štetje: %d"
XM_Empty,Prazno
XM_EmptyCashAcceptorLT,Odstrani bankovce iz Sprejemalca gotovine
XM_EmptyCashBoxLT,Odstrani bankovce iz Kasete za gotovino
XM_EmptyCoinAcceptor,Ponastavi Sprejemalca kovancev
XM_EmptyCoinAcceptorLT,Odstrani kovance iz Sprejemalca kovancev
XM_EmptyCoinHopperLT,Odstrani kovance iz naprave.
XM_EmptyCoinOverflow,Ponastavi Pre-\ntok kovancev
XM_EmptyCoinOverflowLT,Odstrani kovance iz Pretoka kovancev
XM_EmptyLoaderCassetteLT,Odstrani bankovce iz Kasete polnilca
XM_EmptyNoteAcceptor,Ponastavi Sprejem. bankov
XM_EmptyNoteCassetteLT,Odstrani bankovce iz Kaset za bankovce
XM_EmptyNoteOverflow,Ponastavi Pretok bankovcev
XM_Enter,Enter
XM_ExceededAmount,Znesek presega količino. Maksimalni znesek mora biti %s.
XM_ExceededCapacity,Štetje presega količino. Maksimalno štetje polnjenj mora biti %d.
XM_Execute,Uporabi spremembe
XM_Exit,Izhod
XM_FastLaneReport,NCR SelfServ Checkout poročilo blagajne
XM_FillLoaderCassette,Nastavi Štetja bankovcev
XM_GoBack,Pojdi nazaj
XM_ID,ID asistenta
XM_IDPrompt,"Vnesite ID in pritisnite ""Enter""."
XM_InvalidAmount,"Vnesena vrednost %s ni veljavna.\nProsim, poskusite znova."
XM_KeyPadEnterCoinAmount,Vnesite znesek %s kovancev s tipkovnico.
XM_KeyPadEnterCoinCount,Vnesite štetje %s kovancev s tipkovnico.
XM_KeyPadEnterNoteAmount,Vnesite znesek %s bankovcev s tipkovnico.
XM_KeyPadEnterNoteCount,Vnesite štetje %s bankovcev s tipkovnico.
XM_KeyPadInstr,Vnesi štetje s pomočjo tipkovnice
XM_ManualBothFillAlert,"Odprite vrata vrste in položite bankovce v kasete, kovance pa v zbiralnike. Ne polagajte je v sprejemalce."
XM_ManualBothRecyclerFillAlert,Odprite vrata in vstavite bankovce v polnilec in kovance v lijake. Ne polagajte jih v sprejemalce.
XM_ManualCoinDispenserEmpty,Ponastavi Štetja kovancev
XM_ManualCoinDispenserFill,Nastavi Štetja kovancev
XM_ManualCoinFillAlert,Odpri linijska vrata in vloži kovance direktno v napravo. Ne polagajte jih v sprejemalca kovancev.
XM_ManualEmptyAlert,Odstranite vso gotovino iz naprave.
XM_ManualFillAlert,Odprite vrata vrste in položite gotovino neposredno v napravo. Ne polagajte je v sprejemalce.
XM_ManualNoteDispenserEmpty,Ponastavi Štetja bankovcev
XM_ManualNoteDispenserFill,Nastavi Štetja bankovcev
XM_ManualNoteFillAlert,Odprite vrata vrste in položite bankovce neposredno v kaseto. Ne polagajte jih v sprejemalca bankovcev.
XM_ManualNoteRecyclerFillAlert,Odprite vrata vrste in položite bankovce neposredno v napravo. Ne polagajte jih v sprejemalca bankovcev.
XM_No,Ne
XM_NoteDispenseFailure,Neuspešna izdaja %s.\nPremalo bankovcev ali avtomat za izdajo bankovcev je v okvari.
XM_PW,Geslo asistenta
XM_PWPrompt,"Vnesite geslo in pritisnite ""Enter""."
XM_PendingText,V teku
XM_PleaseWait,"Obdelovanje ...\n\nProsim, počakajte."
XM_Print,Natisni Status gotovine
XM_PurgeCoinRecycler,Očisti Ločevalnik kovancev
XM_PurgeNoteRecycler,Očisti Ločevalnik bankovcev
XM_ReEnter,"Nepravilna številka in geslo blagajnika.\nProsim, poskusite znova"
XM_ResetCoinsToBaseLevel,Izdaj kovance do osnov. ravni
XM_ResetNotesToBaseLevel,Prenesi bankovce na osnovno raven
XM_SelectFunc1,Izberi sistemsko funkcijo
XM_SelectFunc2,Izberi želeno funkcijo.
XM_StoreNumber,Shrani #:
XM_TransferAllNotes,Prenesi vse bankovce
XM_TransferNotesToOverflow,Prenesi bankovce na pretok
XM_Update,Posodobi
XM_Yes,Da
XM_SequenceNumber,Zaporedna številka
XM_CardManagement,Upravljanje kartic
XM_TotalCoinsInserted,Skupaj vstavljeno
XM_TotalNotesInserted,Skupaj vstavljeno
XM_Value,Vrednost
XM_TransferXCount,Štetje (x) prenosov
XM_TransferXAmount,Štetje (x) zneskov
XM_TransfertoCashBoxLeadThruText,"Za prenos %s bankovcev v kaseto za denar, pritisnite ""Uporabi spremembe"". Za razveljavitev vseh sprememb v teku, pritisnite ""Prekliči spremembe""."
XM_MenuDispenseFunctions,Funkcije za izdajo
XM_MenuResetFunctions,Ponastavi funkcije
XM_MenuCashBoxTransfer,Prenosi v kaseto za denar
XM_LeadThruCashBoxTransfer,"Izberite želeno funkcijo prenosa.\nKo končate, izberite ""Uporabi spremembe""."
XM_LeadThruResetFunction,"Izberite želeno funkcijo ponastavitve.\nKo končate, izberite ""Uporabi spremembe""."
XM_LeadThruDispenseFunction,"Pritisnite na vrednost in vnesite znesek\nali pritisnite ""Izdaj kovance na osnovno raven""."
XM_PurgeInstructionRecycler,"Postopki čiščenja: odkriti zavrnjeni bankovci. Odstranite zavrnjene bankovce iz kasete za denar. Počistite opozorilo s pritiskom na ""Prenesi vse bankovce"" in nato ""Ponastavi kaseto za denar""."
XM_PurgeInstructionNonRecycler,"Postopki čiščenja: odkriti zavrnjeni bankovci. Odstranite zavrnjene bankovce iz čistilnega koša. Počistite opozorilo s pritiskom na ""Ponastavi štetje bankovcev""."
XM_ReplenishInstruction,"Vstavite gotovino ali izberite vrednost in vnesite znesek ali nastavite štetje.\nKo končate, izberite ""Uporabi spremembe""."
XM_PickUpAutoAmount,Pobiranje samodejnega zneska
XM_PickUpXAmount,Pobiranje zneska (x)
XM_MenuPickUpFunctions,Funkcije pobiranja
XM_LeadThruPickUpFunction,"Izberite želeno funkcijo zneska, ki ga boste pobrali.\nKo končate, izberite ""Uporabi spremembe""."
XM_KeyPadEnterPickUpAmount,"S tipkovnico vnesite znesek, ki ga boste pobrali. "
XM_InvalidPickUpAmount,"Vnesena vrednost je večja od zneska, ki je lahko prenesen ali izdan."
XM_InvalidStartingBank,"Konfigurirana začetna banka je večja od zneska, ki je lahko prenesen ali izdan."
XM_CalculatedPickUpAmount,"Izračunani znesek, ki ga boste pobrali je %s."
XM_UnableToPickUp,"Ni mogoče izdati zneska, ki ga boste pobrali."
XM_CoinAllowedDispenseExceeded,Poskus izdaje %d kovancev. Dovoljena izdaja kovancev je %d.
XM_InvalidPickUpAmount2,"Znesek v kaseti za denar in pretoku kovancev je večji od zneska, ki ga boste pobrali."
XM_LockScreen,Zaklepanje zaslona
XM_SystemBusy,"Sistem zaseden … Prosim, počakajte"
XM_AreYouSure_LockScreen,"Ste prepričani, da želite zakleniti zaslon?\nZaslon se ne more zakleniti, dokler naprave ne zaključijo njihovih nalog."
XM_NegativeAlert,"Najdena negativna številka. Možni vzroki: pojavila se je napaka pri šifriranju ali pa so bankovci bili nameščeni v kaseto polnilca,števila za te bankovce pa niso bila vnesena v Upravljanje gotovine.\n\nSledite spodnjim korakom za rešitev:\n1. Izberite Dodaj gotovino. \n2. Dotaknite se označbe z negativno številko. \n3. Vnesite točen znesek evrov za negativno številko in/ali znesek, ki ste ga položili v polnilec. \n4. Izberite Uporabi spremembe. \n5. Izberite Da, da potrdite, in nato Izhod."
XM_AddCashLeadthru1,Vstavite kovance ali pritisnite na cilinder in vnesite znesek ali nastavite štetja.
XM_AddCashLeadthru2,Vstavite gotovino ali pritisnite na cilinder in vnesite znesek ali nastavite štetja.
XM_AddCashLeadthru3,Pritisnite na cilinder in vnesite znesek ali nastavite štetja.
XM_CoinHopperEmpty,"Koši zbiralnikov kovancev morajo biti spraznjeni, da je lahko štetje kovancev ponastavljeno na nič.  Spraznite vsak koš zbiralnika kovancev preden pritisnete ''Uporabi spremembe''."
XM_CollectRemainingCoins,"Bankovce odstranite iz iz enote za vračilo kovancev, ko se izdajanje zaključi."
XM_FPIDPrompt,"Vnesite ID uporabnika in pritisnite ""Vnesi"" ali pa postavite prst na čitalec odtisov, da se prijavite."
XM_LoanFailure,Posojilo ni uspelo
XM_LoanFailureLeadthru,Posojilo je bilo zavrnjeno. Izberite želeno funkcijo.
XM_UndoLoan,Razveljavi posojilo
XM_CommitLoan,Izvedi posojilo
XM_PickUpFailure,Dvig ni uspel
XM_PickUpFailureLeadthru,Dvig je bil zavrnjen. Izberite želeno funkcijo.
XM_UndoPickUp,Razveljavi dvig
XM_CommitPickUp,Izvedi dvig
XM_ManualRemoveCashAlert,Odstranite denar iz blagajne in kovance iz koša za kovance za razveljavitev posojila.\n\nBankovci\nRačun je potrebno odstraniti: %d\nZnesek je potrebno odstraniti: %s\n\nKovanci\nRačun je potrebno odstraniti: %d\nZnesek je potrebno odstraniti: %s
XM_POSRejectedLoanPickUp,POS zavrnil posojilo/dvig:  %s / %d zavrnjeno.\n
XM_LoanPickUpCashierOverrides,ID %s blagajne razveljavi posojilo/dvig: %s / %d  izvedeno.\n\n
XM_PlaceJammedBill,Odstranite blagajno in vanjo vstavite nakopičene blagajniške listke.
MinMaxFastLaneBtnPrimaryTxt,Pomanjšaj SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Povečaj SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Za pomanjšanje SelfServ Checkout, pritisnite gumb ""Pomanjšaj SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Za povečanje SelfServ Checkout, pritisnite gumb ""Povečaj SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Ustavi SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Zaženi SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Preklopi na RAP
ShutdownSystemBtnPrimaryTxt,Izklopi celotni sistem
RebootSystemBtnPrimaryTxt,Ponovno zaženi celotni sistem
VolumeBtnPrimaryTxt,Upravljanje glasnosti
EventViewerBtnPrimaryTxt,Pregledovalnik dogodkov
GenerateLogBtnPrimaryTxt,Izdelaj diagnostične datoteke dnevnika
ExitFastLaneAndRunProfileBtnPrimaryTxt,Ustavi SelfServ Checkout in zaženi upravitelja profila
ExitFastLaneAndRunProfileBtnSecondaryTxt,Zaženi upravitelja profila
TerminalInfoBtnPrimaryTxt,Informacije o terminalu
MinMaxRAPBtnPrimaryTxt,Pomanjšaj RAP
MinMaxRAPBtnSecondaryTxt,Povečaj RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Za pomanjšanje RAP-a, pritisnite gumb ""Pomanjšaj RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Za povečanje RAP-a, pritisnite gumb ""Povečaj RAP""."
StopStartRAPButtonPrimaryTxt,Ustavi RAP
StopStartRAPButtonSecondaryTxt,Zaženi RAP
RapConfigureBtnPrimaryTxt,RAP konfiguracija
SwitchToFastLaneBtnPrimaryTxt,Preklopi na SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Ustavi RAP in zaženi upravitelja profila
ExitRAPAndRunProfileBtnSecondaryTxt,Zaženi upravitelja profila
UtilityFunctionsTitle,NCR SelfServ Checkout\nFunkcije pripomočka
StartTitle,Zagon sistema
SystemStartup,"Sistem se zaganja … prosim, počakajte"
TerminalID,ID terminala: 
InterfaceVersion,Različica programske opreme: 
TrainingProgramPrimaryTxt,Program usposabljanja
LaunchPadNet_OperatorIDText,ID upravitelja: 
KeySwitchOperatorID,Ključavnica
LaunchPadNet_SignOnButtonText,Prijava
LaunchPadNet_SignOffButtonText,Odjava
SignedOffButtonText,Odjava
Exit,Zapusti vse
LaunchPadNet_ReturnToShoppingButtonText,Vrnitev
PickListEditor,Urejevalec seznama izbranih
RunADDTxt,Zaženi DODAJ ob naslednjem ponovnem zagonu
TouchWareTxt,Kalibriraj Zaslon na dotik
DiagConfirm,"Ali ste prepričani, da želite izdelati diagnostične datoteke dnevnika?"
ProfileManagerFLConfirm,"Ali ste prepričani, da želite ustaviti SelfServ Checkout in zagnati upravitelja profila?"
ProfileManagerRAPConfirm,"Ali ste prepričani, da želite ustaviti RAP in zagnati upravitelja profila?"
ProfileManagerConfirm,"Ali ste prepričani, da želite zagnati upravitelja profila?"
EventViewerConfirm,"Ali ste prepričani, da želite zagnati pregledovalnika dogodkov?"
TrainingConfirm,"Ali ste prepričani, da želite zagnati program za usposabljanje?"
PicklistConfirm,"Ali ste prepričani, da želite zagnati urejevalca seznama izbranih?"
RunADDConfirm,"Ali ste prepričani, da želite zagnati samodejno zaznavanje naprave pri naslednjem zagonu?"
CalibrateConfirm,"Ali ste prepričani, da želite kalibrirati zaslon na dotik?"
ShutdownConfirm,"Ali ste prepričani, da želite izklopiti celoten sistem?"
RebootConfirm,"Ali ste prepričani, da želite ponovno zagnati celoten sistem?"
CloseAllConfirm,"Ali ste prepričani, da želite zapustiti vse aplikacije in iti na namizje?"
VolumeConfirm,"Ali ste prepričani, da želite prilagoditi upravljanje glasnosti?"
TerminalInfoConfirm,"Ali ste prepričani, da želite pogledati informacije o terminalu?"
StopFastLaneConfirm,"Ali ste prepričani, da želite ustaviti SelfServ Checkout?"
StopRAPConfirm,"Ali ste prepričani, da želite ustaviti RAP?"
StartFastLaneConfirm,"Ali ste prepričani, da želite zagnati SelfServ Checkout?"
StartRAPConfirm,"Ali ste prepričani, da želite zagnati RAP?"
WindowsLogOnTxt,Prijavna okna
WindowsLogOnConfirm,"Ali ste prepričani, da želite zapustiti vse aplikacije in se prijaviti kot nov uporabnik?"
YesText,Da
NoText,Ne
CommandPromptPrimaryTxt,Prikazovanje ukaza
CommandPromptConfirm,"Ali ste prepričani, da želite zagnati prikazovanje ukaza?"
RSMLEPrimaryTxt,Upravitelj trgovinskih sistemov LE
RSMLEConfirm,"Ali ste prepričani, da želite zagnati upravitelja trgovinskih sistemov LE?"
OperatorRegistrationUtility,Pripomoček za registracijo upravitelja
LaunchPadNet_EnterIDFpLeadthru,"Vnesite ID uporabnika in pritisnite ""Enter"" ali pa postavite  prst na čitalec odtisov, da se prijavite."
LaunchPadNet_ReEnterIDFpLeadthru,"Neveljavna prijava. Prosim, ponovno se prijavite z uporabo tipkovnice ali vašega prstnega odtisa."
LaunchPadNet_ClearButtonText,Briši
LaunchPadNet_EnterButtonText,Enter
LaunchPadNet_GoBackButtonText,Pojdi nazaj
LaunchPadNet_SpaceButtonText,Presledek
LaunchPadNet_BackSpaceButtonText,Vračalka
LaunchPadNet_EnterIDLeadthru,Vnesite ID z uporabo spodnje tipkovnice:
ReEnterIDLeadthru,"Nepravilni ID ali geslo. Prosim, ponovno vnesite z uporabo spodnje tipkovnice."
LaunchPadNet_EnterPasswordLeadthru,Vnesite geslo z uporabo spodnje tipkovnice:
CancelButtonText,Prekliči
LaunchPadNet_LoggingInLeadthru,"Prijava … Prosim, počakajte"
LaunchPadNet_ShiftButtonText,Dvigalka
LaunchPadNet_SignedOffButtonText,Odjavljen
LaunchPadNet_ReEnterIDLeadthru,"Nepravilni ID ali geslo. Prosim, vnesite ponovno z uporabo spodnje tipkovnice."
LegalCaptionText,"PRAVNI ZAPIS\nTa sistem je namenjen samo za uporabo s strani pooblaščenega osebja. S prijavo v ta sistem, se strinjate s pogoji politike in standardi varovanja informacij. Uporaba s strani nepooblaščenih posameznikov in za v nepooblaščene namene je kršenje zveznega in/ali državnega zakona. Podjetje si pridržuje pravico, da izvede potrebna dejanja za zaščito pooblaščenih uporabnikov, intelektualne lastnine in drugih pridobitev informacij. Posamezniki, ki uporabljajo ta sistem, so podvrženi nadzorovanju vseh njihovih dejanj v tem sistemu. Vsak, ki uporablja ta sistem, se izrecno strinja s takim nadzorovanjem in je seznanjen, da če tako nadzorovanje razkrije dokaze o kriminalnem dejanju, lahko osebje sistema posreduje dokaze takega nadzorovanja uradnikom kazenskega pregona."
SignBelow,Znak spodaj.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CassetteMissing,Kaseta za bankovce ni v enoti.\nKaseto za bankovce postavite nazaj v enoto.
XM_Cassette,Kaseta
XM_CollectFailure,Pri opravilu zbiranja je prišlo do okvare.
XM_TotalRemovedText,Skupaj odstranjeno: %s
XM_TotalColectedText,Skupaj zbrano: %s
XM_TotalAddedText,Skupaj dodano: %s
XM_OperatorID,ID upravljavca %s
XM_ManualRemoveCashAlertGlory,"Odstranite gotovino iz kasete, da razveljavite posojilo.\n\nBankovci\nŠtetje za odstranitev: %d\nZnesek za odstranitev: %s"
XM_LeadThruGloryFunction,"Pritisnite vrednost in vnesite znesek\nali pritisnite ""Zberi""."
XM_InitializeError,"Sistem ima napako, ki jo je potrebno odstraniti."
XM_GrandTotalText,Skupna vsota: %s
XM_EmptyCassetteAndRejectBin, Odstranite bankovce iz kaset za bankovce in zavrnite koš.
XM_Collect,Zberi
XM_CashUnbalance,V ločevalniku se je pojavila napaka zaradi neskladnosti.
XM_GloryDispenseNoteFullPreemptive,"Prosim, vzemite bankovce\nBankovci so izdani v svežnjih po 10. Izdajanje se bo prekinilo, dokler posoda ne bo izpraznjena."
XM_GloryDispenseFullPreemptive,"Prosim, vzemite bankovce in kovance\nBankovci so izdani v svežnjih po 10. Izdajanje se bo prekinilo, dokler posoda ne bo izpraznjena. Če je posoda za vračanje kovancev polna, jo nemudoma izpraznite. Izdajanje se bo prekinilo, dokler se posode ne izprazni."
XM_GloryDispenseCupFullPreemptive,"Prosim, vzemite kovance\nČe je posoda za vračanje kovancev polna, jo takoj izpraznite.  Izdajanje se bo prekinilo, dokler se posode ne izprazni."
XM_NegativeAlert_Remove,"Najdena negativna številka. Možni vzroki: prišlo je do tipkarske napake ali so bili v polnilno kaseto vstavljeni bankovci, katerih znesek ni bil vnesen v gotovinsko poslovanje.\n\nSledite spodnjim korakom za reševanje težave:\n1. Izberite ""Izhod"", nato izberite ""Dodaj gotovino"".\n2. Pritisnite na vrednost z negativno številko.\n3. Izberite točen dolarski znesek negativne številke in/ali znesek, nameščen v nalagalniku.\n4. Izberite ""Uporabi spremembe"".\n5. Izberite ""Da"" za potrditev in nato ""Izhod""."
PageIndicatorLabelFormat,Stran {0} od {1}
DueCart,Rok
PageIndicatorLabelFormat2,Page {0} of {1}
XM_ProcessingCashTextV6HW,•   Vstavi kovance v Sprejemalca kovancev.\n•   Vstavi bankovce v Sprejemalca bankovcev.\n
XM_CoinHoppersV6HW,Lijaki za kovance
XM_CoinBoxV6HW,Škatla za kovance - %d - %s
XM_ConfirmTransferNotesToBaseLevelV6HW,Prenesi bankovce v škatlo za bankovce\n\nZnesek za prenos: %s\nŠtetje do prenosa: %d\n\nPostopek prenosa lahko traja več minut.
XM_ConfirmTransferAllNotesV6HW,Prenesi vse bankovce v škatlo za bankovce\n\nZnesek za prenos: %s\nŠtetje do prenosa: %d\n\nPostopek prenosa lahko traja več minut.
XM_ResetCoinsAllCoinsV6HW,Izdaj vse kovance
XM_ResetCoinHopperCountsV6HW,Ponastavi Štetja lijakov za kovance
XM_ResetNoteBoxCountsV6HW,Ponastavi Štetje škatle za bankovce
XM_MenuNoteBoxTransferV6HW,Prenosi škatle za bankovce
XM_AddCashLeadthruV6HW,"•   Vstavi kovance v Sprejemalca kovancev.\n•   Vstavi bankovce v Sprejemalca bankovcev.\n•   Pritisnite ""OOdpri jašek za polnjenje kovancev""\n     in vstavite kovance v jašek za ponovno polnjenje.\n•   Pritisnite ""Nastavi nalagalnik"", da lahko v nalagalnik\n     vstavite bankovce."
XM_FinishedAddingCashV6HW,"Ko končate z dodajanjem gotovine, se dotaknite ""V REDU""."
XM_OKV6HW,V REDU
XM_SetupLoaderV6HW,Nastavi nalagalnik
XM_SetupLoaderLeadthruV6HW,"•   Vnesite ""%s"" privzeto vrednost zneska/štetja nalagalnika\n     in pritisnite ""V REDU"".\n•   Ko končate, ""Uporabi spremembe""."
XM_NoteLoaderV6HW,Nalagalnik za bankovce
XM_EnableCoinInputBowlV6HW,Odpri posodo za vnos kovancev
XM_EnableCoinRefillChuteV6HW,Odpri jašek za polnjenje kovancev
XM_EnableCoinAcceptorV6HW,Vklop sprejemalca kovancev
XM_TopOffCashPrintStatusV6HW,Stanje vstavljanja gotovine ali tiskanja
XM_TransferOperationPreemptiveV6HW,"Prenos bankovcev v teku... Prosimo, počakajte.\n\nNE ODSTRANITE ŠKATLE ZA BANKOVCE ali   \ndruge naprave, dokler opravilo ni zaključeno"
XM_TransferOperationInstructionV6HW,Zaključen prenos.\nOdstranite vse bankovce iz škatle za bankovce in\n ponastavite škatlo za bankovce.
XM_PendingDispenseV6HW,Čaka na izdajo %d - %s
XM_PendingTransferV6HW,Prenos v teku %d - %s
XM_PendingResetV6HW,Ponastavitev v teku %d - %s
