AmountSaved,Economie
HH_AssistAtLaneLeadthru,Allez à la caisse pour annuler les articles.
XM_Acceptor,Accepteur
XM_CashStatus,État de la monnaie
XM_CashStatusLeadthru,Sélectionnez la fonction voulue.
XM_CoinAcceptor,Accepteur de piëces
XM_CoinOverflow,Récipient de trop-plein de pièces
XM_CoinOverflowText,Trp-plein
XM_CoinRecycler,Recycleur de pièces
XM_Coins,Monnaie
XM_NoteOverflow,Récipient de trop-plein de billets
XM_NoteOverflowText,Bte monn.
XM_NoteRecycler,Recycleur de billets
XM_Notes,Billets
XM_PurgeOperationText,Opérations récupérateur
XM_TerminalNumber,Numéro du terminal
XM_TotalCount,Nombre total :
XM_TotalValue,Valeur totale :
XM_CoinsSubtotal,Sous-tot. pces:
XM_NotesSubtotal,Ss-tot. billets:
XM_GrandTotal,Grandiose Totale:
XM_PurgeInstruction,"Opérations du récupérateur: Billets refusés détectés. Allez à la caisse et vérifiez l'appareil."
XM_RAP_NegativeAlert,"Nombre négatif trouvé. Allez à la caisse et vérifiez l'appareil."
XM_AreYouSure,Êtes-vous sûr de vouloir accomplir la liste des tâches ci-dessous?
XM_Attendant,Préposé
XM_Backspace,Retour arrière
XM_BillAcceptor,Accepteur de billets
XM_BillDispenser,Distributeur de billets
XM_Bins,Bacs
XM_BothDispenseFailure,"La distribution de %s a échoué.\nIl reste peu de monnaie ou le distributeur est en état d'erreur."
XM_CancelChanges,Annuler les changements
XM_CannotCompleteTransfer,"Impossible de terminer le transfert.\nPas assez d'espace dans la boîte de monnaie.\nVidez-la avant d'effectuer cette opération."
XM_CashManagement,Gestion des billets
XM_CashManagementReport,Rapport de gestion des espèces
XM_CashRemove,Retirez de la monnaie
XM_CashRemoveLeadthru,Sélectionnez la fonction voulue.
XM_CashReplenishLeadthru,Sélectionnez la fonction voulue.
XM_CashReplenishLeadthru1,Insérez des pièces ou sélectionnez une fonction.
XM_CashReplenishLeadthru2,Insérez de la monnaie ou sélectionnez une fonction.
XM_CashReplenishLeadthru3,"Lorsque vous avez terminé, appuyez sur ""Quitter""."
XM_CashReplenishment,Ajouter de la monnaie
XM_ChangeInCount,Différence en nombre
XM_ChangeInValue,Différence en valeur
XM_Clear,Effacer
XM_ClearPrompt1,"Lorsque vous avez terminé, sélectionnez une autre fonction ou ""Quitter""."
XM_ClearPrompt2,"Sélectionnez une autre fonction ou ""Quitter""."
XM_CoinAcceptorOffline,L’accepteur ne répond pas.\n\nVeuillez arrêter et redémarrer le terminal.
XM_CoinDispenseFailure,Impossible de distribuer %s.\nNiveau monnaie bas ou distributeur en panne.
XM_CoinDispenser,Distributeur de piëces
XM_CoinManagement,Gestion de la monnaie
XM_ConfirmAction,Confirmer les actions
XM_ConfirmCoinDispense,* Distribuer des pièces\nMontant à distribuer: %s\nNombre à distribuer: %d
XM_ConfirmEmptyCoinAcceptor,"* Réinitialiser les comptes de l'accepteur de pièces\nMontant à retirer:%s"
XM_ConfirmEmptyCoinOverflow,* Réinitialiser les comptes du trop-plein de pièces\nMontant à retirer:%s
XM_ConfirmEmptyNoteAcceptor,"* Réinitialiser les comptes de l'accepteur de billets\nMontant à retirer:%s"
XM_ConfirmEmptyNoteOverflow,* Réinitialiser les comptes de la boîte de monnaie\nMontant à retirer:%s
XM_ConfirmFillLoaderCassette,* Définir les nombres de billets\nNouveau montant: %s\nNouveau nombre: %d
XM_ConfirmManualCoinEmpty,* Réinitialiser les nombres de pièces\nMontant à retirer: %s\nNombre à retirer: %d
XM_ConfirmManualCoinFill,* Définir les nombres de pièces\nNouveau montant: %s\nNouveau nombre: %d
XM_ConfirmManualNoteEmpty,* Réinitialiser les nombres de billets\nMontant à retirer: %s\nNombre à retirer: %d
XM_ConfirmManualNoteFill,* Définir les nombres de billets\nNouveau montant: %s\nNouveau nombre: %d
XM_ConfirmNoteDispense,* Distribuer des billets\nMontant à distribuer: %s\nNombre à distribuer: %d
XM_ConfirmTransferNotesToOverflow,* Transférer des billets vers la boîte de monnaie\nMontant à transférer: %s\nNombre à transférer: %d
XM_Count,Nombre
XM_DispenseCupFull,Le récupérateur de pièces est plein.  Veuillez enlever les pièces pour terminer la distribution.
XM_DispenseCupFullPreemptive,"Veuillez prendre pièces\nSi le récupérateur est plein, videz-le.  La distribution s'interrompra jusqu'à ce que le récipient soit vidé."
XM_DispenseFullPreemptive,"Veuillez prendre billets et pièces\nLes billets sont distribués par liasses de 15. La distribution s'interrompra jusqu'à ce que tous les billets soient pris. Si le récupérateur de pièces est plein, videz-le rapidement. La distribution s'interrompra jusqu'à ce que le récipient soit vidé."
XM_DispenseNoteFullPreemptive,"Veuillez prendre les billets\nLes billets sont distribués par liasses de 15. La distribution s'interrompra jusqu'à ce que tous les billets soient pris."
XM_DispenseSensorBlock,Le récupérateur de pièces peut être plein ou le détecteur cassé. Enlevez des pièces ou appelez la maintenance.
XM_DispenseText,Distribuez
XM_DispenseThreshold,Le nombre saisi est supérieur à la quantité disponible à la distribution. Quantité maximum saisie: %d
XM_Empty,Vide
XM_EmptyCashAcceptorLT,"Retirez les billets de l'accepteur de monnaie"
XM_EmptyCashBoxLT,Retirez les billets de la boîte de monnaie
XM_EmptyCoinAcceptor,"Réinitialiser l'accepteur de pièces"
XM_EmptyCoinAcceptorLT,"Retirez les pièces de l'accepteur de pièces"
XM_EmptyCoinHopperLT,"Retirez les pièces de l'appareil."
XM_EmptyCoinOverflow,Réinitialiser\nle trop-plein de pièces
XM_EmptyCoinOverflowLT,Retirez les pièces du trop-plein de pièces
XM_EmptyLoaderCassetteLT,Retirez les billets des cassettes de billets et du récupérateur
XM_EmptyNoteAcceptor,"Réinitialiser l'accepteur de billets"
XM_EmptyNoteCassetteLT,Retirez les billets des cassettes à billets et purgez le bac
XM_EmptyNoteOverflow,Réinitialiser\nla boîte de\nmonnaie
XM_Enter,Entrée
XM_ExceededAmount,Le montant excède la capacité. Le montant maximum nécessaire est %s.
XM_ExceededCapacity,La quantité excède la capacité. La quantité maximum nécessaire est %d.
XM_Execute,Appliquer les changements
XM_Exit,Quitter
XM_FastLaneReport,Rapport NCR SelfServ Checkout
XM_FillLoaderCassette,Déterminer nb. billets
XM_GoBack,Retour
XM_ID,ID caissière
XM_IDPrompt,"Tapez l'ID et touchez ""Entrée""."
XM_InvalidAmount,La valeur saisie pour %s n’est pas valide.\nEssayez à nouveau.
XM_KeyPadEnterCoinAmount,"Saisissez le montant des pièces de %s à l'aide du pavé numérique."
XM_KeyPadEnterCoinCount,"Saisissez la quantité de pièces de %s à l'aide du pavé numérique."
XM_KeyPadEnterNoteAmount,"Saisissez le montant des billets de %s à l'aide du pavé numérique."
XM_KeyPadEnterNoteCount,"Saisissez la quantité de billets de %s à l'aide du pavé numérique."
XM_KeyPadInstr,"Saisissez la quantité à l'aide du pavé numérique"
XM_ManualBothFillAlert,Ouvrez la porte de la caisse et déposez des billets dans les cassettes et des pièces dans les chargeurs. Ne les ajoutez pas dans les accepteurs.
XM_ManualBothRecyclerFillAlert,Ouvrez la porte de la caisse et déposez des billets dans le chargeur et des pièces dans les chargeurs. Ne les ajoutez pas dans les accepteurs.
XM_ManualCoinDispenserEmpty,Réinitialisez les nombres de pièces
XM_ManualCoinDispenserFill,Déterminer nb. pces
XM_ManualCoinFillAlert,"Ouvrez la porte de la caisse et déposez les pièces directement dans l'appareil. Ne les ajoutez pas dans l'accepteur de pièces."
XM_ManualEmptyAlert,"Retirez toute la monnaie de l'appareil."
XM_ManualFillAlert,"Ouvrez la porte de la caisse et déposez la monnaie directement dans l'appareil. Ne l'ajoutez pas dans les accepteurs."
XM_ManualNoteDispenserEmpty,Réinitialisez les nombres de billets
XM_ManualNoteDispenserFill,Déterminer nb. billets
XM_ManualNoteFillAlert,"Ouvrez la porte de la caisse et déposez des billets directement dans la cassette. Ne les ajoutez pas dans l'accepteur de billets."
XM_ManualNoteRecyclerFillAlert,"Ouvrez la porte de la caisse et déposez les billets directement dans le chargeur. Ne les ajoutez pas dans l'accepteur de billets."
XM_No,Non
XM_NoteDispenseFailure,"La distribution de %s au client a échoué.\nIl reste peu de billets ou le distributeur de\n billets est en état d'erreur."
XM_PW,Mot de passe caissière
XM_PWPrompt,"Tapez le mot de passe et touchez ""Entrée""."
XM_PendingText,En cours
XM_PleaseWait,Traitement en cours...\n\nVeuillez patienter.
XM_Print,"Imprimer l'état de la monnaie"
XM_PurgeCoinRecycler,Vider le recycleur de pièces
XM_PurgeNoteRecycler,Videz le recycleur de billets
XM_ReEnter,Numéro et mot de passe de la caissière incorrects. \nVeuillez réessayer
XM_ResetCoinsToBaseLevel,Distribuer les pièces -> base
XM_ResetNotesToBaseLevel,Trnsf. bill. -> base
XM_SelectFunc1,Sélectionnez la fonction
XM_SelectFunc2,Sélectionnez une fonction.
XM_StoreNumber,N° magasin:
XM_TransferAllNotes,Transférer tous les billets
XM_TransferNotesToOverflow,Transférer\nbillets vers\nboîte de monnaie
XM_Update,Mise à jour
XM_Yes,Oui
XM_CardManagement,Gestion de cartes
XM_SequenceNumber,"Numéro d'ordre"
XM_TotalCoinsInserted,Total inséré
XM_TotalNotesInserted,Total inséré
XM_Value,Valeur
XM_TransferXCount,Transf. x (nombre)
XM_TransferXAmount,Transf. x (montant)
XM_TransfertoCashBoxLeadThruText,"Pour transférer %s billets vers la boîte de monnaie, appuyez sur ""Appliquer les changements"". Pour annuler, appuyez sur ""Annuler les changements""."
XM_MenuDispenseFunctions,Fonctions de distribution
XM_MenuResetFunctions,Fns réinit.
XM_MenuCashBoxTransfer,Transferts vers boîte à monnaie
XM_LeadThruCashBoxTransfer,"Sélectionnez la fonction de transfert désirée.\nUne fois terminé, ""Appliquer les changements""."
XM_LeadThruResetFunction,"Sélectionnez la fonction de réinitialisation désirée.\nUne fois terminé, ""Appliquer les changements""."
XM_LeadThruDispenseFunction,"Appuyez sur le type de pièces et saisissez le montant\nou appuyez sur ""Distribuer les pièces -> base""."
XM_PurgeInstructionRecycler,"Opérations du récupérateur:  Billets refusés détectés. Retirez les billets refusés de la boîte de monnaie.  Éliminez l'alerte en appuyant sur ""Transférer tous les billets"" puis sur ""Réinitialiser la boîte de monnaie""."
XM_PurgeInstructionNonRecycler,"Opérations du récupérateur: Billets refusés détectés. Retirez les billets refusés du récupérateur. Éliminez l'alerte en appuyant sur ""Réinitialiser les comptes de billets""."
XM_ReplenishInstruction,"Insérez de la monnaie ou sélectionnez un type de monnaie et saisissez le montant ou les nombres.\nUne fois terminé, ""Appliquer les changements""."
XM_PickUpAutoAmount,Retirez montant auto
XM_PickUpXAmount,Retirez montant (x)
XM_MenuPickUpFunctions,Fonctions de retrait
XM_LeadThruPickUpFunction,"Sélectionnez la fonction de retrait désirée.\nUne fois terminé, ""Appliquer les changements""."
XM_KeyPadEnterPickUpAmount,"Saisissez le montant du retrait à l'aide du pavé numérique."
XM_InvalidPickUpAmount,La valeur saisie dépasse le montant disponible qui peut être transféré ou distribué.
XM_InvalidStartingBank,Le solde initial configuré dépasse le montant disponible qui peut être transféré ou distribué.
XM_CalculatedPickUpAmount,Le montant de retrait calculé est: %s.
XM_UnableToPickUp,Retrait impossible.
XM_CoinAllowedDispenseExceeded,Tentative de distribution de pièces de %d. Nb max. de pièces distribuables: %d.
XM_InvalidPickUpAmount2,Le montant dans la boîte de monnaie et le trop-plein de pièces dépasse le montant du retrait.
XM_LockScreen,Verrouiller écran
XM_SystemBusy,Système occupé... veuillez attendre
XM_AreYouSure_LockScreen,"Êtes-vous sûr de vouloir verrouiller l'écran?\nL'écran ne pourra être déverrouillé avant que les appareils n'aient fini leurs tâches."
XM_NegativeAlert,"Nombre négatif trouvé. Causes possibles: il y a eu une erreur de saisie ou des billets furent placés dans la cassette du chargeur, mais les nombres de ces billets n'ont pas été saisis dans la gestion de monnaie.\n\nRésolvez comme suit:\n1. Sélectionnez Ajouter de la monnaie. \n2. Appuyez sur la coupure avec le nombre négatif. \n3. Saisissez le montant exact en euros correspondant au nombre négatif et/ou le montant placé dans le chargeur. \n4. Sélectionnez Appliquer les changements. \n5. Sélectionnez Oui pour confirmer, puis Quitter."
XM_NegativeAlert_Remove,"Nombre négatif trouvé. Causes possibles: il y a eu une erreur de saisie ou des billets furent placés dans la cassette du chargeur, mais les nombres de ces billets n'ont pas été saisis dans la gestion de monnaie.\n\nRésolvez comme suit:\n1. Sélectionnez ""Quitter"" puis Sélectionnez Ajouter de la monnaie. \n2. Appuyez sur la coupure avec le nombre négatif. \n3. Saisissez le montant exact en euros correspondant au nombre négatif et/ou le montant placé dans le chargeur. \n4. Sélectionnez Appliquer les changements. \n5. Sélectionnez Oui pour confirmer, puis Quitter."
XM_AddCashLeadthru1,Insérez des pièces ou appuyez sur le rouleau et saisissez le montant ou les nombres.
XM_AddCashLeadthru2,Insérez de la monnaie ou appuyez sur le rouleau et saisissez le montant ou les nombres.
XM_AddCashLeadthru3,Appuyez sur le rouleau et saisissez le montant ou les nombres.
XM_CoinHopperEmpty,"Les récipients du chargeur de pièces doivent être vidés pour réinitialiser le nombre de pièces. Videz chaque récipient du chargeur puis appuyez sur ""Appliquer les changements""."
XM_CollectRemainingCoins,Retirez les pièces du récupérateur de pièces quand la distribution est terminée.
XM_FPIDPrompt,"Saisissez votre identifiant et appuyez sur ""Entrée"" ou placez votre doigt sur le lecteur d'empreintes digitales pour vous connecter."
XM_LoanFailure,Échec du prêt
XM_LoanFailureLeadthru,Le prêt a été refusé. Sélectionnez la fonction désirée
XM_UndoLoan,Annuler prêt
XM_CommitLoan,Exécuter prêt
XM_PickUpFailure,Échec du retrait
XM_PickUpFailureLeadthru,Le retrait a été refusé. Sélectionnez la fonction désirée
XM_UndoPickUp,Annuler retrait
XM_CommitPickUp,Exécuter retrait
XM_ManualRemoveCashAlert,Retirez de la monnaie de la boîte de monnaie et des pièces du trop-plein de pièces pour annuler le prêt.\n\nBillets\nNombre à retirer: %d\nMontant à retirer: %s\n\nCoins\nQuantité à retiré: %d:\nMontant à retirer: %s
XM_POSRejectedLoanPickUp,Le PDV a refusé le prêt/retrait: refus %d * %s.\n
XM_LoanPickUpCashierOverrides,"La caissière d'ID %s a forcé le prêt/retrait: exécution %d * %s.\n\n"
XM_PlaceJammedBill,Retirez la boîte de monnaie et placez-y tout billet coincé
MinMaxFastLaneBtnPrimaryTxt,Réduire SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Agrandir SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Pour réduire l'écran SelfServ Checkout, touchez le bouton ""Réduire SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Pour agrandir l'écran SelfServ Checkout, touchez le bouton ""Agrandir SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,ArrÍter SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Démarrer SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Passer à RAP
ShutdownSystemBtnPrimaryTxt,Arrêter tout le système
RebootSystemBtnPrimaryTxt,Redémarrer tout le système
VolumeBtnPrimaryTxt,Contrôle du volume
EventViewerBtnPrimaryTxt,Afficheur d’événements
GenerateLogBtnPrimaryTxt,Générer les fichiers du journal de diagnostic
ExitFastLaneAndRunProfileBtnPrimaryTxt,ArrÍter SelfServ Checkout et Exécuter Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Lancer Profile Manager
TerminalInfoBtnPrimaryTxt,Informations du terminal
MinMaxRAPBtnPrimaryTxt,Réduire RAP
MinMaxRAPBtnSecondaryTxt,Agrandir RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Pour réduire l'écran RAP, touchez le bouton ""Réduire RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Pour agrandir l'écran RAP, touchez le bouton ""Agrandir RAP""."
StopStartRAPButtonPrimaryTxt,ArrÍter RAP
StopStartRAPButtonSecondaryTxt,Démarrer RAP
RapConfigureBtnPrimaryTxt,Configuration du RAP
SwitchToFastLaneBtnPrimaryTxt,Passer à SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,ArrÍter RAP et Exécuter Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Lancer Profile Manager
UtilityFunctionsTitle,"NCR SelfServ Checkout\nFonctions d'utilitaires"
StartTitle,Démarrage du système
SystemStartup,"Démarrage en cours, patientez...."
TerminalID,Terminal ID 
InterfaceVersion,Version du logiciel:
TrainingProgramPrimaryTxt,Programme de formation
LaunchPadNet_OperatorIDText,# Opérateur : 
KeySwitchOperatorID,Verrou
LaunchPadNet_SignOnButtonText,Ouverture de session
LaunchPadNet_SignOffButtonText,Fermeture de session
SignedOffButtonText,Terminé
Exit,Quitter tout
LaunchPadNet_ReturnToShoppingButtonText,Retour
PickListEditor,Editeur des listes de sélection
RunADDTxt,Lancez DAA Lors Du Prochain Redémarrage
TouchWareTxt,Etalonner Ecran tactile
DiagConfirm,Voulez-vous vraiment générer des fichiers de diagnostics ?
ProfileManagerFLConfirm,Voulez-vous vraiment arrÍter SelfServ Checkout et exécuter Profile Manager ?
ProfileManagerRAPConfirm,Voulez-vous vraiment arrÍter RAP et exécuter Profile Manager ?
ProfileManagerConfirm,Voulez-vous vraiment démarrer Profile Manager ?
EventViewerConfirm,Voulez-vous vraiment démarrer le Journal des événements ?
TrainingConfirm,Voulez-vous vraiment démarrer le Programme de formation ?
PicklistConfirm,Voulez-vous vraiment démarrer Picklist Editor ?
RunADDConfirm,Êtes-vous sûr de vouloir lancer DAA au prochain redémarrage?
CalibrateConfirm,"Voulez-vous vraiment étalonner l'écran tactile ?"
ShutdownConfirm,Voulez-vous vraiment arrÍter le système complet ?
RebootConfirm,Voulez-vous vraiment redémarrer le système complet ?
CloseAllConfirm,Voulez-vous vraiment quitter toutes les applications et accéder au bureau ?
VolumeConfirm,Voulez-vous vraiment régler le bouton du volume ?
TerminalInfoConfirm,Voulez-vous vraiment afficher les informations du terminal ?
StopFastLaneConfirm,Voulez-vous vraiment arrÍter SelfServ Checkout ?
StopRAPConfirm,Voulez-vous vraiment arrÍter RAP ?
StartFastLaneConfirm,Voulez-vous vraiment démarrer SelfServ Checkout ?
StartRAPConfirm,Voulez-vous vraiment démarrer RAP ?
WindowsLogOnTxt,Ouverture de session Windows
WindowsLogOnConfirm,Voulez-vous vraiment quitter toutes les applications et vous connecter en tant que nouvel utilisateur ?
YesText,Oui
NoText,Non
CommandPromptPrimaryTxt,Invite de commande
CommandPromptConfirm,Êtes-vous sûr de vouloir lancer l’invite de commande ?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Êtes-vous sûr de vouloir lancer le Retail Systems Manager LE ?
OperatorRegistrationUtility,"Utilitaire d'enregistrement des opérateurs"
LaunchPadNet_EnterIDFpLeadthru,"Saisissez votre identif. et appuyez sur ""Entrée"" ou placez votre doigt sur le lecteur d'empreintes pour vous connecter."
LaunchPadNet_ReEnterIDFpLeadthru,Informations de connexion non valides. Veuillez vous reconnecter via le pavé numérique ou votre empreinte digitale.
LaunchPadNet_ClearButtonText,Effacer
LaunchPadNet_EnterButtonText,Entrée
LaunchPadNet_GoBackButtonText,Retour
LaunchPadNet_SpaceButtonText,"Barre d'espace"
LaunchPadNet_BackSpaceButtonText,Retour en arrière
LaunchPadNet_EnterIDLeadthru,"Saisissez l'ID à l'aide du clavier ci-dessous."
ReEnterIDLeadthru,ID ou mot de passe incorrect. Recommencez en utilisant le pavé numérique ci-dessous.
LaunchPadNet_EnterPasswordLeadthru,"Saisissez le mot de passe à l'aide du clavier ci-dessous."
CancelButtonText,Annuler
LaunchPadNet_LoggingInLeadthru,Ouverture de session en cours...Veuillez patienter
LaunchPadNet_ShiftButtonText,MAJ
LaunchPadNet_SignedOffButtonText,Terminé
LaunchPadNet_ReEnterIDLeadthru,ID ou mot de passe incorrect. Recommencez en utilisant le pavé numérique ci-dessous.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials."
SignBelow,Signez ci-dessous.
PageIndicatorLabelFormat,Page {0}/{1}
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction annulée.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CashUnbalance,Une erreur de divergence est survenue dans le recycleur.
XM_Cassette,Cassette
XM_CassetteMissing,"La cassette de billets n'est pas dans l'unité.\nRemettez la cassette de billets dans l'unité."
XM_Collect,Collecter
XM_CollectFailure,"L'opération de collecte a échoué."
XM_EmptyCassetteAndRejectBin,Retirez les billets des cassettes de billets et du récipient de rejet.
XM_GloryDispenseCupFullPreemptive,"Prenez les pièces\nSi le récupérateur de pièces est plein, videz-le rapidement.  La distribution s'interrompra jusqu'à ce que le récipient soit vidé."
XM_GloryDispenseFullPreemptive,"Prenez les billets et pièces\nLes billets sont distribués par liasses de 10. La distribution s'interrompra jusqu'à ce que tous les billets soient pris. Si le récupérateur de pièces est plein, videz-le rapidement. La distribution s'interrompra jusqu'à ce que le récipient soit vidé."
XM_GloryDispenseNoteFullPreemptive,"Please Take Bills\nLes billets sont distribués par liasses de 10. La distribution s'interrompra jusqu'à ce que tous les billets soient pris."
XM_GrandTotalText,Grandiose Total: %s
XM_InitializeError,Le système rencontre une erreur à corriger.
XM_LeadThruGloryFunction,"Appuyez sur le type de coupure et saisissez le montant\nou appuyez sur ""Collecter""."
XM_ManualRemoveCashAlertGlory,Retirez la monnaie de la cassette pour annuler le prêt.\n\nNotes\nQuantité à retiré: %d\nMontant à retiré: %s
XM_OperatorID,ID opérateur %s
XM_TotalAddedText,Total ajouté: %s
XM_TotalColectedText,Total collecté: %s
XM_TotalRemovedText,Total retiré: %s
DueCart,Dû
XM_ProcessingCashTextV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n"
XM_CoinHoppersV6HW,Chargeurs de pièces
XM_CoinBoxV6HW,Boîte à pièces - %d - %s
XM_ConfirmTransferNotesToBaseLevelV6HW,Transfert de billets vers la boîte à billets\n\nMontant à distribuer: %s\nQuantité à transférer: %d\n\nLe processus de transfert peut prendre plusieurs minutes.
XM_ConfirmTransferAllNotesV6HW,Transfert de tous les billets vers la boîte à billets\n\nMontant à distribuer: %s\nuantité à transférer: %d\n\nLe processus de transfert peut prendre plusieurs minutes.
XM_ResetCoinsAllCoinsV6HW,Distribution de toutes les pièces
XM_ResetCoinHopperCountsV6HW,Réinitialisation qttés chargeur pces
XM_ResetNoteBoxCountsV6HW,Réinitialisation qtté bte billets
XM_MenuNoteBoxTransferV6HW,Transferts de la boîte à billets
XM_AddCashLeadthruV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n•   Appuyez sur ""Activer dévers. rempl. pces"".\n•   Appuyez sur ""Configuration du chargeur"" pour ajouter des\n     billets dans le chargeur."
XM_FinishedAddingCashV6HW,"Quand vous avez fini d'ajouter de la monnaie, appuyez sur ""OK""."
XM_OKV6HW,OK
XM_SetupLoaderV6HW,Configuration du chargeur
XM_SetupLoaderLeadthruV6HW,"•   Saisissez le montant/la quantité de coupures par défaut en\n     %s du chargeur et appuyez sur ""OK"".\n•   Une fois terminé, ""Appliquer les changements""."
XM_NoteLoaderV6HW,Chargeur de billets
XM_EnableCoinInputBowlV6HW,"Activer le récipient d'entrée des pièces"
XM_EnableCoinRefillChuteV6HW,Activer dévers. rempl. pces
XM_EnableCoinAcceptorV6HW,"Activer l'accepteur de pièces"
XM_TopOffCashPrintStatusV6HW,Ajoutez monnaie via porte ou imprimez état
XM_TransferOperationPreemptiveV6HW,"Transfert de billets en cours... s'il-vous-plait, attendez.\n\nNE RETIREZ NI LA BOÎTE À BILLETS ni   \nd'autres dispositifs avant que l'opération ne soit achevée."
XM_TransferOperationInstructionV6HW,Transfert achevé.\nRetirez tous les billets de la boîte à billets et\n réinitialisez-la.
XM_PendingDispenseV6HW,Distribution en cours: %d - %s
XM_PendingTransferV6HW,Transfert en cours: %d - %s
XM_PendingResetV6HW,Réinitialisation en cours: %d - %s
XM_ConfirmResetNoteBoxV6HW,Réinitialisation des quantités/de la valeur de la boîte à billets\n\nMontant à réinitialiser: %s\nQuantité à réinitialiser: %d\n\nMontant après réinitialisation de la boîte à billets: 0 €\nQuantité après réinitialisation de la boîte à billets: 0
XM_PendingCashRemoveV6HW,"Ouvrez la porte du coffre, retirez la boîte à billets et tous les billets.\nRemplacez la boîte à billets vide.\nÀ la fin, appuyez sur ""OK""."
XM_LeadThruResetNoteBoxFunctionV6HW,"Fns réinit\n•   Mettez à zéro la quantité de la boîte à billets.\n•   Une fois terminé, ""Appliquer les changements""."
XM_AllV6HW,Tous
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Transferts de la boîte à billets\n•   Pour transférer les billets, appuyez sur ""Appliquer les\n     changements"".\n•   Pour annuler, appuyez sur ""Annuler les changements""."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Chargement en cours... Veuillez attendre.
XM_SetupLoaderAlertConfirmationV6HW,"Configuration du chargeur\n\nAssurez-vous que les valeurs du chargeur sont correctes et qu'il est inséré, puis appuyez sur ""OK"" pour charger les billets."
XM_SetupLoaderAlertConfirmation1V6HW,"Configuration du chargeur\n\nAjoutez des billets dans le chargeur, assurez-vous qu'il est inséré, puis appuyez sur ""OK"" pour charger les billets."
XM_SetupLoaderConfirmationV6HW,"Configuration du chargeur\n\nÉtat des billets de %s dans le chargeur:\n\nMontant d'origine/de départ: %s\nQuantité d'origine/de départ: %d\nMontant à ajouter au chargeur: %s\nQuantité à ajouter au chargeur: %d\n\nPlacez les billets non désignés comme ""fonds de caisse"" ou ""distribution"" au bas du chargeur. Les billets au bas du chargeur seront automatiquement comptés et chargés jusqu'à atteindre la quantité de coupures du chargeur.\n\nLe processus de chargement peut prendre plusieurs minutes."
XM_SetupLoaderConfirmation1V6HW,Configuration du chargeur\n\nTous les billets du chargeur seront automatiquement\nchargés et comptés.\n\nLe processus de chargement peut prendre plusieurs minutes.
XM_PendingNotesAddedV6HW,Billets ajoutés par défaut: %d - %s
XM_ProcessingCashV6HW,Traitement de la monnaie en cours
XM_ProcessingCashLeadThruV6HW,"•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets."
XM_SetupLoaderLeadThru1V6HW,"•   Pour ajouter des billets dans le chargeur, appuyez sur ""Appliquer les changements"".\n•   Pour annuler, appuyez sur ""Annuler les changements""."
XM_LeadThruDispenseFunctionV6HW,"Fonctions de distribution\n•   Saisissez le montant/la quantité des billets de %s à l'aide\n     du pavé numérique."
XM_LeadThruDispenseFunction1V6HW,"Fonctions de distribution\n•   Pour distribuer les pièces, appuyez sur ""Appliquer les\n     changements"".\n•   Pour annuler, appuyez sur ""Annuler les changements""."
XM_ConfirmCoinDispenseAllV6HW,Distribution de toutes les pièces\n\nMontant à distribuer: %s\nQuantité à distribuer: %d
XM_DispenseOperationPreemptiveV6HW,"Distribution des pièces en cours.\n\nRetirez les pièces du récipients à pièces lorsqu'il est plein, puis appuyez sur ""OK""."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Distribution de pièces -> niveau de base\n\nMontant à distribuer: %s\nQuantité à distribuer: %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Fns réinit.\n•   Mettez à zéro les quantités des chargeurs de pièces.\n•   Une fois terminé, ""Appliquer les changements""."
