AmountSaved,Epargné
DoNotApproveButtonText,N’approuvez pas
SmVoidAndRemoveItemLeadthru,Veuillez retirer l’article annulé de la zone d’ensachage.
RestrictedItemsNotApprovedTitle,Articles réservés – non approuvés
HH_AssistAtLaneLeadthru,Allez dans l’allée pour annuler les articles.
XM_Acceptor,Accepteur
XM_CashStatus,État de l’argent
XM_CashStatusLeadthru,Sélectionnez la fonction voulue.
XM_CoinAcceptor,Accepteur de monnaie
XM_CoinOverflow,Bac de trop-plein de monnaie
XM_CoinOverflowText,Trop-plein
XM_CoinRecycler,Recycleur de monnaie
XM_Coins,Monnaie
XM_NoteOverflow,Bac de trop-plein de billets
XM_NoteOverflowText,T-caisse
XM_NoteRecycler,Recycleur de billets
XM_Notes,Billets
XM_PurgeOperationText,Opérations de purge
XM_TerminalNumber,Numéro de terminal
XM_TotalCount,Nombre total :
XM_TotalValue,Valeur totale :
XM_CoinsSubtotal,Sous-tot pièces:
XM_NotesSubtotal,Sous-tot billets:
XM_GrandTotal,Grand Total:
XM_PurgeInstruction,"Opérations de purge : Billets refusés détectés. Allez à la caisse et vérifiez l'appareil."
XM_RAP_NegativeAlert,"Negative number found. Allez à la caisse et vérifiez l'appareil."
XM_AreYouSure,Êtes-vous certain de vouloir effectuer les actions indiquées ci-dessous?
XM_Attendant,Préposé
XM_Backspace,Recule
XM_BillAcceptor,Accepteur de billets
XM_BillDispenser,Distributeur d’espèces
XM_Bins,Bac
XM_BothDispenseFailure,Échec de distribution de %s.\nBas niveau de billets ou de monnaie erreur au niveau du distributeur.
XM_CancelChanges,Annuler  les  changements
XM_CannotCompleteTransfer,"Impossible de terminer le transfert. Il n’y a pas\nsuffisamment d’espace dans le tiroir-caisse.\nVeuillez le vider avant d'effectuer cette opération."
XM_CashManagement,Gestion des billets
XM_CashManagementReport,Rapport de gestion des espèces
XM_CashRemove,Retirer des espèces
XM_CashRemoveLeadthru,Sélectionnez la fonction voulue.
XM_CashReplenishLeadthru,Sélectionnez la fonction voulue.
XM_CashReplenishLeadthru1,Insérez des pièces ou sélectionnez une fonction.
XM_CashReplenishLeadthru2,"Insérez de l'argent comptant ou sélectionnez une fonction."
XM_CashReplenishLeadthru3,"Une fois terminé, appuyez sur « Sortie »."
XM_CashReplenishment,Ajouter argent comptant
XM_ChangeInCount,Diff. dans nomb.
XM_ChangeInValue,Différence en valeur
XM_Clear,Effacer
XM_ClearPrompt1,"Lorsque vous avez terminé, veuillez sélectionner une autre fonction ou appuyer sur « Quitter »."
XM_ClearPrompt2,Veuillez sélectionner une autre fonction ou appuyer sur « Quitter ».
XM_CoinAcceptorOffline,"L'accepteur ne répond pas.\n\nArrêtez et redémarrez le terminal."
XM_CoinDispenseFailure,Distribution de %s a échoué.\nA court de monnaie ou distributrice est en erreur ou est éteinte.
XM_CoinDispenser,Distributeur de monnaie
XM_CoinManagement,Gestion de la monnaie
XM_ConfirmAction,Confirmer les actions
XM_ConfirmCoinDispense,* Distribuez des pièces\nMontant à distribuer : %s\nNombre à distribuer : %d
XM_ConfirmEmptyCoinAcceptor,* Remettez l’accepteur de pièces à zéro\nMontant à supprimer :%s
XM_ConfirmEmptyCoinOverflow,* Remettez à zéro les nombres de pièces en trop\nMontant à enlever :%s
XM_ConfirmEmptyNoteAcceptor,"* Remettez à zéro les nombres de l'accepteur de billets\nMontant à enlever :%s"
XM_ConfirmEmptyNoteOverflow,* Remettez à zéro les nombres du tiroir-caisse\nMontant à enlever :%s
XM_ConfirmFillLoaderCassette,* Fixez les nombres de billets\nNouveau montant : %s\nNouveau nombre : %d
XM_ConfirmManualCoinEmpty,* Remettez à zéro les nombres de pièces\nMontant à enlever : %s\nNombre à enlever : %d
XM_ConfirmManualCoinFill,* Programmez les nombres de pièces\nNouveau montant : %s\nNouveau nombre : %d
XM_ConfirmManualNoteEmpty,* Remettez à zéro les nombres de billets\nMontant à enlever : %s\nNombre à enlever : %d
XM_ConfirmManualNoteFill,* Fixez les nombres de billets\nNouveau montant : %s\nNouveau nombre : %d
XM_ConfirmNoteDispense,* Distribuez les billets\nMontant à distribuer : %s\nNombre à distribuer : %d
XM_ConfirmTransferNotesToOverflow,* Transférez les billets au tiroir-caisse\nMonant à transférer : %s\nNombre à transférer : %d
XM_Count,Nombre
XM_DispenseCupFull,Le retour de pièces est rempli.  Veuillez retirer les pièces pour recevoir les pièces manquantes.
XM_DispenseCupFullPreemptive," Prenez les pièces\nIf retour de pièces plein, videz-le promptement.  Distribution en pause tant que le contenant n'est pas vidé."
XM_DispenseFullPreemptive,"Prenez les billets et les pièces\nLes billets sont distribués en liasses de 15. La distribution est en pause tant que tous les billets ne sont pas pris. Si le retour de pièces est plein, videz-le promptement.  La distribution est en pause tant que le contenant n'est pas vidé."
XM_DispenseNoteFullPreemptive,Prenez les billets\nLes billets sont distribués en liasses de 15.  La distribution est en pause tant que tous les billets ne sont pas pris.
XM_DispenseSensorBlock,Le retour des pièces peut être plein ou le capteur défaillant. Veuillez retirer les pièces ou appeler pour l’entretien nécessaire.
XM_DispenseText,Remise
XM_DispenseThreshold,Le nombre entré dépasse le total à remettre.\nNombre total entré: %d
XM_Empty,Vide
XM_EmptyCashAcceptorLT,Retirer les billets de l’accepteur de billets
XM_EmptyCashBoxLT,Retirer les billets du tiroir-caisse
XM_EmptyCoinAcceptor,Réinitialiser l’accepteur de monnaie
XM_EmptyCoinAcceptorLT,Retirer la monnaie de l’accepteur de monnaie
XM_EmptyCoinHopperLT,Retirez les pièces de l’appareil.
XM_EmptyCoinOverflow,Réinitialiser le bac de trop-plein
XM_EmptyCoinOverflowLT,Retirer pièces du trop-plein
XM_EmptyLoaderCassetteLT,Retirer les billets de la cassette du chargeur
XM_EmptyNoteAcceptor,Réinitialiser accept. billets
XM_EmptyNoteCassetteLT,Retirer les billets des cassettes de billets
XM_EmptyNoteOverflow,Réinitialiser le tiroir-caisse
XM_Enter,Entrée
XM_ExceededAmount,Le montant est trop élevé. Le montant maximum requis est %s.
XM_ExceededCapacity,Le compte est trop élevé. Le compte maximum de la charge requise est %d.
XM_Execute,Appliquer  les  changements
XM_Exit,Quitter
XM_FastLaneReport,Rapport NCR SelfServ Checkout
XM_FillLoaderCassette,Entrer  nombre  billets
XM_GoBack,Retour
XM_ID,ID caissière
XM_IDPrompt,"Entrez l'ID et appuyez sur « Entrée »."
XM_InvalidAmount,La valeur saisie pour %s n’est pas valide.\nEssayez à nouveau.
XM_KeyPadEnterCoinAmount,Entrez le montant en pièces de %s au clavier.
XM_KeyPadEnterCoinCount,Entrez le nombre de pièces de %s au clavier.
XM_KeyPadEnterNoteAmount,Entrez le montant en billets de %s au clavier.
XM_KeyPadEnterNoteCount,Entrez le nombre de billets de %s au clavier.
XM_KeyPadInstr,Entrez le total à l’aide du clavier
XM_ManualBothFillAlert,Ouvrez la porte de la caisse et déposez les billets dans les cassettes et les pièces de monnaie dans les bacs. Ne pas les déposer dans les accepteurs.
XM_ManualBothRecyclerFillAlert,Ouvrez le portillon de l’allée et mettez les billets dans le chargeur et les pièces dans les trémies. Ne les mettez pas dans les accepteurs.
XM_ManualCoinDispenserEmpty,Réinit. nomb. pièces monnaie
XM_ManualCoinDispenserFill,Entrer nomb. pièces monn.
XM_ManualCoinFillAlert,Ouvrez le portillon de l’allée et mettez les pièces directement dans l’appareil. Ne pas les déposer dans l’accepteur de monnaie.
XM_ManualEmptyAlert,Retirer tout l’argent de l’appareil.
XM_ManualFillAlert,Ouvrir la porte de la caisse et déposer les billets directement dans l’appareil. Ne pas les déposer dans les accepteurs.
XM_ManualNoteDispenserEmpty,Réinit.  nombre  billets
XM_ManualNoteDispenserFill,Entrer  nombre  billets
XM_ManualNoteFillAlert,Ouvrez la porte de la caisse et déposez les billets directement dans la cassette. Ne pas les déposer dans l’accepteur de billets.
XM_ManualNoteRecyclerFillAlert,Ouvrez le portillon et mettez les billets directement dans le chargeur. Ne les alimentez pas dans l’accepteur de billets.
XM_No,Non
XM_NoteDispenseFailure,Échec de distribution de %s.\nBas niveau de\nbillets ou erreur au niveau du distributeur.
XM_PW,Mot de passe caissier
XM_PWPrompt,Entrez le mot de passe et appuyez sur « Entrée ».
XM_PendingText,En attente
XM_PleaseWait,Traitement en cours...\nVeuillez attendre.
XM_Print,Imprimer l’état de l’argent
XM_PurgeCoinRecycler,Purger le recycleur de monnaie
XM_PurgeNoteRecycler,Purger le recycleur de billets
XM_ReEnter,Mot de passe et numéro du caissier incorrects.\nVeuillez réessayer
XM_ResetCoinsToBaseLevel,Distr. pièces jusqu’au niveau base
XM_ResetNotesToBaseLevel,Transf. billets jusqu’au niveau de base
XM_SelectFunc1,Choisissez une fonction caissière
XM_SelectFunc2,Sélectionnez la fonction voulue.
XM_StoreNumber,Magasin nº
XM_TransferAllNotes,Transférer tous les billets
XM_TransferNotesToOverflow,Transférer billets dans tiroir-caisse
XM_Update,Actualiser les périphériques
XM_Yes,Oui
XM_CardManagement,Gestion des cartes
XM_SequenceNumber,Numéro de séquence
XM_TotalCoinsInserted,Total inséré
XM_TotalNotesInserted,Total inséré
XM_Value,Valeur
XM_TransferXCount,Nombre de transf. (x)
XM_TransferXAmount,Montant de transf. (x)
XM_TransfertoCashBoxLeadThruText,"Pour transférer %s de billets au tiroir-caisse, effleurez  ""Appliquer les changements"". Pour annuler les changements en attente, effleurez ""Annuler les changements""."
XM_MenuDispenseFunctions,Fonctions de distribution
XM_MenuResetFunctions,Fonctions de réinitialisation
XM_MenuCashBoxTransfer,Transferts du tiroir-caisse
XM_LeadThruCashBoxTransfer,"Sélectionnez la fonction de transfert voulue.\nUne fois ceci terminé, « Appliquer les changements »."
XM_LeadThruResetFunction,"Sélectionnez la fonction de réinitialisation voulue.\nUne fois ceci terminé, « Appliquer les changements »."
XM_LeadThruDispenseFunction,Touchez la dénomination et entrez le montant\nou touchez « Distribuer les pièces au niveau de base ».
XM_PurgeInstructionRecycler,"Opérations de purge :  Billets refusés détectés.  Retirez les billets refusés du tiroir-caisse.  Éliminez l'alerte en touchant « Transférer tous les billets », puis « Réinitialiser le tiroir-caisse »."
XM_PurgeInstructionNonRecycler,"Opérations de purge : billets refusés détectés.  Retirez les billets refusés du bac de purge.  Éliminez l'alerte en touchant « Réinit.  nombre  billets »."
XM_ReplenishInstruction,"Insérez l'argent comptant ou sélectionnez la dénomination et entrez le montant, ou programmez les nombres.\nUne fois ceci terminé, « Appliquer les changements »."
XM_PickUpAutoAmount,Montant autom. de ramassage
XM_PickUpXAmount,Montant (x) de ramassage
XM_MenuPickUpFunctions,Fonctions de ramassage
XM_LeadThruPickUpFunction,"Sélectionnez la fonction de ramassage voulue.\nUne fois ceci terminé, « Appliquez les changements »."
XM_KeyPadEnterPickUpAmount,Entrez le montant de ramassage en vous servant du clavier.
XM_InvalidPickUpAmount,La valeur entrée est supérieure au montant disponible pouvant être transféré ou distribué.
XM_InvalidStartingBank,La caisse initiale configurée est supérieure au montant disponible pouvant être transféré ou distribué.
XM_CalculatedPickUpAmount,Le montant du ramassage calculé est de %s.
XM_UnableToPickUp,"Le ramassage n'est pas possible."
XM_CoinAllowedDispenseExceeded,Essai de distribution de pièces %d. Le maximum permis de pièces à distribuer est de %d.
XM_InvalidPickUpAmount2,Le montant du tiroir-caisse et du trop-plein de pièces est supérieur au montant ramassé.
XM_LockScreen,Verrouillez l’écran
XM_SystemBusy,Système occupé.... veuillez attendre
XM_AreYouSure_LockScreen,Êtes-vous certain de vouloir verrouiller l’écran?\nL’écran ne peut pas être déverrouillé tant que les tâches des dispositifs sont en cours.
XM_NegativeAlert,"Nombre négatif découvert. Causes possibles : erreur de frappe ou de billets placés dans la cassette de chargeur, mais les nombres de ces billets n’ont pas été entrés dans la Gestion de l’argent comptant.\n\nSuivez les étapes ci-dessous pour la résolution :\n1. Sélectionnez Ajouter de l’argent comptant. \n2. Effleurez la dénomination avec le nombre négatif. \n3. Entrez le montant exact en dollars du nombre négatif et/ou le montant placé dans le chargeur. \n4. Sélectionnez Faire les changements. \n5. Sélectionnez Oui pour confirmer, puis Exit."
XM_NegativeAlert_Remove,"Nombre négatif découvert. Causes possibles : erreur de frappe ou de billets placés dans la cassette de chargeur, mais les nombres de ces billets n’ont pas été entrés dans la Gestion de l’argent comptant.\n\nSuivez les étapes ci-dessous pour la résolution :\n1. Sélectionnez Ajouter de l’argent comptant. \n2. Effleurez la dénomination avec le nombre négatif. \n3. Entrez le montant exact en dollars du nombre négatif et/ou le montant placé dans le chargeur. \n4. Sélectionnez Faire les changements. \n5. Sélectionnez Oui pour confirmer, puis Exit."
XM_AddCashLeadthru1,"Insérez les pièces ou effleurez le cylindre et entrez le montant, ou fixez les nombres."
XM_AddCashLeadthru2,"Insérez le montant comptant ou effleurez le cylindre et entrez le montant, ou fixez les nombres."
XM_AddCashLeadthru3,"Appuyez sur le cylindre et entrez le montant, ou configurez les comptes."
XM_CoinHopperEmpty,Les bacs de trémie de pièces doivent être vides afin de pouvoir remettre à zéro les comptes de pièces.  Videz chaque bac de trémie de pièces avant d’appuyer sur « Faire les changements »
XM_CollectRemainingCoins,Enlevez les pièces du retour de pièces quand la distribution est terminée.
XM_FPIDPrompt,"Entrez votre nom d’utilisateur puis appuyez sur la touche ""Entrée"" ou placez votre doigt sur le lecteur d’empreinte pour ouvrir une session."
XM_LoanFailure,Prêt défaillant
XM_LoanFailureLeadthru,Le prêt a été refusé. Sélectionnez la fonction souhaitée.
XM_UndoLoan,Annulez le prêt
XM_CommitLoan,Exécutez le prêt
XM_PickUpFailure,Ramassage défaillant
XM_PickUpFailureLeadthru,Ramassage refusé. Sélectionnez la fonction souhaitée.
XM_UndoPickUp,Annulez le ramassage
XM_CommitPickUp,Exécutez le ramassage
XM_ManualRemoveCashAlert,Retirez l’argent comptant du tiroir-caisse et les pièces du bac de trop-plein pour annuler le prêt.\n\nBillets\nCompte à enlever : %d\nMontant à enlever : %s\n\nPièces\nCompte à enlever : %d\nMontant à enlever: %s
XM_POSRejectedLoanPickUp,PDV prêt/ramassage rejeté :  %s / %d  rejeté.\n
XM_LoanPickUpCashierOverrides,ID de caissier %s priorité de prêt/ramassage : %s / %d  engagé.\n\n
XM_PlaceJammedBill,"Retirez le tiroir-caisse et placez-y les billets coincés, s’il y a lieu."
MinMaxFastLaneBtnPrimaryTxt,"Minimiser l'application de SelfServ Checkout"
MinMaxFastLaneBtnSecondaryTxt,"Maximiser l'application de SelfServ Checkout"
MinMaxFastLaneBtnPrimaryShowConfirmation,"Pour réduire SelfServ Checkout, appuyez sur le bouton ""Minimiser l'application de SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Pour agrandir SelfServ Checkout, appuyez sur le bouton ""Maximiser l'application de SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Arrêter SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Démarrer SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,"Passer à l'application de RAP"
ShutdownSystemBtnPrimaryTxt,Arrêter tout le système
RebootSystemBtnPrimaryTxt,Redémarrer tout le système
VolumeBtnPrimaryTxt,Contrôle du volume
EventViewerBtnPrimaryTxt,Affichage des événements
GenerateLogBtnPrimaryTxt,Générer les fichiers du journal de diagnostic
ExitFastLaneAndRunProfileBtnPrimaryTxt,Arrêter SelfServ Checkout et exécuter Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Exécuter la gestion de profil
TerminalInfoBtnPrimaryTxt,Information de poste
MinMaxRAPBtnPrimaryTxt,"Minimiser l'application de RAP"
MinMaxRAPBtnSecondaryTxt,"Maximiser l'application de RAP"
MinMaxRAPBtnPrimaryShowConfirmation,"Pour réduire le poste à distance, appuyez sur le bouton ""Minimiser l'application de RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Pour agrandir le poste à distance, appuyez sur le bouton ""Maximiser l'application de RAP""."
StopStartRAPButtonPrimaryTxt,Arrêter le RAP
StopStartRAPButtonSecondaryTxt,Démarrer RAP
RapConfigureBtnPrimaryTxt,Configuration RAP
SwitchToFastLaneBtnPrimaryTxt,"Passer à l'application de SelfServ Checkout"
ExitRAPAndRunProfileBtnPrimaryTxt,Arrêter le RAP et exécuter le Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Exécuter la gestion de profil
UtilityFunctionsTitle,NCR SelfServ Checkout\nFonctions utilitaire
StartTitle,Démarrage du système
SystemStartup,Démarrage du système...veuillez patienter.
TerminalID,#Poste 
InterfaceVersion,Version du logiciel: 
TrainingProgramPrimaryTxt,Programme de formation
LaunchPadNet_OperatorIDText,Num Opérateur: 
KeySwitchOperatorID,Verrou de sécurité
LaunchPadNet_SignOnButtonText,Ouverture session
LaunchPadNet_SignOffButtonText,Fermeture session
SignedOffButtonText,Déconnecté
Exit,Tout fermer
LaunchPadNet_ReturnToShoppingButtonText,Retour
PickListEditor,Éditeur de la liste de choix
RunADDTxt,Exécuter la DAA au Prochain Redémarrage
TouchWareTxt,"Calibrer l'écran tactile"
DiagConfirm,Êtes-vous certain de vouloir générer les fichiers journaux diagnostics?
ProfileManagerFLConfirm,Êtes-vous certain de vouloir arrêter SelfServ Checkout et exécuter le Profile Manager?
ProfileManagerRAPConfirm,Êtes-vous certain de vouloir arrêter le poste à distance et exécuter le Profile Manager?
ProfileManagerConfirm,Êtes-vous certain de vouloir démarrer le Profile Manager?
EventViewerConfirm,Êtes-vous certain de vouloir démarrer l’affichage des èvènements?
TrainingConfirm,Êtes-vous certain de vouloir démarrer le programme de formation?
PicklistConfirm,Êtes-vous certain de vouloir démarrer l’éditeur de listes de choix?
RunADDConfirm,Êtes-vous certain de vouloir exécuter détection automatique de l’appareil au prochain démarrage?
CalibrateConfirm,Êtes-vous certain de vouloir calibrer l’écran tactile?
ShutdownConfirm, Êtes-vous certain de vouloir arrêter l’ensemble du système?
RebootConfirm,Êtes-vous certain de vouloir redémarrer l’ensemble du système?
CloseAllConfirm, Êtes-vous certain de vouloir quitter toutes les applications et atteindre le bureau?
VolumeConfirm,Êtes-vous certain de vouloir ajuster le contrôle de volume?
TerminalInfoConfirm,Êtes-vous certain de vouloir afficher l’information sur le terminal?
StopFastLaneConfirm, Êtes-vous certain de vouloir arrêter SelfServ Checkout?
StopRAPConfirm,Êtes-vous certain de vouloir arrêter le RAP?
StartFastLaneConfirm,Êtes-vous certain de vouloir démarrer SelfServ Checkout?
StartRAPConfirm,Êtes-vous certain de vouloir démarrer RAP?
WindowsLogOnTxt,Ouverture session Windows
WindowsLogOnConfirm,Êtes-vous certain de vouloir quitter toutes les applications et d’ouvrir une session comme nouvel utilisateur?
YesText,Oui
NoText,Non
CommandPromptPrimaryTxt,Invite de commande
CommandPromptConfirm,Êtes-vous certain de vouloir démarrer l’invite de commande?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Êtes-vous certain de vouloir démarrer le Retail Systems Manager LE?
OperatorRegistrationUtility,Utilitaire d’inscription de l’opérateur
LaunchPadNet_EnterIDFpLeadthru,Entrez votre nom d’utilisateur puis appuyez sur la touche « Entrée » ou placez votre doigt sur le lecteur d’empreinte pour ouvrir une session.
LaunchPadNet_ReEnterIDFpLeadthru,Ouverture de session non valide. Veuillez ouvrir une session en utilisant le clavier ou avec votre empreinte.
LaunchPadNet_ClearButtonText,Effacer
LaunchPadNet_EnterButtonText,Entrer
LaunchPadNet_GoBackButtonText,Retour
LaunchPadNet_SpaceButtonText,Espace
LaunchPadNet_BackSpaceButtonText,Retour en arrière
LaunchPadNet_EnterIDLeadthru,Entrez num. identification en utilisant le clavier ci-dessous.
ReEnterIDLeadthru,ID incorrecte ou mauvais mot de passe. Veuillez entrer de nouveau en utilisant le clavier ci-dessous.
LaunchPadNet_EnterPasswordLeadthru,Entrez le mot de passe en utilisant le clavier ci-dessous.
CancelButtonText,Annuler
LaunchPadNet_LoggingInLeadthru,Ouverture de session...Veuillez patienter
LaunchPadNet_ShiftButtonText,Maj
LaunchPadNet_SignedOffButtonText,Déconnecté
LaunchPadNet_ReEnterIDLeadthru,ID incorrecte ou mauvais mot de passe. Veuillez entrer de nouveau en utilisant le clavier ci-dessous.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Signez ci-dessous.
PageIndicatorLabelFormat,Page {0} de {1}
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Cassette,Cassette
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_Collect,Collect
XM_CollectFailure,The collect operation resulted in failure.
XM_EmptyCassetteAndRejectBin, Remove bills from Bill Cassettes and Reject Bin.
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly.  Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GrandTotalText,Grand Total: %s
XM_InitializeError,The system encounters an error to be corrected.
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNotes\nCount to remove: %d\nAmount to remove: %s
XM_OperatorID,Operator ID %s
XM_TotalAddedText,Total Added: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalRemovedText,Total Removed: %s
DueCart,Dû
ScotApp_1742,SAC NON VALIDE 
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Coupon non lu
ScotApp_41,Articles réglementés
ScotApp_31,Coupons
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,"Glissez votre carte. Assurez-vous que le panier ne contient pas d'articles supplementaires."
ScotApp_689,  Ventes:          %d
ScotApp_589,Paramètres par défaut de périphérique chargés.
ScotApp_389,Traitement de carte
ScotApp_289,289unused
ScotApp_189,Options chargées.
ScotApp_91,91unused
ScotApp_773,Epargné :
ScotApp_673,Veuillez remettre le change %s au client.
ScotApp_1264,USERDEFINED6
ScotApp_473,Veuillez remplir.
ScotApp_373,"Blocage de type ""expulsion d'imprimante"""
ScotApp_989,989unused
ScotApp_889,%s\nPoids actuel(%s): %s\nPoids attendu(%s): %s
ScotApp_1520,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1042,"RECU D'ENDOSSEMENT:\nS'EST IMPRIMÉ PARCE-QUE\nUN ENDOSSEMENT DE DOCUMENT A\nA ECHOUÉ. S.V.P. ATTACHEZ CE RECU AU DOCUMENT APPROPRIÉ.\n----------------------------------------\n"
ScotApp_973,973unused
ScotApp_873,D.L. / Numéro identification:
ScotApp_1737,Sac du client
ScotApp_752,Hier - Sommaire
ScotApp_652, **Aucune entrée de WLDB pour ce CPU
ScotApp_1054,1054unused
ScotApp_452,Assurez vous que le cable est bien branché sur le coté de la distributrice.
ScotApp_352,Actualiser les périphériques
ScotApp_252,Distributeur de monnaie bloqué\nRetirer distributeur de monnaie bloqué
ScotApp_152,152unused
ScotApp_1310,* Enlevez l’accepteur d’argent.\n* Réinsérer l’accepteur d’argent jusqu’a ce qu’il soit verouillé.\n* Vérifiez que le moteur de l’accepteur d’argent fonctionne et que le voyant lumineux est au vert.
ScotApp_661,(Def)
ScotApp_952,Ajouter poids a zéro
ScotApp_852,Trois articles
ScotApp_1527,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1838,Vérifiez l’article
ScotApp_731,Sommaire
ScotApp_631,Nom du détenteur :
ScotApp_531,\nDéfaillance du périphérique de saisie de signature
ScotApp_331,Retirez les articles de la balance. Clavier désactivé.
ScotApp_231,231unused
ScotApp_131,Déposez les coupons
ScotApp_1736,"Déposez vos sacs dans la zone d'emballage. Appuyez sur ""Terminé"" lorsque vous aurez fini."
ScotApp_1250,PIP CRÉDIT
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Monnaie distribué
ScotApp_710,710unused
ScotApp_610,"Poids de l'article :"
ScotApp_510,Signez à nouveau
ScotApp_310,le compartiment est faible
ScotApp_210,210unused
ScotApp_110,"Pesez l'article"
ScotApp_1526,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1126,Échec de distributeur de monnaie.\n\n Vérifiez que le commutateur Marche/Arrêt si disponible sur la distributrice.
ScotApp_1040,Signature
ScotApp_810,En entraînement
ScotApp_1735,Déposez vos sacs
ScotApp_1257,PIP TIMBRES DE NOURRITURE
ScotApp_704,Entrée au clavier NIP
ScotApp_604,Scannez un article.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Choisissez contenant
ScotApp_204,Copie du fichier au serveur...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Approbation du poids de l’article
ScotApp_804,804unused
ScotApp_1047,"Endossement est nécessaire. S.V.P. attendez qu'un opérateur vous aide."
ScotApp_1478,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1134,La cassette de billets est pleine.
ScotApp_1734,"J'ai mon propre sac"
ScotApp_1256,PIP TBE
ScotApp_1512,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1465,Erreur du périphérique de recyclage des espèces
ScotApp_1721,Transaction en mode entraînement
ScotApp_1890,Traitement en cours...
ScotApp_1243,FIDÉLITÉ
ScotApp_1544,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_63,Non
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,J’ai corrigé le problème
ScotApp_1255,PIP CHEQUE DÉBIT
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_93,Scannez vos articles
ScotApp_83,83unused
ScotApp_1464,Numéro de terminal
ScotApp_1189,ARTICLE ENTRÉ
ScotApp_1720,PS:
ScotApp_1045,Payez avec %s
ScotApp_672,*** TRANSACTION EN MODE D’ENTRAINEMENT ***
ScotApp_572,"Entrez le code de l'article et appuyez sur ""Entrée""."
ScotApp_472,Aide requise
ScotApp_372,"Erreur de communication en ce qui concerne l'alimentation ligne à ligne de l'imprimante"
ScotApp_272,Vérifiez les coupons utilisés
ScotApp_172,"Scannez l'article non voulu ou sélectionnez l'article sur le reçu."
ScotApp_1510,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1701,Distribution de %s a échoué.
ScotApp_972,972unused
ScotApp_872,Annuler la mise en attente
ScotApp_1188,QUANTITÉ ENTRÉE
ScotApp_1727,Consultation d’article
ScotApp_751,Aujourd’hui - À l’heure
ScotApp_651,Par défaut
ScotApp_551,551unused
ScotApp_451,"État d'accepteur de monnaie bloqué"
ScotApp_351,Etat Cash / Papier
ScotApp_251,251unused
ScotApp_151,"Prenez l'argent"
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s retiré;LSWND3=%s;
ScotApp_851,Deux articles
ScotApp_730,730unused
ScotApp_630,Numéro de carte de crédit :
ScotApp_430,Hors service
ScotApp_330,Mode Aide
ScotApp_230,"État d'accepteur d'argent comptant rejeté"
ScotApp_130,Veuillez déposer vos coupons.
ScotApp_1726,Consultation terminée
