AmountSaved,Úspora
CollapseReceiptButtonText,Sbalit paragon
InvalidBarcodeLeadThru,"Odeberte položku na pokladně a pokračujte v transakci dotykem na ""Schválit""."
InvalidBarcodeLaneButtonText,Zkontrolovat zboží
HH_InvalidBarcodeLeadThru,"Odeberte položku a pokračujte v transakci dotykem na ""Schválit""."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Přejděte k pokladně pro schválení
DisableRapApprovalText, Deaktivovat schválení RAP
DisableHHRapApprovalText, Deaktivovat schválení HHRAP
UpdateItemButtonText,Aktualizovat položku
SuspendConfirmationTitle,Potvrzení pozastavení
DoNotApproveButtonText,Neschvalovat
SmVoidAndRemoveItemLeadthru,Vyjměte stornované položky z taškové zóny.
RestrictedItemsNotApprovedTitle,Limitované zboží - neschváleno
HH_AssistAtLaneLeadthru,Přejděte k pokladně pro odstranění položek.
XM_Acceptor,Přijaté
XM_CashStatus,Stav peněz
XM_CashStatusLeadthru,Zvolte požadovanou funkci.
XM_CoinAcceptor,Přijímač mincí
XM_CoinOverflow,Přepad mincí
XM_CoinOverflowText,Přepad
XM_CoinRecycler,Recyklátor mincí
XM_Coins,Mince
XM_NoteOverflow,Přepad bankovek
XM_NoteOverflowText,Přepad
XM_NoteRecycler,Recyklátor bankovek
XM_Notes,Bankovky
XM_PurgeOperationText,Operace odmítnutí
XM_TerminalNumber,Číslo terminálu
XM_TotalCount,Počet celkem:
XM_TotalValue,Hodnota celkem:
XM_CoinsSubtotal,Mezisoučet mincí:
XM_NotesSubtotal,Mezisoučet bankovek:
XM_GrandTotal,Celkem:
XM_PurgeInstruction,Operace vyřazení:  Rozpoznány vyřazené bankovky. Jděte k pokladně a zkontrolujte přístroj.
XM_RAP_NegativeAlert,Negative number found. Jděte k pokladně a zkontrolujte přístroj.
XM_TotalRemovedText,Total Removed: %s
XM_AreYouSure,Opravdu chcete provést dále uvedené operace?
XM_TotalColectedText,Total Collected: %s
XM_Attendant,Obsluha
XM_Backspace,Opravit
XM_TotalAddedText,Total Added: %s
XM_BillAcceptor,Přijímač bankovek
XM_BillDispenser,Vydavač bankovek
XM_Bins,Zásobníky
XM_BothDispenseFailure,Výdej: %s se nezdařil.\nDochází hotovost nebo chyba vydavače.
XM_CancelChanges,Zrušit změny
XM_CannotCompleteTransfer,Přenos nelze dokončit. V box\nbankovek není dostatek místa.\nPřed touto operací vyprázdněte box bankovek.
XM_CashManagement,Správa hotovosti
XM_CashManagementReport,Obrat hotovosti – sestava
XM_CashRemove,Odebrat hotovost
XM_CashRemoveLeadthru,Zvolte požadovanou funkci.
XM_CashReplenishLeadthru,Zvolte požadovanou funkci.
XM_CashReplenishLeadthru1,Vložte mince nebo zvolte funkci.
XM_CashReplenishLeadthru2,Vložte peníze nebo zvolte funkci.
XM_CashReplenishLeadthru3,"Po dokončení stiskněte ""Konec""."
XM_CashReplenishment,Přidat hotovost
XM_ChangeInCount,Počet mincí
XM_ChangeInValue,Změna
XM_Clear,Smazat
XM_ClearPrompt1,"Až budete hotovi, zvolte jinou funkci nebo stiskněte ""Konec""."
XM_ClearPrompt2,"Zvolte jinou funkci nebo stiskněte ""Konec""."
XM_CoinAcceptorOffline,Přijímač neodpovídá.\n\nRestartujte terminál.
XM_CoinDispenseFailure,Výdej: %s se nezdařil.\nDochází mince nebo chyba vydavače mincí.
XM_CoinDispenser,Vydavač mincí
XM_CoinManagement,Obrat mincí
XM_ConfirmAction,Potvrďte akce
XM_ConfirmCoinDispense,* Vydat mince\nČástka pro výdej: %s\nPočet pro výdej: %d
XM_ConfirmEmptyCoinAcceptor,* Vynulovat počet v přijímači mincí\nČástka k odebrání:%s
XM_ConfirmEmptyCoinOverflow,* Vynulovat počet přebývajících mincí\nČástka k odebrání:%s
XM_ConfirmEmptyNoteAcceptor,* Vynulovat počet v přijímači bankovek\nČástka k odebrání:%s
XM_ConfirmEmptyNoteOverflow,* Vynulovat počet v pokladně\nČástka k odebrání:%s
XM_ConfirmFillLoaderCassette,* Nastavit počet bankovek\nNová částka: %s\nNový počet: %d
XM_ConfirmManualCoinEmpty,* Vynulovat počet mincí\nČástka k odebrání: %s\nPočet k odebrání: %d
XM_ConfirmManualCoinFill,* Nastavit počet mincí\nNová částka: %s\nNový počet: %d
XM_ConfirmManualNoteEmpty,* Vynulovat počet bankovek\nČástka k odebrání: %s\nPočet k odebrání: %d
XM_ConfirmManualNoteFill,* Nastavte počty bankovek\nNová částka: %s\nNový počet: %d
XM_ConfirmNoteDispense,* Vydat bankovky\nČástka pro výdej: %s\nPočet pro výdej: %d
XM_ConfirmTransferNotesToOverflow,* Přesunout bankovky do pokladny\nČástka pro přesun: %s\nPočet pro přesun: %d
XM_Count,Počet
XM_DispenseCupFull,"Miska na drobné je plná. Odeberte mince, aby bylo možno je vracet."
XM_DispenseCupFullPreemptive,"Odeberte mince\nJe-li zásobník pro vracení mincí zaplněný, vyprázdněte jej.  Výdej bude pozastaven až do okamžiku vyprázdnění zásobníku."
XM_DispenseFullPreemptive,"Odeberte bankovky a mince.\nBankovky jsou vydávány ve svazcích po 15. Výdej bude pozastaven až do okamžiku odebrání bankovek. Je-li zásobník pro vracení mincí zaplněný, vyprázdněte jej. Výdej bude pozastaven až do okamžiku vyprázdnění zásobníku."
XM_DispenseNoteFullPreemptive,Odeberte bankovky.\n\nBankovky jsou vydávány ve svazcích po 15.\nVýdej bude pozastaven až do okamžiku odebrání bankovek.
XM_DispenseSensorBlock,Zásobník pro vracení mincí je zaplnění nebo je vadný snímač. Odeberte mince nebo volejte servis.
XM_DispenseText,výdeji
XM_DispenseThreshold,Zadané číslo je vyšší než dostupné množství. Byl zadán maximální počet: %d
XM_Empty,Prázdný
XM_EmptyCashAcceptorLT,Vytáhněte bankovky z přijímače bankovek
XM_EmptyCashBoxLT,Vytáhněte bankovky z boxu bankovek
XM_EmptyCoinAcceptor,Resetujte přijímač mincí
XM_EmptyCoinAcceptorLT,Odstraňte mince z přijímače mincí
XM_EmptyCoinHopperLT,Vyjměte mince ze zařízení.
XM_EmptyCoinOverflow,Vynulovat přepad mincí
XM_EmptyCoinOverflowLT,Odstraňte mince z přepadu mincí
XM_EmptyLoaderCassetteLT,Vytáhněte bankovky z kazety
XM_EmptyNoteAcceptor,Vynulovat přijaté bankovky
XM_EmptyNoteCassetteLT,Vyjměte bankovky z kazet a kontejneru na odmítnuté peníze
XM_EmptyNoteOverflow,Resetujte přepad bankovek
XM_Enter,Potvrdit
XM_ExceededAmount,Hodnota překračuje kapacitu. Max. hodnota je %s.
XM_ExceededCapacity,Počet překračuje kapacitu. Max. počet je %d.
XM_Execute,Použít změny
XM_Exit,Konec
XM_FastLaneReport,Sestava systému NCR SelfServ Checkout
XM_FillLoaderCassette,Nastavte počty bankovek
XM_GoBack,Zpět
XM_ID,Kód pokladníka
XM_IDPrompt,"Zadejte kód uživatele a stiskněte ""Potvrdit""."
XM_InvalidAmount,Hodnota zadaná pro %s není platná.\nZadejte ji prosím znovu.
XM_KeyPadEnterCoinAmount,Zadejte na klávesnici množství mincí %s.
XM_KeyPadEnterCoinCount,Zadejte na klávesnici počet mincí %s.
XM_KeyPadEnterNoteAmount,Zadejte na klávesnici množství bankovek %s.
XM_KeyPadEnterNoteCount,Zadejte na klávesnici počet bankovek %s.
XM_KeyPadInstr,Zadejte počet na klávesnici
XM_ManualBothFillAlert,Otevřete dvířka pokladny a vložte bankovky do kazet a mince do násypek. Nevkládejte je do přijímačů.
XM_ManualBothRecyclerFillAlert,Otevřete dvířka pokladny a vložte bankovky do podavače a mince do násypkových zásobníků. Nevkládejte je do přijímačů.
XM_ManualCoinDispenserEmpty,Vynulovat počty mincí
XM_ManualCoinDispenserFill,Nastavte počty mincí
XM_ManualCoinFillAlert,Otevřete dvířka pokladny a vložte mince přímo do zařízení. Nevkládejte je do přijímače mincí.
XM_ManualEmptyAlert,Odstraňte z přístroje všechny bankovky.
XM_ManualFillAlert,Otevřete dvířka pokladny a vložte peníze přímo do přístroje. Nevkládejte je do přijímačů.
XM_ManualNoteDispenserEmpty,Vynulovat počty bankovek
XM_ManualNoteDispenserFill,Nastavte počty bankovek
XM_ManualNoteFillAlert,Otevřete dvířka pokladny a vložte peníze přímo do kazety. Nevkládejte je do přijímače bankovek.
XM_ManualNoteRecyclerFillAlert,Otevřete dvířka pokladny a vložte bankovky přímo do podavače. Nevkládejte je do přijímače bankovek.
XM_No,Ne
XM_NoteDispenseFailure,Výdej: %s se nezdařil.\nDochází bankovky nebo chyba vydavače bankovek.
XM_PW,Heslo pokladníka
XM_PWPrompt,"Zadejte heslo a stiskněte ""Potvrdit""."
XM_PendingText,Celkem k 
XM_PleaseWait,Zpracování...\n\npočkejte prosím.
XM_Print,Tisk obratu hotovosti
XM_PurgeCoinRecycler,Vyprázdnit recyklátor mincí
XM_PurgeNoteRecycler,Vyprázdnit recyklátor bankovek
XM_ReEnter,Nesprávný kód nebo heslo pokladníka.\nOpakujte akci
XM_ResetCoinsToBaseLevel,Vydat mince na základní úroveň
XM_ResetNotesToBaseLevel,Přesuňte bankovky do základní úrovně
XM_SelectFunc1,Zvolte systémovou funkci
XM_SelectFunc2,Zvolte požadovanou funkci.
XM_StoreNumber,Obchod č.:
XM_TransferAllNotes,Převést všechny bankovky
XM_TransferNotesToOverflow,Přesuňte bankovky do přepadu
XM_Update,Aktualizovat
XM_Yes,Ano
XM_CardManagement,Správa karet
XM_SequenceNumber,Číslo sekvence
XM_TotalCoinsInserted,Celkem doplněno
XM_TotalNotesInserted,Celkem doplněno
XM_Value,Hodnota
XM_TransferXCount,Přesunout (x) Počet
XM_TransferXAmount,Přesunout (x) Částka 
XM_TransfertoCashBoxLeadThruText,"Pro přesun %s bankovek do pokladny klepněte na ""Použít změny"". Chcete-li všechny změny vrátit zpět, klepněte na ""Stornovat změny""."
XM_MenuDispenseFunctions,Funkce výdeje
XM_MenuResetFunctions,Resetovat funkce
XM_MenuCashBoxTransfer,Přesuny do pokladny
XM_LeadThruCashBoxTransfer,"Vyberte požadovanou funkci přesunu.\nPo dokončení klepněte na ""Použít změny""."
XM_LeadThruResetFunction,"Vyberte požadovanou funkci resetu.\nPo dokončení stiskněte ""Použít změny""."
XM_LeadThruDispenseFunction,"Dotkněte se označení a zadejte částku\nnebo klepněte na příkaz ""Vydat mince na základní úroveň""."
XM_PurgeInstructionRecycler,"Operace vyřazení:  Rozpoznány vyřazené bankovky.  Vyjměte vyřazené bankovky z pokladny.  Vymažte upozornění klepnutím na příkaz ""Přesunout všechny bankovky"" a poté ""Resetovat pokladnu""."
XM_PurgeInstructionNonRecycler,"Operace vyřazení: Rozpoznány vyřazené bankovky.  Vyjměte vyřazené bankovky z kontejneru odmítnutých peněz.  Vymažte upozornění klepnutím na ""Vynulovat počty bankovek""."
XM_ReplenishInstruction,"Vložte hotovost nebo vyberte označení a zadejte částku, nebo nastavte počty.\nPo dokončení klepněte na ""Použít změny""."
XM_PickUpAutoAmount,Automatická částka pro vyzvednutí
XM_PickUpXAmount,Částka pro vyzvednutí (x)
XM_MenuPickUpFunctions,Funkce vyzvednutí
XM_LeadThruPickUpFunction,"Vyberte požadovanou funkci vyzvednutí.\nPo dokončení klepněte na ""Použít změny""."
XM_KeyPadEnterPickUpAmount,Zadejte na klávesnici částku pro vyzvednutí.
XM_InvalidPickUpAmount,"Zadaná hodnota je vyšší než disponibilní částka, kterou lze přesunout nebo vydat."
XM_InvalidStartingBank,"Nakonfigurovaná počáteční zásoba je vyšší než disponibilní částka, kterou lze přesunout nebo vydat."
XM_CalculatedPickUpAmount,Vypočtená částka k vyzvednutí je %s.
XM_UnableToPickUp,Nelze vyzvednout.
XM_CoinAllowedDispenseExceeded,Pokus o výdej %d mincí. Maximální počet mincí pro výdej je %d.
XM_InvalidPickUpAmount2,Částka v pokladně a přebývajících mincí je větší než částka k vyzvednutí.
XM_LockScreen,Zamknout obrazovku
XM_SystemBusy,"Systém je zaneprázdněn....Čekejte, prosím"
XM_AreYouSure_LockScreen,"Skutečně chcete uzamknout obrazovku?\nObrazovku nebude možné odemknout, dokud zařízení nedokončí své úkoly."
XM_NegativeAlert,"Nalezeno záporné číslo. Možné příčiny: překlep nebo bankovky vloženy do kazety podavače, avšak počet těchto bankovek nebyl zadán ve Správě hotovosti.\n\nOdstraňte problém podle uvedeného postupu:\n1. Vyberte Přidat hotovost. \n2. Dotkněte se označení záporného čísla. \n3. Zadejte přesnou částku záporného čísla v korunách a/nebo částku vloženou do podavače. \n4. Vyberte Použít změny. \n5. Výběrem Ano potvrďte a poté ukončete."
XM_NegativeAlert_Remove,"Nalezeno záporné číslo. Možné příčiny: překlep nebo bankovky vloženy do kazety podavače, avšak počet těchto bankovek nebyl zadán ve Správě hotovosti.\n\nOdstraňte problém podle uvedeného postupu:\n1. Vyberte Přidat hotovost.\n2. Dotkněte se označení záporného čísla.\n3. Zadejte přesnou částku záporného čísla v korunách a/nebo částku vloženou do podavače.\n4. Vyberte Použít změny.\n5. Výběrem Ano potvrďte a poté ukončete."
XM_GloryDispenseCupFullPreemptive,"Odeberte mince\nJe-li zásobník pro vracení mincí zaplněný, vyprázdněte jej.  Výdej bude pozastaven až do okamžiku vyprázdnění zásobníku."
XM_GloryDispenseNoteFullPreemptive,Odeberte bankovky.\nBankovky jsou vydávány ve svazcích po 10. Výdej bude pozastaven až do okamžiku odebrání bankovek.
XM_GloryDispenseFullPreemptive,"Odeberte bankovky a mince.\nBankovky jsou vydávány ve svazcích po 10. Výdej bude pozastaven až do okamžiku odebrání bankovek. Je-li zásobník pro vracení mincí zaplněný, vyprázdněte jej. Výdej bude pozastaven až do okamžiku vyprázdnění zásobníku."
XM_AddCashLeadthru1,"Vložte mince nebo se dotkněte hodnoty a zadejte částku, nebo nastavte počty."
XM_AddCashLeadthru2,"Vložte hotovost nebo se dotkněte hodnoty a zadejte částku, nebo nastavte počty."
XM_AddCashLeadthru3,"Dotkněte se hodnoty a zadejte částku, nebo nastavte počty."
XM_CoinHopperEmpty,"Násypkové zásobníky mincí musí být vyprázdněny, aby bylo možné nastavit počet mincí na nulu.  Vyprázdněte všechny násypky mincí, poté stiskněte ""Použít změny""."
XM_OperatorID,Kód obsluhy %s
XM_Collect,Odebrat
XM_CollectFailure,The collect operation resulted in failure.
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNotes\nCount to remove: %d\nMnožství k odebrání: %s
XM_CollectRemainingCoins,Vyjměte mince z návratu mincí po dokončení výdeje.
XM_CassetteMissing,Bill Cassette is not in the unit.\nPut Bill Cassette back into the unit.
XM_InitializeError,The system encounters an error to be corrected.
XM_LeadThruGloryFunction,"Dotkněte se označení a zadejte částku\nnebo klepněte na příkaz ""Odebrat""."
XM_GrandTotalText,Celkem: %s
XM_FPIDPrompt,"Přihlaste se zadáním kódu uživatele a stiskem ""Potvrdit"", nebo položte prst na čtečku otisků."
XM_LoanFailure,Půjčka se nezdařila
XM_EmptyCassetteAndRejectBin, Vyjměte bankovky z kazet a kontejneru na odmítnuté peníze.
XM_LoanFailureLeadthru,Půjčka byla odmítnuta. Zvolte požadovanou funkci.
XM_UndoLoan,Vrátit půjčku
XM_CommitLoan,Provést půjčku
XM_PickUpFailure,Vyzvednutí se nezdařilo
XM_PickUpFailureLeadthru,Vyzvednutí bylo odmítnuto. Zvolte požadovanou funkci.
XM_UndoPickUp,Vrátit vyzvednutí
XM_CommitPickUp,Provést vyzvednutí
XM_ManualRemoveCashAlert,Vyjměte hotovost ze skříňky na hotovost a mince z přepadového kontejneru pro vrácení půjčky.\n\nBankovky\nPočet k odebrání: %d\nMnožství k odebrání: %s\n\nMince\nPočet k odebrání: %d\nMnožství k odebrání: %s
XM_POSRejectedLoanPickUp,Server POS odmítl půjčku/vyzvednutí:  %s / %d  odmítnuto.\n
XM_LoanPickUpCashierOverrides,Pokladník ID %s potlačil půjčku/vyzvednutí: %s / %d  potvrzeno.\n\n
XM_PlaceJammedBill,Vyjměte skříňku na hotovost a vložte do ní veškeré zaseklé bankovky.
MinMaxFastLaneBtnPrimaryTxt,Minimalizovat SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Maximalizovat SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Chcete-li minimalizovat okno SelfServ Checkout, stiskněte ""Minimalizovat SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Chcete-li maximalizovat okno SelfServ Checkout, stiskněte ""Maximalizovat SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Zastavit SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Spustit SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Přepnout do RAP
ShutdownSystemBtnPrimaryTxt,Vypnout celý systém
RebootSystemBtnPrimaryTxt,Restartovat celý systém
VolumeBtnPrimaryTxt,Hlasitost
EventViewerBtnPrimaryTxt,Prohlížeč událostí
GenerateLogBtnPrimaryTxt,Vytvořit soubory diagnostického protokolu
ExitFastLaneAndRunProfileBtnPrimaryTxt,Zastavit SelfServ Checkout a spustit Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Spustit Profile Manager
TerminalInfoBtnPrimaryTxt,Informace o terminálu
MinMaxRAPBtnPrimaryTxt,Minimalizovat RAP
MinMaxRAPBtnSecondaryTxt,Maximalizovat RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Chcete-li minimalizovat RAP, stiskněte tlačítko ""Minimalizovat RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Chcete-li maximalizovat RAP, stiskněte tlačítko ""Maximalizovat RAP""."
StopStartRAPButtonPrimaryTxt,Zastavit RAP
StopStartRAPButtonSecondaryTxt,Spustit RAP
RapConfigureBtnPrimaryTxt,Konfigurace RAP
SwitchToFastLaneBtnPrimaryTxt,Přepnout na SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Zastavit RAP a spustit Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Spustit Profile Manager
UtilityFunctionsTitle,Nástroje systému\nNCR SelfServ Checkout
StartTitle,Spuštění systému
SystemStartup,Systém se spouští... počkejte prosím
TerminalID,Kód terminálu: 
InterfaceVersion,Verze softwaru: 
TrainingProgramPrimaryTxt,Cvičný program
LaunchPadNet_OperatorIDText,Kód obsluhy: 
KeySwitchOperatorID,Zámek
LaunchPadNet_SignOnButtonText,Přihlásit
LaunchPadNet_SignOffButtonText,Odhlásit
SignedOffButtonText,Odhlášen
Exit,Ukončit všechny
LaunchPadNet_ReturnToShoppingButtonText,Zpět
PickListEditor,Editor seznamu
RunADDTxt,Provést operaci PŘIDAT při příštím spuštění
TouchWareTxt,Kalibrovat dotykovou obrazovku
DiagConfirm,Opravdu chcete vytvořit soubory diagnostického protokolu?
ProfileManagerFLConfirm,Opravdu chcete zastavit SelfServ Checkout a spustit Profile Manager?
ProfileManagerRAPConfirm,Opravdu chcete zastavit RAP a spustit Profile Manager?
ProfileManagerConfirm,Opravdu chcete spustit Profile Manager?
EventViewerConfirm,Opravdu chcete spustit Prohlížeč událostí?
TrainingConfirm,Opravdu chcete spustit Cvičný program?
PicklistConfirm,Opravdu chcete spustit Editor seznamu?
RunADDConfirm,Opravdu chcete provést automatickou detekci zařízení při příštím spuštění?
CalibrateConfirm,Opravdu chcete kalibrovat dotykovou obrazovku?
ShutdownConfirm,Opravdu chcete vypnout celý systém?
RebootConfirm,Opravdu chcete celý systém restartovat?
CloseAllConfirm,Opravdu chcete ukončit všechny aplikace a zobrazit plochu?
VolumeConfirm,Opravdu chcete nastavit hlasitost?
TerminalInfoConfirm,Opravdu chcete zobrazit informace o terminálu?
StopFastLaneConfirm,Opravdu chcete zastavit SelfServ Checkout?
StopRAPConfirm,Opravdu chcete zastavit RAP?
StartFastLaneConfirm,Opravdu chcete spustit SelfServ Checkout?
StartRAPConfirm,Opravdu chcete spustit RAP?
WindowsLogOnTxt,Přihlášení Windows
WindowsLogOnConfirm,Opravdu chcete ukončit všechny aplikace a přihlásit se jako nový uživatel?
YesText,Ano
NoText,Ne
CommandPromptPrimaryTxt,Příkazový řádek
CommandPromptConfirm,Opravdu chcete spustit příkazový řádek?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Opravdu chcete spustit program Retail Systems Manager LE?
OperatorRegistrationUtility,Program registrace obsluhy
LaunchPadNet_EnterIDFpLeadthru,Zadejte už. jméno na klávesnici dole nebo se přihlaste otiskem prstu.
LaunchPadNet_ReEnterIDFpLeadthru,Neplatné přihlášení. Přihlaste se znovu pomocí klávesnice nebo otisku prstů.
LaunchPadNet_ClearButtonText,Smazat
LaunchPadNet_EnterButtonText,Potvrdit
LaunchPadNet_GoBackButtonText,Zpět
LaunchPadNet_SpaceButtonText,Mezerník
LaunchPadNet_BackSpaceButtonText,Opravit
LaunchPadNet_EnterIDLeadthru,Zadejte už. jméno na klávesnici dole:
ReEnterIDLeadthru,Nesprávné jméno nebo heslo. Zadejte znovu na klávesnici.
LaunchPadNet_EnterPasswordLeadthru,Zadejte heslo na klávesnici dole:
CancelButtonText,Zrušit
LaunchPadNet_LoggingInLeadthru,Přihlašování... počkejte prosím
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Odhlášen
LaunchPadNet_ReEnterIDLeadthru,Nesprávné jméno nebo heslo. Zadejte znovu na klávesnici.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Podepište se níže.
PageIndicatorLabelFormat,Strana {0} ze {1}
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
XM_CashUnbalance,Discrepancy error occurred in the recycler.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_Cassette,Kazeta
DueCart,K zaplacení
PageIndicatorLabelFormat2,Strana {0} z {1}
ScotApp_1742,NEPLATNÁ TAŠKA
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Nelze načíst kupón
ScotApp_41,Limitované zboží
ScotApp_31,Kupóny
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Protáhněte kartu. Nezůstalo zboží v košíku?
ScotApp_689,  Tržby:      %d
ScotApp_589,Aplikace Device Factory načtena.
ScotApp_389,Zpracování karty
ScotApp_289,289unused
ScotApp_189,Možnosti načteny.
ScotApp_91,91unused
ScotApp_773,Úspora:
ScotApp_673,Vraťte zákazníkovi nazpět - částka: %s.
ScotApp_1264,DEFINOVÁNO UŽIVATELEM 6
ScotApp_473,Dochází médium
ScotApp_373,Zaseknutý výstup z tiskárny
ScotApp_989,989unused
ScotApp_889,%s\nSkutečná hmotnost(%s): %s\nOčekávaná hmotnost(%s): %s
ScotApp_1520,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1042,"POTVRZENÍ:\nTOTO POTVRZENÍ BYLO VYTIŠTĚNO, PROTOŽE SE AKCEPTACE\nDOKUMENTU NEZDAŘILA.\nPŘIPOJTE POTVRZENÍ K PŘÍSLUŠNÉMU DOKUMENTU.\n---------------------------------------- \n"
ScotApp_973,973unused
ScotApp_873,DL/ID kód Zadání čísla:
ScotApp_1737,Vlastní taška
ScotApp_752,"Včera, souhrn"
ScotApp_652, **Tento čárový kód nemá záznam ve váhové DB
ScotApp_1054,1054unused
ScotApp_452,"Zkontrolujte, zda je kabel na boku přijímače mincí pevně zapojen."
ScotApp_352,Aktualizovat
ScotApp_252,\nVydavač mincí zaseknut\n\nOdstraňte zaseknuté mince.
ScotApp_152,152unused
ScotApp_1310,"* Vyjměte přijímač bankovek.\n* Vložte zpět a zasuňte do zapadnutí západky.\n* Zkontrolujte, zda se motor přijímače rozeběhne a zelená LED svítí."
ScotApp_661,(Vých.)
ScotApp_952,Přidat nulovou hmotnost
ScotApp_852,Tři kusy
ScotApp_1527,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1838,Zkontrolovat položku
ScotApp_731,Souhrn
ScotApp_631,Jméno vlastníka:
ScotApp_531,\nSelhání skeneru podpisu.
ScotApp_331,Odeberte zboží z váhy tašek. Klávesnice zablokována.
ScotApp_231,231unused
ScotApp_131,Předložení kupónů
ScotApp_1736,"Položte prosím tašky do taškové zóny. Jakmile budete hotovi, stiskněte tlačítko ""Hotovo""."
ScotApp_1250,PIP KREDITNÍ
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s vydáno nazpět
ScotApp_710,710unused
ScotApp_610,Hmotnost zboží:
ScotApp_510,Podepsat znovu
ScotApp_310,kontejner je skoro prázdný
ScotApp_210,210unused
ScotApp_110,Zvážit zboží
ScotApp_1526,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1126,"Závada na vydavači mincí.\n\nPokud je na vydavači vypínač, zkontrolujte jej."
ScotApp_1040,Podpis
ScotApp_810, V zácviku
ScotApp_1735,Položte vlastní tašky
ScotApp_1257,PIP SOC. KARTA - POUKÁZKY NA STRAVU
ScotApp_704,Zadání PIN
ScotApp_604,Načtěte zboží.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Vyberte krabičku
ScotApp_204,Kopírování souborů na server...
ScotApp_104,104unused
ScotApp_1269,DEFINOVÁNO UŽIVATELEM 11
ScotApp_904,Schválení hmotnosti zboží
ScotApp_804,804unused
ScotApp_1047,Nutný podpis. Vyčkejte prosím na obsluhu.
ScotApp_1478,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1134,Kazeta na bankovky je plná.
ScotApp_1734,Mám vlastní tašku
ScotApp_1256,PIP SOC. KARTA
ScotApp_1512,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1465,Chyba recyklátoru bankovek
ScotApp_1721,Transakce v cvičném režimu
ScotApp_1890,Zpracování...
ScotApp_1243,VĚRNOSTNÍ
ScotApp_1544,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_63,Ne
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Problém napraven
ScotApp_1255,PIP DEBETNÍ
ScotApp_13,  %ss po %s/%s
ScotApp_1511,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_93,Načtěte zboží a vložte do tašky
ScotApp_83,83unused
ScotApp_1464,Číslo terminálu
ScotApp_1189,ZADANÉ ZBOŽÍ
ScotApp_1720,Odebr:
ScotApp_1045,Platební metoda: %s
ScotApp_672,*** TRANSAKCE V CVIČNÉM REŽIMU ***
ScotApp_572,"Zadejte kód zboží a stiskněte tlačítko ""Potvrdit""."
ScotApp_472,Žádost o pomoc
ScotApp_372,Chyba komunikace - tiskárna/papír špatně umístěn
ScotApp_272,Zkontrolujte použité kupóny
ScotApp_172,Načtěte nechtěné zboží nebo je vyhledejte na paragonu.
ScotApp_1510,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1701,Výdej %s se nezdařil.
ScotApp_972,972unused
ScotApp_872,Zrušit pozastavení
ScotApp_1188,ZADANÉ MNOŽSTVÍ
ScotApp_1727,Vyhledání zboží
ScotApp_751,"Dnes, po hodinách"
ScotApp_651,Výchozí
ScotApp_551,551unused
ScotApp_451,Stav přijímače mincí: zaseknuto
ScotApp_351,Stav peněz/papíru
ScotApp_251,251unused
ScotApp_151,Odeberte peníze
