AmountSaved,Iznos Ušteđen
TMTransLeadthru,"Traka je u postupku pripreme, \nželite li nastaviti transakciju?"
HH_TMTransLeadthru,"Traka je u postupku pripreme, \nželite li nastaviti transakciju?"
TMTransLaneButtonText,Priprema
DateFormat1,(mmddgggg)
DateFormat2,(mmddgg)
DateFormat3,(ddmmgggg)
DateFormat4,(ddmmgg)
DateFormat5,(ggggmmdd)
DateFormat6,(ggmmdd)
GoBackCouponButtonText,Vrati se natrag
ApproveCouponButtonText,Priznajte Kupon
CouponExceededLimitLeadthru,"Pritisnite ""Potvrdi kupon"" za primanje kupona ili otiđite u Pomoćni postupak za poništenje."
CouponExceededLimitFinalizationLeadthru,Transakcija je završena jer je korišten kupon koji prekoračuje kuponski limit trgovine.
ClearSecurityFinalizationButtonText,Ocisti zaštitu
ExpandReceiptButtonText,Raširite Račun
CollapseReceiptButtonText,Poništite Račun
InvalidBarcodeLeadThru,"Za nastavak transakcije, pokupite proizvod na traci i pritisnite ""Potvrdi""."
InvalidBarcodeLaneButtonText,Provjera proizvoda
HH_InvalidBarcodeLeadThru,"Pokupite proizvod, pritisnite ""Potvrdi"" da biste nastavili transakciju."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Molimo otiđite na traku za potvrdu
DisableRapApprovalText, Onemogući RAP potvrdu
DisableHHRapApprovalText, Onemogući HHRAP Potvrda
UpdateItemButtonText,Ažuriraj proizvod
SuspendConfirmationTitle,Obustavi potvrdu
DoNotApproveButtonText,Nemojte potvrditi
SmVoidAndRemoveItemLeadthru,Molimo uklonite poništeni proizvod sa područja pakiranja.
RestrictedItemsNotApprovedTitle,Ograničeni proizvodi - Nije odobreno
HH_AssistAtLaneLeadthru,Idite na Traku da biste poništili proizvode.
XM_Acceptor,Akceptor
XM_CashStatus,Status novca
XM_CashStatusLeadthru,Izaberite željenu funkciju.
XM_Cassette,Kaseta
XM_CoinAcceptor,Akceptor kovanica
XM_CoinOverflow,Prekoracenje kapaciteta kovanica
XM_CoinOverflowText,Pretek
XM_CoinRecycler,Preradnik kovanica
XM_Coins,Kovanice
XM_NoteOverflow,Prekoracenje kapaciteta novcanica
XM_NoteOverflowText,Spremnik za novac
XM_NoteRecycler,Preradnik novcanica
XM_Notes,Novčanice
XM_PurgeOperationText,Procistite Operacije
XM_TerminalNumber,Broj Terminala
XM_TotalCount,Ukupan Zbroj:
XM_TotalValue,Ukupan Iznos:
XM_CoinsSubtotal,Podzbr. Kovanica:
XM_NotesSubtotal,Ukupan iznos novcanica:
XM_GrandTotal,Krajnji Iznos:
XM_PurgeInstruction,Cišcenje Operacija: Odbijeni Racuni Otkriveni su. Idite na traku i provjerite uređaj.
XM_RAP_NegativeAlert,Pronađen negativan broj. Idite na traku i provjerite uređaj.
XM_AreYouSure,Jeste li sigurni da želite izvesti dolje navedene radnje?
XM_Attendant,Poslužitelj
XM_Backspace,Povratni Pomak
XM_BillAcceptor,Akceptor novčanica
XM_BillDispenser,Izdavač novčanica
XM_Bins,Kante
XM_BothDispenseFailure,Djeljenje nije uspilo %s.\nNiska razina novca ili greška u izdavaču.
XM_CancelChanges,Poništi promjene
XM_CannotCompleteTransfer,Nije moguće dovršiti prijenos.  Spremnik za novac nema dovoljno mjesta.  Molimo ispraznite spremnik za novac prije izvođenja ove operacije.
XM_CashManagement,Upravljanje novcem
XM_CashManagementReport,Izvještaj upravljanja novcem
XM_CashRemove,Ukloni novac
XM_CashRemoveLeadthru,Izaberite željenu funkciju.
XM_CashReplenishLeadthru,Izaberite željenu funkciju.
XM_CashReplenishLeadthru1,Umetnite kovanice ili odaberite funkciju.
XM_CashReplenishLeadthru2,Umetnite gotovinu ili odaberite funkciju.
XM_CashReplenishLeadthru3,"Kad završite, pritisnite, ""Izlaz""."
XM_CashReplenishment,Dodajte Gotovinu
XM_ChangeInCount,Promjena u zbroju
XM_ChangeInValue,Promjena vrijednosti
XM_Clear,Izbrisati
XM_ClearPrompt1,"Kad završite, odaberite drugu funkciju ili ""Izlaz""."
XM_ClearPrompt2,"Odaberite drugu funkciju ili ""Izlaz""."
XM_CoinAcceptorOffline,Akceptor kovanica ne reagira.\n\nUgasite i restartajte terminal.
XM_CoinDispenseFailure,Djeljenje nije uspilo %s.\nNiska razina kovanica ili greška u izdavaču.
XM_CoinDispenser,Izdavač kovanica
XM_CoinManagement,Upravljanje kovanicama
XM_ConfirmAction,Potvrdi radnje
XM_ConfirmCoinDispense,* Izdavanje kovanice\nIznos za izdati: %s\nZbroj za izdati: %d
XM_ConfirmEmptyCoinAcceptor,* Resetirajte zbroj akceptora kovanica na nulti\nIznos da biste uklonili: %s
XM_ConfirmEmptyCoinOverflow,* Vratite Kovanicu koja je Prekoracila Zbroj do Nule\nIznos za izbaciti: %s
XM_ConfirmEmptyNoteAcceptor,* Vratite Zbroj Akceptanta Racuna do Nule\nIznos za izbaciti:%s
XM_ConfirmEmptyNoteOverflow,* Vratite Zbroj Spremnika za Novac do Nule\nIznos za izbaciti: %s
XM_ConfirmFillLoaderCassette,* Odredite Račune\nNovi Iznos: %s\nNovi Zbroj: %d
XM_ConfirmManualCoinEmpty,* Vratite Zbroj Kovanice do Nule\nIznos za izbaciti: %s\nZbroj za izbaciti: %d
XM_ConfirmManualCoinFill,* Odredite Zbroj kovanice\nNovi Iznos: %s\nNovi Zbroj: %d
XM_ConfirmManualNoteEmpty,* Vratite Zbroj Racuna do Nule\nIznos za izbaciti: %s\nZbroj za izbaciti: %d
XM_ConfirmManualNoteFill,* Odredite Račune\nNovi Iznos: %s\nNovi Zbroj: %d
XM_ConfirmNoteDispense,* Izdavanje Racuna\nIznos za izdati: %s\nZbroj za izdati: %d
XM_ConfirmTransferNotesToOverflow,* Prijenos Racuna u Spremnik za Novce\nIznos za prenjeti: %sZbroj za prenjeti: %d
XM_Count,Zbroj
XM_DispenseCupFull,Povrat kovanica je pun. Molimo uklonite kovanice da biste završili izdavanje.
XM_DispenseCupFullPreemptive,"Molimo Vas Uzmite Kovanice\nAko se kovanica povrati kugla je puna, izpraznite je što prije.  Izdavanje biti ce prekinuto dok se kugla ne isprazni."
XM_DispenseFullPreemptive,"Molimo Vas Uzmite Racune(Novcanice) i Kovanice\nRacuni (novcanice) djeljeni su u vezama od 15 komada. Izdavanje racuna biti ce prekinuto dok se svi racuni ne izvadu. Ako je povrat kovanica pun, odmah ga ispraznite. Izdavanje biti ce prekinuto dok se kugla ne isprazni."
XM_DispenseNoteFullPreemptive,Molimo Vas Uzmite Racune(Novcanice)\nRacuni (novcanice) djeljeni su u vezama od 15 komada. Izdavanje racuna biti ce prekinuto dok se svi racuni ne izvadu.
XM_DispenseSensorBlock,Uređaj za povrat kovanica je pun ili je senzor pokvaren. Molimo uklonite kovanice ili pozovite podršku.
XM_DispenseText,Izdavanje
XM_DispenseThreshold,Uneseni broj premašuje dostupan iznos izdavanja.  Unesen je maksimalan iznos: %d
XM_Empty,Prazno
XM_EmptyCashAcceptorLT,Uklonite novcanice iz Akceptora novca
XM_EmptyCashBoxLT,Uklonite novcanice iz Spremnika za novac
XM_EmptyCoinAcceptor,Resetirajte Akceptor kovanica
XM_EmptyCoinAcceptorLT,Uklonite kovanice iz akceptora kovanica
XM_EmptyCoinHopperLT,Izvadite kovanice iz uređaja.
XM_EmptyCoinOverflow,Resetirajte prekoracenje kapaciteta kovanica
XM_EmptyCoinOverflowLT,Uklonite kovanice iz prekoracenja kapaciteta kovanica
XM_EmptyLoaderCassetteLT,Uklonite novcanice iz Kasete za punjenje
XM_EmptyNoteAcceptor,Resetirajte Akceptor novcanica
XM_EmptyNoteCassetteLT,Sklonite racune iz kasete za racune i Procistite koš
XM_EmptyNoteOverflow,Resetirajte Spremnik za novac
XM_Enter,Unesite
XM_ExceededAmount,Iznos prelazi ogranicenost. Maksimalni potrebni iznos je %s.
XM_ExceededCapacity,Zbroj prelazi ogranicenost. Maksimalni potrebni ubačeni zbroj je %d.
XM_Execute,Primijeni promjene
XM_Exit,Izlaz
XM_FastLaneReport,NCR SelfServ Checkout Izvještaj
XM_FillLoaderCassette,Postavite zbroj novcanica
XM_GoBack,Vrati se natrag
XM_ID,ID Blagajnika
XM_IDPrompt,"Unesite ID i pritisnite ""Unesite""."
XM_InvalidAmount,Unesena vrijednost %s je nevažeća.\nMolimo unesite ponovo.
XM_KeyPadEnterCoinAmount,Ubacite iznos za %s novcice koristeci tipkovnicu.
XM_KeyPadEnterCoinCount,Ubacite zbroj za %s novcice koristeci tipkovnicu.
XM_KeyPadEnterNoteAmount,Unesite iznos za %s novcanica pomocu tipkovnice
XM_KeyPadEnterNoteCount,Unesite zbroj za %s novcanica pomocu tipkovnice
XM_KeyPadInstr,Unesite zbroj pomocu tipkovnice
XM_ManualBothFillAlert,Otvorite vrata trake i položite novčanice u kasete a kovanice u izbacivače. Ne unašajte ih u akceptore.
XM_ManualBothRecyclerFillAlert,Otvorite vrata trake i položite novcanice u punjac a kovanice u izbacivace.
XM_ManualCoinDispenserEmpty,Resetirajte zbroj kovanica
XM_ManualCoinDispenserFill,Postavite zbroj kovanica
XM_ManualCoinFillAlert,Otvorite vrata trake i položite kovanice izravno u uređaj. Ne unašajte ih u akceptor kovanica.
XM_ManualEmptyAlert,Uklonite sav novac iz uređaja
XM_ManualFillAlert,Otvorite vrata trake i položite novac izravno u uređaj. Ne unašajte u akceptore.
XM_ManualNoteDispenserEmpty,Poništite Zbroj racuna
XM_ManualNoteDispenserFill,Postavite zbroj novčanica
XM_ManualNoteFillAlert,Otvorite vrata trake i položite novčanice izravno u kasetu. Ne unašajte ih u akceptor novčanica.
XM_ManualNoteRecyclerFillAlert,Otvorite vrata trake i položite novcanice izravno u punjac.
XM_No,Ne
XM_NoteDispenseFailure,Djeljenje nije uspilo %s.\nNiska razina novčanica ili greška u izdavaču novčanica.
XM_PW,Lozinka Blagajnika
XM_PWPrompt,"Unesite lozinku i pritisnite ""Unesite""."
XM_PendingText,Cekanje
XM_PleaseWait,Obrada...\nMolim vas pricekajte.
XM_Print,Status ispisa novca
XM_PurgeCoinRecycler,Cišcenje preradnika kovanica
XM_PurgeNoteRecycler,Cišcenje preradnika novcanica
XM_ReEnter,Neispravan broj blagajnika ili lozinka.\nMolimo pokušajte ponovo.
XM_ResetCoinsToBaseLevel,Izdaj Kovan. na Bazni Nivo
XM_ResetNotesToBaseLevel,Prijenos Racuna na Osnovni Nivo
XM_SelectFunc1,Odaberite funkciju sustava
XM_SelectFunc2,Izaberite željenu funkciju.
XM_StoreNumber,Trgovina #:
XM_TransferAllNotes,Prenesite sve novcanice
XM_TransferNotesToOverflow,Prijenos Racuna u Spremnik za Novce
XM_Update,Obnavljanje
XM_Yes,Da
XM_SequenceNumber,Redni Broj
XM_CardManagement,Upravljanje Karticama
XM_TotalCoinsInserted,Cijeli je Ubacen
XM_TotalNotesInserted,Cijeli je Ubacen
XM_Value,Vrijednost
XM_TransferXCount,Prenesi (x) broj
XM_TransferXAmount,Prenesi (x) iznos
XM_PickUpAutoAmount,Dignuti Automatski Zbroj
XM_PickUpXAmount,Dignuti (x) Zbroj
XM_TransfertoCashBoxLeadThruText,"Za prijenos novčanice(a) %s u spremnik za novac pritisnite ""Primijeni promjene"". Za poništenje svih promjena na čekanju, pritisnite ""Poništi promjene""."
XM_MenuDispenseFunctions,Izdanje Funkcije
XM_MenuResetFunctions,Poništite Funkcije
XM_MenuCashBoxTransfer,Transferi Spremnika za Gotovinu
XM_MenuPickUpFunctions,Dignute Funkcije
XM_LeadThruCashBoxTransfer,"Odaberite željenu transfer funkciju. Kad završite ""Primijeni promjene""."
XM_LeadThruResetFunction,"Odaberite željenu poništenu funkciju. Kad završite ""Primijeni promjene""."
XM_LeadThruDispenseFunction,"Pritisnite naziv i umetnite iznos ili pritisnite ""Izdaj Kovan. na Bazni Nivo"""
XM_LeadThruPickUpFunction,"Odaberite željene dignute funkcije. Kad završite ""Primijeni promjene""."
XM_PurgeInstructionRecycler,"Cišcenje Operacija: Odbijeni Racuni Otkriveni su. Sklonite Odbijene racune sa spremnika za novac. Izbrišite alarm dirajuci ""Prijenos Svih Racuna"" i zatim ""Vratite Spremnik za Novce""."
XM_PurgeInstructionNonRecycler,"Cišcenje Operacija: Odbijeni Racuni Otkriveni su. Sklonite Odbijene racune iz kante za cišcenje. Izbrišite alarm dirajuci ""Poništite Zbroj racuna""."
XM_ReplenishInstruction,"Umetnite gotovinu ili odaberite naziv i umetnite iznos, ili odredite zbroj. Kad završite ""Primijeni promjene"". "
XM_KeyPadEnterPickUpAmount,Umetnite Dignuti  Zbroj sa Tipkovnicom.
XM_InvalidPickUpAmount,Vrijednost koju ste umetnili je veca od dostupnog iznosa koji može biti prenošen ili izdan.
XM_InvalidStartingBank,Pocetna namještena serija je veca od dostupnog iznosa koji može biti prenošen ili izdan.
XM_CalculatedPickUpAmount,Izracunati dignut iznos je %s.
XM_UnableToPickUp,Nesposoban za izvesti dignuto.
XM_CoinAllowedDispenseExceeded,Pokušavanje u izdavanju %d kovanica. Maksimalno izdavanje kovanica dopušteno je %d.
XM_InvalidPickUpAmount2,Iznos u spremniku za novce i kovanice prepun veci je od dignutog iznosa.
XM_LockScreen,Zakljucajte ekran
XM_SystemBusy,Sustav je zauzet....Molimo pricekajte
XM_AreYouSure_LockScreen,Jeste li sigurni da želite zaključati ekran? \nEkran se ne može otključati dok uređaji ne završe svoje radnje.
XM_NegativeAlert,"Pronađen negativan broj. Mogući uzroci: dogodila se greška pri tipkanju, ili su novčanice stavljene u kasetu punjača ali njihov zbroj nije unesen u Upravljanje novcem.\n\nSlijedite dolje navedene korake da biste riješili:\n1. Odaberite ""Dodajte Gotovinu"".\n2. Pritisnite denominaciju sa negativnim brojem.\n3. Unesite točan iznos negativnog broja u dolarima i/ili iznos stavljen u punjač.\n4. Odaberite ""Primijeni promjene"".\n5. Odaberite ""Da"" za potvrdu i zatim ""Izlaz""."
XM_NegativeAlert_Remove,"Pronađen negativan broj. Mogući uzroci: dogodila se greška pri tipkanju, ili su novčanice stavljene u kasetu punjača ali njihov zbroj nije unesen u Upravljanje novcem.\n\nSlijedite dolje navedene korake da biste riješili:\n1. Odaberite ""Izlaz"" i zatim odaberite ""Dodajte Gotovinu"".\n2. Pritisnite denominaciju sa negativnim brojem.\n3. Unesite točan iznos negativnog broja u dolarima i/ili iznos stavljen u punjač.\n4. Odaberite ""Primijeni promjene"".\n5. Odaberite ""Da"" za potvrdu i zatim ""Izlaz""."
XM_AddCashLeadthru1,"Umetnite kovanice ili pritisnite cilindar i unesite iznos, ili postavite zbrajanje."
XM_AddCashLeadthru2,Umetnite novac ili pritisnite cilindar i unesite iznos ili postavite zbrajanje.
XM_AddCashLeadthru3,Pritisnite cilindar i unesite iznos ili postavite zbrajanje.
XM_CoinHopperEmpty,"Za resetiranje zbroja kovanica na nulu morate isprazniti izbacivač kovanica. Prije nego pritisnete ""Primijeni promjene"" ispraznite sve kante za skupljanje kovanica iz izbacivača."
XM_CollectRemainingCoins,"Kad izdavanje završi, uklonite kovanice iz povrata kovanica."
XM_FPIDPrompt,"Utipkajte svoj korisnički ID i pritisnite ""Unesite"", ili stavite prst na čitač otisaka da biste se prijavili."
XM_LoanFailure,Greška u kreditnom plaćanju
XM_LoanFailureLeadthru,Kreditno plaćanje je odbijeno. Izaberite željenu funkciju.
XM_UndoLoan,Poništi kreditno plaćanje
XM_CommitLoan,Izvrši kreditno plaćanje
XM_PickUpFailure,Greška u podizanju
XM_PickUpFailureLeadthru,Podizanje je odbijeno. Izaberite željenu funkciju.
XM_UndoPickUp,Poništi Podizanje
XM_CommitPickUp,Izvrši Podizanje
XM_ManualRemoveCashAlert,Uklonite novac iz spremnika za novac i kovanice iz kante za viškove da biste poništili punjenje.\n\nNovčanice\nBroj za ukloniti: %d\nIznos za ukloniti: %s\nnovanice\nBroj za ukloniti: %d\nIznos za ukloniti: %s
XM_POSRejectedLoanPickUp,MP je odbilo kredit/podizanje:  %s / %d  je odbijen.\n
XM_LoanPickUpCashierOverrides,ID Blagajnika %s prekoračenje kredita/podizanja: %s / %d  počinjeno.\n\n
XM_PlaceJammedBill,Uklonite spremnik za novac i umetnite unutra sve zaglavljene novčanice.
XM_GrandTotalText,Krajnji Iznos: %s
XM_TotalAddedText,Total Added: %s
XM_TotalRemovedText,Total Removed: %s
XM_TotalColectedText,Total Collected: %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNovčanice\nBroj za ukloniti: %d\nIznos za ukloniti: %s
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Collect,Skuplja
XM_CollectFailure,The collect operation resulted in failure.
XM_LeadThruGloryFunction,"Pritisnite naziv i umetnite iznos ili pritisnite ""Skuplja""."
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_EmptyCassetteAndRejectBin, Remove bills from Bill Cassettes and Reject Bin.
XM_OperatorID,ID Operatera %s
XM_InitializeError,The system encounters an error to be corrected.
XM_GloryDispenseCupFullPreemptive,"Molimo Vas Uzmite Kovanice\nAko se kovanica povrati kugla je puna, izpraznite je što prije. Izdavanje biti će prekinuto dok se kugla ne isprazni."
XM_GloryDispenseFullPreemptive,"Molimo Vas Uzmite Novčanice i Kovanice\nNovčanice djeljeni su u vezama od 10 komada. Izdavanje računa biti će prekinuto dok se svi računi ne izvadu. Ako je kugla kovanice puna, izpraznite je što prije. Izdavanje će biti prekinuto dok se."
XM_GloryDispenseNoteFullPreemptive,Molimo Vas Uzmite Novčanice\nNovčanice izdani su u vezama od 10 komada. Izdavanje računa biti će prekinuto dok se svi računi ne izvadu.
MinMaxFastLaneBtnPrimaryTxt,Minimiziraj SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Maksimiziraj SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Za minimiziranje SelfServ Checkout, pritisnite ""Minimiziraj SelfServ Checkout"" tipku."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Za maksimiziranje SelfServ Checkout, pritisnite tipku ""Maksimiziraj SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Zaustavi SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Pokreni SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Prijeđi u RAP
ShutdownSystemBtnPrimaryTxt,Zatvori cijeli sustav
RebootSystemBtnPrimaryTxt,Prekid rada računala Cijelog Sustava
VolumeBtnPrimaryTxt,Zatvori cijeli sustav
EventViewerBtnPrimaryTxt,Preglednik događaja
GenerateLogBtnPrimaryTxt,Pripremite dijagnosticku dnevnicku datoteku
ExitFastLaneAndRunProfileBtnPrimaryTxt,Zaustavite SelfServ Checkout i Pokrenite Upravljanje profilima
ExitFastLaneAndRunProfileBtnSecondaryTxt,Pokrenite Upravljanje Profilima
TerminalInfoBtnPrimaryTxt,Informacije Terminala
MinMaxRAPBtnPrimaryTxt,Minimiziraj RAP
MinMaxRAPBtnSecondaryTxt,Maksimiziraj RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Za minimiziranje RAP, pritisnite tipku ""Minimiziraj RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Za maksimiziranje RAP, pritisnite tipku ""Maksimiziraj RAP""."
StopStartRAPButtonPrimaryTxt,Zaustavi RAP
StopStartRAPButtonSecondaryTxt,Pokreni RAP
RapConfigureBtnPrimaryTxt,RAP Konfiguriraj
SwitchToFastLaneBtnPrimaryTxt,Prijeđi u SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Zaustavite RAP i Pokrenite Upravljanje profilima
ExitRAPAndRunProfileBtnSecondaryTxt,Pokrenite Upravljanje Profilima
UtilityFunctionsTitle,NCR SelfServ Checkout\nFunkcije korisnosti
StartTitle,Pokretanje sustava
SystemStartup,Pokretanje sustava...molimo pričekajte
TerminalID,ID Terminala: 
InterfaceVersion,Verzija softvera:
TrainingProgramPrimaryTxt,Priprema Programa
LaunchPadNet_OperatorIDText,ID Operatera:
KeySwitchOperatorID,Brava
LaunchPadNet_SignOnButtonText,Prijavite se
LaunchPadNet_SignOffButtonText,Odjavite se
SignedOffButtonText,Odjavljeni ste
Exit,Zatvori sve
LaunchPadNet_ReturnToShoppingButtonText,Povratak
PickListEditor,Uređivanje Liste Odabira
RunADDTxt,Izvodi ADD na Sljedećim Prekid rada računala
TouchWareTxt,Kalibracija touch ekrana
DiagConfirm,Jeste li sigurni da želite kreirati Datoteke dijagnostičkih zapisa?
ProfileManagerFLConfirm,Jeste li sigurni da želite zaustaviti SelfServ Checkout i pokrenuti Upravljanje profilima?
ProfileManagerRAPConfirm,Jeste li sigurni da želite zaustaviti RAP i pokrenuti Upravljanje profilima?
ProfileManagerConfirm,Jeste li sigurni da želite pokrenuti Upravljanje profilima?
EventViewerConfirm,Jeste sigurni da želite pokrenuti Preglednik događaja?
TrainingConfirm,Jeste li sigurni da želite pokrenuti Pripremni program?
PicklistConfirm,Jeste li sigurni da želite pokrenuti Uređivanje liste odabira?
RunADDConfirm,Jeste li sigurni da kod slijedećeg pokretanja sustava želite pokrenuti Automatsko Detektiranje Uređaja (ADD)?
CalibrateConfirm,Jeste li sigurni da želite kalibrirati (podesiti) touch-ekran?
ShutdownConfirm,Jeste li sigurni da želite ugasiti cijeli sustav?
RebootConfirm,Jeste li sigurni da želite ponovo pokrenuti cijeli sustav?
CloseAllConfirm,Jeste li sigurni da želite zatvoriti sve aplikacije i otići na radnu površinu (desktop)?
VolumeConfirm,Jeste li sigurni da želite podesiti regulaciju jačine?
TerminalInfoConfirm,Jeste li sigurni da želite pogledati informacije terminala?
StopFastLaneConfirm,Jeste li sigurni da želite zaustaviti SelfServ Checkout?
StopRAPConfirm,Jeste li sigurni da želite zaustaviti RAP?
StartFastLaneConfirm,Jeste li sigurni da želite pokrenuti SelfServ Checkout?
StartRAPConfirm,Jeste li sigurni da želite pokrenuti RAP?
WindowsLogOnTxt,Prozori za prijavu
WindowsLogOnConfirm,Jeste li sigurni da želite izaći iz svih aplikacija i prijaviti se kao novi korisnik?
YesText,Da
NoText,Ne
CommandPromptPrimaryTxt,Naredbeni redak
CommandPromptConfirm,Jeste li sigurni da želite pokrenuti Naredbeni redak?
RSMLEPrimaryTxt,Upravljanje maloprodajnim sustavima LE
RSMLEConfirm,Jeste li sigurni da želite pokrenuti LE Upravljanje maloprodajnim sustavima?
OperatorRegistrationUtility,Program za registraciju operatera
LaunchPadNet_EnterIDFpLeadthru,"Utipkajte svoj korisnički ID i pritisnite ""Unesite"", ili stavite prst na čitač otisaka da biste se prijavili."
LaunchPadNet_ReEnterIDFpLeadthru,Nevažeća prijava. Molimo prijavite se ponovo koristeći tipkovnicu ili svoj otisak prsta.
LaunchPadNet_ClearButtonText,Izbrisati
LaunchPadNet_EnterButtonText,Unesite
LaunchPadNet_GoBackButtonText,Vrati se natrag
LaunchPadNet_SpaceButtonText,Prostor
LaunchPadNet_BackSpaceButtonText,Povratni Pomak
LaunchPadNet_EnterIDLeadthru,Unesite ID pomoću tipkovnice:
ReEnterIDLeadthru,Neispravan ID ili lozinka. Molimo unesite ponovo pomocu donje tipkovnice.
LaunchPadNet_EnterPasswordLeadthru,Unesite lozinku pomoću tipkovnice:
CancelButtonText,Poništite
LaunchPadNet_LoggingInLeadthru,Učitavanje u tijeku...Molimo pričekajte
LaunchPadNet_ShiftButtonText,Pomicati
LaunchPadNet_SignedOffButtonText,Odjavljeni ste
LaunchPadNet_ReEnterIDLeadthru,Neispravan ID ili lozinka. Molimo unesite ponovo pomoću tipkovnice.
LegalCaptionText,"UVOD PRAVNE ISPRAVE\nOvaj sustav smije koristiti samo autorizirano osoblje. Prijavom u ovaj sustav, prihvaćate pravila i uvjete svih odredbi i standarda Zaštite podataka. Korištenje od strane neautoriziranih pojedinaca ili u neautorizirane svrhe je prekršaj federalnog i/ili državnog zakona. Tvrtka zadržava pravo za poduzimanje svih potrebnih postupaka kako bi zaštitila autorizirane korisnike, intelektualno vlasništvo i druga sredstva podataka. Pojedinci koji koriste ovaj sustav prihvaćaju da se sve njihove radnje u ovom sustavu nadziru. Svatko tko koristi ovaj sustav izričito pristaje na takav nadzor i upozorava se da ako takav nadzor otkrije moguće dokaze o kriminalnim aktivnostima, osoblje sustava te dokaze može predočiti službama za provedbu zakona.\n        "
SignBelow,Potpišite ispod
PageIndicatorLabelFormat,Stranica {0} od {1}
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
DueCart,Za platiti
ScotApp_1742,NEVAŽEĆA VREĆICA
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Kupon se nemože skenirati
ScotApp_41,Ograničeni Proizvodi
ScotApp_31,Kuponi
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Provucite vašu karticu.\nMolim vas provjerite košaru za dodatne proizvode.
ScotApp_689,  Prodaja: %d
ScotApp_589,Tvornica uređaja učitana.
ScotApp_389,Obrada Kartice
ScotApp_289,289unused
ScotApp_189,Opcije učitane.
ScotApp_91,91unused
ScotApp_773,Iznos Ušteđen:
ScotApp_673,Molimo vratite kupcu %s ostatak.
ScotApp_1264,USERDEFINED6
ScotApp_473,Razina sredstava je niska
ScotApp_373,Zastoj u izbacivanju papira
ScotApp_989,989unused
ScotApp_889,%s\nSadašnja Težina(%s): %s\nOčekivana Težina(%s): %s
ScotApp_1520,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1042,POTVRDA: OVO JE ISPISANO JER PROVJERA DOKUMENTA NIJE USPJELA. MOLIMO PRILOŽITE OVU POTVRDU\nODGOVARAJUCEM DOKUMENTU.\n----------------------------------------\n
ScotApp_973,973unused
ScotApp_873,Vozacke dozvole ili osobne iskaznice unos  broja
ScotApp_1737,Svoja Kesica
ScotApp_752,Jučerašnji sažetak
ScotApp_652, **Nema BPPT unosa za ovaj UPC
ScotApp_1054,1054unused
ScotApp_452,Provjerite da li je kabel sigurno utaknut u akceptor kovanica.
ScotApp_352,Obnavljanje
ScotApp_252,Zaglavljenje u Izdavacu kovanica.\n* Uklonite zaglavljenje u Izdavacu kovanica.
ScotApp_152,152unused
ScotApp_1310,* Uklonite akceptor novcanica.\n* Ponovno umetnite akceptor novcanica dok se u potpunosti ne zakvaci.\n* Provjerite da li se motor akceptora ukljucuje i da li seupalila zeleno LED svjetlo.
ScotApp_661,(Zad)
ScotApp_952,Dodaj Nula težina
ScotApp_852,Tri Proizvoda
ScotApp_1527,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1838,Provjera proizvoda.
ScotApp_731,Izvod
ScotApp_631,Ime Vlasnika:
ScotApp_531,\nUređaj za Hvatanje Potpisa je u Kvaru
ScotApp_331,Sklonite proizvode s vagine kesice. Tipkovnica nije djelatna. 
ScotApp_231,231unused
ScotApp_131,Uložite kupone
ScotApp_1736,"Molim vas stavite vaše kesice u zonu pakiranja, i pritisnite ""Gotovo"" kad ste završili."
ScotApp_1250,PIP CREDIT
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Ostatak je razdijeljen
ScotApp_710,710unused
ScotApp_610,Težina proizvoda:
ScotApp_510,Potpišite se ponovo
ScotApp_310,kanta je skoro prazna
ScotApp_210,210unused
ScotApp_110,Izmjerite Proizvod
ScotApp_1526,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1126,* Izdavac kovanica u kvaru.\n* Provjerite tipku Ukljuci/Iskljuci (On/Off) ako postoji na izdavacu.
ScotApp_1040,Potpis
ScotApp_810, U pripremi
