AmountSaved,Úspora
ConfirmSuspendDeclinedButtonText,Potvrdte zamietnutie
CancelSuspendDeclinedButtonText,Spät
TMTransLeadthru,"Pokladna je v školiacom režime,\nchcete pokracovat v transakcii?"
HH_TMTransLeadthru,"Pokladna je v školiacom režime,\nchcete pokracovat v transakcii?"
TMTransLaneButtonText,Školenie Trx
DateFormat1,(mmddrrrr)
DateFormat2,(mmddrr)
DateFormat3,(ddmmrrrr)
DateFormat4,(ddmmrr)
DateFormat5,(rrrrmmdd)
DateFormat6,(rrmmdd)
GoBackCouponButtonText,Spät
ApproveCouponButtonText,Schválit kupón
CouponExceededLimitLeadthru,"Stlacením tlacidla ""Schválit kupón"" kupón akceptujte alebo chodte do režimu pomoci a zrušte ho."
CouponExceededLimitFinalizationLeadthru,"Transakcia bola dokoncená s kupónom, ktorý prekrocil limit predajne na kupóny."
ClearSecurityFinalizationButtonText,Vymazat alarm
ExpandReceiptButtonText,Rozvinúť účtenku
CollapseReceiptButtonText,Zložiť účtenku
InvalidBarcodeLeadThru,"Zoberte tovar v pokladni a stlačením tlačidla ""Schváliť"" pokračujte v transakcii."
InvalidBarcodeLaneButtonText,Skontrolovať tovar
HH_InvalidBarcodeLeadThru,"Zoberte tovar, stlačte ""Schváliť"" a pokračujte v transakcii."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Choďte k pokladni pre schválenie
DisableRapApprovalText, Zrušiť schválenie RAP
DisableHHRapApprovalText, Zrušiť schválenie ručného RAP
UpdateItemButtonText,Aktualizujte tovar
SuspendConfirmationTitle,Potvrdenie pozastavenia
DoNotApproveButtonText,Neschváliť
SmVoidAndRemoveItemLeadthru,Vyberte zrušený tovar z baliaceho priestoru.
RestrictedItemsNotApprovedTitle,Limitovaný tovar – neschválený
HH_AssistAtLaneLeadthru,Choďte k pokladni zrušiť tovar.
XM_Acceptor,Prijímač
XM_CashStatus,Stav hotovosti
XM_CashStatusLeadthru,Zvoľte požadovanú funkciu.
XM_CoinAcceptor,Prijímač mincí
XM_CoinOverflow,Nadbytok mincí
XM_CoinOverflowText,Nadbytok
XM_CoinRecycler,Recyklátor mincí
XM_Coins,Mince
XM_NoteOverflow,Nadbytok bankoviek
XM_NoteOverflowText,Nadbytok
XM_NoteRecycler,Recyklátor bankoviek
XM_Notes,Bankovky
XM_PurgeOperationText,Vyprázdňovanie:
XM_TerminalNumber,Číslo terminálu
XM_TotalCount,Celkový počet:
XM_TotalValue,Celková hodnota:
XM_CoinsSubtotal,Medzisúčet mince:
XM_NotesSubtotal,Medzisúčet bankovky:
XM_GrandTotal,Celkový súčet:
XM_PurgeInstruction, Odmietnutie: Zistené odmietnuté bankovky. Choďte k pokladni a skontrolujte zariadenie.
XM_RAP_NegativeAlert,Zistený záporný počet. Choďte k pokladni a skontrolujte zariadenie.
XM_AreYouSure,Naozaj chcete vykonať akcie uvedené nižšie?
XM_Attendant,Obsluha
XM_Backspace,Backspace
XM_BillAcceptor,Prijímač bankoviek
XM_BillDispenser,Vydávač bankoviek
XM_Bins,Zásobníky
XM_BothDispenseFailure,Nepodarilo sa vydať %s.\nMálo hotovosti alebo chyba vydávača.
XM_CancelChanges,Zrušiť zmeny
XM_CannotCompleteTransfer,Presun sa nedá dokončiť. V príručnej\npokladnici nie je dosť miesta.\nPred touto operáciou vyprázdnite príručnú pokladnicu.
XM_CashManagement,Správa hotovosti
XM_CashManagementReport,Zostava správy hotovosti
XM_CashRemove,Vybrať hotov.
XM_CashRemoveLeadthru,Zvoľte požadovanú funkciu.
XM_CashReplenishLeadthru,Zvoľte požadovanú funkciu.
XM_CashReplenishLeadthru1,Vložte mince alebo zvoľte požadovanú funkciu
XM_CashReplenishLeadthru2,Vložte bankovky alebo zvoľte požadovanú funkciu
XM_CashReplenishLeadthru3,"Po skončení stlačte ""Ukončiť"""
XM_CashReplenishment,Vložiť hotovosť
XM_ChangeInCount,Počet mincí
XM_ChangeInValue,Hodnota mincí
XM_Clear,Vymazať
XM_ClearPrompt1,"Po skončení zvoľte inú funkciu alebo stlačte ""Ukončiť""."
XM_ClearPrompt2,"Zvoľte inú funkciu alebo stlačte tlačidlo ""Ukončiť""."
XM_CoinAcceptorOffline,Prijímač neodpovedá.\n\nVypnite a reštartujte terminál.
XM_CoinDispenseFailure,Nepodarilo sa vydať %s.\nMálo mincí alebo chyba vydávača.
XM_CoinDispenser,Vydávač mincí
XM_CoinManagement,Správa mincí
XM_ConfirmAction,Potvrdiť činnosti
XM_ConfirmCoinDispense,* Vydať mince\nSuma na vydanie: %s\nPočet na vydanie: %d
XM_ConfirmEmptyCoinAcceptor,* Vynulovať stav (počty) prijímača mincí\nSuma na vybratie:%s
XM_ConfirmEmptyCoinOverflow,* Vynulovať počty nadbytočných mincí\nSuma na vybratie: %s
XM_ConfirmEmptyNoteAcceptor,* Vynulovať stav (počty) prijímača bankoviek\nSuma na vybratie:%s
XM_ConfirmEmptyNoteOverflow,* Vynulovať stav (počty) príručnej pokladnice\nSuma na vybratie:%s
XM_ConfirmFillLoaderCassette,Nastaviť počet bankoviek %s (%d)
XM_ConfirmManualCoinEmpty,* Vynulovať počty mincí\nSuma na vybratie:%s\nPočet na vybratie: %d
XM_ConfirmManualCoinFill,* Nastaviť počty mincí\nNová suma: %s\nNový počet: %d
XM_ConfirmManualNoteEmpty,* Vynulovať počty bankoviek\nSuma na vybratie: %s\nPočet na vybratie: %d
XM_ConfirmManualNoteFill,* Nastaviť počty bankoviek\nNová suma: %s\nNový počet: %d
XM_ConfirmNoteDispense,* Vydať bankovky\nSuma na vydanie: %s\nPočet na vydanie: %d
XM_ConfirmTransferNotesToOverflow,* Vložiť bankovky do príručnej pokladnice\nSuma na vloženie: %s\nPočet na vloženie: %d
XM_Count,Počet
XM_DispenseCupFull,"Výdajná miska na mince je plná. Odstráňte mince, aby sa dal dokončiť výdaj."
XM_DispenseCupFullPreemptive,"Zoberte si mince\nAk je výdajná miska na mince plná, ihneď ju vyprázdnite. Výdaj sa až do vyprázdnenia misky pozastaví."
XM_DispenseSensorBlock,Výdajná miska na mince je plná alebo je snímač pokazený. Vyberte mince alebo zavolajte servis.
XM_DispenseText,Vydať
XM_DispenseThreshold,Zadané číslo prekračuje počet dostupný na výdaj. Bol zadaný maximálny počet: %d
XM_Empty,Prázdne
XM_EmptyCashAcceptorLT,Vyberte bankovky z prijímača bankoviek
XM_EmptyCashBoxLT,Vyberte bankovky z príručnej pokladnice
XM_EmptyCoinAcceptor,Resetujte prijímač mincí
XM_EmptyCoinAcceptorLT,Vyberte mince z prijímača mincí
XM_EmptyCoinHopperLT,Vyberte mince zo zariadenia.
XM_EmptyCoinOverflow,Resetujte nadbytok mincí
XM_EmptyCoinOverflowLT,Vyberte mince zo zásobníka nadbytočných mincí
XM_EmptyLoaderCassetteLT,Vyberte bankovky z kazety vkladača
XM_EmptyNoteAcceptor,Resetujte prijímač bankoviek
XM_EmptyNoteCassetteLT,Vyberte bankovky z kaziet na bankovky
XM_EmptyNoteOverflow,Resetujte prír. pokl.
XM_Enter,Enter
XM_ExceededAmount,Hodnota prekračuje kapacitu. Maximálna hodnota je %s.
XM_ExceededCapacity,Počet prekračuje kapacitu. Maximálny počet je %d. Počet %d bol automaticky zadaný.
XM_Execute,Použiť zmeny
XM_Exit,Ukončiť
XM_FastLaneReport,Zostava systému NCR SelfServ Checkout
XM_FillLoaderCassette,Nastavte počet bankoviek
XM_GoBack,Späť
XM_ID,Kód pokladníka
XM_IDPrompt,"Zadajte kód a stlačte tlačidlo ""Enter""."
XM_InvalidAmount,Hodnota zadaná pre %s nie je platná.\nZadajte znova.
XM_KeyPadEnterCoinAmount,Na klávesnici zadajte sumu %s mincí.
XM_KeyPadEnterCoinCount,Na klávesnici zadajte počet %s mincí.
XM_KeyPadEnterNoteAmount,Na klávesnici zadajte sumu %s bankoviek.
XM_KeyPadEnterNoteCount,Na klávesnici zadajte počet %s bankoviek.
XM_KeyPadInstr,Zadajte počet na klávesnici
XM_ManualBothFillAlert,Otvorte dvierka na pokladni a vložte bankovky do kaziet a mince do násypiek. Nedávajte ich do prijímačov.
XM_ManualBothRecyclerFillAlert,Otvorte dvierka na pokladni a vložte bankovky do vkladača a mince do násypiek. Nedávajte peniaze do prijímačov.
XM_ManualCoinDispenserEmpty,Resetujte počet mincí
XM_ManualCoinDispenserFill,Nastavte počet mincí
XM_ManualCoinFillAlert,Otvorte dvierka na pokladnici a vložte mince priamo do zariadenia. Nedávajte ich do prijímača mincí.
XM_ManualEmptyAlert,Vyberte všetku hotovosť zo zariadenia.  
XM_ManualFillAlert,اOtvorte dvierka na pokladni a vložte hotovosť priamo do zariadenia. Nedávajte peniaze do prijímačov.
XM_ManualNoteDispenserEmpty,Resetujte počet bankoviek
XM_ManualNoteDispenserFill,Nastavte počet bankoviek
XM_ManualNoteFillAlert,Otvorte dvierka na pokladni a vložte bankovky priamo do kazety (kaziet). Nedávajte ich do prijímača bankoviek.
XM_No,Nie
XM_NoteDispenseFailure,Nepodarilo sa vydať %s.\nMálo bankoviek alebo chyba vydávača.
XM_PW,Heslo pokladníka
XM_PWPrompt,"Zadajte heslo a stlačte tlačidlo ""Enter""."
XM_PendingText,Čaká sa na vybavenie
XM_PleaseWait,Spracúvanie...\n\nČakajte.
XM_Print,Vytlačiť stav hotovosti
XM_PurgeCoinRecycler,Vyprázdnite recyklátor mincí
XM_PurgeNoteRecycler,Vyprázdnite recyklátor bankoviek
XM_ReEnter,Nesprávne číslo a heslo pokladníka.\nSkúste znova
XM_ResetCoinsToBaseLevel,Vydať mince po zákl. úroveň
XM_ResetNotesToBaseLevel,Presun. bank. po zákl. úroveň
XM_SelectFunc1,Zvoľte funkciu systému
XM_SelectFunc2,Zvoľte požadovanú funkciu.
XM_StoreNumber,Číslo predajne:
XM_TransferAllNotes,Presunúť všetky bank.
XM_TransferNotesToOverflow,Presunúť bankovky do zásobníka nadbytočných bankoviek
XM_Update,Aktualizovať
XM_Yes,Áno
XM_SequenceNumber,Poradové číslo
XM_CardManagement,Správa kariet
XM_TotalCoinsInserted,Spolu vložených
XM_TotalNotesInserted,Spolu vložených
XM_Value,Hodnota
XM_TransferXCount,Vložiť počet (x)
XM_TransferXAmount,Vložiť sumu (x)
XM_TransfertoCashBoxLeadThruText,"Ak chcete vložiť %s bankoviek do príručnej pokladnice, stlačte ""Použiť zmeny"". Ak chcete odvolať všetky čakajúce zmeny, stlačte ""Zrušiť zmeny""."
XM_LockScreen,Zamknúť obrazovku
XM_SystemBusy,Systém je zaneprázdnený... Čakajte
XM_AreYouSure_LockScreen,"Naozaj chcete zamknúť obrazovku?\nObrazovka sa nedá odomknúť, kým zariadenia nedokončia svoje úlohy."
XM_DispenseFullPreemptive,"Zoberte si bankovky a mince\nBankovky sa vydávajú vo zväzkoch po 15. Výdaj sa pozastaví až do prevzatia všetkých bankoviek. Ak je výdajná miska na mince plná, ihneď ju vyprázdnite. Výdaj sa až do vyprázdnenia misky pozastaví."
XM_DispenseNoteFullPreemptive,Zoberte si bankovky\nBankovky sa vydávajú vo zväzkoch po 15. Výdaj sa pozastaví až do prevzatia všetkých bankoviek.
XM_ManualNoteRecyclerFillAlert,Otvorte dvierka na pokladni a vložte bankovky priamo do vkladača. Nedávajte ich do prijímača bankoviek.
XM_PickUpAutoAmount,Vybrať autom. sumu
XM_PickUpXAmount,Vybrať (x)
XM_MenuDispenseFunctions, Funkcie výdaja
XM_MenuResetFunctions, Funkcie nulovania
XM_MenuCashBoxTransfer,Vklady do príručnej pokladnice
XM_MenuPickUpFunctions,Funkcie vyberania
XM_LeadThruCashBoxTransfer,"Zvoľte požadovanú funkciu vkladania.\nPo dokončení stlačte ""Použiť zmeny""."
XM_LeadThruResetFunction,"Zvoľte požadovanú funkciu nulovania.\nPo dokončení stlačte ""Použiť zmeny""."
XM_LeadThruDispenseFunction,"Stlačte hodnotu a zadajte sumu\nalebo stlačte ""Vydať mince po základnú úroveň""."
XM_LeadThruPickUpFunction,"Zvoľte požadovanú funkciu vyberania.\n Po dokončení stlačte ""Použiť zmeny""."
XM_PurgeInstructionRecycler," Odmietnutie: Zistené odmietnuté bankovky. Vyberte odmietnuté bankovky z príručnej pokladnice. Vynulujte varovanie stlačením ""Vložiť všetky bankovky"" a potom ""Resetovať príručnú pokladnicu""."
XM_PurgeInstructionNonRecycler,"Odmietnutie: Zistené odmietnuté bankovky. Vyberte odmietnuté bankovky zo zásobníka na odmietnuté peniaze. Vynulujte varovanie stlačením ""Resetovať počty bankoviek""."
XM_ReplenishInstruction,"Vložte hotovosť alebo zvoľte hodnotu a zadajte sumu alebo zadajte počty.\nPo skončení stlačte ""Použiť zmeny""."
XM_KeyPadEnterPickUpAmount,Na klávesnici zadajte sumu na vybratie.
XM_InvalidPickUpAmount,"Zadaná hodnota je vyššia než dostupná suma, ktorú možno vložiť alebo vybrať."
XM_InvalidStartingBank,"Nastavená počiatočná suma je vyššia než dostupná suma, ktorú možno vložiť alebo vybrať."
XM_CalculatedPickUpAmount,Vypočítaná suma na vybratie je %s.
XM_UnableToPickUp,Nedá sa vybrať.
XM_CoinAllowedDispenseExceeded,Pokus o vydanie %d mincí. Maximum mincí povolených na vydanie je %d.
XM_InvalidPickUpAmount2,Suma v príručnej pokladnici a nadbytočných mincí je vyššia než suma na vybratie.
XM_NegativeAlert,"Zistený záporný počet. Možné príčiny: chyba pri zadávaní alebo boli bankovky vložené do kazety vkladača, ale ich počty neboli zadané do správy hotovosti.\n\nVyriešte to nižšie uvedeným postupom:\n1. Zvoľte Vložiť hotovosť. \n2. Stlačte sumu so záporným číslom. \n3. Zadajte presnú eurovú hodnotu záporného čísla alebo sumu vloženú vo vkladači. \n4. Zvoľte Použiť zmeny. \n5. Potvrďte zvolením Áno a potom stlačte Ukončiť."
XM_AddCashLeadthru1,"Vložte mince alebo stlačte valec a zadajte sumu, alebo nastavte počty."
XM_AddCashLeadthru2,"Vložte hotovosť alebo stlačte valec a zadajte sumu, alebo nastavte počty."
XM_AddCashLeadthru3,Stlačte valec a zadajte sumu alebo nastavte počty.
XM_CoinHopperEmpty,"Zásobníky násypiek mincí musia byť prázdne, aby sa dali počty mincí vynulovať. Vyprázdnite každý zásobník násypky mincí pred stlačením ""Použiť zmeny"""
XM_CollectRemainingCoins,Po skončení vydávania vyberte mince z vydávača mincí.
XM_FPIDPrompt,"Zadajte kód užív. a stlačte ""Enter"" alebo položte prst na čítačku odtlačkov a prihláste sa."
XM_LoanFailure,Vklad sa nepodaril
XM_LoanFailureLeadthru,Vklad bol odmietnutý. Zvoľte požadovanú funkciu.
XM_UndoLoan,Vrátiť vklad
XM_CommitLoan,Povoliť vklad
XM_PickUpFailure,Chyba výberu
XM_PickUpFailureLeadthru,Výber bol odmietnutý. Zvoľte požadovanú funkciu.
XM_UndoPickUp,Vrátiť výber
XM_CommitPickUp,Vykonať výber
XM_ManualRemoveCashAlert,Vráťte (zrušte) vklad vybraním bankoviek z príručnej pokladnice a mincí zo zásobníka nadbytočných mincí.\n\nBankovky\nPočet na vybratie: %d\nSuma na vybratie: %s\n\nMince\nPočet na vybratie: %d\nSuma na vybratie: %s
XM_POSRejectedLoanPickUp,POS odmieta vklad/výber: %s / %d odmietnuté.\n
XM_LoanPickUpCashierOverrides,Povolenie pokladníka ID %s na vklad/výber: %s / %d povolené.\n\n
XM_PlaceJammedBill,Vyberte príručnú pokladnicu a vložte do nej všetky zaseknuté bankovky.
MinMaxFastLaneBtnPrimaryTxt,Minimalizovať SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Maximalizovať SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Ak chcete minimalizovať SelfServ Checkout pokladňu, stlačte tlačidlo ""Minimalizovať SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Ak chcete maximalizovať SelfServ Checkout, stlačte tlačidlo ""Maximalizovať SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Zastaviť SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Spustiť SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Prepnúť na RAP
ShutdownSystemBtnPrimaryTxt,Vypnúť celý systém
RebootSystemBtnPrimaryTxt,Reštartovať celý systém
VolumeBtnPrimaryTxt,Hlasitosť
EventViewerBtnPrimaryTxt,Prehliadač udalostí
GenerateLogBtnPrimaryTxt,Vytvoriť súbory diagnostických protokolov
ExitFastLaneAndRunProfileBtnPrimaryTxt,Zastaviť SelfServ Checkout a spustiť Správcu profilov
ExitFastLaneAndRunProfileBtnSecondaryTxt,Spustiť Správcu profilov
TerminalInfoBtnPrimaryTxt,Informácie o termináli
MinMaxRAPBtnPrimaryTxt,Minimalizovať RAP
MinMaxRAPBtnSecondaryTxt,Maximalizovať RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Ak chcete minimalizovať RAP, stlačte tlačidlo ""Minimalizovať RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Ak chcete maximalizovať RAP, stlačte tlačidlo ""Maximalizovať RAP""."
StopStartRAPButtonPrimaryTxt,Zastaviť RAP
StopStartRAPButtonSecondaryTxt,Spustiť RAP
RapConfigureBtnPrimaryTxt,Konfigurácia RAP
SwitchToFastLaneBtnPrimaryTxt,Prepnúť na SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Zastaviť RAP a spustiť Správcu profilov
ExitRAPAndRunProfileBtnSecondaryTxt,Spustiť Správcu profilov
UtilityFunctionsTitle,Nástroje systému\nNCR SelfServ Checkout
StartTitle,Spustenie systému
SystemStartup,Systém sa spúšťa... čakajte
TerminalID,Kód terminálu: 
InterfaceVersion,Verzia softvéru: 
TrainingProgramPrimaryTxt,Školiaci program
LaunchPadNet_OperatorIDText,Kód obsluhy: 
KeySwitchOperatorID,Zámka
LaunchPadNet_SignOnButtonText,Prihlásiť
LaunchPadNet_SignOffButtonText,Odhlásiť
SignedOffButtonText,Odhlásený
Exit,Ukončiť všetky
LaunchPadNet_ReturnToShoppingButtonText,Späť
PickListEditor,Editor zoznamu tovaru
RunADDTxt,Pri ďalšom reštarte spustiť ADD
TouchWareTxt,Kalibrovať dotykovú obrazovku
DiagConfirm,Naozaj chcete vytvoriť súbory diagnostických protokolov?
ProfileManagerFLConfirm,Naozaj chcete zastaviť SelfServ Checkout a spustiť Správcu profilov?
ProfileManagerRAPConfirm,Naozaj chcete zastaviť RAP a spustiť Správcu profilov?
ProfileManagerConfirm,Naozaj chcete spustiť Správcu profilov?
EventViewerConfirm,Naozaj chcete spustiť Prehliadač udalostí?
TrainingConfirm,Naozaj chcete spustiť Školiaci program?
PicklistConfirm,Naozaj chcete spustiť Editor zoznamu tovaru?
RunADDConfirm,Naozaj chcete pri ďalšom reštarte spustiť Automatické zisťovanie zariadení?
CalibrateConfirm,Naozaj chcete kalibrovať dotykovú obrazovku?
ShutdownConfirm,Naozaj chcete vypnúť celý systém?
RebootConfirm,Naozaj chcete reštartovať celý systém?
CloseAllConfirm,Naozaj chcete ukončiť všetky aplikácie a zobraziť pracovnú plochu?
VolumeConfirm,Naozaj chcete nastaviť hlasitosť?
TerminalInfoConfirm,Naozaj si chcete pozrieť informácie o termináli?
StopFastLaneConfirm,Naozaj chcete zastaviť SelfServ Checkout?
StopRAPConfirm,Naozaj chcete zastaviť RAP?
StartFastLaneConfirm,Naozaj chcete spustiť SelfServ Checkout?
StartRAPConfirm,Naozaj chcete spustiť RAP?
WindowsLogOnTxt,Prihlásenie do Windows
WindowsLogOnConfirm,Naozaj chcete ukončiť všetky aplikácie a prihlásiť sa ako nový užívateľ?
YesText,Áno
NoText,Nie
CommandPromptPrimaryTxt,Príkazový riadok
CommandPromptConfirm,Naozaj chcete spustiť Príkazový riadok?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Naozaj chcete spustiť aplikáciu Retail Systems Manager LE?
OperatorRegistrationUtility,Nástroj na registráciu obsluhy
LaunchPadNet_EnterIDFpLeadthru,Zadajte prihlasovacie meno na klávesnici dolu alebo použite na prihlásenie biometrické zariadenie.
LaunchPadNet_ReEnterIDFpLeadthru,Neplatné prihlásenie. Znova sa prihláste na klávesnici alebo odtlačkom prsta.
LaunchPadNet_ClearButtonText,Vymazať
LaunchPadNet_EnterButtonText,Enter
LaunchPadNet_GoBackButtonText,Späť
LaunchPadNet_SpaceButtonText,Medzerník
LaunchPadNet_BackSpaceButtonText,Backspace
LaunchPadNet_EnterIDLeadthru,Zadajte prihlasovacie meno na klávesnici dolu:
ReEnterIDLeadthru,Nesprávne meno alebo heslo. Znova zadajte na klávesnici dolu.
LaunchPadNet_EnterPasswordLeadthru,Zadajte heslo na klávesnici dolu:
CancelButtonText,Zrušiť
LaunchPadNet_LoggingInLeadthru,Prihlasovanie... Čakajte
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Odhlásený
LaunchPadNet_ReEnterIDLeadthru,Nesprávne meno alebo heslo. Znova zadajte na klávesnici dolu.
LegalCaptionText,"PRÁVNA KLAUZULA\nTento systém smú používať len oprávnené osoby. Po prihlásení sa do tohto systému podliehate podmienkam všetkých bezpečnostných noriem a stratégií týkajúcich sa informácií. Používanie neoprávnenými osobami alebo na neoprávnené účely je porušením federálnych alebo štátnych zákonov. Spoločnosť si vyhradzuje právo podniknúť všetky potrebné kroky na ochranu oprávnených užívateľov, duševného vlastníctva a iných informačných aktív. Všetky osoby používajúce tento systém sa vystavujú monitorovaniu všetkých svojich činností v systéme. Každý, kto používa tento systém, výslovne súhlasí s týmto monitorovaním a je si vedomý toho, že ak sa týmto monitorovaním zistia možné dôkazy o trestnej činnosti, obsluha systému môže tieto dôkazy poskytnúť vyšetrovateľom trestnej činnosti."
SignBelow,Podpíšte sa dolu.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CassetteMissing,Kazeta s bankovkami nie je v jednotke.\nVložte kazetu s bankovkami späť do jednotky.
XM_Cassette,Kazeta
XM_CollectFailure,The collect operation resulted in failure.
XM_TotalRemovedText,Vybrané spolu: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalAddedText,Pridané spolu: %s
XM_OperatorID,Kód obsluhy %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNotes\nCount to remove: %d\nAmount to remove: %s
XM_LeadThruGloryFunction,Stlačte hodnotu a zadajte sumu\nalebo stlačte „Zobrať“.
XM_InitializeError,"Systém zistil chybu, ktorú treba opraviť."
XM_GrandTotalText,Celkový súčet: %s
XM_EmptyCassetteAndRejectBin, Vyberte bankovky z kaziet na bankovky a zásobníka na odmietnuté peniaze.
XM_Collect,Collect
XM_CashUnbalance,Nezhoda sa prejavila v recyklátore.
XM_GloryDispenseNoteFullPreemptive,Zoberte si bankovky\nBankovky sa vydávajú vo zväzkoch po 10. Výdaj sa pozastaví až do prevzatia všetkých bankoviek.
XM_GloryDispenseFullPreemptive,"Zoberte si bankovky a mince\nBankovky sa vydávajú vo zväzkoch po 10. Výdaj sa pozastaví až do prevzatia všetkých bankoviek. Ak je výdajná miska na mince plná, ihneď ju vyprázdnite. Výdaj sa až do vyprázdnenia misky pozastaví."
XM_GloryDispenseCupFullPreemptive,"Zoberte si mince\nAk je výdajná miska na mince plná, ihneď ju vyprázdnite.  Výdaj sa až do vyprázdnenia misky pozastaví."
XM_NegativeAlert_Remove,"Zistený záporný počet. Možné príčiny: chyba pri zadávaní alebo boli bankovky vložené do kazety vkladača, ale ich počty neboli zadané do správy hotovosti.\n\nVyriešte to nižšie uvedeným postupom:\n1. Zvoľte „Ukončiť“ a potom zvoľte „Vložiť hotovosť“.\n2. Stlačte sumu so záporným číslom.\n3. Zadajte presnú eurovú hodnotu záporného čísla alebo sumu vloženú vo vkladači.\n4. Zvoľte „Použiť zmeny“.\n5. Potvrďte zvolením „Áno“ a potom stlačte „Ukončiť“."
PageIndicatorLabelFormat,Strana {0} z {1}
DueCart,Zaplatiť
XM_ProcessingCashTextV6HW,•   Vložte mince do prijímača mincí.\n•   Vložte bankovky do prijímača bankoviek.\n
XM_CoinHoppersV6HW,Násypky mincí
XM_CoinBoxV6HW,Pokladnica na mince - %d - %s
XM_ConfirmTransferNotesToBaseLevelV6HW,Presunúť bankovky do pokladnice na bankovky\n\nSuma na presun: %s\nPočet na presun: %d\n\nProces presunu môže trvať niekoľko minút.
XM_ConfirmTransferAllNotesV6HW,Presunúť všetky bankovky do pokladnice na bankovky\n\nSuma na presun: %s\nPočet na presun: %d\n\nProces presunu môže trvať niekoľko minút.
XM_ResetCoinsAllCoinsV6HW,Vydajte všetky mince
XM_ResetCoinHopperCountsV6HW,Vynulovať počty mincí v násypke
XM_ResetNoteBoxCountsV6HW,Vynulovať\npočet v pokl.\nna bankovky
XM_MenuNoteBoxTransferV6HW,Presuny v pokladnici na bankovky
XM_AddCashLeadthruV6HW,"•   Vložte mince do prijímača mincí.\n•   Vložte bankovky do prijímača bankoviek.\n•   Stlačte „Zapnúť doplňovací žľab mincí“, ak chcete dať\n     mince do doplňovacieho žľabu.\n•   Stlačte „Nastaviť vkladač“, ak chcete vložiť bankovky\n     do vkladača."
XM_FinishedAddingCashV6HW,"Keď skončíte dopĺňanie hotovosti, stlačte „OK“."
XM_OKV6HW,OK
XM_SetupLoaderV6HW,Nastaviť vkladač
XM_SetupLoaderLeadthruV6HW,•   Zadajte sumu/počet predvolenej hodnoty „%s“ pre\n     vkladač a stlačte „OK“.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_NoteLoaderV6HW,Vkladač bankoviek
XM_EnableCoinInputBowlV6HW,Zapnúť vstupnú misku na mince
XM_EnableCoinRefillChuteV6HW,Zapnúť doplňovací žľab mincí
XM_EnableCoinAcceptorV6HW,Zapnúť prijímač mincí
XM_TopOffCashPrintStatusV6HW,Hotovosť cez dvierka alebo stav tlače
XM_TransferOperationPreemptiveV6HW,"Prebieha presun bankoviek... čakajte.\n\nNEVYBERAJTE POKLADNICU NA BANKOVKY ani   \niné zariadenia, kým operácia neskončí"
XM_TransferOperationInstructionV6HW,Presun skončený.\nVyberte všetky bankovky z pokladnice na bankovky a\n resetujte ju.
XM_PendingDispenseV6HW,Čakajúci výdaj %d - %s
XM_PendingTransferV6HW,Čakajúci presun %d - %s
XM_PendingResetV6HW,Čakajúce resetovanie %d - %s
XM_ConfirmResetNoteBoxV6HW,Resetujte počet a hodnotu bankoviek\n\nSuma na resetovanie: %s\nPočet na resetovanie: %d\n\nSuma po resetovaní pokladnice na bankovky: 0 €\nPočet po resetovaní pokladnice na bankovky: 0
XM_PendingCashRemoveV6HW,"Otvorte bezpečnostné dvierka, vyberte pokladnicu na\nbankovky a všetky bankovky.\nVymeňte prázdnu pokladnicu na bankovky.\nPo skončení stlačte „OK“."
XM_LeadThruResetNoteBoxFunctionV6HW,Funkcie nulovania\n•   Vynulujte počet v pokladnici na bankovky.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_AllV6HW,Všetko
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,Presuny v pokladnici na bankovky\n•   Na presun bankoviek stlačte „Použiť zmeny“.\n•   Na zrušenie stlačte „Zrušiť zmeny“.
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Prebieha vkladanie... čakajte.
XM_SetupLoaderAlertConfirmationV6HW,"Nastaviť vkladač\n\nOverte, či má vkladač správne hodnoty a či je vložený, \npotom stlačením „OK“ vložte bankovky."
