AmountSaved,Sutaupyta suma
HH_ScaleBrokenLeadthru,"Nuimkite prekę nuo svarstyklių ir paspauskite nulinės vertės nustatymo mygtuką (""Scale Zero"") ant skenerio."
HH_UpdateNotAllowedLeadthru,Pakeisti kiekį neleidžiama.
HH_AM_RestrictedNotAllowedLeadthru,Apribota prekė panaikinta – amžius neatitinka apribojimo. Atidėkite prekę į šalį.
HH_OutOfSyncNeedAssistLeadthru,"POS sinchronizacija nutrūko. Kad vėl sinchronizuotumėte, pereikite į pagalbos režimą."
HH_OutOfSyncStopLeadthru,POS serverio sinchronizacija nutrūko. Išjunkite įrenginį jungikliu.
HH_MultiPackItemLeadthru,"Jei tai sudėtinė pakuotė, palieskite ""Pagalbos režimas"" ir panaikinkite ją, o tada nuskenuokite sudėtinės pakuotės brūkšninį kodą."
HH_ReturnToShoppingButtonText,Grįžti
DoneButtonText,Atlikta
ConfirmSuspendFromLaneStatusLeadthruText,Patvirtinkite arba panaikinkite laikiną sustabdymą.
HH_SuspendTransactionButtonText,Laikinai sustabdyti oper.
HH_TransactionCancelTitle,Operacijos panaikinimas
HH_TransactionCancelLeadThru,Operacija panaikinta. Nuimkite prekes iš pakavimo vietos.
ShiftButtonText,Shift
FixLaterButtonText,Ištaisyti vėliau
HopperLaneButtonText,Monetų pakeitimas
HopperLeadThru,"%sNorėdami tęsti, nueikite prie kasos takelio ir pripildykite monetų, pašalinkite kamštį arba palieskite ""Ištaisyti vėliau""."
TransactionCountText,Kiekis:
SecurityDisableText,Apsauga išjungta
SecurityDisableButtonOn,Įjungti
SecurityDisableButtonOff,Išjungti
SecurityDisableStatusTextOn,Pakavimo apsauga įjungta
SecurityDisableStatusTextOff,Pakavimo apsauga išjungta
SuspendDeclinedLaneButtonText,Laikinas sustabdymas atmestas
ConfirmSuspendDeclinedLeadthru,Patvirtinkite arba atšaukite laikino sustabdymo atmetimą.
ConfirmSuspendDeclinedButtonText,Patvirtinti atmetimą
CancelSuspendDeclinedButtonText,Grįžti atgal
TMTransLeadthru,"Įjungtas takelio mokymosi režimas, tęsti operaciją?"
HH_TMTransLeadthru,"Įjungtas takelio mokymosi režimas,\ntęsti operaciją?"
TMTransLaneButtonText,Mokym. operacija
DateFormat1,(mmddMMMM)
DateFormat2,(mmddMM)
DateFormat3,(ddmmMMMM)
DateFormat4,(ddmmMM)
DateFormat5,(MMMMmmdd)
DateFormat6,(MMmmdd)
GoBackCouponButtonText,Grįžti atgal
ApproveCouponButtonText,Patvirtinti kuponą
CouponExceededLimitLeadthru,"Palieskite ""Patvirtinti kuponą"", kad patvirtintumėte kuponą, arba pereikite į pagalbos teikimo režimą, kad jį anuliuotumėte."
CouponExceededLimitFinalizationLeadthru,"Operacija buvo užbaigta naudojant kuponą, kuris viršija parduotuvės kuponų ribą."
ClearSecurityFinalizationButtonText,Apsaugos išjungimas
ExpandReceiptButtonText,Išskleisti kvitą
CollapseReceiptButtonText,Suskleisti kvitą
InvalidBarcodeLeadThru,"Paimkite prekę takelyje ir palieskite ""Patvirtinti"", kad tęstumėte operaciją."
InvalidBarcodeLaneButtonText,Tikrinti prekę
HH_InvalidBarcodeLeadThru,"Paimkite prekę, palieskite ""Patvirtinti"", kad tęstumėte operaciją."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru," Nueikite prie kasos takelio, kad patvirtintumėte"
DisableRapApprovalText,  Išjungti NPP patvirtinimą
DisableHHRapApprovalText, Išjungti RNPP patvirtinimą
UpdateItemButtonText,Atnaujinti prekę
SuspendConfirmationTitle,Laikino sustabdymo patvirtinimas
DoNotApproveButtonText,Nepatvirtinti
SmVoidAndRemoveItemLeadthru,Pašalinkite anuliuotą prekę iš pakavimo zonos.
RestrictedItemsNotApprovedTitle,Ribojamos prekės – nepatvirtinta
HH_AssistAtLaneLeadthru,"Nueikite prie kasos takelio, kad anuliuotumėte prekes."
XM_Acceptor,Priėm.įtais
XM_CashStatus,Grynųjų būklė
XM_CashStatusLeadthru,Pasirinkite reikiamą funkciją.
XM_CoinAcceptor,Monetų priėmimo įtaisas
XM_CoinOverflow,Monetų perteklius
XM_CoinOverflowText,Perteklius
XM_CoinRecycler,Monetų grąžinimo į apyvartą įtaisas
XM_Coins,Monetos
XM_NoteOverflow,Banknotų perteklius
XM_NoteOverflowText,Grynųjų
XM_NoteRecycler,Banknotų grąžinimo į apyvartą įtaisas
XM_Notes,Banknotai
XM_PurgeOperationText,Valymo operacijos
XM_TerminalNumber,Įrenginio Nr.
XM_TotalCount,Kiekis iš viso:
XM_TotalValue,Vertė iš viso:
XM_CoinsSubtotal,Monetų tarp.suma:
XM_NotesSubtotal,Bankn.tarp.suma:
XM_GrandTotal,Galutinė suma:
XM_PurgeInstruction,Išvalymo operacijos: aptikta atmestų banknotų. Nueikite prie kasos ir patikrinkite įtaisą.
XM_RAP_NegativeAlert,Negative number found. Nueikite prie kasos ir patikrinkite įtaisą.
XM_AreYouSure,Ar tikrai norite atlikti toliau surašytus veiksmus?
XM_Attendant,APatarnautojas
XM_Backspace,Grįžtis
XM_BillAcceptor,Banknotų priėmimo įtaisas
XM_BillDispenser,Banknotų išdavimo įtaisas
XM_Bins,Dėžės
XM_BothDispenseFailure,Nepavyko išduoti %s.\nLiko mažai grynųjų pinigų arba aptikta išdavimo įtaiso klaida.
XM_CancelChanges,Panaikinti  pakeitimus
XM_CannotCompleteTransfer,Nepavyko užbaigti perkėlimo.  Grynųjų \npinigų dėžėje nėra pakankamai vietos.  \nPrieš atliekant šį veiksmą prašome \ništuštinti grynųjų pinigų dėžę.
XM_CashManagement,Banknotų tvarkymas
XM_CashManagementReport,Grynųjų tvarkymo ataskaita
XM_CashRemove,Išimti grynųjų
XM_CashRemoveLeadthru,Pasirinkite reikiamą funkciją.
XM_CashReplenishLeadthru,Pasirinkite reikiamą funkciją.
XM_CashReplenishLeadthru1,Įdėkite monetų arba pasirinkite funkciją.
XM_CashReplenishLeadthru2,Įdėkite grynųjų arba pasirinkite funkciją.
XM_CashReplenishLeadthru3,"Pabaigę paspauskite ""Išeiti""."
XM_CashReplenishment,Pridėti grynųjų
XM_ChangeInCount,Kiekio pokytis
XM_ChangeInValue,Vertės pokytis
XM_Clear,Išvalyti
XM_ClearPrompt1,"Baigę pasirinkite kitą funkciją arba ""Išeiti""."
XM_ClearPrompt2,"Pasirinkite kitą funkciją arba ""Išeiti""."
XM_CoinAcceptorOffline,Priėmimo įtaisas nereaguoja.\n\nIšjunkite galinį įrenginį ir paleiskite jį iš naujo.
XM_CoinDispenseFailure,Nepavyko išduoti: %s.\nLiko mažai monetų arba monetų išdavimo įtaisas neveikia.
XM_CoinDispenser,Monetų išdavimo įtaisas
XM_CoinManagement,Monetų tvarkymas
XM_ConfirmAction,Patvirtinti veiksmus
XM_ConfirmCoinDispense,* Išduoti monetas\nIšduodama suma: %s\nIšduodamas skaičius: %d
XM_ConfirmEmptyCoinAcceptor,* Nustatyti nulinę monetų priėmimo įtaiso skaitiklių vertę\nIšimama suma:%s
XM_ConfirmEmptyCoinOverflow,* Atstatyti nulines monetų pertekliaus skaitiklių vertes\nIšimama suma:%s
XM_ConfirmEmptyNoteAcceptor,* Atstatyti nulines banknotų priėmimo įtaiso skaitiklių vertes\nIšimama suma:%s
XM_ConfirmEmptyNoteOverflow,* Atstatyti nulines grynųjų pinigų dėžės skaitiklių vertes\nIšimama suma:%s
XM_ConfirmFillLoaderCassette,* Nustatyti banknotų skaitiklius\nNauja suma: %s\nNaujas kiekis: %d
XM_ConfirmManualCoinEmpty,* Atstatyti nulines monetų skaitiklių vertes\nIšimama suma: %s\nIšimamas skaičius: %d
XM_ConfirmManualCoinFill,* Nustatyti monetų skaitiklius\nNauja suma: %s\nNaujas skaičius: %d
XM_ConfirmManualNoteEmpty,* Atstatyti nulines banknotų skaitiklių vertes\nIšimama suma: %s\nIšimamas skaičius: %d
XM_ConfirmManualNoteFill,* Nustatyti banknotų skaitiklius\nNauja suma: %s\nNaujas kiekis: %d
XM_ConfirmNoteDispense, * Išduoti banknotus\nIšduodama suma: %s\nIšduodamų banknotų skaičius: %d
XM_ConfirmTransferNotesToOverflow,* Perkelti banknotus į grynųjų pinigų dėžę\nPerkeliama suma: %s\nPerkeliamų banknotų skaičius: %d
XM_Count,Kiekis
XM_DispenseCupFull,"Monetų grąžinimo įtaisas pilnas.  Kad išdavimas būtų baigtas, prašome pašalinti monetas."
XM_DispenseCupFullPreemptive,"Paimkite monetas\nJei monetų grąžinimo įtaisas pilnas, nedelsdami ištuštinkite.  Išdavimas bus laikinai sustabdytas, kol dubuo bus ištuštintas."
XM_DispenseFullPreemptive,"Paimkite banknotus ir monetas\nBanknotai išduodami ryšuliukais po 15 vnt. Išdavimas bus laikinai sustabdytas, kol bus paimti visi banknotai. Jei monetų grąžinimo įtaisas pilnas, nedelsdami ištuštinkite. Išdavimas bus laikinai sustabdytas, kol indas bus ištuštintas."
XM_DispenseNoteFullPreemptive,"Paimkite banknotus ir monetas\nBanknotai išduodami ryšuliukais po 15 vnt. Išdavimas bus laikinai sustabdytas, kol bus paimti visi banknotai. Jei monetų grąžinimo įtaisas pilnas, nedelsdami ištuštinkite. Išdavimas bus laikinai sustabdytas, kol indas bus ištuštintas."
XM_DispenseSensorBlock,Monetų grąžinimo įtaisas gali būti pilnas arba sugedo jutiklis. Išimkite monetas arba kreipkitės dėl techninės priežiūros.
XM_DispenseText,Išduoti
XM_DispenseThreshold,"Įvestas skaičius viršija kiekį, kurį galima išduoti.\nĮvestas maksimalus kiekis: %d"
XM_Empty,Tuščia
XM_EmptyCashAcceptorLT,Išimkite banknotus iš grynųjų priėmimo įtaiso
XM_EmptyCashBoxLT,Išimkite banknotus iš grynųjų dėžės
XM_EmptyCoinAcceptor,Nustatyti monetų priėmimo įtaisą iš naujo
XM_EmptyCoinAcceptorLT,Išimkite monetas iš monetų priėmimo įtaiso
XM_EmptyCoinHopperLT,Išimkite iš įtaiso monetas.
XM_EmptyCoinOverflow,Atstatyti mon.pertekl.
XM_EmptyCoinOverflowLT,Išimkite monetas iš monetų dėžės
XM_EmptyLoaderCassetteLT,Išimkite banknotus iš banknotų kasečių ir valymo dėžės
XM_EmptyNoteAcceptor,Nustatyti bank-notų priėmimo įtais.iš naujo
XM_EmptyNoteCassetteLT,Išimkite banknotus iš banknotų kasečių
XM_EmptyNoteOverflow,Atstatyti gryn. dėžę
XM_Enter,Įvesti
XM_ExceededAmount,Suma viršija talpą. Maksimali reikiama talpa yra %s.
XM_ExceededCapacity,Kiekis viršija talpą. Didžiausias reikiamas įkrovimo kiekis yra %d.
XM_Execute,Pritaikyti  pakeitimus
XM_Exit,Išeiti
XM_FastLaneReport,NCR SelfServ Checkout ataskaita
XM_FillLoaderCassette,Nustatyti banknotų skaitiklius
XM_GoBack,Grįžti atgal
XM_ID,Kasininko ID
XM_IDPrompt,"Įveskite ID ir palieskite ""Įvesti""."
XM_InvalidAmount,Įvesta parametro %s vertė netinka.\nPrašome įvesti dar kartą.
XM_KeyPadEnterCoinAmount,Klaviatūra įveskite %s monetų sumą.
XM_KeyPadEnterCoinCount,Klaviatūra įveskite %s monetų skaičių.
XM_KeyPadEnterNoteAmount,Klaviatūra įveskite %s banknotų sumą.
XM_KeyPadEnterNoteCount,Klaviatūra įveskite %s banknotų skaičių.
XM_KeyPadInstr,Įvestį kiekį klaviatūra
XM_ManualBothFillAlert,"Atidarykite takelio dureles ir padėkite banknotus į kasetes, o monetas – į piltuvus. Nedėkite jų į priėmimo įtaisus."
XM_ManualBothRecyclerFillAlert,"Atidarykite kasos takelio dureles ir padėkite banknotus į įkrovimo įtaisą, o monetas – į piltuvus. Nedėkite jų į priėmimo įtaisus."
XM_ManualCoinDispenserEmpty,Atstatyti mon. skaitikl.
XM_ManualCoinDispenserFill,Nustatyti mon. skaitikl.
XM_ManualCoinFillAlert,Atidarykite kasos takelio dureles ir sudėkite monetas tiesiai į įtaisą. Nedėkite jų į monetų priėmimo įtaisą.
XM_ManualEmptyAlert,Išimkite visus grynuosius pinigus iš įtaiso.
XM_ManualFillAlert,Atidarykite kasos takelio dureles ir padėkite grynuosius tiesiai į įtaisą. Nepaduokite jų į priėmimo įtaisus.
XM_ManualNoteDispenserEmpty,Atstatyti ban. skaitikl.
XM_ManualNoteDispenserFill,Nustatyti banknotų skaitiklius
XM_ManualNoteFillAlert,Atidarykite takelio dureles ir padėkite banknotus tiesiai į kasetę. Nedėkite jų į banknotų priėmimo įtaisą.
XM_ManualNoteRecyclerFillAlert,Atidarykite kasos takelio dureles ir padėkite banknotus tiesiai į įkrovimo įtaisą. Nepaduokite jų į banknotų priėmimo įtaisą.
XM_No,Ne
XM_NoteDispenseFailure,Nepavyko išduoti %s.\nLiko mažai banknotų arba įvyko banknotų išdavimo įtaiso klaida.
XM_PW,Kasininko slaptažodis
XM_PWPrompt,"Įveskite slaptažodį ir palieskite ""Įvesti""."
XM_PendingText,Laukia
XM_PleaseWait,Apdorojama...\n\nPrašome palaukti.
XM_Print,Atspausdinti grynųjų būklės informaciją
XM_PurgeCoinRecycler,Išvalyti monetų grąžinimo į apyvartą įtaisą
XM_PurgeNoteRecycler,Išvalyti banknotų grąžinimo į apyvartą įtaisą
XM_ReEnter,Netinkamas kasininko numeris ir slaptažodis.\nPabandykite iš naujo
XM_ResetCoinsToBaseLevel,Išd. monetas  iki bazin. lygio
XM_ResetNotesToBaseLevel,Perkelti banknotus iki pagr. lygio
XM_SelectFunc1,Pasirinkti sistemos funkciją
XM_SelectFunc2,Pasirinkite reikiamą funkciją.
XM_StoreNumber,Parduotuvės Nr.:
XM_TransferAllNotes,Perkelti visus banknotus
XM_TransferNotesToOverflow,Perkelti \nbanknotus į \ngrynųjų pinigų dėžę
XM_Update,Atnaujinti
XM_Yes,Taip
XM_CardManagement,Kortelių tvarkymas
XM_SequenceNumber,Sekos numeris
XM_TotalCoinsInserted,Iš viso įdėta
XM_TotalNotesInserted,Iš viso įdėta
XM_Value,Vertė
XM_TransferXCount,Perkelti (x) kiekį
XM_TransferXAmount,Perkelti (x) sumą
XM_TransfertoCashBoxLeadThruText,"Norėdami perkelti %s banknotų į grynųjų pinigų dėžę palieskite ""Pritaikyti pakeitimus"". Norėdami anuliuoti visus laukiančius pakeitimus palieskite ""Atšaukti pakeitimus""."
XM_MenuDispenseFunctions,Išdavimo funkcijos
XM_MenuResetFunctions,Atstatymo funkcijos
XM_MenuCashBoxTransfer,Perkėlimai į grynųjų pinigų dėžę
XM_LeadThruCashBoxTransfer,"Pasirinkite norimą perkėlimo funkciją.\nBaigę paspauskite ""Pritaikyti pakeitimus""."
XM_LeadThruResetFunction,"Pasirinkite norimą atstatymo funkciją.\nBaigę palieskite ""Pritaikyti pakeitimus""."
XM_LeadThruDispenseFunction,"Palieskite nominalą ir įveskite sumą\narba palieskite ""Išduoti monetas iki bazinio lygio""."
XM_PurgeInstructionRecycler,"Išvalymo operacijos: aptikta atmestų banknotų.  Išimkite atmestus banknotus iš grynųjų pinigų dėžės.  Išjunkite įspėjamąjį pranešimą paliesdami ""Perkelti visus banknotus"", po to ""Nustatyti grynųjų pinigų dėžę iš naujo""."
XM_PurgeInstructionNonRecycler,"Išvalyti operacijas: aptikta atmestų banknotų.  Išimkite atmestus banknotus iš grynųjų valymo dėžės.  Išjunkite įspėjamąjį pranešimą paliesdami ""Atstatyti banknotų skaitiklius""."
XM_ReplenishInstruction,"Įdėkite grynųjų arba pasirinkite nominalą ir įveskite sumą arba nustatykite skaitiklius.\nBaigę paspauskite, ""Pritaikyti pakeitimus""."
XM_PickUpAutoAmount,Autom. sumos paėmimas
XM_PickUpXAmount,Paimama (x) suma
XM_MenuPickUpFunctions,Paėmimo funkcijos
XM_LeadThruPickUpFunction,"Pasirinkite norimą paėmimo funkciją.\nBaigę paspauskite ""Pritaikyti pakeitimus""."
XM_KeyPadEnterPickUpAmount,Įveskite paimamą sumą klaviatūra.
XM_InvalidPickUpAmount,Įvesta vertė yra didesnė už galimą perkelti ar išduoti sumą.
XM_InvalidStartingBank,Nustatyta pradinė suma yra didesnė už galimą perkelti ar išduoti sumą.
XM_CalculatedPickUpAmount,Apskaičiuota paimama suma yra %s.
XM_UnableToPickUp,Neįmanoma atlikti paėmimo.
XM_CoinAllowedDispenseExceeded,"Mėginama išduoti %d monetų. Didžiausias monetų, kurias galima išduoti, kiekis yra %d."
XM_InvalidPickUpAmount2,Suma grynųjų dėžutėje ir monetų perteklius yra didesni už paimamą sumą.
XM_LockScreen,Užrakinti ekraną
XM_SystemBusy,Sistema užimta... prašome palaukti
XM_AreYouSure_LockScreen,Ar tikrai norite užrakinti ekraną?\nEkrano negalima atrakinti kol visi įtaisai nebus baigę vykdyti užduočių.
XM_NegativeAlert,"Rastas neigiamas skaičius. Galimos priežastys: įvedimo klavišais klaida arba banknotai buvo įdėti į įkrovimo įtaiso kasetę, tačiau šių banknotų skaitiklių vertės nebuvo įvestos grynųjų tvarkymo lange.\n\nAtlikite šiuos veiksmus, kad išspręstumėte problemą:\n1. Pasirinkite „Pridėti grynųjų“. \n2. Palieskite nominalą, kurio vertė yra neigiama. \n3. Įveskite tikslią neigiamu skaičiumi nurodytą sumą litais ir (arba) į įkrovimo įtaisą įdėtą sumą \n4. Pasirinkite ""Pritaikyti pakeitimus“. \n5. Pasirinkite ""Taip“, kad patvirtintumėte, po to – ""Išeiti“."
XM_NegativeAlert_Remove,"Aptiktas neigiamas skaičius. Galimos priežastys: įvyko įvedimo klaida arba banknotai buvo įdėti į įkėliklio kasetę, bet šių banknotų skaičiai nebuvo įvesti grynųjų valdymo programoje.\n\nAtlikite toliau nurodytus veiksmus, kad išspręstumėte problemą:\n1. Pasirinkite „Išeiti“, paskui – „Pridėti grynųjų“.\n2. Palieskite nominalą su neigiamu skaičiumi.\n3. Įveskite neigiamo skaičiaus tikslią sumą doleriais ir (ar) į įkėliklį įdėtą sumą.\n4. Pasirinkite „Pritaikyti pakeitimus“.\n5. Pasirinkite „Taip“, kad patvirtintumėte, o paskui – „Išeiti“."
XM_AddCashLeadthru1,Įdėkite monetų arba palieskite cilindrą ir įveskite sumą arba nustatykite skaitiklius.
XM_AddCashLeadthru2,Įdėkite grynųjų arba palieskite cilindrą ir įveskite sumą arba nustatykite skaitiklius.
XM_AddCashLeadthru3,Palieskite cilindrą ir įveskite sumą arba nustatykite skaitiklius.
XM_CoinHopperEmpty,"Monetų piltuvo dėžės turi būti ištuštintos, kad būtų galima nustatyti nulinę visų monetų skaitiklių vertę. Prieš paspausdami ""Pritaikyti pakeitimus"" ištuštinkite visas monetų piltuvo dėžes."
XM_CollectRemainingCoins,"Išimkite monetas iš monetų grąžinimo įtaiso, kai išdavimas užbaigtas."
XM_FPIDPrompt,"Kad prisijungtumėte, įveskite savo naudotojo ID ir palieskite ""Įvesti"" arba uždėkite pirštą ant pirštų atspaudų skaitytuvo"
XM_LoanFailure,Įdėjimo klaida
XM_LoanFailureLeadthru,Įdėjimas buvo atšauktas. Pasirinkite norimą funkciją.
XM_UndoLoan,Atšaukti pinigų įdėjimą
XM_CommitLoan,Vykdyti pinigų įdėjimą
XM_PickUpFailure,Išėmimo klaida
XM_PickUpFailureLeadthru,Išėmimas buvo atšauktas. Pasirinkite norimą funkciją.
XM_UndoPickUp,Atšaukti pinigų išėmimą
XM_CommitPickUp,Vykdyti pinigų išėmimą
XM_ManualRemoveCashAlert,"Išimkite grynuosius pinigus iš grynųjų pinigų dėžės ir monetas iš monetų pertekliaus dėžės, kad atšauktumėte pinigų įdėjimą.\n\nNotes\nCount to remove: %d\nSuma, kurią reikia išimti: %s\n\nSkaičius\nmonetų, kurias reikia išimti: %d\nSuma, kurią reikia išimti: %s"
XM_POSRejectedLoanPickUp,POS atmetė pinigų įdėjimą/išėmimą:  %s / %d  atmesta.\n
XM_LoanPickUpCashierOverrides,"Kasininkas ID %s, pinigų įdėjimo / išėmimo nepaisoma: %s / %d  įvykdyta.\n\n"
XM_PlaceJammedBill,Išimkite grynųjų pinigų dėžutę ir sudėkite į vidų įstrigusius banknotus.
XM_GrandTotalText,Galutinė suma: %s
XM_TotalAddedText,Iš viso pridėta: %s
XM_TotalRemovedText,Iš viso išimta: %s
XM_TotalColectedText,Iš viso surinkta: %s
XM_ManualRemoveCashAlertGlory,"Išimkite grynuosius iš kasetės, kad anuliuotumėte paskolą.\n\nBanknotai\nPašalinamas skaičius: %d\nPašalinama suma: %s"
XM_CashUnbalance,Neatitikimo klaida atsirado priėmimo-išdavimo įtaise.
XM_Collect,Surinkti
XM_CollectFailure,Surinkimo operacija baigėsi triktimi.
XM_LeadThruGloryFunction,Palieskite nominalą ir įveskite sumą\narba palieskite „Surinkti“.
XM_CassetteMissing,Banknotų kasetės nėra įrenginyje.\nVėl įdėkite banknotų kasetę į įrenginį.
XM_EmptyCassetteAndRejectBin, Išimkite banknotus iš banknotų kasetės ir atliekų dėžės.
XM_OperatorID,Operatorius ID %s
XM_InitializeError,"Sistema susidūrė su klaidą, kuri turi būti ištaisyta."
XM_GloryDispenseCupFullPreemptive,"Paimkite monetas\nJei monetų grąžinimo skyrius pilnas, tučtuojau ištuštinkite.  Išdavimas bus pristabdytas, kol dubuo bus ištuštintas."
XM_GloryDispenseFullPreemptive,"Paimkite banknotus ir monetas\nBanknotai išduodami paketais po 10. Išdavimas bus pristabdytas, kol visi banknotai bus paimti. Jei monetų grąžinimo skyrius pilnas, tučtuojau ištuštinkite. Išdavimas bus pristabdytas, kol dubuo bus ištuštintas."
XM_GloryDispenseNoteFullPreemptive,"Paimkite banknotus\n\nBanknotai išduodami paketais po 10. Išdavimas bus pristabdytas, kol visi banknotai bus paimti."
MinMaxFastLaneBtnPrimaryTxt,Sumažinti SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Padidinti SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Jei norite sumažinti SelfServ Checkout, palieskite mygtuką ""Sumažinti SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Jei norite padidinti SelfServ Checkout, palieskite mygtuką ""Padidinti SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Sustabdyti SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Paleisti SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Perjungti į RAP
ShutdownSystemBtnPrimaryTxt,Išjungti visą sistemą
RebootSystemBtnPrimaryTxt,Perkrauti sistemą iš naujo
VolumeBtnPrimaryTxt,Garsumo reguliavimas
EventViewerBtnPrimaryTxt,Įvykių peržiūra
GenerateLogBtnPrimaryTxt,Generuoti diagnostikos failus
ExitFastLaneAndRunProfileBtnPrimaryTxt,Sustabdyti SelfServ Checkout ir paleisti profilių tvarkyklę
ExitFastLaneAndRunProfileBtnSecondaryTxt,Paleisti profilių tvarkyklę
TerminalInfoBtnPrimaryTxt,Įrenginio informacija
MinMaxRAPBtnPrimaryTxt,Minimize RAP
MinMaxRAPBtnSecondaryTxt,Padidinti RAP.
MinMaxRAPBtnPrimaryShowConfirmation,"Jei norite sumažinti RAP, palieskite mygtuką ""Sumažinti RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Jei norite padidinti RAP, palieskite mygtuką ""Padidinti RAP""."
StopStartRAPButtonPrimaryTxt,Sustabdyti RAP
StopStartRAPButtonSecondaryTxt,Paleisti RAP
RapConfigureBtnPrimaryTxt,RAP konfigūracija
SwitchToFastLaneBtnPrimaryTxt,Persijungti į SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Sustabdyti RAP ir paleisti profilių tvarkyklę
ExitRAPAndRunProfileBtnSecondaryTxt,Paleisti profilių tvarkyklę
UtilityFunctionsTitle,NCR SelfServ Checkout\nPagalbinės funkcijos
StartTitle,Sistemos paleidimas
SystemStartup,Sistema paleidžiama... prašome palaukti
TerminalID,Įrenginio ID:
InterfaceVersion,Programinės įrangos versija:
TrainingProgramPrimaryTxt,Mokymo programa
LaunchPadNet_OperatorIDText,Operatoriaus ID:
KeySwitchOperatorID,Klavišų užraktas
LaunchPadNet_SignOnButtonText,Įeiti į sistemą
LaunchPadNet_SignOffButtonText,Išeiti iš sistemos
SignedOffButtonText,Išėjęs iš sistemos
Exit,Išeiti iš visų
LaunchPadNet_ReturnToShoppingButtonText,Grįžti
PickListEditor,Prekių sąrašo redagavimo programa
RunADDTxt,Kitą Kartą Paleisdami iš Naujo įjunkite ADD
TouchWareTxt,Kalibruoti liečiamąjį ekraną
DiagConfirm,Ar tikrai norite generuoti diagnostikos failus?
ProfileManagerFLConfirm,Ar tikrai norite sustabdyti SelfServ Checkout ir paleisti profilių tvarkyklę?
ProfileManagerRAPConfirm,Ar tikrai norite sustabdyti RAP ir paleisti profilių tvarkyklę?
ProfileManagerConfirm,Ar tikrai norite paleisti profilių tvarkyklę?
EventViewerConfirm,Ar tikrai norite paleisti įvykių peržiūrą?
TrainingConfirm,Ar tikrai norite paleisti mokymo programą?
PicklistConfirm,Ar tikrai norite paleisti prekių sąrašo redagavimo programą?
RunADDConfirm,Ar tikrai norite paleisti ADD kitą kartą iš naujo įkraudami sistemą?
CalibrateConfirm,Ar tikrai norite paleisti kalibruoti liečiamąjį ekraną?
ShutdownConfirm,Ar tikrai norite išjungti visą sistemą?
RebootConfirm,Ar tikrai norite perkrauti visą sistemą?
CloseAllConfirm,Ar tikrai norite išeiti iš visų programų ir pereiti į darbalaukį?
VolumeConfirm,Ar tikrai norite reguliuoti garsą?
TerminalInfoConfirm,Ar tikrai norite pažiūrėti įrenginio informaciją?
StopFastLaneConfirm,Ar tikrai norite sustabdyti SelfServ Checkout?
StopRAPConfirm,Ar tikrai norite sustabdyti RAP?
StartFastLaneConfirm,Ar tikrai norite paleisti SelfServ Checkout?
StartRAPConfirm,Ar tikrai norite paleisti RAP?
WindowsLogOnTxt,Prisiregistruoti į Windows
WindowsLogOnConfirm,Ar tikrai norite išeiti iš visų programų ir prisiregistruoti kaip naujas naudotojas?
YesText,Taip
NoText,Ne
CommandPromptPrimaryTxt,Command Prompt
CommandPromptConfirm,Ar norite paleisti Command Prompt?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,"Ar tikrai norite paleisti profilių ""Retail Systems Manager LE""?"
OperatorRegistrationUtility,Operatoriaus registravimo pagalbinė funkcija
LaunchPadNet_EnterIDFpLeadthru,"Kad prisijungtumėte, įveskite savo naudotojo ID ir palieskite ""Įvesti"" arba uždėkite pirštą ant pirštų atspaudų skaitytuvo."
LaunchPadNet_ReEnterIDFpLeadthru,Neteisingi prisijungimo duomenys. Naudodami klaviatūrą arba pirštų atspaudų skaitytuvą pamėginkite prisijungti dar kartą.
LaunchPadNet_ClearButtonText,Išvalyti
LaunchPadNet_EnterButtonText,Įvesti
LaunchPadNet_GoBackButtonText,Grįžti atgal
LaunchPadNet_SpaceButtonText,Tarpas
LaunchPadNet_BackSpaceButtonText,Grįžtis
LaunchPadNet_EnterIDLeadthru,Žemiau esančiais mygtukais įveskite ID:
ReEnterIDLeadthru,Neteisingas ID arba slaptažodis. Prašome klaviatūra įvesti iš naujo.
LaunchPadNet_EnterPasswordLeadthru,Žemiau esančiais mygtukais įveskite slaptažodį:
CancelButtonText,Panaikinti
LaunchPadNet_LoggingInLeadthru,Prisiregistruojama... Prašome palaukti
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Išėjęs iš sistemos
LaunchPadNet_ReEnterIDLeadthru,Neteisingas ID arba slaptažodis. Žemiau esančiais mygtukais prašome įvesti iš naujo.
