AmountSaved,Gespart
HopperLeadThru,"%sGehen Sie zur Kasse und füllen Sie Münzen nach oder beseitigen Sie den Stau bzw. drücken Sie ""Später beheben"", um fortzufahren."
TransactionCountText,Stückzahl:
SecurityDisableText,Sicherheit deaktiviert
SecurityDisableButtonOn,Einschalten
SecurityDisableButtonOff,Ausschalten
SecurityDisableStatusTextOn,Taschensicherheit eingeschaltet
SecurityDisableStatusTextOff,Taschensicherheit ausgeschaltet
SuspendDeclinedLaneButtonText,Abbruch abgelehnt
ConfirmSuspendDeclinedLeadthru,Ablehnung des Abbruchs bestätigen oder abbrechen.
ConfirmSuspendDeclinedButtonText,Ablehnung bestätigen
CancelSuspendDeclinedButtonText,Zurück
TMTransLeadthru,Kasse ist im Trainings-Modus.\nTransaktion fortsetzen?
HH_TMTransLeadthru,Kasse ist im Trainings-Modus.\nTransaktion fortsetzen?
TMTransLaneButtonText,Train-Trans
DateFormat1,(MMTTJJJJ)
DateFormat2,(MMTTJJ)
DateFormat3,(TTMMJJJJ)
DateFormat4,(TTMMJJ)
DateFormat5,(JJJJMMTT)
DateFormat6,(JJMMTT)
GoBackCouponButtonText,Zurück
ApproveCouponButtonText,Coupon annehmen
CouponExceededLimitLeadthru,"""Coupon annehmen"" drücken, um den Coupon zu akzeptieren, oder in Assistenzmodus wechseln, um ihn abzulehnen."
CouponExceededLimitFinalizationLeadthru,"Die Transaktion wurde mit einem Coupon durchgeführt, der das Coupon-Limit des Ladens übersteigt."
ClearSecurityFinalizationButtonText,Beheben
ExpandReceiptButtonText,Kassenzettel öffnen
CollapseReceiptButtonText,Kassenzettel schließen
InvalidBarcodeLeadThru,"Artikel an der Kasse abholen und ""Annehmen"" drücken, um die Transaktion fortzuführen."
InvalidBarcodeLaneButtonText,Artkl. prüfen
HH_InvalidBarcodeLeadThru,"Artikel abholen und ""Annehmen"" drücken, um Transaktion fortzuführen."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Für Genehmigung zur Kasse gehen
DisableRapApprovalText, RAP - Genehmigung deaktivieren
DisableHHRapApprovalText, HHRAP - Genehmigung deaktivieren
UpdateItemButtonText,Artikel aktualisieren
SuspendConfirmationTitle,Zurückstellungs-Bestätigung
DoNotApproveButtonText,Nicht genehmigen
SmVoidAndRemoveItemLeadthru,Bitte entfernen Sie den stornierten Artikel aus der Verpackungszone.
RestrictedItemsNotApprovedTitle,Limitierter Artikel - Unzulässig
HH_AssistAtLaneLeadthru,Zur Kasse gehen um Artikel zu entwerten.
XM_Acceptor,Annahme
XM_CashStatus,Geldstatus
XM_CashStatusLeadthru,Gewünschte Funktion wählen.
XM_CoinAcceptor,M¸nzannahme
XM_CoinOverflow,Münzüberlauf
XM_CoinOverflowText,Überlauf
XM_CoinRecycler,Münzrückführung
XM_Coins,Münzen
XM_NoteOverflow,Scheinüberlauf
XM_NoteOverflowText,Geldkass.
XM_NoteRecycler,Scheinrückführung
XM_Notes,Scheine
XM_PurgeOperationText,Reinigungsvorgang
XM_TerminalNumber,Kassennummer
XM_TotalCount,Gesamtstückzahl:
XM_TotalValue,Gesamtwert:
XM_CoinsSubtotal,Summe Münzen:
XM_NotesSubtotal,Summe Scheine:
XM_GrandTotal,Gesamtsumme:
XM_PurgeInstruction,Reinigungsvorgänge: Abgelehnte Scheine erkannt. Bitte gehen Sie zur Kasse und überprüfen Sie das Gerät.
XM_RAP_NegativeAlert,Negative number found. Bitte gehen Sie zur Kasse und überprüfen Sie das Gerät.
XM_AreYouSure,Sollen die unten aufgeführten Aktionen wirklich durchgeführt werden?
XM_Attendant,Aufsicht
XM_Backspace,Rücktaste
XM_BillAcceptor,Scheinannahme
XM_BillDispenser,Scheinausgabe
XM_Bins,Behälter
XM_BothDispenseFailure,Ausgabe von %s fehlgeschlagen.\nZu wenig Geld oder Fehler bei Ausgabe.
XM_CancelChanges,Änderungen verwerfen
XM_CannotCompleteTransfer,"Übertragung kann nicht beendet werden. In der Geldkassette\nist nicht genug Platz. Bitte leeren Sie die Geldkassette, bevor Sie diesen Vorgang durchführen."
XM_CashManagement,Geldscheinmanagement
XM_CashManagementReport,Bargeldmanagement-Bericht
XM_CashRemove,Geld entnehmen
XM_CashRemoveLeadthru,Gewünschte Funktion wählen.
XM_CashReplenishLeadthru,Gewünschte Funktion wählen.
XM_CashReplenishLeadthru1,Münzen eingeben oder Funktion auswählen.
XM_CashReplenishLeadthru2,Geld eingeben oder Funktion auswählen.
XM_CashReplenishLeadthru3,"Nach Beendigung ""Beenden"" drücken."
XM_CashReplenishment,Geld hinzufügen
XM_ChangeInCount,Änderung der Stückzahl
XM_ChangeInValue,Änderung des Bargeldbetrags
XM_Clear,Löschen
XM_ClearPrompt1,"Wenn fertig, andere Funktion oder ""Beenden"" wählen."
XM_ClearPrompt2,"Andere Funktion oder ""Beenden"" wählen."
XM_CoinAcceptorOffline,Annahme reagiert nicht.\n\nFahren Sie das Terminal herunter und starten Sie es neu.
XM_CoinDispenseFailure,%s konnte(n) nicht herausgegeben werden.\nKeine Münzen oder Münzenausgabemodul defekt.
XM_CoinDispenser,M¸nzausgabe
XM_CoinManagement,Münzenmanagement
XM_ConfirmAction,Aktionen bestätigen
XM_ConfirmCoinDispense,* Münzen ausgeben\nAuszugebender Betrag: %s\nAnzahl auszugeben:%d 
XM_ConfirmEmptyCoinAcceptor,* Münzannahmezähler auf Null setzen\n Zu entfernender Betrag:%s 
XM_ConfirmEmptyCoinOverflow,* Münzüberlaufzähler auf Null zurücksetzen\nZu entfernender Betrag: %s
XM_ConfirmEmptyNoteAcceptor,* Scheinannahmenzähler auf Null zurücksetzen\nZu entfernender Betrag: %s
XM_ConfirmEmptyNoteOverflow,* Geldkassettenzähler auf Null zurücksetzen\nZu entfernender Betrag: %s
XM_ConfirmFillLoaderCassette,* Scheinzähler einstellen\nNeuer Betrag: %s\nNeue Anzahl: %d
XM_ConfirmManualCoinEmpty,* Münzzähler auf Null zurücksetzen\nZu entfernender Betrag: %s\nZu entnehmender Anzahl: %d
XM_ConfirmManualCoinFill,* Münzzähler einstellen\nNeuer Betrag: %s\nNeue Anzahl: %d
XM_ConfirmManualNoteEmpty,* Scheinzähler auf Null zurücksetzen\nZu entnehmender Betrag: %s\nZu entnehmende Anzahl: %d
XM_ConfirmManualNoteFill,* Scheinzähler einstellen\nNeuer Betrag: %s\nNeue Anzahl: %d
XM_ConfirmNoteDispense,* Scheine ausgeben\nAuszugebender Betrag: %s\nAuszugebende Anzahl: %d
XM_ConfirmTransferNotesToOverflow,* Scheine in Geldkassette übertragen\nZu übertragender Betrag: %s\nZu übertragender Anzahl: %d
XM_Count,Stückzahl
XM_DispenseCupFull,"Münzrückgabe ist voll. Bitte Münzen entnehmen, damit die Rückgabe beendet werden kann."
XM_DispenseCupFullPreemptive,"Bitte nehmen Sie die Münzen\nWenn Münzrückgabe voll ist, sofort entleeren. Ausgabe wird angehalten bis Behälter leer ist."
XM_DispenseFullPreemptive,"Bitte nehmen Sie die Scheine und Münzen\nScheine werden in Bündeln von 15 ausgegeben. Ausgabe wird angehalten bis alle Scheine entnommen wurden. Wenn Münzrückgabe voll ist, sofort entleeren. Ausgabe wird angehalten bis Behälter leer ist."
XM_DispenseNoteFullPreemptive,Bitte nehmen Sie die Scheine\n Scheine werden in Bündeln von 15 ausgegeben. Ausgabe wird angehalten bis alle Scheine entnommen wurden.
XM_DispenseSensorBlock,Münzrückführung könnte voll sein oder der Sensor ist defekt. Bitte entfernen Sie die Münzen oder rufen Sie den Service
XM_DispenseText,Ausgabe
XM_DispenseThreshold,Eingegebene Zahl übersteigt die zur Ausgabe verfügbare Menge. Höchstbetrag wurde eingegeben: %d
XM_Empty,Leer
XM_EmptyCashAcceptorLT,Scheine aus Geldannahme entfernen
XM_EmptyCashBoxLT,Scheine aus Geldkassette entfernen
XM_EmptyCoinAcceptor,Münzannahme auf Null setzen
XM_EmptyCoinAcceptorLT,Münzen aus Münzannahme entfernen
XM_EmptyCoinHopperLT,Münzen aus dem Gerät entfernen.
XM_EmptyCoinOverflow,Münzüberlauf auf Null setzen
XM_EmptyCoinOverflowLT,Münzen aus Münzüberlauf entfernen
XM_EmptyLoaderCassetteLT,Scheine aus Laderkassette entfernen
XM_EmptyNoteAcceptor,Münzannahme auf Null setzen
XM_EmptyNoteCassetteLT,Scheine aus der Scheinkassette entfernen und Behälter reinigen
XM_EmptyNoteOverflow,Geldkassette\nzurücksetzen
XM_Enter,Eingabe
XM_ExceededAmount,Betrag übersteigt Kapazität. Benötigter Höchstbetrag %s.
XM_ExceededCapacity,Zählung übersteigt Kapazität. Benötigte Höchstzahlung %d.
XM_Execute,Änderung übernehmen
XM_Exit,Beenden
XM_FastLaneReport,NCR SelfServ Checkout-Bericht
XM_FillLoaderCassette,Scheinzähler einstellen
XM_GoBack,Zurück
XM_ID,Kassierer-ID
XM_IDPrompt,"ID eingeben und ""Eingabe"" berühren."
XM_InvalidAmount,Der eingegebene Wert für %s ist ungültig.\nBitte gültigen Wert eingeben.
XM_KeyPadEnterCoinAmount,Summe für %s Münzen über Tastatur eingeben.
XM_KeyPadEnterCoinCount,Zählung für %s Münzen über Tastatur eingeben.
XM_KeyPadEnterNoteAmount,Summe für %s Scheine über Tastatur eingeben.
XM_KeyPadEnterNoteCount,Zählung für %s Scheine über Tastatur eingeben.
XM_KeyPadInstr,Zahl auf der Tastatur eingeben
XM_ManualBothFillAlert,Klappe der Kasse öffnen und Scheine in Kassetten und Münzen in Behälter einlegen. Nicht über die Annahmen eingeben.
XM_ManualBothRecyclerFillAlert,"Kassentür öffnen, Scheine in den Lader und Münzen in die Münzbehälter geben. Geben Sie sie nicht in die Annahmen."
XM_ManualCoinDispenserEmpty,Münzzähler auf Null stellen
XM_ManualCoinDispenserFill,Münzzähler einstellen
XM_ManualCoinFillAlert,Kassentür öffnen und Münzen direkt in das Gerät geben. Nicht über die Münzannahme eingeben.
XM_ManualEmptyAlert,Sämtliches Geld aus dem Gerät entfernen.
XM_ManualFillAlert,Klappe der Kasse öffnen und Geld direkt in die Kassette einlegen. Nicht über die Annahmen eingeben.
XM_ManualNoteDispenserEmpty,Scheinzähler auf Null stellen
XM_ManualNoteDispenserFill,Scheinzähler einstellen
XM_ManualNoteFillAlert,Klappe der Kasse öffnen und Scheine direkt in die Kassette einlegen. Nicht über die Scheinannahme eingeben.
XM_ManualNoteRecyclerFillAlert,Klappe der Kasse öffnen und Scheine direkt in den Lader geben. Die Scheine nicht in die Scheinannahme geben.
XM_No,Nein
XM_NoteDispenseFailure,Ausgabe von %s fehlgeschlagen.\nZu wenig Scheine oder Fehler bei Scheinausgabe.
XM_PW,Kassierer-Passwort
XM_PWPrompt,"Passwort eingeben und ""Eingabe"" berühren."
XM_PendingText,Offen
XM_PleaseWait,Verarbeitung...\nBitte warten.
XM_Print,Geldstatus drucken
XM_PurgeCoinRecycler,Münzrückführung reinigen
XM_PurgeNoteRecycler,Scheinrückführung reinigen
XM_ReEnter,Falsche Kassierer-Nummer und falsches Passwort.\nBitte versuchen Sie es noch einmal.
XM_ResetCoinsToBaseLevel,Münzen bis Basis ausgeben
XM_ResetNotesToBaseLevel,Scheine auf Basisstand zurücksetzen
XM_SelectFunc1,Wähle System Funktion
XM_SelectFunc2,Gewünschte Funktion wählen.
XM_StoreNumber,Laden #:
XM_TransferAllNotes,Alle Scheine zum Überlauf transportieren
XM_TransferNotesToOverflow,Scheine zu\n Geldkassette\n übertragen
XM_Update,Aktualisieren
XM_Yes,Ja
XM_CardManagement,Kartenmanagement
XM_SequenceNumber,Laufnummer
XM_TotalCoinsInserted,Summe eingesetzt
XM_TotalNotesInserted,Summe eingesetzt
XM_Value,Wert
XM_TransferXCount,Zählung der Übertragungen (x)
XM_TransferXAmount,Anzahl der Übertragungen (x)
XM_TransfertoCashBoxLeadThruText,"Um %s Scheine in die Geldkassette zu übertragen, ""Änderung übernehmen"" berühren. Um alle schwebenden Änderungen rückgängig zu machen, ""Änderungen verwerfen"" berühren."
XM_MenuDispenseFunctions,Ausgabefunktionen
XM_MenuResetFunctions,Reset- funktionen
XM_MenuCashBoxTransfer,Geldkassette Übertragung
XM_LeadThruCashBoxTransfer,"Wählen Sie die gewünschte Übertragungsfunktion aus\n Nach Beendung, ""Änderung übernehmen""."
XM_LeadThruResetFunction,"Wählen Sie die gewünschte Resetfunktion aus\nNach Beendung, ""Änderung übernehmen""."
XM_LeadThruDispenseFunction,"Wert berühren und Betrag eingegeben \n oder ""Münzen bis Basis ausgeben"" berühren."
XM_PurgeInstructionRecycler,"Reinigungsvorgänge: Abgelehnte Scheine erkannt. Abgelehnte Scheine aus der Geldkassette entfernen. Durch Berühren der Schaltfläche ""Alle Scheine übertragen"" und dann ""Geldkassette zurücksetzen"" Warnung ausschalten."
XM_PurgeInstructionNonRecycler,"Reinigungsvorgänge: Abgelehnte Scheine erkannt. Abgelehnte Scheine aus dem Reinigungsbehälter entfernen. Durch Berühren der Schaltfläche "" Scheinzähler zurücksetzen"" Warnung ausschalten."
XM_ReplenishInstruction,"Geld eingeben oder Wert auswählen und Betrag eintippen, oder Zähler einstellen.\n Nach Beenden, ""Änderung übernehmen""."
XM_PickUpAutoAmount,Automatischer Ausgabebetrag
XM_PickUpXAmount,Ausgabebetrag (x)
XM_MenuPickUpFunctions,Ausgabefunktionen
XM_LeadThruPickUpFunction,"Wählen Sie die gewünsche Ausgabefunktion aus.\nNach Beendung, ""Änderung übernehmen""."
XM_KeyPadEnterPickUpAmount,Geben Sie den Ausgabebetrag über die Tastatur ein.
XM_InvalidPickUpAmount,Der eingegebene Wert übersteigt den Betrag der übertragen oder ausgegeben werden kann
XM_InvalidStartingBank,Der konfigurierte Anfangsbestand ist größer als der Betrag der übertragen oder ausgegeben werden kann.
XM_CalculatedPickUpAmount,Der errechnete Ausgabebetrag ist %s.
XM_UnableToPickUp,Ausgabe kann nicht ausgeführt werden.
XM_CoinAllowedDispenseExceeded,%d Münzen werden ausgegeben. Maximale Anzahl an auszugebenden Münzen ist %d
XM_InvalidPickUpAmount2,Der Betrag in der Geldkassette und Münzüberlauf ist größer als der Ausgabebetrag.
XM_LockScreen,Bildschirm blockieren
XM_SystemBusy,System beschäftigt…Bitte Warten
XM_AreYouSure_LockScreen,"Sind Sie sicher, dass Sie den Bildschirm blockieren wollen? \nDer Bildschirm kann nicht entblockiert werden bis die Einheiten ihre Aufgaben beendet haben."
XM_NegativeAlert,"Negative Zahl wurde gefunden. Mögliche Gründe: Fehler beim Eintippen oder es wurden Scheine in die Ladekassette gegeben, ohne dass die Anzahl der Scheine in das Cash Management eingegeben wurde.\n\nBefolgen Sie die unten angegebenene Schritte, um den Fehler zu beheben.:\n1. Wählen Sie ""Bargeld hinzufügen"". \n2. Berühren Sie  den Wert der negativen Zahl. \n3. Geben Sie die genaue Euro-Summe der negativen Zahl ein und/oder die Summe, die in den Lader gegeben wurde. \n4. Wählen Sie ""Änderungen annehmen"". \n5. Wählen Sie ""Ja"" um zu bestätigen und dann ""Beenden""."
XM_AddCashLeadthru1,"Münzen eingeben oder Zylinder berühren und Betrag eingeben, oder Zähler einstellen."
XM_AddCashLeadthru2,"Bargeld eingeben oder Zylinder berühren und Betrag eingeben, oder Zähler einstellen."
XM_AddCashLeadthru3,"Berühren Sie den Zylinder und geben Sie den Betrag ein, oder stellen Sie die Zähler ein."
XM_CoinHopperEmpty,"Münzbehälter müssen entleert werden, um den Münzzähler auf Null zurück zu setzen. Jeden Münzbehälter entleeren, bevor Sie ""Änderungen anwenden"" berühren."
XM_CollectRemainingCoins,"Münzen von der Münzrückgabe entfernen, wenn die Ausgabe beendet ist."
XM_FPIDPrompt,"Benutzer-ID eingeben und ""Eingabe"" drücken oder Finger auf Fingerabdruck-Lesegerät legen."
XM_LoanFailure,Fehler bei der Leihgabe
XM_LoanFailureLeadthru,Leihgabe wurde abgelehnt. Gewünschte Funktion auswählen.
XM_UndoLoan,Leihgabe rückgängig machen
XM_CommitLoan,Leihgabe festlegen
XM_PickUpFailure,Fehler bei der Abholung
XM_PickUpFailureLeadthru,Abholung wurde abgelehnt. Gewünschte Funktion auswählen.
XM_UndoPickUp,Abholung rückgängig machen
XM_CommitPickUp,Abholung festlegen
XM_ManualRemoveCashAlert,"Geld aus dem Geldbehälter und Münzen aus dem Überlaufbehälter entfernen, um Leihgabe rückgängig zu machen.\n\n\nScheine\nWert zu entfernen: %d\nBetrag zu entfernen: %s\n\nMünzen\nWert zu entfernen: %d\nBetrag zu entfernen: %s"
XM_POSRejectedLoanPickUp,POS abgelehnt Leihgabe/Abholung: %s / %d abgelehnt.\n
XM_LoanPickUpCashierOverrides,Kassierer ID %s Ausleihe/Abholung überschreiben: %s / %d  festgelegt.\n\n
XM_PlaceJammedBill,Geldkassette entfernen und alle gestauten Scheine hineinlegen.
XM_GrandTotalText,Gesamtsumme: %s
XM_TotalAddedText,Insgesamt eingefüllt: %s
XM_TotalRemovedText,Insgesamt entfernt: %s
XM_TotalColectedText,Insgesamt eingesammelt: %s
XM_ManualRemoveCashAlertGlory,"Geld aus der Kassette nehmen, um Leihgabe rückgängig zu machen.\n\nGeldscheine\nAnzahl zum entfernen: %d\nBetrag zum entfernen: %s"
XM_CashUnbalance,Abweichungs-Fehler in der Rückführung.
XM_Collect,Einsammeln
XM_CollectFailure,Sammelvorgang konnte nicht ausgeführt werden.
XM_LeadThruGloryFunction,"Wert berühren und Betrag eingeben \noder ""Einsammeln"" berühren."
XM_CassetteMissing,Bonkassette ist nicht in der Einheit.\nBonkassette wieder in die Einheit setzen.
XM_EmptyCassetteAndRejectBin, Bons aus der Bonkassette nehmen und aus dem Ausschusseimer.
XM_OperatorID,Benutzer ID %s
XM_InitializeError,"Das System hat einen Fehler entdeckt, welcher behoben werden muss."
XM_GloryDispenseCupFullPreemptive,"Bitte nehmen Sie die Münzen\nWenn Münzrückgabe voll ist, bitte sofort ausleeren.  Ausgabe wird unterbrochen, bis der Behälter geleert ist."
XM_GloryDispenseFullPreemptive,"Bitte nehmen Sie die Geldscheine und Münzen\nGeldscheine werden in 10er Bündeln ausgegeben. Ausgabe wird unterbrochen, bis all Geldscheine genommen wurden. Wenn Münzrückgabe voll ist, bitte sofort ausleeren. Ausgabe wird unterbrochen, bis der Behälter geleert ist."
XM_GloryDispenseNoteFullPreemptive,"Bitte nehmen Sie die Geldscheine\nGeldscheine werden in 10er Bündeln ausgegeben. Ausgabe wird unterbrochen, bis all Geldscheine genommen wurden."
MinMaxFastLaneBtnPrimaryTxt,Kleines Bild SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Vollbild SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Berühren Sie ""Kleines Bild SelfServ Checkout"", um das SelfServ Checkout-Fenster zu verkleinern."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Berühren Sie ""Vollbild SelfServ Checkout"", um das SelfServ Checkout-Fenster zu vergrößern."
StopStartFastLaneBtnPrimaryTxt,SelfServ Checkout beenden
StopStartFastLaneBtnSecondaryTxt,SelfServ Checkout starten
SwitchToRAPBtnPrimaryTxt,Schalte um auf RAP
ShutdownSystemBtnPrimaryTxt,Gesamtsystem herunterfahren
RebootSystemBtnPrimaryTxt,Gesamtsystem hochfahren
VolumeBtnPrimaryTxt,Lautstärkenregelung
EventViewerBtnPrimaryTxt,Ereignisanzeige (Event Viewer)
GenerateLogBtnPrimaryTxt,Erstelle Diagnose Log-Tabellen
ExitFastLaneAndRunProfileBtnPrimaryTxt,SelfServ Checkout beenden und Profile Manager starten
ExitFastLaneAndRunProfileBtnSecondaryTxt,Starte Profile Manager
TerminalInfoBtnPrimaryTxt,Terminalinformation
MinMaxRAPBtnPrimaryTxt,Kleines Bild RAP
MinMaxRAPBtnSecondaryTxt,Vollbild RAP
MinMaxRAPBtnPrimaryShowConfirmation,"Berühren Sie ""Kleines Bild RAP"", um das RAP-Fenster zu verkleinern."
MinMaxRAPBtnSecondaryShowConfirmation,"Berühren Sie ""Vollbild RAP"", um das RAP-Fenster zu vergrößern."
StopStartRAPButtonPrimaryTxt,FAP beenden
StopStartRAPButtonSecondaryTxt,FAP starten
RapConfigureBtnPrimaryTxt,RAP-Konfiguration
SwitchToFastLaneBtnPrimaryTxt,Schalte um auf SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,FAP beenden und Profile Manager starten
ExitRAPAndRunProfileBtnSecondaryTxt,Starte Profile Manager
UtilityFunctionsTitle,NCR SelfServ Checkout\nHilfsprogrammfunktionen
StartTitle,System starten
SystemStartup,System starten...bitte warten
TerminalID,Kassen-ID 
InterfaceVersion,Softwareversion:
TrainingProgramPrimaryTxt,Schulungsprogramm
LaunchPadNet_OperatorIDText,Bediener-Kennzeichen: 
KeySwitchOperatorID,Schlüsselschloss
LaunchPadNet_SignOnButtonText,Anmeld.
LaunchPadNet_SignOffButtonText,Abmeld.
SignedOffButtonText,Abgemeldet
Exit,Alles beenden
LaunchPadNet_ReturnToShoppingButtonText,Zurück
PickListEditor,Artikellisten-Editor
RunADDTxt,Führen Sie Beim Nächsten Neustart ADD Aus
TouchWareTxt,Berührungsbildschirm kalibrieren
DiagConfirm,"Sind Sie sicher, Sie möchten die Diagnose Log-Datei schreiben?"
ProfileManagerFLConfirm,"Sind Sie sicher, Sie möchten SelfServ Checkout beenden und Profile Manager starten?"
ProfileManagerRAPConfirm,Fernautorisierung wirklich beenden und den Profile Manager starten?
ProfileManagerConfirm,"Sind Sie sicher, Sie möchten den Profile Manager starten?"
EventViewerConfirm,"Sind Sie sicher, Sie möchten den Ereignisanzeiger starten?"
TrainingConfirm,"Sind Sie sicher, Sie möchten das Schulungsprogramm starten?"
PicklistConfirm,"Sind Sie sicher, Sie möchten den PickList-Editor starten?"
RunADDConfirm,Wollen Sie beim nächsten Neustart wirklich ADD ausführen?
CalibrateConfirm,"Sind Sie sicher, Sie möchten den Berührungsbildschirm kalibrieren?"
ShutdownConfirm,"Sind Sie sicher, Sie möchten das ganze System abschalten?"
RebootConfirm,"Sind Sie sicher, Sie möchten das ganze System neu starten?"
CloseAllConfirm,"Sind Sie sicher, Sie möchten alle Anwendungen beenden und auf den Desktop gehen?"
VolumeConfirm,"Sind Sie sicher, Sie möchten die Lautstärke einstellen?"
TerminalInfoConfirm,"Sind Sie sicher, Sie möchten die Terminalinformation sehen?"
StopFastLaneConfirm,"Sind Sie sicher, Sie möchten die SelfServ Checkout beenden?"
StopRAPConfirm,"Sind Sie sicher, Sie möchten das Fernauthorisierungsprogramm beenden?"
StartFastLaneConfirm,"Sind Sie sicher, SelfServ Checkout starten?"
StartRAPConfirm,"Sind Sie sicher, FAP starten?"
WindowsLogOnTxt,Sich bei Windows anmelden
WindowsLogOnConfirm,"Sind Sie sicher, dass Sie alle Anwendungen beenden und sich als neuer Benutzer anmelden wollen?"
YesText,Ja
NoText,Nein
CommandPromptPrimaryTxt,Eingabeaufforderung
CommandPromptConfirm,"Sind Sie sicher, dass die Eingabeaufforderung gestartet werden soll?"
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,"Sind Sie sicher, dass der Retail Systems Manager LE gestartet werden soll?"
OperatorRegistrationUtility,Bediener-Registrierung
LaunchPadNet_EnterIDFpLeadthru,"Benutzer-ID eingeben und ""Eingabe"" drücken oder Finger auf Fingerabdruck-Lesegerät legen."
LaunchPadNet_ReEnterIDFpLeadthru,Ungültige Anmeldung. Bitte melden Sie sich erneut an und verwenden Sie die Tastatur oder Ihren Fingerabdruck.
LaunchPadNet_ClearButtonText,Löschen
LaunchPadNet_EnterButtonText,Eingabe
LaunchPadNet_GoBackButtonText,Zurück
LaunchPadNet_SpaceButtonText,Leertaste
LaunchPadNet_BackSpaceButtonText,Eine Stelle zurück
LaunchPadNet_EnterIDLeadthru,Identifikation auf dem Tastatur-Pad unterhalb eingeben.
ReEnterIDLeadthru,Falsche ID oder falsches Passwort. Bitte erneut auf der Tastatur unten eingeben.
LaunchPadNet_EnterPasswordLeadthru,Passwort auf dem Tastatur-Pad unterhalb eingeben.
CancelButtonText,Lösche
LaunchPadNet_LoggingInLeadthru,Anmeldung in Arbeit...Bitte warten
LaunchPadNet_ShiftButtonText,Umschalt
LaunchPadNet_SignedOffButtonText,Abgemeldet
LaunchPadNet_ReEnterIDLeadthru,Falsche ID oder falsches Passwort. Bitte erneut auf der Tastatur unten eingeben.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Unterschreiben Sie unten.
PageIndicatorLabelFormat,Page {0} of {1}
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_Cassette,Kassette
XM_NegativeAlert_Remove,"Negative Zahl wurde gefunden. Mögliche Gründe: Fehler beim Eintippen oder es wurden Scheine in die Ladekassette gegeben, ohne dass die Anzahl der Scheine in das Cash Management eingegeben wurde. \n\n Befolgen Sie die unten angegebenene Schritte, um den Fehler zu beheben.:\n1. Wählen Sie ""Beenden"", dann Wählen Sie ""Bargeld hinzufügen"". \n2. Berühren Sie  den Wert der negativen Zahl. \n3. Geben Sie die genaue Euro-Summe der negativen Zahl ein und/oder die Summe, die in den Lader gegeben wurde. \n4. Wählen Sie ""Änderungen annehmen"". \n5. Wählen Sie ""Ja"" um zu bestätigen und dann ""Beenden""."
DueCart,Fällig
XM_ProcessingCashTextV6HW,•   Münzen in Münzannahme geben.\n•   Geldschein in Scheinannahme geben.\n
XM_CoinHoppersV6HW,Münzbehälter
XM_CoinBoxV6HW,Münzkassette -%d -%s
XM_ConfirmTransferNotesToBaseLevelV6HW,Geldscheine in die Scheinkassette übertragen\n\nZu übertragender Betrag: %s\nZu übertragende Anzahl: %d\n\nThe Übertragungs-Prozess kann mehrere Minuten dauern.
XM_ConfirmTransferAllNotesV6HW,Alle Geldscheine in die Scheinkassette übertragen\n\nZu übertragender Betrag: %s\nZu übertragende Anzahl: %d\n\nThe Übertragungs-Prozess kann mehrere Minuten dauern.
XM_ResetCoinsAllCoinsV6HW,Alle Münzen ausgeben
XM_ResetCoinHopperCountsV6HW,Münzbehälter-Zähler zurücksetzen
XM_ResetNoteBoxCountsV6HW,Scheinkassetten-Zähler zurücksetzen
XM_MenuNoteBoxTransferV6HW,Übertragungen von Scheinkassette
XM_AddCashLeadthruV6HW,"•   Münzen in Münzannahme geben.\n•   Geldschein in Scheinannahme geben.\n•   ""Münzauffüllschacht aktivieren"" berühren, um Münzen in\n     den Einfüllschacht zu geben.\n•   ""Lader-Setup"" berühren, um Geldscheine in den Lader zu geben."
XM_FinishedAddingCashV6HW,"Wenn die Geldeingabe beendet ist, ""OK"" berühren."
XM_OKV6HW,OK
XM_SetupLoaderV6HW,Lader-Setup
XM_SetupLoaderLeadthruV6HW,"•   ""%s"" Standard Wert-Betrag/Anzahl für den \n     Lader eingeben und dann ""OK"" berühren.\n•   Am Ende, ""Änderung übernehmen""."
XM_NoteLoaderV6HW,Geldschein- Lader
XM_EnableCoinInputBowlV6HW,Münzeingabeschüssel aktivieren
XM_EnableCoinRefillChuteV6HW,Münzauffüllschacht aktivieren
XM_EnableCoinAcceptorV6HW,Münzannahme aktivieren
