AmountSaved,Kazanılan Tutar
HopperLaneButtonText,Madeni Para Değişikliği
HopperLeadThru,%sKasaya gidin ve madeni para yükleyin veya sıkışmayı giderin veya devam etmek için “Daha Sonra Düzelt” e basın. 
TransactionCountText,Say:
SecurityDisableText,Güvenlik Kapalı
SecurityDisableButtonOn,Aç
SecurityDisableButtonOff,Kapat
SecurityDisableStatusTextOn,Paketleme Güvenliği Açık
SecurityDisableStatusTextOff,Paketleme Güvenliği Kapalı
SuspendDeclinedLaneButtonText,Askıya Alma Reddedildi
ConfirmSuspendDeclinedLeadthru,Askıya Almanın Reddedilmesini Onayla Veya İptal Et.
ConfirmSuspendDeclinedButtonText,Reddetme İşlemini Onayla
CancelSuspendDeclinedButtonText,Geri Dön
TMTransLeadthru,"Kasa eğitim modunda,\nişleme devam edilsin mi?"
HH_TMTransLeadthru,"Kasa eğitim modunda,\nişleme devam edilsin mi?"
TMTransLaneButtonText,Eğitim İşl
DateFormat1,(mmddyyyy)
DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
GoBackCouponButtonText,Geri Git
ApproveCouponButtonText,Kuponu Onayla
CouponExceededLimitLeadthru,"Kuponu kabul etmek için ""Kuponu Onayla""ya basın, onaylamayacaksanız Yardım Modu’na geçin."
CouponExceededLimitFinalizationLeadthru,İşlem mağaza kupon limitini aşan bir kuponla gerçekleştirildi.
ClearSecurityFinalizationButtonText,Güvenliği Kaldır
ExpandReceiptButtonText,Fişi Genişlet
CollapseReceiptButtonText,Fişi Daralt
InvalidBarcodeLeadThru,"Kasadaki ürünü alın ve işleme devam etmek için ""Onayla"" ya basın."
InvalidBarcodeLaneButtonText,Ürünü Onayla
HH_InvalidBarcodeLeadThru,"Ürünü alın ve işleme devam etmek için ""Onayla"" ya basın."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Onay için lütfen Kasaya gidin.
DisableRapApprovalText, RAP Onayını Kapat
DisableHHRapApprovalText, HHRAP Onayını Kapat
UpdateItemButtonText,Ürünü güncelle
SuspendConfirmationTitle,Onayı Askıya Al
DoNotApproveButtonText,Onaylama
SmVoidAndRemoveItemLeadthru,Lütfen iptal edilen ürünü paketleme alanından kaldırın.
RestrictedItemsNotApprovedTitle,Yasaklı Ürünler - Onaylanmadı
HH_AssistAtLaneLeadthru,Ürünleri iptal etmek için Kasaya gidin.
XM_Acceptor,Alıcı
XM_CashStatus,Nakit Durumu
XM_CashStatusLeadthru,İstenen fonksiyonu seçin.
XM_CoinAcceptor,Madeni Para Alıcısı
XM_CoinOverflow,Madeni Para Taşma Haznesi
XM_CoinOverflowText,Taşma
XM_CoinRecycler,Bozuk Para Dönüştürücü
XM_Coins,Madeni paralar
XM_NoteOverflow,Taşma Haznesi
XM_NoteOverflowText,Nkt Kut.
XM_NoteRecycler,Banknot Dönüştürücü
XM_Notes,Faturalar
XM_PurgeOperationText,Temizleme İşlemleri
XM_TerminalNumber,Terminal Numarası
XM_TotalCount,Toplam Sayı:
XM_TotalValue,Toplam Değer:
XM_CoinsSubtotal,Boz.Para Ara Topl:
XM_NotesSubtotal,Banknot Ara Topl:
XM_GrandTotal,Genel Toplam:
XM_PurgeInstruction,Tasfiye İşlemleri: Reddedilen banknotlar tespit edildi. Kasaya gidin ve aygıtı kontrol edin.
XM_RAP_NegativeAlert,Negative number found. Kasaya gidin ve aygıtı kontrol edin.
XM_AreYouSure,Aşağıda listelenen işlemleri gerçekleştirmek istediğinizden emin misiniz?
XM_Attendant,Görevli
XM_Backspace,Geri Tuşu
XM_BillAcceptor,Banknot Alıcısı
XM_BillDispenser,Banknot Vericisi
XM_Bins,Kutular
XM_BothDispenseFailure,%s verme hatası.\nDüşük nakit veya verici hatası.
XM_CancelChanges,Değişiklikleri İptal Et
XM_CannotCompleteTransfer,Transfer tamamlanamıyor.\nNakit kutusunda yeterli yer yok.\nBu işlemi gerçekleştirmeden önce \nlütfen nakit kutusunu boşaltın.
XM_CashManagement,Fatura Yönetimi
XM_CashManagementReport,Nakit Yönetimi Raporu
XM_CashRemove,Nakdi Çıkar
XM_CashRemoveLeadthru,İstenen fonksiyonu seçin.
XM_CashReplenishLeadthru,İstenen fonksiyonu seçin.
XM_CashReplenishLeadthru1,Bozuk para yerleştirin veya fonksiyon seçin.
XM_CashReplenishLeadthru2,Nakit yerleştirin veya fonksiyon seçin.
XM_CashReplenishLeadthru3,Tamamlandığında “Çık” a basın.
XM_CashReplenishment,Nakit Ekle
XM_ChangeInCount,Bozukluk Sayısı
XM_ChangeInValue,Değerde Değişiklik
XM_Clear,Sil
XM_ClearPrompt1,İşlem tamamlandığında başka bir fonksiyon seçin veya “Çık” a basın.
XM_ClearPrompt2,Başka bir fonksiyon seçin veya “Çık” a basın.
XM_CoinAcceptorOffline,Alıcı yanıt vermiyor.\n\nTerminali kapatarak yeniden başlatın.
XM_CoinDispenseFailure,%s verilemedi.\nDüşük madeni para seviyesi veya madeni para vericisi hatası.
XM_CoinDispenser,Madeni Para Vericisi
XM_CoinManagement,Madeni Para Yönetimi
XM_ConfirmAction,İşlemleri Onayla
XM_ConfirmCoinDispense,* Bozuk Para Verme\nVerilecek Miktar: %s\nVerilecek Adet: %d
XM_ConfirmEmptyCoinAcceptor,* Madeni para alıcı adedini sıfırlayın\nÇıkarılacak adet:%s
XM_ConfirmEmptyCoinOverflow,* Bozuk Para Taşma Sayacını Sıfırla\nÇıkarılacak Miktar:%s
XM_ConfirmEmptyNoteAcceptor,* Banknot Alıcı Sayacını Sıfırla\nÇıkarılacak Miktar:%s
XM_ConfirmEmptyNoteOverflow,* Nakit Kutusu sayacını Sıfırla\nÇıkarılacak Miktar:%s
XM_ConfirmFillLoaderCassette,* Banknot Ayarı Yapın\nYeni Miktar: %s\nYeni Adet: %d
XM_ConfirmManualCoinEmpty,* Bozuk Para Adedini Sıfırla\nÇıkarılacak Miktar: %s\nÇıkarılacak adet: %d
XM_ConfirmManualCoinFill,* Bozuk Para Adedini Ayarla\nYeni Miktar: %s\nYeni Adet: %d
XM_ConfirmManualNoteEmpty,* Banknot Adedini Sıfırla\nÇıkarılacak miktar: %s\nÇıkarılacak adet: %d
XM_ConfirmManualNoteFill,* Banknot Ayarı Yapın\nYeni Miktar: %s\nYeni Adet: %d
XM_ConfirmNoteDispense,* Banknot Ver\nVerilecek miktar: %s\nVerilecek Adet: %d
XM_ConfirmTransferNotesToOverflow,* Banknotları Nakit Kutusuna Aktar\nAktarılacak Miktar: %s\nAktarılacak Adet: %d
XM_Count,Say
XM_DispenseCupFull,Bozuk para iadesi dolu. Verme işlemini tamamlamak için lütfen bozuk paraları çıkarın.
XM_DispenseCupFullPreemptive,Lütfen Bozuk Paraları Alın\nBozuk para verici dolu ise hemen boşaltın.  Hazne boşaltılana kadar verme işlemi durdurulacaktır.
XM_DispenseFullPreemptive,"Lütfen Banknot ve Bozuk Paraları Alın\nBanknotlar 15'li desteler halinde verilmektedir. Verme işlemi tüm banknotlar alınana dek durdurulacaktır. Bozuk para verici dolu ise hemen boşaltın. Hazne boşaltılana kadar verme işlemi durdurulacaktır."
XM_DispenseNoteFullPreemptive,"ütfen Banknotları Alın\nBanknotlar 15'li desteler halinde verilmektedir. Verme işlemi tüm banknotlar alınana dek durdurulacaktır."
XM_DispenseSensorBlock,Madeni para verici dolu veya sensör bozuk. Lütfen madeni paraları çıkarın veya servisi arayın.
XM_DispenseText,Verme
XM_DispenseThreshold,Girilen sayı verilebilecek adedin üzerinde. Girilen maksimum adet: %d
XM_Empty,Boşalt
XM_EmptyCashAcceptorLT,Nakit Alıcısındaki banknotları çıkar
XM_EmptyCashBoxLT,Nakit Kutusundaki banknotları çıkar
XM_EmptyCoinAcceptor,Madeni Para Alıcısını Boşalt
XM_EmptyCoinAcceptorLT,Madeni Para Alıcısındaki Madeni Paraları çıkar
XM_EmptyCoinHopperLT,Bozuk paraları cihazdan çıkarın.
XM_EmptyCoinOverflow,Boz. P. Taş. Hz. Sıfırla
XM_EmptyCoinOverflowLT,Madeni Para Taşma Haznesindeki Madeni Paraları çıkar
XM_EmptyLoaderCassetteLT,Yükleme Kasetindeki banknotları çıkar
XM_EmptyNoteAcceptor,Banknot\nAlıcısını Boşalt
XM_EmptyNoteCassetteLT,Banknot Kasetleri ve Temizleme Kutusundan banknotları çıkarın
XM_EmptyNoteOverflow,Nakit Kutusunu Sıfırla
XM_Enter,Giriş
XM_ExceededAmount,Miktar kapasiteyi aşıyor. Gereken maksimum miktar %s.
XM_ExceededCapacity,Sayı kapasiteyi aşıyor. Gereken maksimum yükleme sayısı %d.
XM_Execute,Değişiklikleri Uygula
XM_Exit,Çık
XM_FastLaneReport,NCR SelfServ Checkout Raporu
XM_FillLoaderCassette,Banknot adedini ayarla
XM_GoBack,Geri Git
XM_ID,Kasiyer Kullanıcı Kimliği
XM_IDPrompt,Kullanıcı Kimliği girin ve “Giriş” e basın.
XM_InvalidAmount,%s için girilen değer geçersiz.\nLütfen tekrar deneyin.
XM_KeyPadEnterCoinAmount,Klavyeyi kullanarak %s bozuk para miktarını girin.
XM_KeyPadEnterCoinCount,Klavyeyi kullanarak %s bozuk para adedini girin.
XM_KeyPadEnterNoteAmount,Klavyeyi kullanarak %s banknot miktarını girin.
XM_KeyPadEnterNoteCount,Klavyeyi kullanarak %s banknot adedini girin.
XM_KeyPadInstr,Klavyeyi kullanarak sayı girin.
XM_ManualBothFillAlert,"Kasa kapısını açarak banknotları kasetlere, bozuk paraları haznelere yerleştirin. Alıcılara yerleştirmeyin."
XM_ManualBothRecyclerFillAlert,"Kasa kapısını açın, banknotları yükleyiciye, bozuk paraları da hazneye yerleştirin."
XM_ManualCoinDispenserEmpty,Madeni Para Adedini Sıfırla
XM_ManualCoinDispenserFill,Madeni Para adedini ayarla
XM_ManualCoinFillAlert,"Kasanın kapısını açın, madeni paraları direk cihaza yerleştirin. Bozuk para alıcısına yerleştirmeyin."
XM_ManualEmptyAlert,Tüm Nakdi Cihazdan Çıkarın
XM_ManualFillAlert,Kasa kapısını açın ve cihaza doğrudan nakit yükleyin. Nakdi alıcılara yüklemeyin.
XM_ManualNoteDispenserEmpty,Banknot  Adedini  Sıfırla
XM_ManualNoteDispenserFill,Banknot\nadedini ayarla
XM_ManualNoteFillAlert,Kasa kapısını açın ve banknotları doğrudan kasete yerleştirin. Banknot alıcısına yerleştirmeyin.
XM_ManualNoteRecyclerFillAlert,Kasa kapısını açın ve banknotları doğrudan yükleyiciye koyun. Banknot alıcısına yüklemeyin.
XM_No,Hayır
XM_NoteDispenseFailure,%s verme başarısız.\nDüşük banknot adedi veya banknot vericisi hatası.
XM_PW,Kasiyer Şifresi
XM_PWPrompt,Şifrenizi girin ve “Giriş” e basın.
XM_PendingText,Bekliyor
XM_PleaseWait,İşlem gerçekleştiriliyor…\n\nLütfen bekleyin.
XM_Print,Nakit durumunu yazdır
XM_PurgeCoinRecycler,Madeni Para Dönüştürücüsünü Boşalt
XM_PurgeNoteRecycler,Banknot Dönüştürücüsünü Boşalt
XM_ReEnter,Hatalı Kasiyer numarası ve şifresi.\nLütfen tekrar deneyin
XM_ResetCoinsToBaseLevel,Bozuk Paraları Temel Seviyeye Getirin
XM_ResetNotesToBaseLevel,Banknot Miktarını Ayarla
XM_SelectFunc1,Sistem fonksiyonu seç
XM_SelectFunc2,İstenen fonksiyonu seçin.
XM_StoreNumber,Mağaza No:
XM_TransferAllNotes,Tüm Banknotları Geçir
XM_TransferNotesToOverflow,Banknotları Nakit Kutusuna Taşı
XM_Update,Güncelle
XM_Yes,Evet
XM_CardManagement,Kart Yönetimi
XM_SequenceNumber,Sıra Numarası
XM_TotalCoinsInserted,Toplam Yüklenen
XM_TotalNotesInserted,Toplam Yüklenen
XM_Value,Değer
XM_TransferXCount,Transfer (x) Adedi
XM_TransferXAmount,Transfer (x) Miktarı
XM_TransfertoCashBoxLeadThruText,"Nakit Kutusuna %s banknot transfer etmek için ""Değişiklikleri Uygula""yı seçin. Bekleyen tüm değişiklikleri geri almak için ""Değişiklikleri İptal Et""i seçin."
XM_MenuDispenseFunctions,Dağıtım Fonksiyonları
XM_MenuResetFunctions,Fonksiyonları Sıfırla
XM_MenuCashBoxTransfer,Nakit Kutusu Fonksiyonları
XM_LeadThruCashBoxTransfer,"İstenen transfer seçeneğini seçin.\nİşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_LeadThruResetFunction,"İstenen sıfırlama seçeneğini seçin.\nİşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_LeadThruDispenseFunction,"Para birimine basın ve miktar girin\nveya ""Bozuk Paraları Temel Seviyeye Getirin"" i seçin."
XM_PurgeInstructionRecycler,"Tasfiye İşlemleri: Reddedilen banknotlar tespit edildi. Reddedilen banknotları nakit kutusundan çıkarın. ""Tüm Banknotları Aktar"" seçeneğiyle uyarıyı durdurun ve ""Nakit Kutusunu Sıfırla""yı seçin."
XM_PurgeInstructionNonRecycler,"Tasfiye İşlemleri: Reddedilen banknotlar tespit edildi. Reddedilen banknotları tasfiye kutusundan çıkarın. ""Tüm Banknotları Aktar"" seçeneğiyle uyarıyı durdurun."
XM_ReplenishInstruction,"Banknot veya istenilen para birimini yerleştirin ve miktar veya sayı girin.\nİşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_PickUpAutoAmount,Otomatik Alma Miktarı
XM_PickUpXAmount,(x) Alma Miktarı
XM_MenuPickUpFunctions,Alma Fonksiyonları
XM_LeadThruPickUpFunction,"İstenen alma fonksiyonunu seçin.\nİşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_KeyPadEnterPickUpAmount,Klavyeyi kullanarak alma miktarını girin.
XM_InvalidPickUpAmount,Girilen değer aktarılabilecek veya verilebilecek mevcut miktardan daha büyük.
XM_InvalidStartingBank,Ayarlanan başlangıç dizisi aktarılabilecek veya verilebilecek mevcut miktardan daha büyük.
XM_CalculatedPickUpAmount,Hesaplanan alma miktarı %s.
XM_UnableToPickUp,Alma işlemi gerçekleştirilemedi.
XM_CoinAllowedDispenseExceeded,%d bozuk para alınmaya çalışılıyor. Alınabilecek maksimum bozuk para miktarı %d.
XM_InvalidPickUpAmount2,Nakit kutusu ve bozuk para taşma haznesindeki miktar alma miktarından büyük.
XM_LockScreen,Ekranı Kilitle
XM_SystemBusy,Sistem meşgul…Lütfen bekleyin
XM_AreYouSure_LockScreen,Ekranı kilitlemek istediğinizden emin misiniz?\nAygıtlar görevlerini tamamlayana kadar ekran açılamaz.
XM_NegativeAlert,"Negatif sayı bulundu. Muhtemel sebepler: tuşlama hatası yapıldı veya banknotlar yükleyici kasetine yerleştirildi ve banknot adedi Nakit Yönetimine girilmedi.\n\nSorunu çözmek için aşağıdaki adımları izleyin:\n1. ""Nakit Ekle"" ı seçin.\n2. Negatif sayılı birime basın.\n3. Negatif sayının tam karşılığı olan lira miktarını ve/veya yükleyiciye yerleştirilen miktarı girin.\n4. Değişiklikleri Uygula'yı seçin.\n5. Onaylamak için Evet'i seçin ve çıkın."
XM_AddCashLeadthru1,Bozuk paraları yerleştirin veya silindire dokunarak miktar girin veya adet ayarı yapın.
XM_AddCashLeadthru2,Banknotları yerleştirin veya silindire dokunarak miktar girin veya adet ayarı yapın.
XM_AddCashLeadthru3,Silindire dokunun ve miktarı girin veya adedi ayarlayın.
XM_CoinHopperEmpty,"Madeni para adedini sıfırlamak için madeni para hazneleri boş olmalıdır. ""Değişiklikleri  Uygula""yı seçmeden önce bütün madeni para haznelerini boşaltın."
XM_CollectRemainingCoins,Verme işlemi tamamlandığında bozuk paraları iade bölümünden çıkarın.
XM_FPIDPrompt,"Kullanıcı Adınızı girin ve ""Giriş""e basın veya giriş yapmak için parmağınızı parmak izi okuyucusuna yerleştirin."
XM_LoanFailure,Kredi Hatası
XM_LoanFailureLeadthru,Kredi reddedildi. İstediğiniz işlevi seçin.
XM_UndoLoan,Kredi işlemini iptal et
XM_CommitLoan,Kredi işlemini gerçekleştir
XM_PickUpFailure,Çekim Hatası
XM_PickUpFailureLeadthru,Çekim işlemi reddedildi. İstediğiniz işlevi seçin.
XM_UndoPickUp,Çekimi iptal et
XM_CommitPickUp,Çekimi gerçekleştir
XM_ManualRemoveCashAlert,"Çekim işlemini iptal etmek için nakdi nakit kutusundan, madeni paraları da taşma haznesinden çıkarın.\n\nBanknot\nÇıkarılacak adet: %d\nÇıkarılacak miktar: %s\n\nMadeni paralar\nÇıkarılacak adet: %d\nÇıkarılacak miktar: %s"
XM_POSRejectedLoanPickUp,Kredi/çekim POS tarafından reddedildi: %s / %d reddedildi.\n
XM_LoanPickUpCashierOverrides,Kasiyer Kimlik No %s krediyi/çekimi geçersiz kıldı: %s / %d  onaylandı.\n\n
XM_PlaceJammedBill,Nakit kutusunu çıkarın ve sıkışan banknotları içine yerleştirin.
MinMaxFastLaneBtnPrimaryTxt,SelfServ Checkout’i Simge Durumuna Küçült
MinMaxFastLaneBtnSecondaryTxt,SelfServ Checkout’i Büyüt
MinMaxFastLaneBtnPrimaryShowConfirmation,"SelfServ Checkout’i simge durumuna getirmek için ""SelfServ Checkout’i Simge Durumuna Küçült"" butonuna basin."
MinMaxFastLaneBtnSecondaryShowConfirmation,"SelfServ Checkout’i büyütmek için ""SelfServ Checkout’i Büyüt"" butonuna basin."
StopStartFastLaneBtnPrimaryTxt,SelfServ Checkout’i Durdur
StopStartFastLaneBtnSecondaryTxt,SelfServ Checkout’i Baslat
SwitchToRAPBtnPrimaryTxt,UOP’a Geç
ShutdownSystemBtnPrimaryTxt,Tüm Sistemi Kapat
RebootSystemBtnPrimaryTxt,Tüm Sistemi Yeniden Yükle
VolumeBtnPrimaryTxt,Ses Kontrolü
EventViewerBtnPrimaryTxt,Islem Görüntüleyici
GenerateLogBtnPrimaryTxt,Tanı Kayıt Dosyalarını Oluştur
ExitFastLaneAndRunProfileBtnPrimaryTxt,SelfServ Checkout’i Durdur ve Profil Yöneticisini Çalıştır
ExitFastLaneAndRunProfileBtnSecondaryTxt,Profil Yöneticisi’ni Aç
TerminalInfoBtnPrimaryTxt,Terminal Bilgisi
MinMaxRAPBtnPrimaryTxt,UOP’i Simge Durumuna Küçült
MinMaxRAPBtnSecondaryTxt,UOP’i Büyüt
MinMaxRAPBtnPrimaryShowConfirmation,"UOP’i simge durumuna getirmek için ""UOP’i Simge Durumuna Küçült"" butonuna basin."
MinMaxRAPBtnSecondaryShowConfirmation,"UOP’i büyütmek için ""UOP’i Büyüt"" butonuna basin."
StopStartRAPButtonPrimaryTxt,UOP’yi Durdur
StopStartRAPButtonSecondaryTxt,UOP’i Baslat
RapConfigureBtnPrimaryTxt,RAP Yapılandırması
SwitchToFastLaneBtnPrimaryTxt,SelfServ Checkout’e Geç
ExitRAPAndRunProfileBtnPrimaryTxt,UOP’yi Durdur ve Profil Yöneticisini Çalıştır
ExitRAPAndRunProfileBtnSecondaryTxt,Profil Yöneticisi’ni Aç
UtilityFunctionsTitle,NCR SelfServ Checkout\nCihaz Fonksiyonları
StartTitle,Sistem Baslatma
SystemStartup,Sistem baslatiliyor…lütfen bekleyin
TerminalID,Terminal Kimliği:: 
InterfaceVersion,Yazılım versiyonu.
TrainingProgramPrimaryTxt,Egitim Programi
LaunchPadNet_OperatorIDText,Operatör Kimliği:
KeySwitchOperatorID,Tuş Kilidi
LaunchPadNet_SignOnButtonText,Oturum Aç
LaunchPadNet_SignOffButtonText,Oturumu Kapat
SignedOffButtonText,Oturum Kapandı
Exit,Tümünden Çık
LaunchPadNet_ReturnToShoppingButtonText,Geri Dön
PickListEditor,Liste Editörünü Seç
RunADDTxt,Bir dahaki sistem yüklemesinde ADD’ i çalıştırın
TouchWareTxt,Dokunmatik Ekrani Ayarla
DiagConfirm,Tanisal Günlük Dosyasi olusturmak istediginizden emin misiniz?
ProfileManagerFLConfirm,SelfServ Checkout’i durdurup Profil Yöneticisini çalistirmak istediginizden emin misiniz?
ProfileManagerRAPConfirm,UOP’i durdurup Profil Yöneticisini çalistirmak istediginizden emin misiniz?
ProfileManagerConfirm,Profil Yöneticisini baslatmak istediginizden emin misiniz?
EventViewerConfirm,Olay Görüntüleyisini baslatmak istediginizden emin misiniz?
TrainingConfirm,Egitim Programini baslatmak istediginizden emin misiniz?
PicklistConfirm,Seçim Listesi Düzenleyicisini baslatmak istediginizden emin misiniz?
RunADDConfirm,Bir dahaki Sistem Başlatmada ADD’i çalıştırmak istediğinize emin misiniz?
CalibrateConfirm,Dokunmatik ekrani ayarlamak istediginizden emin misiniz?
ShutdownConfirm,Tüm sistemi kapatmak istediginizden emin misiniz?
RebootConfirm,Tüm sistemi yeniden yüklemek istediginizden emin misiniz?
CloseAllConfirm,Tüm uygulamalari kapatip masaüstüne gitmek istediginizden emin misiniz?
VolumeConfirm,Ses kontrolünü ayarlamak istediginizden emin misiniz?
TerminalInfoConfirm,Terminal bilgisini görüntülemek istediginizden emin misiniz?
StopFastLaneConfirm,SelfServ Checkout’i durdurmak istediginizden emin misiniz?
StopRAPConfirm,UOP’i durdurmak istediginizden emin misiniz?
StartFastLaneConfirm,SelfServ Checkout’i baslatmak istediginizden emin misiniz?
StartRAPConfirm,UOP’i baslatmak istediginizden emin misiniz?
WindowsLogOnTxt,Windows Oturumu Aç
WindowsLogOnConfirm,Tüm uygulamalardan çikip yeni kullanici oturumu açmak istediginizden emin misiniz?
YesText,Evet
NoText,Hayir
CommandPromptPrimaryTxt,Komut Istemi
CommandPromptConfirm,Komut Istemini baslatmak istediginize emin misiniz?
RSMLEPrimaryTxt,Retail Systems Manager LE programi
RSMLEConfirm,Retail Systems Manager LE programini baslatmak istediginize emin misiniz?
OperatorRegistrationUtility,Operatör Kayıt Cihazı
LaunchPadNet_EnterIDFpLeadthru,"Kullanıcı Adınızı girin ve ""Giriş""e basın veya giriş yapmak için parmağınızı parmak izi okuyucusuna yerleştirin."
LaunchPadNet_ReEnterIDFpLeadthru,Geçersiz Giriş. Lütfen klavyeyi veya parmak izinizi kullanarak tekrar giriş yapın.
LaunchPadNet_ClearButtonText,Sil
LaunchPadNet_EnterButtonText,Git
LaunchPadNet_GoBackButtonText,Geri Git
LaunchPadNet_SpaceButtonText,Boşluk
LaunchPadNet_BackSpaceButtonText,Geri Tuşu
LaunchPadNet_EnterIDLeadthru,Aşağıdaki tuş takımını kullanarak Kullanıcı Kimliği Girin
ReEnterIDLeadthru,Hatalı kimlik veya şifre. Lütfen aşağıdaki tuş takımını kullanarak yeniden giriş yapın.
LaunchPadNet_EnterPasswordLeadthru,Aşağıdaki tuş takımını kullanarak şifrenizi girin:
CancelButtonText,İptal Et
LaunchPadNet_LoggingInLeadthru,Oturum açiliyor…Lütfen bekleyin
LaunchPadNet_ShiftButtonText,Degistir
LaunchPadNet_SignedOffButtonText,Oturum Kapandi
LaunchPadNet_ReEnterIDLeadthru,Hatalı Kullanıcı Kimliği veya şifre. Lütfen aşağıdaki tuş takımını kullanarak yeniden giriş yapın.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Aşağıyı imzalayın.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CassetteMissing,Banknot haznesi ünitede değil.\nBanknot haznesini üniteye geri yerleştirin.
XM_Cassette,Kaset
XM_CollectFailure,The collect operation resulted in failure.
XM_TotalRemovedText,Toplam Çıkarılan: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalAddedText,Toplam Eklenen: %s
XM_OperatorID,Operatör Kimliği %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNotes\nCount to remove: %d\nAmount to remove: %s
XM_LeadThruGloryFunction,"Touch denomination and enter amount\nor touch ""Collect""."
XM_InitializeError,Sistemde düzeltilmesi gereken bir hata oluştu.
XM_GrandTotalText,Genel Toplam: %s
XM_EmptyCassetteAndRejectBin, Banknot haznesi ve İade Kutusundaki banknotları çıkarın.
XM_Collect,Collect
XM_CashUnbalance,Geri dönüştürücüde ayırım hatası.
XM_GloryDispenseNoteFullPreemptive,Lütfen Banknot ve Bozuk Paraları Alın\nBills are dispensed in bunches of 10. Tüm banknotlar çıkarılana kadar verme işlemi durdurulacak.
XM_GloryDispenseFullPreemptive,"Lütfen Banknot ve Bozuk Paraları Alın\nBills are dispensed in bunches of 10. Tüm banknotlar çıkarılana kadar verme işlemi durdurulacak. Eğer bozuk para iade kısmı doluysa uygun şekilde boşaltın. Verme işlemi, hazne boşalana kadar durdurulacak."
XM_GloryDispenseCupFullPreemptive,"Lütfen bozuk paraları çıkarın\nEğer bozuk para iade kısmı doluysa uygun şekilde boşaltın.  Verme işlemi, hazne boşalana kadar durdurulacak."
XM_NegativeAlert_Remove,"Negatif sayı bulundu. Muhtemel sebepler: tuşlama hatası yapıldı veya banknotlar yükleyici kasetine yerleştirildi ve banknot adedi Nakit Yönetimine girilmedi.\n\nSorunu çözmek için aşağıdaki adımları izleyin:\n1. ""Çık"" ı, ardından ""Nakit Ekle"" yi seçin.\n2. Negatif sayılı birime basın.\n3. Negatif sayının tam karşılığı olan lira miktarını ve/veya yükleyiciye yerleştirilen miktarı girin.\n4. Değişiklikleri Uygula'yı seçin.\n5. Onaylamak için Evet'i seçin ve çıkın."
PageIndicatorLabelFormat,{1} sayfanın {0} ncısı
DueCart,Ödenmesi gereken
ScotApp_1742,GEÇERSİZ PAKET
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Kupon Taranamıyor
ScotApp_41,İzne Tabi Ürünler
ScotApp_31,Kuponlar
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Kartınızı yerleştirin.\nLütfen ek ürünler için sepetinizi kontrol edin.
ScotApp_689,  Sales:      %d
ScotApp_589,Aygıt Merkezi yüklendi.
ScotApp_389,Kart İşleniyor
ScotApp_289,289unused
ScotApp_189,Seçenekler yüklendi.
ScotApp_91,91unused
ScotApp_773,Kazanılan Tutar:
ScotApp_673,Lütfen müşteriye %s para üstü verin.
ScotApp_1264,USERDEFINED6
ScotApp_473,Malzeme Seviyesi Düşük
ScotApp_373,Yazıcı çıkarma sıkışması
ScotApp_989,989unused
ScotApp_889,%s\nGerçek Ağırlık (%s): %s\nBeklenen Ağırlıklar (%S): %s
ScotApp_1520,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1042,KABUL MAKBUZU:\nBU MAKBUZ BİR BELGE \nKABULU BAŞARISIZ OLDUĞU İÇİN YAZDIRILDI. LÜTFEN BU \nMAKBUZU UYGUN BELGEYE İLİŞTİRİN.\n-----------------------------------------------------\n
ScotApp_973,973unused
ScotApp_873,D.L. /Kimlik Numarası Girişi:
ScotApp_1737,Kendi Çantası
ScotApp_752,Dünün Özeti
ScotApp_652, **Bu UPC için WLDB girişi yok
ScotApp_1054,1054unused
ScotApp_452,Kablonun madeni para alıcısının yan kısmına düzgün şekilde takılmış olup olmadığını kontrol edin.
ScotApp_352,Güncelle
ScotApp_252,\n Madeni para vericisinde sıkışma.\n\nMadeni para vericisindeki sıkışmayı giderin.
ScotApp_152,152unused
