AmountSaved,Заощаджено
XM_PurgeInstructionRecycler,"Операції з браком:  знайдено відбраковані купюри. Вийняти відбраковані купюри з касового ящика. Погасити запит, натиснувши “Перенести всі купюри”, потім “Обнулити касовий ящик""."
XM_PurgeInstructionNonRecycler,"Операції з браком:  знайдено відбраковані купюри. Вийняти відбраковані купюри із скидного лотка. Погасити запит, натиснувши “Обнулити к-ть купюр”."
XM_ReplenishInstruction,Внести готівку або вибрати номінал і ввести суму; або задати кількість.\nКоли готово - “Застосувати зміни”
XM_KeyPadEnterPickUpAmount,Ввести на клавіатурі суму зменшення.
XM_InvalidPickUpAmount,"Введена сума більше за суму, доступну для перенесення чи видачі."
XM_InvalidStartingBank,"Встановлена початкова каса більше за суму, доступну для перенесення чи видачі."
XM_CalculatedPickUpAmount,Розрахована сума зменшення: %s.
XM_UnableToPickUp,Неможливо зменшити касу.
XM_CoinAllowedDispenseExceeded,Спроба видати монети: %d шт. Можна видати не більше %d шт.
XM_InvalidPickUpAmount2,Сума в касовому ящику і лотку для зайвих монет більше за суму зменшення.
XM_LockScreen,Блок-екран
XM_SystemBusy,Система зайнята... Зачекайте
XM_AreYouSure_LockScreen,"Дійсно блокувати екран?\nНеможливо розблокувати екран, доки пристрої зайняті."
XM_NegativeAlert,"Знайдено від’ємне число. Можливі причини: помилка при наборі; купюри покладено у завантажну касету, але їхню кількість не введено у вікні “Робота з готівкою”.\n\nДля виправлення виконати наступне:\n1. Вибрати “Додати готівку”.\n2. Натиснути номінал з від’ємним числом.\n3. Ввести точну суму купюр, для яких вказано від’ємне число, та/або суму, покладену в завантажувач.\n4. Вибрати “Застосувати зміни”.\n5. Підтвердити (“Так”) і “Вийти”."
XM_NegativeAlert_Remove,"Знайдено від’ємне число. Можливі причини: помилка при наборі; купюри покладено у завантажну касету, але їхню кількість не введено у вікні “Робота з готівкою”.\n\nДля виправлення виконати наступне:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Натиснути номінал з від’ємним числом.\n3. Ввести точну суму купюр, для яких вказано від’ємне число, та/або суму, покладену в завантажувач.\n4. Вибрати “Застосувати зміни”.\n5. Підтвердити (“Так”) і “Вийти”."
XM_AddCashLeadthru1,Внести монети чи натиснути на циліндр і ввести суму; або задати кількість.
XM_AddCashLeadthru2,Внести готівку чи натиснути на циліндр і ввести суму; або задати кількість.
XM_AddCashLeadthru3,Натиснути на циліндр і ввести суму або задати кількість.
XM_CoinHopperEmpty,"Щоб обнулити кількість монет, збирач монет має бути порожнім. Випорожнити всі збирачі монет і натиснути “Застосувати зміни”."
XM_CollectRemainingCoins,"Коли видачу закінчено, вийняти монети з лотка повернення."
XM_FPIDPrompt,Для входу наберіть код користувача і натисніть “Ввести” або покладіть палець на дактилоскоп.
XM_LoanFailure,Не вдалося збільшити касу
XM_LoanFailureLeadthru,У збільшенні каси відмовлено. Виберіть потрібну функцію.
XM_UndoLoan,Не поповнювати
XM_CommitLoan,Поповнити
XM_PickUpFailure,Не вдалося зменшити касу
XM_PickUpFailureLeadthru,У зменшенні каси відмовлено. Виберіть потрібну функцію.
XM_UndoPickUp,Не зменшувати
XM_CommitPickUp,Зменшити
XM_ManualRemoveCashAlert,Для скасування вийняти готівку з касового ящика і монети зі збирача зайвих монет.\n\nКупюри\nВийняти штук: %d\n\nВийняти суму:%s\n\nМонети\nВийняти штук: %d\n\nВийняти суму:%s
XM_POSRejectedLoanPickUp,Термінал відмовив у збільшенні чи зменшенні каси:  відхилено %s / %d.\n
XM_LoanPickUpCashierOverrides,Касир № %s примусово збільшив/зменшив касу: виконано на суму %s / %d шт.\n\n
XM_PlaceJammedBill,Вийняти касовий ящик і покласти всередину застряглі купюри.
XM_GrandTotalText,Разом: %s
XM_TotalAddedText,Сума Added: %s
XM_TotalRemovedText,Сума Removed: %s
XM_TotalColectedText,Сума Collected: %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nКупюри\nВийняти штук: %d\n\nВийняти суму:%s
XM_CashUnbalance,Помилка модуля приймання-видачі: розбіжність даних
XM_Collect,Візьміть картку
XM_CollectFailure,The collect operation resulted in failure.
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Візьміть картку""."
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_EmptyCassetteAndRejectBin, Remove bills from Bill Cassettes and Reject Bin.
XM_OperatorID,Код оператора %s
XM_InitializeError,The system encounters an error to be corrected.
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
MinMaxFastLaneBtnPrimaryTxt,Згорнути SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Розгорнути SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,Щоб згорнути SelfServ Checkout натисніть кнопку “Згорнути SelfServ Checkout”.
MinMaxFastLaneBtnSecondaryShowConfirmation,"Щоб розгорнути SelfServ Checkout, натисніть кнопку “Розгорнути SelfServ Checkout”."
StopStartFastLaneBtnPrimaryTxt,Зупинити SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Запустити SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Перейти на СПП
ShutdownSystemBtnPrimaryTxt,Вимкнути всю систему
RebootSystemBtnPrimaryTxt,Перезавантажити систему
VolumeBtnPrimaryTxt,Звук
EventViewerBtnPrimaryTxt,Вікно подій
GenerateLogBtnPrimaryTxt,Створити файли діагностики
ExitFastLaneAndRunProfileBtnPrimaryTxt,"Зупинити SelfServ Checkout, запустити Диспетчер профілів"
ExitFastLaneAndRunProfileBtnSecondaryTxt,Запустити Диспетчер профілів
TerminalInfoBtnPrimaryTxt,Про термінал
MinMaxRAPBtnPrimaryTxt,Згорнути СПП
MinMaxRAPBtnSecondaryTxt,Розгорнути СПП
MinMaxRAPBtnPrimaryShowConfirmation,"Щоб згорнути СПП, натисніть кнопку “Згорнути СПП”."
MinMaxRAPBtnSecondaryShowConfirmation,"Щоб розгорнути СПП, натисніть кнопку “Розгорнути СПП”."
StopStartRAPButtonPrimaryTxt,Зупинити СПП
StopStartRAPButtonSecondaryTxt,Запустити СПП
RapConfigureBtnPrimaryTxt,Налаштувати СПП
SwitchToFastLaneBtnPrimaryTxt,Перейти на SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,"Зупинити СПП, запустити Диспетчер профілів"
ExitRAPAndRunProfileBtnSecondaryTxt,Запустити Диспетчер профілів
UtilityFunctionsTitle,NCR SelfServ Checkout\nФункції
StartTitle,Запуск системи
SystemStartup,Іде запуск... Зачекайте
TerminalID,Термінал №:
InterfaceVersion,Версія програми:
TrainingProgramPrimaryTxt,Навчальна програма
LaunchPadNet_OperatorIDText,Код оператора:
KeySwitchOperatorID,Замок
LaunchPadNet_SignOnButtonText,Увійти
LaunchPadNet_SignOffButtonText,Вийти
SignedOffButtonText,Вихід здійснено
Exit,Вийти All
LaunchPadNet_ReturnToShoppingButtonText,Повернутися
PickListEditor,Редагувати перелік покупок
RunADDTxt,Запустити АВП під час наступного ввімкнення
TouchWareTxt,Калібрувати сенсорний екран
DiagConfirm,Створити файли діагностики?
ProfileManagerFLConfirm,Зупинити SelfServ Checkout і запустити Диспетчер профілів?
ProfileManagerRAPConfirm,Зупинити СПП і запустити Диспетчер профілів?
ProfileManagerConfirm,Запустити Диспетчер профілів?
EventViewerConfirm,Запустити Вікно подій?
TrainingConfirm,Запустити навчальну програму?
PicklistConfirm,Запустити редактор списків покупок?
RunADDConfirm,Запустити автоматичний пошук пристроїв після наступного ввімкнення?
CalibrateConfirm,Калібрувати сенсорний екран?
ShutdownConfirm,Вимкнути всю систему?
RebootConfirm,Повністю перезавантажити систему?
CloseAllConfirm,Вийти з усіх програм та перейти на робочий стіл?
VolumeConfirm,Відрегулювати гучність?
TerminalInfoConfirm,Переглянути інформацію про термінал?
StopFastLaneConfirm,Зупинити SelfServ Checkout?
StopRAPConfirm,Зупинити СПП?
StartFastLaneConfirm,Запустити SelfServ Checkout?
StartRAPConfirm,Запустити СПП?
WindowsLogOnTxt,Вхід у Windows
WindowsLogOnConfirm,Вийти з усіх програм та увійти під іншим іменем?
YesText,Так
NoText,Ні
CommandPromptPrimaryTxt,Командний рядок
CommandPromptConfirm,Відкрити командний рядок?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Запустити Retail Systems Manager LE?
OperatorRegistrationUtility,Утиліта реєстрації оператора
LaunchPadNet_EnterIDFpLeadthru,Для входу наберіть код користувача і натисніть “Ввести” або покладіть палець на дактилоскоп.
LaunchPadNet_ReEnterIDFpLeadthru,Невірний код користувача. Введіть код ще раз або покладіть палець на дактилоскоп.
LaunchPadNet_ClearButtonText,Очистити
LaunchPadNet_EnterButtonText,Ввести
LaunchPadNet_GoBackButtonText,Назад
LaunchPadNet_SpaceButtonText,Пробіл
LaunchPadNet_BackSpaceButtonText,Стерти
LaunchPadNet_EnterIDLeadthru,Введіть код на клавіатурі:
ReEnterIDLeadthru,Невірний код чи пароль. Введіть ще раз.
LaunchPadNet_EnterPasswordLeadthru,Введіть пароль на клавіатурі:
CancelButtonText,Скасувати
LaunchPadNet_LoggingInLeadthru,Вхід...Зачекайте
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Вихід здійснено
LaunchPadNet_ReEnterIDLeadthru,Невірний код чи пароль. Введіть ще раз.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
PageIndicatorLabelFormat,Стор. {0} з {1}
SignBelow,Розпишіться.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
HH_TransactionCancelLeadThru2,Операцію скасовано.
SignOnTitle,NCR SelfServ Checkout Log In
DueCart,До сплати
ScotApp_1,фунти
ScotApp_2,кг
ScotApp_3,3unused
ScotApp_4,4unused
ScotApp_5,5unused
ScotApp_6,6unused
ScotApp_7,7unused
ScotApp_8,8unused
ScotApp_9,9unused
ScotApp_10,10unused
ScotApp_11,11unused
ScotApp_12,"  К-ть %d, ціна %s/од."
ScotApp_13,"  %ss, %s/%s"
ScotApp_14,14unused
ScotApp_15,Код товару:
ScotApp_16,З вашої картки буде списано %s.
ScotApp_17,Купон
ScotApp_18,Сума
ScotApp_19,Податок
ScotApp_20,20unused
ScotApp_21,21unused
ScotApp_22,Без\nзняття\nготівки\n+ 0          \n(%s)
ScotApp_23,+ %s (%s)
ScotApp_24,Скасовано
ScotApp_25,Дата народження:
ScotApp_26,26unused
ScotApp_27,27unused
ScotApp_28,Скасувати покупку
ScotApp_29,Товари обмеженого відпуску
ScotApp_30,Скасовані товари
ScotApp_31,Купони
ScotApp_32,Далі
ScotApp_33,Збій ліквідовано
ScotApp_34,34unused
ScotApp_35,Решта:
ScotApp_36,Повернено:
ScotApp_37,37unused
ScotApp_38,38unused
ScotApp_39,Скасування операції
ScotApp_40,Авторизація магазину
ScotApp_41,Товари обмеженого відпуску
ScotApp_42,Скасовані товари
ScotApp_43,43unused
ScotApp_44,44unused
ScotApp_45,45unused
ScotApp_46,Довідка
ScotApp_47,Старт
ScotApp_48,48unused
ScotApp_49,49unused
ScotApp_50,50unused
ScotApp_51,Не зчитано купон
ScotApp_52,Скасувати купони
ScotApp_53,53unused
ScotApp_54,Скасувати
ScotApp_55,Скасувати все
ScotApp_56,Скасувати платіж
ScotApp_57,Закінчити і оплатити
ScotApp_58,ОК
ScotApp_59,Спробуйте знов
ScotApp_60,Викликати допомогу
ScotApp_61,61unused
ScotApp_62,Так
ScotApp_63,Ні
ScotApp_64,Скасувати обране
ScotApp_65,65unused
ScotApp_66,66unused
ScotApp_67,Назад
ScotApp_68,68unused
ScotApp_69,69unused
ScotApp_70,70unused
ScotApp_71,71unused
ScotApp_72,72unused
ScotApp_74,Скасувати
ScotApp_75,Готово
ScotApp_76,76unused
ScotApp_77,Кредитна
ScotApp_78,Банкомат (без зняття готівки)
ScotApp_79,79unused
ScotApp_80,80unused
ScotApp_81,Далі
ScotApp_82,82unused
ScotApp_83,83unused
ScotApp_84,Завантажити параметри
ScotApp_85,85unused
ScotApp_86,86unused
ScotApp_87,87unused
ScotApp_88,88unused
ScotApp_89,89unused
ScotApp_90,90unused
ScotApp_91,91unused
ScotApp_92,Вітаємо!
ScotApp_93,Сканувати і пакувати
ScotApp_94,94unused
ScotApp_95,Сканувати купони
ScotApp_96,96unused
ScotApp_97,Обрати ємність зі списку
ScotApp_98,98unused
ScotApp_99,Скільки скасувати
ScotApp_100,Потрібна кількість
ScotApp_101,Невідома ціна
ScotApp_102,Відкликаний товар
ScotApp_103,Введіть код товару.
ScotApp_104,104unused
ScotApp_105,Невідомий товар
ScotApp_106,Потрібна допомога
ScotApp_107,Зараз підійде консультант
ScotApp_108,Невідповідний купон
ScotApp_109,Далі?
ScotApp_110,Зважити товар
ScotApp_111,Обнулити ваги
ScotApp_112,Підтвердити кількість
ScotApp_113,Скасувати товари
ScotApp_114,Скасувати товари не можна
ScotApp_115,"Так, скасувати"
ScotApp_116,Скасувати всі товари
ScotApp_117,Відкласти товари
ScotApp_118,Потрібне підтвердження
ScotApp_119,Скасувати всі товари
ScotApp_120,Операцію скасовано. Зніміть
ScotApp_121,товари з цієї касової стійки.
ScotApp_122,122unused
ScotApp_123,123unused
ScotApp_124,124unused
ScotApp_126,(ддммрр).
ScotApp_127,127unused
ScotApp_128,128unused
ScotApp_129,"Перевірити, чи скасовані товари відкладено."
ScotApp_130,Внесіть купони.
ScotApp_131,Внести купони
ScotApp_132,132unused
ScotApp_133,133unused
ScotApp_135,135unused
ScotApp_136,Внесіть гроші
ScotApp_137,Візьміть решту
ScotApp_138,Заберіть картку
ScotApp_139,Візьміть чек
ScotApp_140,Дякуємо
ScotApp_141,Оберіть тип картки
ScotApp_142,Підтвердити суму
ScotApp_143,Підпишіть чек
ScotApp_144,Порівняти підпис
ScotApp_145,145unused
ScotApp_146,Оберіть спосіб оплати.
ScotApp_147,147unused
ScotApp_148,148unused
ScotApp_149,Введіть ПІН
ScotApp_150,"Оберіть суму, яку бажаєте зняти готівкою"
ScotApp_151,Візьміть гроші
ScotApp_152,152unused
ScotApp_153,153unused
ScotApp_154,Завантаження...
ScotApp_155,Системне повідомлення
ScotApp_156,Системне повідомлення
ScotApp_157,Системне повідомлення
ScotApp_158,Відпуск товару - з дозволу магазину. Продовжуйте.
ScotApp_162,Відскануйте товари і купони.
ScotApp_163,163unused
ScotApp_168,Відскануйте купони і відкладіть їх до кінця купівлі.
ScotApp_170,"Зніміть товар з ваг, натисніть на сканері кнопку “Обнулити ваги”."
ScotApp_172,Відскануйте непотрібний товар чи оберіть його на чеку.
ScotApp_173,173unused
ScotApp_174,Відсканований товар не знайдено. Цей товар ще не придбано або вже скасовано.
ScotApp_176,Припинити оформлення покупки та скасувати її повністю?
ScotApp_179,179unused
ScotApp_180,Відкладіть купони.Внесіть їх наприкінці оформлення покупки.
ScotApp_181,\nВведіть на клавіатурі вартість купона в гривнях і натисніть “ОК”.
ScotApp_183,183unused
ScotApp_185,Порівняйте підпис покупця з підписом на картці.
ScotApp_186,186unused
ScotApp_187,187unused
ScotApp_188,Завантажуються параметри...
ScotApp_189,Параметри завантажено.
ScotApp_190,Завантаження Transaction Broker...
ScotApp_191,Transaction Broker завантажено.
ScotApp_192,192unused
ScotApp_193,193unused
ScotApp_194,Завантаження Device Manager...
ScotApp_195,Device Manager завантажено.
ScotApp_196,Завантаження Presentation Services...
ScotApp_197,Presentation Services завантажено.
ScotApp_198,Завантаження User Exits...
ScotApp_199,User Exits завантажено.
ScotApp_200,Перевірка Transaction Broker...
ScotApp_201,Початок перевірки...
ScotApp_202,Кінець перевірки...
ScotApp_203,203unused
ScotApp_204,Копіювання файлів на сервер...
ScotApp_205,Копіювання закінчено.
ScotApp_206,Буде завантажено параметри.
ScotApp_207,207unused
ScotApp_208,208unused
ScotApp_209,Зупинити програму
ScotApp_210,210unused
ScotApp_212,212unused
ScotApp_213,213unused
ScotApp_214,Дебетова - поточний
ScotApp_215,Дебетова - депозит
ScotApp_216,"* Відчинити дверцята принтера.\n* Відкрити кришку принтера, перевірити, чи не застряг папір.\n* Закрити кришку, перезаправити папір.\n* Має друкуватися чек зі значком “смайлик”.\n* Зачинити і замкнути дверцята принтера."
ScotApp_217,217unused
ScotApp_218,У принтері закінчується папір
ScotApp_219,219unused
ScotApp_220,"* Відчинити дверцята принтера.\n* Відкрити кришку принтера, перевірити, чи не застряг папір.\n* Заправити новий рулон паперу.\n* Зачинити і замкнути дверцята принтера."
ScotApp_221,Зачинити і замкнути дверцята принтера.
ScotApp_222,"Порядок дій при роботах з принтером: перевірити наявність помилок принтера та помилок у вікні подій, натиснути “Збій ліквідовано”."
ScotApp_223,Лоток вилучених карт кард-ридера повний
ScotApp_224,Лоток вилучених карт кард-ридера вийнято
ScotApp_225,Лоток вилучених карт кард-ридера вставлено
ScotApp_226,Кард-ридер не працює
ScotApp_227,У кард-ридері недійсна картка
ScotApp_228,Затулку кард-ридера закрито через затор
ScotApp_229,229unused
ScotApp_230,Стан приймача готівки: відбраковано
ScotApp_231,231unused
ScotApp_232,"* Вийняти приймач купюр та касету.\n* Перевірити касету на затор.\n* Відчинити дверцята зверху приймача, перевірити на затор купюр.\n* Щільно зачинити дверцята.\n* Вставити приймач купюр та касету."
ScotApp_233,"Переконатися, що приймач купюр встановлено вірно.\n\nЗвільнити ручку, потягнувши за неї, витягти приймач купюр.\n\nВставити приймач купюр до упору."
ScotApp_234,"Вийняти купюрну касету.\n\nЗвільнити касету від купюр.\n\nВставити касету на місце до фіксації.\n\nПеревірити фіксацію, потягнувши касету за ручку."
ScotApp_235,Приймач готівки майже повний
ScotApp_236,236unused
ScotApp_237,"Вставити касету до фіксації.\n\nПеревірити фіксацію, потягнувши касету за ручку."
ScotApp_238,\nПриймач не зареєстрував внесену готівку.\n\nПеревірити купюрну касету.
ScotApp_239,Неочікуваний стан Device Manager
ScotApp_240,Загальний збій Device Manager
ScotApp_241,Неочікувана помилка Device Manager
ScotApp_242,Затор карти у кард-ридері
ScotApp_243,Недійсна картка у кард-ридері
ScotApp_244,244unused
ScotApp_245,Кард-ридер не працює
ScotApp_246,246unused
ScotApp_247,247unused
ScotApp_248,248unused
ScotApp_249,249unused
ScotApp_250,250unused
ScotApp_251,251unused
ScotApp_252,\nЗатор на роздавачі монет\n\nЛіквідувати затор на роздавачі монет.
ScotApp_253,253unused
ScotApp_254,Не працює роздавач монет\nВнести монети у роздавач або\nувімкнути живлення або\nліквідувати затор на роздавачі.
ScotApp_255,255unused
ScotApp_256,Кінець роботи User Exits.
ScotApp_257,257unused
ScotApp_258,Кінець роботи Transaction Broker.
ScotApp_259,Кінець роботи Device Manager.
ScotApp_260,260unused
ScotApp_261,261unused
ScotApp_262,262unused
ScotApp_264,264unused
ScotApp_265,265unused
ScotApp_266,Сек. Кінець роботи Agent..
ScotApp_267,Контроль
ScotApp_268,Помилка читання карти
ScotApp_269,Режим “Касир”
ScotApp_270,Прийняти купони
ScotApp_271,Прийняти використані купони
ScotApp_272,Перевірити використані купони
ScotApp_276,276unused
ScotApp_277,277unused
ScotApp_278,Журнал контролю
ScotApp_279,Підтвердити всі випадки порушень.
ScotApp_280,Очистити журнал контролю
ScotApp_281,281unused
ScotApp_282,Введіть ім’я користувача
ScotApp_283,Введіть пароль
ScotApp_284,Сканер: втрачено дані
ScotApp_285,Сканер: невірний суфікс протикрадіжк. давача
ScotApp_286,Сканер: невірний префікс2 протикрадіжк. давача
ScotApp_287,Сканер: невірний протикрадіжковий давач
ScotApp_288,"Натиснути “Збій ліквідовано”.\n* Якщо помилка виникає знов, перезавантажити термінал:\n* Повернути замок адміністратора на “S” -АБО натиснути кнопку “Адміністратор”.\n* Обрати “Вимкнути всю систему”.\n* Коли екран згас, вимкнути термінал на ББЖ чи на подовжнику.\n* Увімкнути термінал. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_289,289unused
ScotApp_290,290unused
ScotApp_291,"Затор на трубці роздавача монет\n%s\nЛіквідувати затор на роздавачі монет, натиснути “Затор ліквідовано”."
ScotApp_292,Не зчитано купон
ScotApp_293,Потрібна допомога
ScotApp_295,295unused
ScotApp_296,296unused
ScotApp_297,297unused
ScotApp_298,298unused
ScotApp_299,299unused
ScotApp_300,300unused
ScotApp_301,Введіть вартість купона
ScotApp_302,На платіжному пристрої введіть ПІН.
ScotApp_303,Скасувати товари
ScotApp_304,Вибір ємності
ScotApp_306,Без ємності
ScotApp_307,Інша ємність
ScotApp_308,коп.
ScotApp_309,грн.
ScotApp_310,лоток майже порожній
ScotApp_311,лоток порожній
ScotApp_312,затор у лотку
ScotApp_313,313unused
ScotApp_314,збій на лотку
ScotApp_315,315unused
ScotApp_316,316unused
ScotApp_317,317unused
ScotApp_318,318unused
ScotApp_319,Оплата карткою
ScotApp_320,Назад
ScotApp_321,Перевірка операції
ScotApp_322,322unused
ScotApp_323,"  К-ть %d, ціна %d/%s"
ScotApp_324,Дата непотрібна
ScotApp_325,Введено невірну дату
ScotApp_326,Дата народж. не задовольняє віковим обмеженням на товар.
ScotApp_327,Пристрій не в мережі. Перевірити кабелі та журнал подій:
ScotApp_328,"Не вдалося видати %s.\n* Перевірити роздавачі купюр та монет.\n* Якщо порожні, поповнити.\n* Якщо не порожні, усунути затор.\n* Натиснути “Збій ліквідовано”. Затор монет або відсутні/повні збирачі монет"
ScotApp_329,"  %ss, ціна %d %s/%s"
ScotApp_330,Режим “Касир”
ScotApp_331,Зніміть товари з пакувальних ваг. Вимкнено клавіатуру.
ScotApp_332,Вихід з режиму “Касир”.
ScotApp_333,Збій затулки кард-ридера через затор
ScotApp_334,Помилка кард-ридера: немає картки
ScotApp_335,Можливе втручання клієнта в роботу кард-ридера
ScotApp_336,Шукати товар
ScotApp_337,Відскануйте товар або введіть код і натисніть “ОК”.
ScotApp_338,Введіть перші три літери опису товару.
ScotApp_339,339unused
ScotApp_340,Вибір товару зі списку. Кнопки зі стрілками - рух вгору-вниз.
ScotApp_341,341unused
ScotApp_342,Введіть опис
ScotApp_343,343unused
ScotApp_344,344unused
ScotApp_345,345unused
ScotApp_346,Банкомат (зі зняттям готівки)
ScotApp_347,Товари обмеженого відпуску скасовано: вікові обмеження. Відкладіть товар.
ScotApp_348,348unused
ScotApp_349,349unused
ScotApp_350,"Запас готівки, паперу"
ScotApp_351,"Запас готівки, паперу"
ScotApp_352,Оновити
ScotApp_353,Назад
ScotApp_354,Функції системи
ScotApp_355,Вибір функції системи
ScotApp_356,Шифратор
ScotApp_357,357unused
ScotApp_358,Назад у режим “Касир”
ScotApp_359,Функції системи
ScotApp_360,Закрити касу
ScotApp_361,Касу закрито
ScotApp_362,Введіть пароль
ScotApp_363,\nНа клавіатурі введіть пароль оператора.
ScotApp_364,364unused
ScotApp_365,Принтер: затор на голівці
ScotApp_366,Принтер: затор на ножі
ScotApp_367,367unused
ScotApp_368,"Принтер: не заправлено папір, затор"
ScotApp_369,Помилка контакту з принтером
ScotApp_370,Відкрито кришку принтера
ScotApp_371,Принтер: замінити голівку
ScotApp_372,Принтер: помилка на бічних контактах
ScotApp_373,Принтер: затор паперу на виході
ScotApp_374,Принтер: не розпізнано чорну мітку
ScotApp_375,Принтер: час очікування вибіг
ScotApp_376,376unused
ScotApp_377,Модулі - Стан
ScotApp_378,Чековий принтер
ScotApp_379,Приймач готівки
ScotApp_380,380unused
ScotApp_381,Працює
ScotApp_382,Невідомий
ScotApp_383,383unused
ScotApp_384,384unused
ScotApp_385,385unused
ScotApp_386,Вийнято касету
ScotApp_387,Затор транспортних шляхів
ScotApp_388,Обробляється...
ScotApp_389,Картка обробляється
ScotApp_390,Відкликані товари
ScotApp_391,Товари без ціни
ScotApp_392,Невідомі товари
ScotApp_393,Принтер журналу
ScotApp_394,394unused
ScotApp_395,Товари обмеженого відпуску не дозволено
ScotApp_396,Причини виклику помічника:
ScotApp_398,Вставлено касету
ScotApp_399,399unused
ScotApp_400,400unused
ScotApp_401,"Вставте картку. Перевірте, чи немає в кошику інших товарів."
ScotApp_402,Немає
ScotApp_403,403unused
ScotApp_404,404unused
ScotApp_406,406unused
ScotApp_408,408unused
ScotApp_409,Системне повідомлення
ScotApp_411,Отримайте дисконтну картку
ScotApp_416,Завантаження Hard Totals...
ScotApp_417,Hard Totals завантажено.
ScotApp_418,Кінець роботи Hard Totals...
ScotApp_419,419unused
ScotApp_420,420unused
ScotApp_421,"Відскануйте товар або почніть роботу, натиснувши “Старт”."
ScotApp_422,422unused
ScotApp_423,"Вставте картку. Перевірте, чи немає в кошику інших товарів."
ScotApp_424,Введіть суму
ScotApp_425,425unused
ScotApp_426,Каса №:
ScotApp_427,Замало готівки
ScotApp_428,Жовтий
ScotApp_429,Червоний
ScotApp_430,Не працює
ScotApp_432,СОЦІАЛЬНА (EBT)
ScotApp_433,433unused
ScotApp_434,Вид соц. допомоги
ScotApp_436,Підтвердити суму
ScotApp_437,Замалий залишок
ScotApp_439,439unused
ScotApp_441,Підтвердити суму
ScotApp_444,Продовольчі талони
ScotApp_445,Грошова допомога
ScotApp_446,Відкласти операцію
ScotApp_447,Рахунок постійного покупця активовано.
ScotApp_448,Рахунок постійного покупця активовано.
ScotApp_449,Стан приймача монет: відбраковано
ScotApp_450,450unused
ScotApp_451,Стан приймача монет: затор
ScotApp_452,Перевірити контакт кабелю з бічним гніздом приймача монет.
ScotApp_453,Приймач монет повний
ScotApp_454,454unused
ScotApp_455,455unused
ScotApp_456,456unused
ScotApp_457,457unused
ScotApp_459,Після оформлення покупки залишок на рахунку зберігається.
ScotApp_460,Покупку оформлено.
ScotApp_461,Завантаження Remote Approval...
ScotApp_462,Remote Approval завантажено.
ScotApp_463,Кінець роботи Remote Approval...
ScotApp_464,%s               %s
ScotApp_465,%s               %s
ScotApp_466,   Сканований невідомий товар
ScotApp_467,467unused
ScotApp_468,   Відкликаний
ScotApp_469,469unused
ScotApp_470,   Вікові обмеження
ScotApp_471,   Visual Validation
ScotApp_472,Потрібна допомога
ScotApp_473,Замало готівки/паперу
ScotApp_474,474unused
ScotApp_475,Операцію відкладено
ScotApp_476,Здача купонів
ScotApp_478,Здача купонів.
ScotApp_479,Здати купони
ScotApp_481,Потрібна допомога
ScotApp_482,482unused
ScotApp_483,Розпишіться ручкою у вікні.
ScotApp_484,Потрібен підпис
ScotApp_485,Потрібен підпис
ScotApp_486,Вгору
ScotApp_487,Вниз
ScotApp_488,Покладіть товар на ваги: %s
ScotApp_490,"Відскануйте товар або почніть роботу, натиснувши “Старт”."
ScotApp_492,Візьміть решту.
ScotApp_493,Візьміть чек під платіжним пристроєм.
ScotApp_494,Оберіть суму для зняття готівкою.
ScotApp_496,Ліміт кількості
ScotApp_497,До сплати:
ScotApp_498,Сплачено:
ScotApp_499,499unused
ScotApp_500,500unused
ScotApp_502,Відкладіть скасований товар.
ScotApp_503,503unused
ScotApp_504,504unused
ScotApp_505,Невірне число
ScotApp_506,506unused
ScotApp_507,Візуальний контроль товарів
ScotApp_508,508unused
