XM_NoteOverflowText,Sedelkas.
XM_NoteRecycler,Sedelrecykler
XM_Notes,Sedlar
XM_PurgeOperationText,Returfunktioner
XM_TerminalNumber,Terminal-ID
XM_TotalCount,Totalt antal:
XM_TotalValue,Totalt värde:
XM_CoinsSubtotal,Summa mynt:
XM_NotesSubtotal,Summa sedlar:
XM_GrandTotal,Totalsumma:
XM_PurgeInstruction, Returfunktioner:  Ogiltig sedel har upptäckts. Gå till kassan och kontrollera enheten.
XM_RAP_NegativeAlert,Negative number found. Gå till kassan och kontrollera enheten.
XM_AreYouSure,Är du säker på att du vill genomföra åtgärderna i nedanstående lista?
XM_Attendant,Personal
XM_Backspace,Backsteg
XM_BillAcceptor,Sedelinmatare
XM_BillDispenser,Sedelutmatare
XM_Bins,Kassetter
XM_BothDispenseFailure,Det gick inte att mata ut %s.\nKontanter saknas eller fel på utmataren.
XM_CancelChanges,Avbryta ändringar
XM_CannotCompleteTransfer,Överföringen kan inte göras.\nDet finns inte plats i sedelkassetten.\nTöm sedelkassetten först.
XM_CashManagement,Sedelhantering
XM_CashManagementReport,Kontanthanteringsrapport
XM_CashRemove,Ta bort kontanter
XM_CashRemoveLeadthru,Välj funktion.
XM_CashReplenishLeadthru,Välj funktion.
XM_CashReplenishLeadthru1,Mata in mynt eller välja funktion.
XM_CashReplenishLeadthru2,Mata in sedlar eller välja funktion.
XM_CashReplenishLeadthru3,"Tryck på ""Avsluta"" när du är klar."
XM_CashReplenishment,Lägga till sedlar
XM_ChangeInCount,Ändrat antal
XM_ChangeInValue,Ändrad valör
XM_Clear,Radera
XM_ClearPrompt1,"Välj en annan funktion eller ""Avsluta"" när du är klar."
XM_ClearPrompt2,"Välj en annan funktion eller ""Avsluta""."
XM_CoinAcceptorOffline,Automaten fungerar inte.\n\nStäng av och starta om terminalen.
XM_CoinDispenseFailure,Matade inte ut %s-sedlar.\nFör få mynt eller fel på.
XM_CoinDispenser,Myntutmatare
XM_CoinManagement,Mynthantering
XM_ConfirmAction,Bekräfta åtgärder
XM_ConfirmCoinDispense,* Mata ut mynt\nBelopp som ska matas ut: %s\nAntal som ska matas ut: %d
XM_ConfirmEmptyCoinAcceptor,* Nollställa mynträknare i myntinmatare\nBelopp som ska tas bort:%s
XM_ConfirmEmptyCoinOverflow,* Nollställa mynträknare i myntboxen\nBelopp som ska tas bort:%s
XM_ConfirmEmptyNoteAcceptor,* Nollställa sedelräknare i sedelinmataren\nBelopp som ska tas bort:%s
XM_ConfirmEmptyNoteOverflow,* Nollställa sedelräknare i sedelkassetten\nBelopp som ska tas bort:%s
XM_ConfirmFillLoaderCassette,* Ställa in sedelräknare\nNytt belopp: %s\nNytt antal: %d
XM_ConfirmManualCoinEmpty,* Nollställa mynträknare\nBelopp som ska tas bort:%s\nAntal som ska tas bort: %d
XM_ConfirmManualCoinFill,* Ställa in mynträknare\nNytt belopp: %s\nNytt antal: %d
XM_ConfirmManualNoteEmpty,* Nollställa sedelräknare\nBelopp som ska tas bort: %s\nAntal som ska tas bort: %d
XM_ConfirmManualNoteFill,* Ställa in sedelräknare\nNytt belopp: %s\nNytt antal: %d
XM_ConfirmNoteDispense,* Mata ut sedlar\nBelopp som ska matas ut: %s\nAntal som ska matas ut: %d
XM_ConfirmTransferNotesToOverflow,* Överföra sedlar till sedelkassett\nBelopp som ska överföras: %s\nAntal som ska överföras: %d
XM_Count,Antal
XM_DispenseCupFull,Myntskålen är full. Ta bort mynten för att avsluta utmatningen.
XM_DispenseCupFullPreemptive,Ta hand om mynten\nTöm omedelbart om myntfacket är fullt.  Utmatningen fortsätter när skålen är tom.
XM_DispenseFullPreemptive,Ta hand om sedlar och mynt\nSedlar matas ut i buntar om 15. Utmatningen fortsätter när sedlarna har tagits bort. Töm myntskålen omedelbart om den är full. Utmatningen fortsätter när skålen är tom.
XM_DispenseNoteFullPreemptive, Ta hand om sedlarna\nSedlar matas ut i buntar om 15. Utmatningen fortsätter när sedlarna har tagits bort.
XM_DispenseSensorBlock,Myntskålen är full eller sensorn trasig. Ta bort mynten eller kontakta service.
XM_DispenseText,Mata ut
XM_DispenseThreshold,Ett större antal än vad som är möjligt har angetts. Maxantalet har angetts: %d
XM_Empty,Töm
XM_EmptyCashAcceptorLT,Ta ur sedlarna ur sedelinmataren
XM_EmptyCashBoxLT,Ta ur sedlarna ur sedelkassetten
XM_EmptyCoinAcceptor,Återställ myntinmataren
XM_EmptyCoinAcceptorLT,Ta ur mynten ur myntinmataren
XM_EmptyCoinHopperLT,Ta ur mynten ur enheten.
XM_EmptyCoinOverflow,Återställ myntboxen
XM_EmptyCoinOverflowLT,Ta ur mynten ur myntboxen
XM_EmptyLoaderCassetteLT,Ta bort sedlar från sedelkassetter och returkassett
XM_EmptyNoteAcceptor,Återställ sedelinmataren
XM_EmptyNoteCassetteLT,Ta ur sedlarna ur sedelkassetterna
XM_EmptyNoteOverflow,Sätt tillbaka\nsedelkassett
XM_Enter,Enter
XM_ExceededAmount,Beloppet överskrider kapaciteten. Maxbeloppet för laddning är %s.
XM_ExceededCapacity,Antalet överskrider kapaciteten. Maxantalet för laddning är %d.
XM_Execute,Spara ändringar
XM_Exit,Avsluta
XM_FastLaneReport,NCR SelfServ Checkout-rapport
XM_FillLoaderCassette,Ställa in \nsedelräknare
XM_GoBack,Gå tillbaka
XM_ID,Kassör-ID
XM_IDPrompt,"Slå in ID och tryck på ""Enter""."
XM_InvalidAmount,Valören som angetts för %s är inte giltig. \nFörsök igen.
XM_KeyPadEnterCoinAmount,Ange värdet för %s-mynt med knappsatsen.
XM_KeyPadEnterCoinCount,Ange antalet %s-mynt med knappsatsen.
XM_KeyPadEnterNoteAmount,Ange värdet för %s-sedlar med knappsatsen.
XM_KeyPadEnterNoteCount,Ange antalet %s-sedlar med knappsatsen.
XM_KeyPadInstr,Ange antal med knappsatsen
XM_ManualBothFillAlert,Öppna luckan i kassan och fyll på sedlar och mynt i respektive kassetter. Fyll inte på via inmatarna.
XM_ManualBothRecyclerFillAlert,Öppna luckan i kassan och fyll på sedlar och mynt i respektive kassett. Fyll inte på via inmatarna.
XM_ManualCoinDispenserEmpty,Nollställa\nmynträknare
XM_ManualCoinDispenserFill,Ställa in\nmynträknare
XM_ManualCoinFillAlert,Öppna luckan i kassan och fyll på mynt direkt i enheten. Fyll inte på mynt via myntinmataren.
XM_ManualEmptyAlert,Ta ur alla kontanter ur enheten.
XM_ManualFillAlert,Öppna luckan i kassan och fyll på kontanter direkt i enheten. Fyll inte på via inmatarna.
XM_ManualNoteDispenserEmpty,Nollställa\nsedelräknare
XM_ManualNoteDispenserFill,Ställa in \nsedelräknare
XM_ManualNoteFillAlert,Öppna luckan i kassan och fyll på sedlar direkt i sedelkassetten. Fyll inte på via sedelinmataren.
XM_ManualNoteRecyclerFillAlert,Öppna luckan i kassan och fyll på sedlar direkt i påfyllningskassetten. Mata inte in dem i sedelinmataren.
XM_No,Nej
XM_NoteDispenseFailure,Det gick inte att mata ut %s.\nSedlar saknas eller fel på utmataren.
XM_PW,Kassörslösenord
XM_PWPrompt,"Slå in lösenordet och tryck på ""Enter."""
XM_PendingText,Väntar
XM_PleaseWait,Behandlar...\nVänta.
XM_Print,Skriv ut kontantstatus
XM_PurgeCoinRecycler,Rengör myntrecyklern
XM_PurgeNoteRecycler,Rengör sedelrecyklern
XM_ReEnter,Felaktigt kassör-ID och lösenord. \nFörsök på nytt.
XM_ResetCoinsToBaseLevel,Mata ut mynt \ntill basnivå
XM_ResetNotesToBaseLevel,Återställ sedlar till basnivå
XM_SelectFunc1,Välj systemfunktion
XM_SelectFunc2,Välj funktion.
XM_StoreNumber,Butiksnr:
XM_TransferAllNotes,Flytta alla sedlar
XM_TransferNotesToOverflow,Överför sedlar\ntill påfylln.-kassett
XM_Update,Uppdatera
XM_Yes,Ja
XM_CardManagement,Korthantering
XM_SequenceNumber,Löpnummer
XM_TotalCoinsInserted,Totalt inmatat
XM_TotalNotesInserted,Totalt inmatat
XM_Value,Valör
XM_TransferXCount,Överför (x) Antal
XM_TransferXAmount,Överför (x) Summa
XM_TransfertoCashBoxLeadThruText,"Tryck på ""Spara ändringar"" för att överföra %s-sedlar till sedelkassetten. Tryck på ""Avbryt ändringar"" för att avbryta alla pågående ändringar."
XM_MenuDispenseFunctions,Utmatnings funktioner
XM_MenuResetFunctions,Återst.funk.
XM_MenuCashBoxTransfer,Överföringar till sedelkassett
XM_LeadThruCashBoxTransfer,"Välja överföringsfunktion.\nVälj ""Spara ändringar"" när du är klar."
XM_LeadThruResetFunction,"Välja återställningsfunktion.\nVälj ""Spara ändringar"" när du är klar."
XM_LeadThruDispenseFunction,"Tryck på valören och ange antal\neller tryck på ""Mata ut mynt till basnivå""."
XM_PurgeInstructionRecycler," Returfunktioner:  Ogiltig sedel har upptäckts.  Ta bort ogiltiga sedlar från sedelkassetten.  Kvittera larmet genom att trycka på ""Överföra alla sedlar"" och välj sedan ""Nollställa sedelkassett""."
XM_PurgeInstructionNonRecycler,"Returfunktioner: Ogiltig sedel har upptäckts.  Ta bort ogiltiga sedlar från sedelkassetten.  Kvittera larmet genom att trycka på ""Nollställa sedelräknare""."
XM_ReplenishInstruction,"Fylla på sedlar eller välja valör och ange belopp, eller ange antal.\nVälj ""Spara ändringar"" när du är klar."
XM_PickUpAutoAmount,Plocka upp autobelopp
XM_PickUpXAmount,Plocka upp belopp (x)
XM_MenuPickUpFunctions,Upplockningsfunktioner
XM_LeadThruPickUpFunction,"Välja upplockningsfunktion. \nVälj ""Spara ändringar"" när du är klar."
XM_KeyPadEnterPickUpAmount,Ange upplockningsbelopp med knappsatsen.
XM_InvalidPickUpAmount,Det angivna beloppet är större än beloppet som kan överföras eller matas ut.
XM_InvalidStartingBank,Det angivna startkapitalet är större än beloppet som kan överföras eller matas ut.
XM_CalculatedPickUpAmount,Det beräknade upplockningsbeloppet är %s.
XM_UnableToPickUp,Det går inte att genomföra upplockningen.
XM_CoinAllowedDispenseExceeded,Försöker mata ut %d mynt. Maximala antalet mynt som får matas ut är %d.
XM_InvalidPickUpAmount2,Beloppet i sedelkassetten och myntboxen är större än upplockningsbeloppet.
XM_LockScreen,Låsa skärmen
XM_SystemBusy,Systemet är upptaget.....Vänta
XM_AreYouSure_LockScreen,Är du säker på att du vill låsa skärmen?\nSkärmen kan inte användas förrän enheterna har slutfört uppgifterna.
XM_NegativeAlert,Det finns negativa värden. Möjliga orsaker: felaktig knapptryckning; sedlar har lagts i påfyllningskassetten utan att antalet har angetts i Kontanthantering.\n\nÅtgärda på följande sätt:\n1. Välj Lägga till sedlar. \n2. Tryck på valören med det negativa värdet. \n3. Ange exakt belopp i kronor för det negativa värdet och/eller antalet som har lagts i påfyllningskassetten. \n4. Välj Spara ändringar. \n5. Välj Ja för att bekräfta och sedan Avsluta.
XM_AddCashLeadthru1,"Lägg i mynt eller tryck på valören och ange belopp, eller ange antal."
XM_AddCashLeadthru2,"För in sedlar eller tryck på valören och ange belopp, eller ange antal."
XM_AddCashLeadthru3,"Tryck på cylindern och ange belopp, eller ange antal."
XM_CoinHopperEmpty,"Myntkassetterna måste tömmas för att mynträknaren ska kunna nollställas.  Töm respektive myntrör och tryck sedan på ""Spara ändringarna""."
XM_CollectRemainingCoins,Ta bort mynten från myntskålen när de har matats ut.
XM_FPIDPrompt,"Skriv ditt användar-ID och tryck på ""Enter"" eller sätt fingret på fingeravtrycksläsaren för att logga in."
XM_LoanFailure,Lån misslyckades
XM_LoanFailureLeadthru,Lån avvisades. Välj funktion.
XM_UndoLoan,Ångra lån
XM_CommitLoan,Utför lån
XM_PickUpFailure,Upplockningsfel
XM_PickUpFailureLeadthru,Upplockning avvisades. Välj funktion.
XM_UndoPickUp,Ångra upplockning
XM_CommitPickUp,Utför upplockning
XM_ManualRemoveCashAlert,Ta bort sedlar från sedelkassetten och mynt från myntboxen för att kvitta lån.\n\nSedlar\nAntal som ska tas bort: %d\nBelopp som ska tas bort: %s\n\nMynt\nAntal som ska tas bort: %d\nBelopp som ska tas bort: %s
XM_POSRejectedLoanPickUp,Kassasystemet avvisade lån/upplockning:  %s / %d  avvisade.\n
XM_LoanPickUpCashierOverrides,Kassör-ID %s åsidosätter lån/upplockning: %s / %d  utförda.\n\n
XM_PlaceJammedBill,Ta bort sedelkassetten och lägg i de eventuella sedlar som hade fastnat.
MinMaxFastLaneBtnPrimaryTxt,Minimera SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Maximera SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"Minimera SelfServ Checkout genom att trycka på knappen ""Minimera SelfServ Checkout""."
MinMaxFastLaneBtnSecondaryShowConfirmation,"Maximera SelfServ Checkout genom att trycka på knappen ""Maximera SelfServ Checkout""."
StopStartFastLaneBtnPrimaryTxt,Stoppa SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Starta SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Växla till FKP
ShutdownSystemBtnPrimaryTxt,Stänga ned hela systemet
RebootSystemBtnPrimaryTxt,Starta om hela systemet
VolumeBtnPrimaryTxt,Volyminställning
EventViewerBtnPrimaryTxt,Händelsegranskare
GenerateLogBtnPrimaryTxt,Skapa diagnosfiler
ExitFastLaneAndRunProfileBtnPrimaryTxt,Stoppa SelfServ Checkout och kör Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Kör Profile Manager
TerminalInfoBtnPrimaryTxt,Terminalinformation
MinMaxRAPBtnPrimaryTxt,Minimera FKP
MinMaxRAPBtnSecondaryTxt,Maximera FKP
MinMaxRAPBtnPrimaryShowConfirmation,"Minimera FKP genom att trycka på knappen ""Minimera FKP""."
MinMaxRAPBtnSecondaryShowConfirmation,"Maximera FKP genom att trycka på knappen ""Maximera FKP""."
StopStartRAPButtonPrimaryTxt,Stoppa FKP
StopStartRAPButtonSecondaryTxt,Starta FKP
RapConfigureBtnPrimaryTxt,FKP-konfiguration
SwitchToFastLaneBtnPrimaryTxt,Växla till SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Stoppa FKP och kör Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Kör Profile Manager
UtilityFunctionsTitle,Verktygsfunktioner\ni NCR SelfServ Checkout
StartTitle,Systemstart
SystemStartup,Systemet startar…Vänta
TerminalID,Terminal-ID: 
InterfaceVersion,Programversion: 
TrainingProgramPrimaryTxt,Övningsprogram
LaunchPadNet_OperatorIDText,Användar-ID: 
KeySwitchOperatorID,Nyckellås
LaunchPadNet_SignOnButtonText,Logga in
LaunchPadNet_SignOffButtonText,Logga ut
SignedOffButtonText,Utloggad
Exit,Avsluta alla
LaunchPadNet_ReturnToShoppingButtonText,Återgå
PickListEditor,Pick List Editor
RunADDTxt,Kör LÄGG TILL Vid Nästa Omstart
TouchWareTxt,Kalibrera pekskärmen
DiagConfirm,Vill du verkligen skapa diagnosfiler?
ProfileManagerFLConfirm,Vill du verkligen stoppa SelfServ Checkout och köra Profile Manager?
ProfileManagerRAPConfirm,Vill du verkligen stoppa FKP och köra Profile Manager?
ProfileManagerConfirm,Vill du verkligen starta Profile Manager?
EventViewerConfirm,Vill du verkligen starta händelsegranskaren
TrainingConfirm,Vill du verkligen starta övningsprogrammet
PicklistConfirm,Vill du verkligen starta Picklist Editor?
RunADDConfirm,Är du säker på att du vill köra LÄGG TILL vid nästa omstart?
CalibrateConfirm,Vill du verkligen kalibrera pekskärmen?
ShutdownConfirm,Vill du verkligen stänga ned hela systemet?
RebootConfirm,Vill du verkligen starta om hela systemet?
CloseAllConfirm,Vill du verkligen avsluta alla program och öppna skrivbordet?
VolumeConfirm,Vill du verkligen ändra volymen?
TerminalInfoConfirm,Vill du verkligen se terminalinformationen?
StopFastLaneConfirm,Vill du verkligen stoppa SelfServ Checkout?
StopRAPConfirm,Vill du verkligen stoppa FKP?
StartFastLaneConfirm,Vill du verkligen starta SelfServ Checkout?
StartRAPConfirm,Vill du verkligen starta FKP?
WindowsLogOnTxt,Logga in på Windows
WindowsLogOnConfirm,Vill du verkligen avsluta alla program och logga in som en ny användare?
YesText,Ja
NoText,Nej
CommandPromptPrimaryTxt,Kommandoprompt
CommandPromptConfirm,Vill du verkligen starta  kommandoprompten?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Vill du verkligen starta Retail Systems Manager LE?
OperatorRegistrationUtility,Verktyg för manuell registrering
LaunchPadNet_EnterIDFpLeadthru,Skriv ditt användar-ID och tryck på ”Enter” eller sätt fingret på fingeravtrycksläsaren för att logga in.
LaunchPadNet_ReEnterIDFpLeadthru,Ogiltig inloggning. Logga in igen och använd knappsatsen eller ditt fingeravtryck.
LaunchPadNet_ClearButtonText,Radera
LaunchPadNet_EnterButtonText,OK
LaunchPadNet_GoBackButtonText,Gå tillbaka
LaunchPadNet_SpaceButtonText,Blanksteg
LaunchPadNet_BackSpaceButtonText,Backsteg
LaunchPadNet_EnterIDLeadthru,Ange ID med knappsatsen nedan:
ReEnterIDLeadthru,Fel ID eller lösenord. Ange dem en gång till med knappsatsen nedan.
LaunchPadNet_EnterPasswordLeadthru,Ange lösenordet med med knappsatsen nedan:
CancelButtonText,Avbryt
LaunchPadNet_LoggingInLeadthru,Loggar in...Vänta
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Utloggad
LaunchPadNet_ReEnterIDLeadthru,Fel ID eller lösenord. Ange dem en gång till med knappsatsen nedan.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
PageIndicatorLabelFormat,Sida {0} ({1})
SignBelow,Signera nedan.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_Cassette,Cassette
XM_CollectFailure,The collect operation resulted in failure.
XM_TotalRemovedText,Total Removed: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalAddedText,Total Added: %s
XM_OperatorID,Operator ID %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_InitializeError,The system encounters an error to be corrected.
XM_GrandTotalText,Grand Total: %s
XM_EmptyCassetteAndRejectBin, Remove bills from Bill Cassettes and Reject Bin.
XM_Collect,Collect
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
DueCart,Att betala
ScotApp_1742,OGILTIG KASSE
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Kan inte läsa in kupong
ScotApp_41,Varor med åldersbegränsning
ScotApp_31,Kuponger
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Dra ditt kort.\nKontrollera om det finns fler varor i korgen.
ScotApp_689,  Försäljning:      %d
ScotApp_589,Device Factory laddat.
ScotApp_389,Behandlar kort
ScotApp_289,289unused
ScotApp_189,Alternativen laddade.
ScotApp_91,91unused
ScotApp_773,Avdragen rabatt:
ScotApp_673,Lämna %s i växel till kunden.
ScotApp_1264,USERDEFINED6
ScotApp_473,Medianivån låg
ScotApp_373,Utmatningen från skrivaren har fastnat
ScotApp_989,989unused
ScotApp_889,%s\nAktuell vikt (%s): %s\nFörväntad vikt (%s): %s
ScotApp_1520,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1042,PÅSKRIFT:\nDETTA HAR SKRIVITS UT EFTERSOM EN \nDOKUMENTPÅSKRIFT MISSLYCKADES.  BIFOGA DETTA KVITTO\NTILL DOKUMENTET.\n----------------------------------------\n
ScotApp_973,973unused
ScotApp_873,Ange körkorts-/ ID-nummer:
ScotApp_1737,Egen kasse
ScotApp_752,Igår totalt
ScotApp_652, **Inga WLDB-poster för denna varukod
ScotApp_1054,1054unused
ScotApp_452,Kontrollera att kabeln sitter i ordentligt på sidan av myntautomaten.
ScotApp_352,Uppdatera
ScotApp_252,\nStopp i myntutmataren\n\nTa bort mynt som har fastnat.
ScotApp_152,152unused
ScotApp_1310,* Ta ur sedelinmataren.\n* Sätt in den igen så att den hakar fast.\n* Kontrollera att motorn startar och att de gröna lamporna lyser.
ScotApp_661,(Std)
ScotApp_952,Lägg till nollvikt
ScotApp_852,Tre varor
ScotApp_1527,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1838,Kontrollera vara
ScotApp_731,Totalt
ScotApp_631,Innehavarens namn:
ScotApp_531,\nFel på enheten för signaturinläsning
ScotApp_331,Ta bort varorna från kontrollvågen. Knappsatsen är inaktiv.
ScotApp_231,231unused
ScotApp_131,Lägg fram kupongerna
ScotApp_1736,"Ställ dina kassar på packhyllan och tryck sedan på ""Klart""."
ScotApp_1250,PIP KREDIT
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Växel utbetald
ScotApp_710,710unused
ScotApp_610,Varuvikt:
ScotApp_510,Signera igen
ScotApp_310,kassetten är nästan tom
ScotApp_210,210unused
ScotApp_110,Väg varan
ScotApp_1526,Anvisningar om hur du åtgärdar felet finns i användarhandboken
ScotApp_1126,Fel på myntutmataren.\n\nKontrollera På/Av-knappen om det finns en sådan på utmataren.
ScotApp_1040,Signatur
ScotApp_810, Övning pågår
ScotApp_1735,Ställ upp dina kassar
ScotApp_1257,PIP MATKUPONGER
ScotApp_704,PIN-knappsatsinmatning
ScotApp_604,Läs in en vara.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Välj förpackning
ScotApp_204,Kopierar fil till server...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Varans vikt godkänd
ScotApp_804,804unused
ScotApp_1047,Påskrift behövs. Vänta en stund så får du hjälp.
ScotApp_1478,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1134,Sedelkassetten är full.
ScotApp_1734,Jag har egen kasse
ScotApp_1256,PIP EBT
ScotApp_1512,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1465,Fel i kontantrecirkulering
ScotApp_1721,Transaktion i övningsläge
ScotApp_1890,Behandlar...
ScotApp_1243,STAMKUND
ScotApp_1544,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_63,Nej
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Problemet ar åtgärdat
ScotApp_1255,PIP DEBIT CHECKKONTO
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_93,Läs in och packa ned
ScotApp_83,83unused
ScotApp_1464,Terminal-ID
ScotApp_1189,ANGIVEN VARA
ScotApp_1720,BV:
ScotApp_1045,Betala med %s
ScotApp_672,*** TRANSAKTION I ÖVNINGSLÄGE ***
ScotApp_572,"Slå in varans kod och tryck på ""Enter""."
ScotApp_472,Hjälp behövs
ScotApp_372,Kommunikationsfel på grund av lutande skrivare
ScotApp_272,Kontrollera använda kuponger
ScotApp_172,Läs in oönskad vara eller markera varan på kvittot.
ScotApp_1510,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1701,Matade inte ut %s-sedlar.
ScotApp_972,972unused
ScotApp_872,Avbryt paus
ScotApp_1188,ANGIVEN KVANTITET
ScotApp_1727,Söka efter vara
ScotApp_751,Idag per timme
ScotApp_651,Standard
ScotApp_551,551unused
ScotApp_451,Myntautomatens status - mynt har fastnat
ScotApp_351,Status Kontanter/Papper
ScotApp_251,251unused
ScotApp_151,Ta växeln
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s borttagen;LSWND3=%s;
ScotApp_851,Två varor
ScotApp_730,730unused
ScotApp_630,Kreditkortsnr:
ScotApp_430,Fungerar inte
ScotApp_330,Läget Hjälp
ScotApp_230,Sedelautomatens status - avvisat
ScotApp_130,Lägg fram kupongerna.
ScotApp_1726,Sökningen är klar
ScotApp_930,Kontrollera kommunikationen.
ScotApp_830,Varan borttagen
ScotApp_193,193unused
ScotApp_1457,För mycket kontanter
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Ogiltig tolerans har angetts
ScotApp_424,Ange belopp
ScotApp_324,Datum behövs inte
ScotApp_224,Kortläsarens kortkassett är borttagen
ScotApp_124,124unused
ScotApp_1469,"Matade inte ut %s till kunden. %s\n* Kontrollera mynt- och sedelutmatare.\n* Tryck på ""Status Kontanter/Papper"" för att fylla på eller åtgärda stopp."
ScotApp_924,924unused
ScotApp_824,Avbryt bekräftelse
ScotApp_576,Starta Card Tender.
ScotApp_1247,MATKUPONGER
ScotApp_1678,Fel på sedelrecyklern
ScotApp_1503,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1756,"Välj bland sökresultaten eller ""Gå tillbaka""."
ScotApp_1456,Felaktigt kassör-ID och lösenord. \nFörsök på nytt.
ScotApp_1502,Anvisningar om hur du åtgärdar felet finns i användarhandboken.
ScotApp_1712,Paus avvisad
ScotApp_1468,Status tom för kontantrecirkulering
ScotApp_1246,EBT
ScotApp_75,Klart
ScotApp_65,65unused
ScotApp_55,Ta bort alla
ScotApp_45,45unused
ScotApp_35,Växel:
ScotApp_1258,PIP PRESENTKORT
ScotApp_15,Varukod:
ScotApp_1711,Paus avvisad
ScotApp_1683,Oåterkalleligt fel. Stäng kassan.  Kontakta Gunnebo och meddela nedanstående felinformation.\n\nFel på säker betalning: %s
ScotApp_95,Läs in kuponger
ScotApp_85,85unused
ScotApp_1058,Manuell betalning
ScotApp_1664,Sedelstopp
ScotApp_797,Det gick inte att betala %s i växel.\n* Kontrollera eventuella stopp i sedelkassetter och sedelutmatare.\n* Kontrollera att sedelkassetter och returkassett sitter ordentligt fast.\n* Stäng säkerhetsdörren.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Forms laddar %d...
ScotApp_497,Belopp att betala:
ScotApp_297,297unused
ScotApp_197,Presentation Services laddat.
ScotApp_997,Ange pris
ScotApp_897,WTINFO laddat.
ScotApp_1454,"Slå in lösenordet och tryck på ""OK""."
ScotApp_1710,Ta din växel
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s förv;LSWND3=%s %s obs
ScotApp_1388,Övningsprogram
ScotApp_771,Avbryt paus
ScotApp_671,Avsluta läget Övning
ScotApp_571,"Slå in kvantiteten och tryck på ""Enter""."
ScotApp_471,   Visuellt godkännande
ScotApp_371,Byt huvud i skrivaren
