AgeCheckLaneButtonText,Age Check
UnknownPriceMessage,O preço do item é desconhecido.\nVai receber ajuda.\n\nSepare o item e continue.
UnknownPriceTitle,Preço Desconhecido
UpdateItemButtonText,Update Item
UpdateItemLeadthru,"Scroll to item on receipt and touch ""Enter""."
UpdateNotAllowedLeadthru,Quantity change for weighed item is not allowed.
UpdateNotAllowedTitle,Cannot Update Item
UseOwnBag,Tenho o meu próprio saco
UsePinpad,Utilizar o PINpad
UtilityButtonText,Utility
UtilityFunctionsTitle,NCR SelfServ Checkout\nUtility Functions
VerifyBags,O assistente vai verificar os seus sacos.
VerifyBagsMessage,"Se, por inadvertência, colocou qualquer coisa além de um saco na zona de ensacagem, remova-a agora."
VerifyItemAndPriceTitle,Verify Item and Price
VerifyItemLaneButtonText,Verify Item
VerifySignatureButtonText,Verify \nSignature
VerifySignatureLeadthru,"Compare the customer's signature with the one on the card."
VideoButtonText,Video
VisualApproveButtonText,Visual Approve
VisualApproveLeadthru,"Touch ""Visual Approve"", or touch ""Assist Mode"" to modify transaction."
VisualVerify,Verificação Visual
VoidAllButtonText,Void All
VoidItem,"Passe os artigos não desejados ou toque em ""Remover"" no recibo."
VoidItemBeforeCouponMessage,Não é possível anular o artigo sem anular o cupão. Anule primeiro o cupão do artigo.
VoidItemButtonText,Void Item
VoidItemLeadthru,"Scan or scroll to item on receipt and touch ""Void Item"" or ""Void All""."
VoidItemTitle,Void Items
VoidLaneButtonText,Void
VoidLeadthru,"Collect voided item and touch ""Approve Void""."
VoidNoMatchLeadthru,"Cannot find scanned item.  It has not been purchased yet, or it has already been cancelled."
VoidNoMatchTitle,Impossível Cancelar Artigo
Volume,Volume
VolumeBtnPrimaryTxt,Volume Control
VolumeConfirm,Are you sure you want to adjust the volume control?
VolumeControlButtonText,Volume Control
WeightExpected,WE :  
WeightMismatchTitle,Assistência Necessária
WeightObserved,WO :  
WindowsLogOnConfirm,Are you sure you want to exit all applications and log on as a new user?
WindowsLogOnTxt,Logon Windows
WLDBFailureLeadthru,Check the communication.
WLDBFailureTitle,WLDB not communicating correctly.
WLDBOffLineText,Weight Database: Off-line
XM_Acceptor,Acceptor
XM_AddCashLeadthru1,"Insert coins or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru2,"Insert cash or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru3,"Touch cylinder and enter amount, or set counts."
XM_AreYouSure,Are you sure you want to perform the actions listed below?
XM_AreYouSure_LockScreen,Are you sure you want to lock the screen?\nThe screen cannot be unlocked until the devices finish their task.
XM_Attendant,Attendant
XM_Backspace,Backspace
XM_BillAcceptor,Bill Acceptor
XM_BillDispenser,Bill Dispenser
XM_Bins,Bins
XM_BothDispenseFailure,Failed to dispense %s.\nLow cash or dispenser in error.
XM_CalculatedPickUpAmount,The calculated pickup amount is %s.
XM_CancelChanges,Cancel Changes
XM_CannotCompleteTransfer,Cannot complete transfer.The cash box\ndoes not have sufficient space.\nPlease empty the cash box before performing this operation.
XM_CardManagement,Card Management
XM_CashManagement,Cash Management
XM_CashManagementReport,Cash Management Report
XM_CashRemove,Retirar Dinheiro
XM_CashRemoveLeadthru,Select desired function.
XM_CashReplenishLeadthru,Select desired function.
XM_CashReplenishLeadthru1,Insert coins or select function.
XM_CashReplenishLeadthru2,Insert cash or select function.
XM_CashReplenishLeadthru3,"When complete, touch ""Exit""."
XM_CashReplenishment,Add Cash
XM_CashStatus,Cash Status
XM_CashStatusLeadthru,Select desired function.
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Cassette,Cassette
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_ChangeInCount,Change in Count
XM_ChangeInValue,Change in Value
XM_Clear,Clear
XM_ClearPrompt1,"When complete, select another function or ""Exit""."
XM_ClearPrompt2,"Select another function or ""Exit""."
XM_CoinAcceptor,Coin Acceptor
XM_CoinAcceptorOffline,Coin acceptor not responding.\n\nShut down and restart terminal.
XM_CoinAllowedDispenseExceeded,Attempting to dispense %d coins. Maximum coins allowed to dispense is %d.
XM_CoinDispenseFailure,Failed to dispense %s.\nLow coins or coin dispenser in error.
XM_CoinDispenser,Coin Dispenser
XM_CoinHopperEmpty,"Coin hopper must be emptied in order to reset coin counts to zero. Empty each coin hopper bin before touching ""Apply Changes""."
XM_CoinManagement,Coin Management
XM_CoinOverflow,Coin Overflow
XM_CoinOverflowText,Overflow
XM_CoinRecycler,Coin Recycler
XM_Coins,Moedas
XM_CoinsSubtotal,Coins Subtotal:
XM_Collect,Collect
XM_CollectFailure,The collect operation resulted in failure.
XM_CollectRemainingCoins,Remove coins from coin return when dispense has completed.
XM_CommitLoan,Commit Loan
XM_CommitPickUp,Commit Pickup
XM_ConfirmAction,Confirm Actions
XM_ConfirmCoinDispense,* Dispense Coins\nAmount to dispense: %s\nCount to dispense: %d
XM_ConfirmEmptyCoinAcceptor,* Reset Coin Acceptor Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyCoinOverflow,* Reset Coin Overflow Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyNoteAcceptor,* Reset Bill Acceptor Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyNoteOverflow,* Reset Cash Box Counts to Zero\nAmount to remove:%s
XM_ConfirmFillLoaderCassette,* Set Bill Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmManualCoinEmpty,* Reset Coin Counts to Zero\nAmount to remove: %s\nCount to remove: %d
XM_ConfirmManualCoinFill,* Set Coin Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmManualNoteEmpty,* Reset Bill Counts to Zero\nAmount to remove: %s\nCount to remove: %d
XM_ConfirmManualNoteFill,* Set Bill Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmNoteDispense,* Dispense Bills\nAmount to dispense: %s\nCount to dispense: %d
XM_ConfirmTransferNotesToOverflow,* Transfer Bills to Cash Box\nAmount to transfer: %s\nCount to transfer: %d
XM_Count,Count
XM_DispenseCupFull,Coin return is full. Please remove the coins to finish dispensing.
XM_DispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly.\nDispensing will pause until bowl is emptied."
XM_DispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 15. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_DispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 15.\nDispensing will pause until all bills are taken.
XM_DispenseSensorBlock,Coin return may be full or sensor is broken. Please remove coins or call for service.
XM_DispenseText,Dispense
XM_DispenseThreshold,Number entered exceeded count available to dispense.\nMaximum count was entered: %d
XM_Empty,Empty
XM_EmptyCashAcceptorLT,Remove bills from Cash Acceptor
XM_EmptyCashBoxLT,Remove bills from Cash Box
XM_EmptyCassetteAndRejectBin,Remove bills from Bill Cassettes and Reject Bin.
XM_EmptyCoinAcceptor,Reset Coin Acceptor
XM_EmptyCoinAcceptorLT,Remove coins from Coin Acceptor
XM_EmptyCoinHopperLT,Remove coins from device.
XM_EmptyCoinOverflow,Reset Coin Overflow
XM_EmptyCoinOverflowLT,Remove coins from Coin Overflow
XM_EmptyLoaderCassetteLT,Remove bills from Loader Cassette
XM_EmptyNoteAcceptor,Reset Bill Acceptor
XM_EmptyNoteCassetteLT,Remove bills from Bill Cassettes and Purge Bin
XM_EmptyNoteOverflow,Reset Cash Box
XM_Enter,Enter
XM_ExceededAmount,Amount exceeds capacity. Maximum amount needed is %s.
XM_ExceededCapacity,Count exceeds capacity. Maximum load count needed is %d.
XM_Execute,Apply Changes
XM_Exit,Sair
XM_FastLaneReport,NCR SelfServ Checkout Report
XM_FillLoaderCassette,Set Bill Counts
XM_FPIDPrompt,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GoBack,Go Back
XM_GrandTotal,Grand Total:
XM_GrandTotalText,Grand Total: %s
XM_ID,Cashier ID
XM_IDPrompt,"Insira ID e toque em ""Enter""."
XM_InitializeError,The system encounters an error to be corrected.
XM_InvalidAmount,The value entered for %s is not valid.\nPlease enter again.
XM_InvalidPickUpAmount,The value entered is greater than the available amount that can be transferred or dispensed.
XM_InvalidPickUpAmount2,The amount in the cashbox and coin overflow is greater than the pickup amount.
XM_InvalidStartingBank,The starting bank configured is greater than the available amount that can be transferred or dispensed.
XM_KeyPadEnterCoinAmount,Enter amount for %s coins using keypad.
XM_KeyPadEnterCoinCount,Enter count for %s coins using keypad.
XM_KeyPadEnterNoteAmount,Enter amount for %s bills using keypad.
XM_KeyPadEnterNoteCount,Enter count for %s bills using keypad.
XM_KeyPadEnterPickUpAmount,Enter pickup amount using keypad.
XM_KeyPadInstr,Enter count using keypad
XM_LeadThruCashBoxTransfer,"Select desired transfer function.\nWhen finished, ""Apply Changes""."
XM_LeadThruDispenseFunction,"Touch denomination and enter amount \nor touch ""Dispense Coins to Base Level""."
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_LeadThruPickUpFunction,"Select desired pick up function.\nWhen finished, ""Apply Changes""."
XM_LeadThruResetFunction,"Select desired reset function.\nWhen finished, ""Apply Changes""."
XM_LoanFailure,Loan Failure
XM_LoanFailureLeadthru,Loan was rejected. Select desired function.
XM_LoanPickUpCashierOverrides,Cashier ID %s override of loan/pickup: %s / %d  committed.\n\n
XM_LockScreen,Lock Screen
XM_ManualBothFillAlert,Open lane door and deposit bills into the cassettes and coins into the hoppers. Do not feed them into the acceptors.
XM_ManualBothRecyclerFillAlert,Open lane door and deposit bills into the loader and coins into the hoppers. Do not feed them into the acceptors.
XM_ManualCoinDispenserEmpty,Reset Coin Counts
XM_ManualCoinDispenserFill,Set Coin Counts
XM_ManualCoinFillAlert,Open lane door and deposit coins directly into the device. Do not feed them into the coin acceptor.
XM_ManualEmptyAlert,Remove All Cash From Device
XM_ManualFillAlert,Open lane door and deposit cash directly into the device. Do not feed it into the acceptors.
XM_ManualNoteDispenserEmpty,Reset Bill Counts
XM_ManualNoteDispenserFill,Set Bill Counts
XM_ManualNoteFillAlert,Open lane door and deposit bills directly into the cassette. Do not feed them into the bill acceptor.
XM_ManualNoteRecyclerFillAlert,Open lane door and deposit bills directly into the loader. Do not feed them into the bill acceptor.
XM_ManualRemoveCashAlert,Remove cash from the cash box and coins from the coin overflow bin to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s\n\nCoins\nCount to remove: %d\nAmount to remove: %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s
XM_MenuCashBoxTransfer,Cash Box Transfers
XM_MenuDispenseFunctions,Dispense Functions
XM_MenuPickUpFunctions,Pick Up Functions
XM_MenuResetFunctions,Reset Functions
XM_NegativeAlert,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_No,Não
XM_NoteDispenseFailure,Failed to dispense %s.\nLow bills or bill dispenser in error.
XM_NoteOverflow,Bill Overflow
XM_NoteOverflowText,Cash Box
XM_NoteRecycler,Bill Recycler
XM_Notes,Bills
XM_NotesSubtotal,Bills Subtotal:
XM_OperatorID,Operator ID %s
XM_PendingText,Pending
XM_PickUpAutoAmount,Pick Up Auto Amount
XM_PickUpFailure,Pickup Failure
XM_PickUpFailureLeadthru,Pickup was rejected. Select desired function.
XM_PickUpXAmount,Pick Up (x) Amount
XM_PlaceJammedBill,Remove the cash box and place any jammed bills inside.
XM_PleaseWait,Processing...\nPlease wait.
XM_POSRejectedLoanPickUp,POS rejected loan/pickup:  %s / %d  rejected.\n
XM_Print,Print Cash Status
XM_PurgeCoinRecycler,Purge Coin Recycler
XM_PurgeInstruction,Purge Operations: \nRejected bills detected. Go to lane and check device.
XM_PurgeInstructionNonRecycler,"Purge Operations: Rejected bills detected.  Remove rejected bills from purge bin.  Clear alert by touching ""Reset Bill Counts""."
XM_PurgeInstructionRecycler,"Purge Operations:  Rejected bills detected.  Remove rejected bills from cash box.  Clear alert by touching ""Transfer All Bills"" and then ""Reset Cash Box""."
XM_PurgeNoteRecycler,Purge Bill Recycler
XM_PurgeOperationText,Purge Operations
XM_PW,Senha Operador
XM_PWPrompt,"Insira a senha e toque em ""Enter""."
XM_RAP_NegativeAlert,Negative number found. Go to lane and check device.
XM_ReEnter,Incorrect Cashier number and password.\nPlease try again
XM_ReplenishInstruction,"Insert cash or select denomination and enter amount, or set counts. When finished, ""Apply Changes"""
XM_ResetCoinsToBaseLevel,Dispense Coins To Base Level
XM_ResetNotesToBaseLevel,Transfer Bills to Base Level
XM_SelectFunc1,Select system function
XM_SelectFunc2,Select desired function.
XM_SequenceNumber,Sequence Number
XM_StoreNumber,Store #:
XM_SystemBusy,System busy....Please wait
XM_TerminalNumber,Terminal Number
XM_TotalAddedText,Total Added: %s
XM_TotalCoinsInserted,Total Inserted
XM_TotalColectedText,Total Collected: %s
XM_TotalCount,Total Count:
XM_TotalNotesInserted,Total Inserted
XM_TotalRemovedText,Total Removed: %s
XM_TotalValue,Total Value:
XM_TransferAllNotes,Transfer All Bills
XM_TransferNotesToOverflow,Transfer Bills to Cash Box
XM_TransfertoCashBoxLeadThruText,"To transfer %s bill(s) to the Cash Box, touch ""Apply Changes"". To undo all pending changes, touch ""Cancel Changes""."
XM_TransferXAmount,Transfer (x) Amount
XM_TransferXCount,Transfer (x) Count
XM_UnableToPickUp,Unable to perform pickup.
XM_UndoLoan,Undo Loan
XM_UndoPickUp,Undo Pickup
XM_Update,Update
XM_Value,Value
XM_Yes,Sim
Yes,Sim
YesButtonText,Sim
YesEmpty,"Sim, esvaziar carrinho e terminar transação."
YesRemove,"Sim, remover."
YesText,Sim
ScotApp_1,lb
ScotApp_2,kg
ScotApp_3,3unused
ScotApp_4,4unused
ScotApp_5,5unused
ScotApp_6,6unused
ScotApp_7,7unused
ScotApp_8,8unused
ScotApp_9,9unused
ScotApp_10,10unused
ScotApp_11,11unused
ScotApp_12,  Qty %d @ %s/each
ScotApp_13,  %ss @ %s/%s
ScotApp_14,14unused
ScotApp_15,Código do Artigo:
ScotApp_16,%s será cobrado no seu cartão.
ScotApp_17,Cupão
ScotApp_18,Total
ScotApp_19,Imposto
ScotApp_20,20unused
ScotApp_21,21unused
ScotApp_22,Sem\nReembolso\n+ 0          \n(%s)
ScotApp_23,+ %s (%s)
ScotApp_24,Anulado
ScotApp_25,Data de nascimento:
ScotApp_26,26unused
ScotApp_27,27unused
ScotApp_28,Cancelar Compra
ScotApp_29,Art. Restritos
ScotApp_30,Artigos Anulados
ScotApp_31,Cupões
ScotApp_32,Continuar
ScotApp_33,Corrigi o problema
ScotApp_34,34unused
ScotApp_35,Alterado Devido A:
ScotApp_36,Reembolso:
ScotApp_37,37unused
ScotApp_38,38unused
ScotApp_39,Cancelar Transacção
ScotApp_40,Autorização Loja
ScotApp_41,Art. Restritos
ScotApp_42,Artigos Anulados
ScotApp_43,43unused
ScotApp_44,44unused
ScotApp_45,45unused
ScotApp_46,Ajuda
ScotApp_47,Iniciar
ScotApp_48,48unused
ScotApp_49,49unused
ScotApp_50,50unused
ScotApp_51,Impossível Ler Cupão
ScotApp_52,Cancelar Cupões
ScotApp_53,53unused
ScotApp_54,Cancelar
ScotApp_55,Cancelar Tudo
ScotApp_56,Cancelar Pagamento
ScotApp_57,Terminar e Pagar
ScotApp_58,OK
ScotApp_59,Tentar Novamente
ScotApp_60,Pedir Ajuda
ScotApp_61,61unused
ScotApp_62,Sim
ScotApp_63,Não
ScotApp_64,Cancelar Seleccionado
ScotApp_65,65unused
ScotApp_66,66unused
ScotApp_67,Voltar
ScotApp_68,68unused
ScotApp_69,69unused
ScotApp_70,70unused
ScotApp_71,71unused
ScotApp_72,72unused
ScotApp_74,Aprovar Anulações
ScotApp_75,Terminado
ScotApp_76,76unused
ScotApp_77,Crédito
ScotApp_78,ATM (Sem Dinheiro)
ScotApp_79,79unused
ScotApp_80,80unused
ScotApp_81,Continuar
ScotApp_82,82unused
ScotApp_83,83unused
ScotApp_84,Carregar Opções
ScotApp_85,85unused
ScotApp_86,86unused
ScotApp_87,87unused
ScotApp_88,88unused
ScotApp_89,89unused
ScotApp_90,90unused
ScotApp_91,91unused
ScotApp_92,Bem-vindo!
ScotApp_93,Ler e Ensacar
ScotApp_94,94unused
ScotApp_95,Ler Cupões
ScotApp_96,96unused
ScotApp_97,Seleccionar Recipiente da Lista
ScotApp_98,98unused
ScotApp_99,Quantidade Para Anular
ScotApp_100,Quantidade Necessária
ScotApp_101,Preço Desconhecido
ScotApp_102,Artigo Cancelado
ScotApp_103,Inserir código do artigo.
ScotApp_104,104unused
ScotApp_105,Artigo Desconhecido
ScotApp_106,Ajuda Necessária
ScotApp_107,Ajuda a Caminho
ScotApp_108,Cupão Desconhecido
ScotApp_109,Continuar?
ScotApp_110,Pesar Artigo
ScotApp_111,Reiniciar Balança
ScotApp_112,Confirmar Quantidade
ScotApp_113,Cancelar Artigos
ScotApp_114,Impossível Cancelar Artigo
ScotApp_115,Confirmar Cancelamento
ScotApp_116,Cancelar Todos os Artigos
ScotApp_117,Pôr Artigos de Parte
ScotApp_118,Aprovação Necessária
ScotApp_119,Cancelar Todos os Artigos
ScotApp_120,Transacção Cancelada. Retire
ScotApp_121,os artigos deste ponto de venda.
ScotApp_122,122unused
ScotApp_123,123unused
ScotApp_124,124unused
ScotApp_126,(ddmmaa).
ScotApp_127,127unused
ScotApp_128,128unused
ScotApp_129,Verificar se artigos anulados foram postos de parte.
ScotApp_130,Deposite os seus cupões.
ScotApp_131,Depositar Cupões
ScotApp_132,132unused
ScotApp_133,133unused
ScotApp_135,135unused
ScotApp_136,Inserir Dinheiro
ScotApp_137,Retirar Troco
ScotApp_138,Retirar Cartão
ScotApp_139,Retirar Factura
ScotApp_140,Obrigado
ScotApp_141,Seleccionar Tipo de Cartão
ScotApp_142,Confirmar Valor
ScotApp_143,Assinar Recibo
ScotApp_144,Comparar Assinatura
ScotApp_145,145unused
ScotApp_146,Seleccione o tipo de pagamento.
ScotApp_147,147unused
ScotApp_148,148unused
ScotApp_149,Inserir PIN
ScotApp_150,Seleccionar Valor Reembolso
ScotApp_151,Retire o Dinheiro
ScotApp_152,152unused
ScotApp_153,153unused
ScotApp_154,A carregar...
ScotApp_155,Mensagem de Sistema
ScotApp_156,Mensagem de Sistema
ScotApp_157,Mensagem de Sistema
ScotApp_158,"Este artigo precisa de aprovação. Por favor, continue."
ScotApp_162,Passe os artigos e os cupões.
ScotApp_163,163unused
ScotApp_168,Passe os cupões e ponha-os de parte até ao final da compra.
ScotApp_170,"Retire os artigos da balança e prima o botão ""Balança a Zero"" no leitor."
ScotApp_172,Passe o artigo indesejado ou seleccione o artigo no recibo.
ScotApp_173,173unused
ScotApp_174,Artigo lido não encontrado. Ainda não foi adquirido ou já foi cancelado.
ScotApp_176,Deseja parar e cancelar toda a compra?
ScotApp_179,179unused
ScotApp_180,Ponha os cupões de parte.\nDeposite-os no final da compra.
ScotApp_181,"\nInsira o valor do cupão em cêntimos através do teclado numérico e toque em ""OK""."
ScotApp_183,183unused
ScotApp_185,Compare a assinatura do cliente com a do cartão.
ScotApp_186,186unused
ScotApp_187,187unused
ScotApp_188,A carregar opções...
ScotApp_189,Opções carregadas.
ScotApp_190,Transaction Broker a carregar...
ScotApp_191,Transaction Broker carregado.
ScotApp_192,192unused
ScotApp_193,193unused
ScotApp_194,Device Manager a carregar...
ScotApp_195,Device Manager carregado.
ScotApp_196,Presentation Services a carregar...
ScotApp_197,Presentation Services carregado.
ScotApp_198,User Exits a carregar...
ScotApp_199,User Exits carregado.
ScotApp_200,A testar Transaction Broker...
ScotApp_201,A testar início de sessão...
ScotApp_202,A testar fim de sessão...
ScotApp_203,203unused
ScotApp_204,A copiar ficheiro para o servidor...
ScotApp_205,Cópia completa.
ScotApp_206,As opções serão carregadas.
ScotApp_207,207unused
ScotApp_208,208unused
ScotApp_209,Parar Programa
ScotApp_210,210unused
ScotApp_212,212unused
ScotApp_213,213unused
ScotApp_214,Débito Corrente
ScotApp_215,Débito Poupança
ScotApp_216,* Abrir porta impressora.\n* Abrir tampa impressora para procurar bloqueios.\n* Fechar a tampa da impressora e carregue de novo o papel.\n* Deve imprimir uma factura com um Sorriso.\n* Fechar e trancar a porta da impressora.
ScotApp_217,217unused
ScotApp_218,Impressora quase vazia
ScotApp_219,219unused
ScotApp_220,* Abrir porta impressora.\n* Abrir tampa impressora para procurar bloqueios.\n* Inserir um novo rolo de papel na impressora.\n* Fechar e trancar a porta da impressora.
ScotApp_221,Fechar e trancar a porta da impressora.
ScotApp_222,"Sequência de pedido impressora: Procure erros na impressora ou no visualizador de eventos e toque em ""Corrigi o problema""."
ScotApp_223,Leitor cartões compartimento captura cheio
ScotApp_224,Leitor cartões compartimento captura retirado
ScotApp_225,Leitor cartões compartimento captura inserido
ScotApp_226,Leitor cartões dispositivo inoperável
ScotApp_227,Leitor cartões cartão inválido inserido
ScotApp_228,Leitor cartões bloqueado fechado
ScotApp_229,229unused
ScotApp_230,Receptáculo dinheiro estado rejeitado
ScotApp_231,231unused
ScotApp_232,* Retirar receptáculo e cassete de notas.\n* Procurar bloqueios na cassete.\n* Abrir portas de acesso no topo do receptáculo e procurar bloqueios.\n* Fechar portas de acesso com firmeza.\n* Substituir receptáculo e cassete.
ScotApp_233,Verificar se receptáculo de notas está correctamente instalado.\n\nPuxar alavanca para a frente para libertar e fazer deslizar o receptáculo.\n\nPuxar receptáculo para trás até parar.
ScotApp_234,Retirar cassete de notas.\n\nRetirar notas da cassete.\n\nReinserir cassete até que fique encaixada.\n\nPuxar alavanca da cassete para garantir que a cassete está encaixada.
ScotApp_235,Estado receptáculo dinheiro quase cheio
ScotApp_236,236unused
ScotApp_237,Inserir cassete até que fique encaixada.\n\nPuxar alavanca da cassete para garantir que a cassete está encaixada.
ScotApp_238,\nReceptáculo de dinheiro não registou dinheiro inserido.\n\nVerificar cassete de notas.
ScotApp_239,Device Manager estado inesperado
ScotApp_240,Device Manager falha geral
ScotApp_241,Device Manager erro inesperado
ScotApp_242,Leitor de cartão cartão bloqueado
ScotApp_243,Leitor de cartão cartão inválido
ScotApp_244,244unused
ScotApp_245,Leitor cartões dispositivo inoperável
ScotApp_246,246unused
ScotApp_247,247unused
ScotApp_248,248unused
ScotApp_249,249unused
ScotApp_250,250unused
ScotApp_251,251unused
ScotApp_252,\nBloqueio no distribuidor de moedas\n\nEliminar bloqueio do distribuidor de moedas.
ScotApp_253,253unused
ScotApp_254,Distribuidor de moedas inoperável.\nEncher distribuidor de moedas ou\nLigar à corrente ou\nEliminar bloqueio do distribuidor.
ScotApp_255,255unused
ScotApp_256,User Exits a terminar...
ScotApp_257,257unused
ScotApp_258,Transaction Broker a terminar...
ScotApp_259,Device Manager a terminar...
ScotApp_260,260unused
ScotApp_261,261unused
ScotApp_262,262unused
ScotApp_264,264unused
ScotApp_265,265unused
ScotApp_266,Sec. Agent a terminar...
ScotApp_267,Segurança
ScotApp_268,Cartão Erro Leitura
ScotApp_269,Modo Assistido
ScotApp_270,Aprovar Cupões
ScotApp_271,Aprovar Cupões Usados
ScotApp_272,Verificar cupões usados
ScotApp_276,276unused
ScotApp_277,277unused
ScotApp_278,Registo de Segurança
ScotApp_279,Confirmar todos os problemas de segurança registados.
ScotApp_280,Limpar Registo de Segurança
ScotApp_281,281unused
ScotApp_282,Inserir ID
ScotApp_283,Inserir Senha
ScotApp_284,Leitor: dados perdidos
ScotApp_285,Leitor: sufixo etiqueta inválido
ScotApp_286,Leitor: prefixo etiqueta inválido
ScotApp_287,Leitor: etiqueta inválida
ScotApp_288,"Toque em ""Corrigi o problema"".\n* Se persistir, reinicie o terminal:\n* Coloque Bloqueio Supervisor em 'S' -OU- prima botão Supervisor.\n* Seleccione ""Encerrar Sistema"".\n* Quando o ecrã ficar negro, desligue o terminal na UPS ou na corrente.\n* Ligue o terminal. Se persistir, chame a assistência."
ScotApp_289,289unused
ScotApp_290,290unused
ScotApp_291,"Bloqueio no tubo distribuidor de moedas\n%s\nElimine o bloqueio do distribuidor de moedas e toque em ""Bloqueio Eliminado""."
ScotApp_292,Não consigo passar um cupão no leitor
ScotApp_293,Pedir ajuda
ScotApp_295,295unused
ScotApp_296,296unused
ScotApp_297,297unused
ScotApp_298,298unused
ScotApp_299,299unused
ScotApp_300,300unused
ScotApp_301,Inserir Valor do Cupão
ScotApp_302,Insira o seu PIN no dispositivo de pagamento.
ScotApp_303,Cancelar Artigos
ScotApp_304,Seleccionar Recipiente
ScotApp_306,Sem Recipiente
ScotApp_307,Outro Recipiente
ScotApp_308,cêntimo
ScotApp_309,dólar
ScotApp_310,recipiente em baixo
ScotApp_311,recipiente vazio
ScotApp_312,recipiente bloqueado
ScotApp_313,313unused
ScotApp_314,recipiente com problema
ScotApp_315,315unused
ScotApp_316,316unused
ScotApp_317,317unused
ScotApp_318,318unused
ScotApp_319,Pagar Com Cartão
ScotApp_320,Voltar
ScotApp_321,Verificação de Transacção
ScotApp_322,322unused
ScotApp_323,  Qt %d @ %d/%s
ScotApp_324,Data não necessária
ScotApp_325,Data inserida não é válida
ScotApp_326,Data de nascimento abaixo do limite de idade para artigos restritos.
ScotApp_327,Desligado. Verifique ligações e/ou registo:
ScotApp_328,"Falha ao entregar %s ao cliente. \n* Verifique o distribuidor de moedas e notas.\n* Se estiverem vazios, recarregue-os.\n* Se não estiverem vazios, elimine o bloqueio.\n* Toque em ""Corrigi o problema""."
ScotApp_329,  %ss @ %d %s/%s
ScotApp_330,Modo Assistido
ScotApp_331,Retirar artigos da balança de sacos. Teclado desligado.
ScotApp_332,Sair do Modo Assistido
ScotApp_333,Leitor cartões erro bloqueio
ScotApp_334,Leitor cartões erro sem cartão
ScotApp_335,Leitor cartões possível interferência cliente
ScotApp_336,Procurar Artigo
ScotApp_337,"Passe o artigo ou insira o código e toque em ""OK"""
ScotApp_338,Escreva as três primeiras letras da descrição do artigo.
ScotApp_339,339unused
ScotApp_340,Seleccione o artigo da lista. Use as setas para deslocar para cima e para baixo.
ScotApp_341,341unused
ScotApp_342,Inserir Descrição
ScotApp_343,343unused
ScotApp_344,344unused
ScotApp_345,345unused
ScotApp_346,ATM (Reembolso)
ScotApp_347,Artigo restrito foi cancelado. Idade não permitida. Ponha o artigo de parte.
ScotApp_348,348unused
ScotApp_349,349unused
ScotApp_350,Estado Dinheiro / Papel
ScotApp_351,Estado Dinheiro / Papel
ScotApp_352,Actualização
ScotApp_353,Voltar
ScotApp_354,Funções do Sistema
ScotApp_355,Seleccionar função do sistema
ScotApp_356,Encriptar
ScotApp_357,357unused
ScotApp_358,Regressar ao Modo Assistido
