ConfirmQuantityTitle,Confirmeu quantitat
ScotApp_943,Utilitzo la meva bossa
UtilityButtonText,Utilitat
ScotApp_543,"L'ID de l'agent no pot tenir més de %d dígits."
VisualApproveButtonText,Autorització visual
HH_ConfirmAbortLeadthru,Voleu aturar la revisió i cancel·lar tota la compra?
ScotApp_782,"Encallament al dispensador de bitllets\nElimineu l'encallament del dispensador de bitllets o\nAjusteu la cubeta de bitllets defectuosos."
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Intentar-ho de nou
ScotApp_49,49unused
ScotApp_39,Cancel·lació transacció
ScotApp_29,Articles restringits
MinMaxFastLaneBtnSecondaryTxt,Maximitzeu SelfServ Checkout
ScotApp_1814,"La cubeta de la tremuja no hi és o s'ha extret."
ScotApp_947,"Nou pes d'article"
ScotApp_99,Quantitat per anul·lar
ScotApp_89,89unused
ScotApp_503,503unused
ClearSecurityFinalizationButtonText,Elimineu la protecció
ScotApp_910,910unused
HH_VoidLeadthru,"Recolliu l'article anul·lat i toqueu «Autoritzar anul·lat»."
ScotApp_558,Article amb restricció de quantitat
ScotApp_1490,"Consulteu el manual del dispositiu per solucionar l'error."
XM_PurgeCoinRecycler,Purgar el reciclador de monedes
XM_Update,Actualitzar
ScotApp_32,Continuar
ScotApp_881,Suspensió:
InvalidBirthDateFormatLeadthru,El format de data introduït no és vàlid \nIntroduïu-la de nou amb el format %s.
ScotApp_618,Tolerància de pes
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
TransactionSuspendedText,Transacció suspesa
ScotApp_1879,Comproveu la balança de bosses i toqueu «Eliminar protecció».
InvalidBarcodeScan,"Aparteu l'article i continueu la compra."
ScotApp_339,339unused
ScotApp_1768,Unitat de pes no admesa
ScotApp_1778,Eliminar la protecció
ScotApp_1748,"Error en l'entrada amb empremta dactilar"
ScotApp_1758,Error a la cubeta de cupons
ScotApp_1728,"Seleccioneu des dels articles populars o consulteu l'article alfabèticament."
ScotApp_1738,Un assistent verificarà les vostres bosses
ScotApp_1708,"Toqueu el botó de devolució de monedes diverses vegades per treure la moneda encallada i, després, toqueu «He solucionat el problema».\n\nSi l'error es repeteix, poseu-vos en contacte amb el servei tècnic."
ScotApp_1718,NOI:
ScotApp_352,Actualitzar
XM_CashManagementReport,"Informe de Gestió d'efectiu"
ScotApp_842,842unused
ScotApp_1798,Mode només efectiu
SMLogOutReceiptText,"Esteu desconnectats de l'Store Mode"
HH_VoidItemLeadthru,"Escanegeu o desplaceu-vos pel rebut fins a trobar l'article. «Anul·lar article» o «Anul·lar tot»."
TryAgain,Intentar-ho de nou
ScotApp_901,Autorització per ometre embossament.
ScotApp_850,Un article
HH_CouponNoMatchLeadthru,El cupó no coincideix amb cap article del rebut. Cupó no acceptat.
ScotApp_385,385unused
ScotApp_940,Anul·lar
ScotApp_179,179unused
ScotApp_815,Obriu el registre
XM_InitializeError,The system encounters an error to be corrected.
XM_EmptyCoinHopperLT,Retireu les monedes del dispositiu.
SearchResultsFor,"Resultats de la cerca de ""{0}"""
ScotApp_920,Autoritzar/No actualitzar.
ScotApp_783,783unused
XM_EmptyCoinAcceptor,Restablir el receptor de monedes
XM_SequenceNumber,Número de seqüència
ScotApp_288,"Toqueu «He solucionat el problema».\n* Si continua l'error, reinicieu el terminal:\nPoseu el dispositiu de bloqueig de supervisor en la posició 'S' -O premeu el botó de Supervisor.\n* Seleccioneu «Apagar tot el sistema».\n* Si la pantalla es queda en blanc, apagueu el terminal des del SAI o la base múltiple.\n* Engegueu el terminal. Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic."
CancelCoupons,Cancel·lar cupons
ScotApp_838,Acord del client
SignAgainButtonText,Torneu a signar
ScotApp_980,Ha caducat el temps sense resposta del client
CheckBasketTitle,Comproveu el cistell
ScotApp_856,Rebut:
ScotApp_398,Caixetí inserit
ScotApp_420,420unused
ScotApp_481,Es requereix assistència
ScotApp_374,Error en black mark de la impressora
ReturnToScan,Enrere
CancelSuspendButtonText,Cancel·lar suspensió
ScotApp_1053,Espereu fins que el personal de caixa us porti el paper per signar.
ScotApp_214,Dèbit actual
ScotApp_880,880unused
ScotApp_1883,Comproveu si hi ha més articles a la balança de bosses i al cistell i toqueu «Eliminar protecció».
XM_KeyPadEnterNoteAmount,"Introduïu l'import de bitllets %s emprant el teclat."
ConfirmSuspendRequestButtonText,Confirmar suspensió \npetició
Done,Fet
ApproveSecurityButtonText,Autoritzar seguretat
EnterQuantity,Quin nombre en teniu?
FeesAndCustomerAgreementsLeadthru,Preus & Acords del client
ConfirmAbortMessage,Esteu segur que voleu buidar el carro? La transacció es cancel·larà.
SecBagAreaBackupTitle,Articles encallats
ScotApp_930,Comproveu la comunicació.
XM_MenuDispenseFunctions,Funcions de dispensació
EnterQuantityLeadthru,Introduïu la quantitat i toqueu «Entrar».
ScotApp_994,Tancat
XM_MenuCashBoxTransfer,Transferències de la caixa de recaptació
ClearSecurityButtonText,Elimineu la protecció
XM_TotalValue,Valor total:
XM_ManualNoteDispenserEmpty,Restabliu els recomptes de bitllets
ScotApp_1569,Valor
ContinueTitle,Voleu continuar?
ScotApp_1549,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1559,Sortir
ScotApp_1529,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1539,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1509,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1519,"Consulteu el manual del dispositiu per solucionar l'error."
XM_TotalAddedText,Total Added: %s
ScotApp_1589,LES MONEDES ESTAN FORA
ScotApp_1599,Ha fallat la consulta de preferència %s.
ScotApp_784,"El dispensador de bitllets no està operatiu\n* Empleneu el dispensador de bitllets o\n* Elimineu l'encallament del dispensador o\n* Ajusteu la cubeta de bitllets defectuosos."
ScotApp_209,Aturar programa
ShutdownSystemBtnPrimaryTxt,Apagar tot el sistema
XM_EmptyCashBoxLT,Retirar els bitllets de la caixa de recaptació
XM_AddCashLeadthru2,"Inseriu efectiu o toqueu el cilindre i introduïu l'import, o bé establiu els recomptes."
ItemQuantityExceededLeadthru,Heu superat la quantitat permesa per a aquest article.  Retireu-lo i continueu.
KeyInPriceLeadthru,Introduïu preu per a: %d %s
ScotApp_511,Compareu la signatura del client amb la de la targeta.
Space,Espai
ScotApp_1889,Nivell de confiança de seguretat
SuspendTransactionButtonText,Suspendre transacció
ChangeQuantityButtonText,Canvi de quantitat
ScotApp_375,"S'ha esgotat el temps d'espera de la impressora"
EnterPriceTitle,Entrada de preu
ScotApp_695,695unused
ScotApp_1813,"%s\n* Desbloquegeu i retireu la safata de la tremuja (I).\n* Retireu les cubetes de la tremuja encallades.Comproveu i elimineu els encallaments a la zona de sortida (II).\n* Si no hi ha cap encallament a la zona de sortida, buideu les cubetes de la tremuja.Comproveu i elimineu els encallaments del disc rotatori (III).\n* Torneu a col·locar les cubetes de la tremuja.\n* Assegureu-vos que totes les portes estiguin tancades i bloquejades correctament.Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic."
ScotApp_559,Sense cupons
SignBelow,Signeu a continuació.
RebootSystemBtnPrimaryTxt,Reiniciar tot el sistema
ScotApp_217,217unused
XM_CashRemove,"Retireu l'efectiu"
RAPTitle,"NCR SelfServ Checkout\nCentre d'autoritzacions remot"
XM_UnableToPickUp,"No s'ha pogut realitzar la recollida."
ScotApp_805,Autoritzeu els articles
XM_TotalNotesInserted,Total inserit
HH_VisualApproveLeadthru,"«Autorització visual» o «Mode d'assistència» a la línia per modificar."
ScotApp_457,457unused
HH_AssistedEndorsementLeadthru,Es requereix suport. Espereu fins que us atenguin.
BagAreaBackupTitle,Articles encallats a la cinta
XM_ManualRemoveCashAlert,"Retireu l'efectiu de la caixa de recaptació i les monedes de la cubeta de sobrecàrrega de monedes per desfer la càrrega.\n\nBitllets\nCompte per retirar: %d\nImport per retirar: %s\n\nMonedes\nCompte per retirar: %d\nImport per retirar: %s"
XM_ChangeInValue,Canvi en el valor
NoReturn,"No, tornar a la transacció."
UpdateNotAllowedLeadthru,"No es pot canviar la quantitat per a l'article pesat."
ScotApp_541,"Imprimir el codi de barres d'escaneig de l'agent."
ScotApp_1149,Error a la impressora de rebuts
QuantityButtonText,Quantitat
SecurityDisableStatusTextOff,"La seguretat a l'embossament està desactivada"
LaunchPadNet_LoggingInLeadthru,Connectant... Espereu
VoidItemLeadthru,"Escanegeu o desplaceu-vos pel rebut fins a trobar l'article i toqueu  «Anul·lar article» o «Anul·lar tot»."
SignOnTitle,NCR SelfServ Checkout Log In
StartTransactionTitle,"Funcions assistides de l'agent"
ScotApp_545,Article restringit
ScotApp_912,Autoritzar i actualitzar pes
TakeCardTitle,Recolliu la targeta
ScotApp_921,Pes esperat a la balança de seguretat.
XM_ConfirmEmptyNoteAcceptor,* Poseu a zero els recomptes del receptor de bitllets\nImport per retirar:%s
ScotApp_785,785unused
ScotApp_219,219unused
NewWeightItemLeadthru,"Verifiqueu el pes de l'article i toqueu  «Autoritzar & Actualitzar pes» o toqueu «Aprovar/No actualitzar»."
XM_ResetCoinsToBaseLevel,Dispensar monedes fins al nivell de base
XM_InvalidPickUpAmount,"El valor introduït és superior a l'import disponible que pot transferir-se o dispensar-se."
ScotApp_666,666unused
ScotApp_855,Preu de muntatge:
ScotApp_85,85unused
XM_TotalRemovedText,Total Removed: %s
ScotApp_960,"Error a la balança de bosses: Comproveu si hi ha errors a la balança de bosses o al visor d'esdeveniments i, després, toqueu «He solucionat el problema»."
DeviceFailureTitle,Funcionament incorrecte del dispositiu
LaunchPadNet_GoBackButtonText,Enrere
UnknownItemTitle,Article desconegut retirat
AlertStatusTextOff,
VolumeBtnPrimaryTxt,Control del volum
ScotApp_593,Carregant NCR SelfServ Checkout SigCap...
UnexpectedDecreaseMessage,"Retorneu l'article a la zona d'embossament."
UpdateItemButtonText,Actualitzeu article
ScotApp_740,740unused
DoneButtonText,Fet
ScotApp_17,Cupó
ScotApp_1260,USERDEFINED2
ScotApp_1270,USERDEFINED12
ScotApp_1240,EFECTIU
ScotApp_1250,PIP CRÈDIT
ScotApp_1220,EFT
ScotApp_1829,Autoritzar
ScotApp_1200,CONFIRMACIÓ DE PREU
ScotApp_1210,ÚLTIMA VISUALITZACIÓ
ScotApp_804,804unused
RunADDTxt,Activar ADD quan es torni a reiniciar
ScotApp_744,744unused
ScotApp_1280,EFECTIU
ScotApp_1290,D - J
CrateableItemTitle,Comprar caixa
PickingUpItemsTimerExpiredTitle,"Articles no retornats a la zona d'embossar."
VerifyItemAndPriceTitle,"Verifiqueu l'article i el preu"
ScotApp_992,Introduïu la data de naixement
SmVisualItemsLeadthru,Autoritzeu els articles de validació visual
EnterButtonText,Entrar
ExitRAPAndRunProfileBtnPrimaryTxt,Aturar PAR i iniciar el Gestor de perfils
GoToLaneOrRapLeadthru,"Aneu al carril o PAR per obtenir l'aprovació"
XM_FastLaneReport,"Informe d'NCR SelfServ Checkout"
ScotApp_839,"Cancel·leu l'acció"
MinMaxRAPBtnSecondaryTxt,Maximitzar PAR
ConfirmSuspendLeadthru,Confirmar suspensió.
Total,Total
FeesButtonText,Preus
XM_ConfirmTransferNotesToOverflow,* Transferiu bitllets a caixa de recaptació\nImport a transferir: %s\nRecompte a transferir: %d
ScotApp_786,Suspès al carril
VoidAllButtonText,Anul·lar tot
OperatorPasswordStateInvalidPasswordWithFPTitle,"Error en l'entrada amb empremta dactilar"
XM_CoinAcceptor,Receptor de monedes
ScotApp_837,Preus
SelectLanguage,Seleccionar un idioma
ScotApp_928,Aneu al carril i comproveu el dispositiu.
ScotApp_945,Límit\Bossa/Caixa
XM_MenuPickUpFunctions,Funcions de recollida
ScotApp_517,Es sol·licita un altre pagament.
XM_CoinDispenser,Dispensador de monedes
SignSignature,Signeu al dispositiu de signatures.
ScotApp_1284,1284unused
CancelActionButtonText,Cancel·leu acció
LaunchPadNet_OperatorIDText,"ID de l'agent:"
ScotApp_1568,Suma total:       %s
ScotApp_1578,Valor total:
ScotApp_1548,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1558,Surt i desa
ScotApp_1528,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1538,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1508,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1518,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_756,756unused
ScotApp_757,757unused
HH_CouponLimitExceededLeadthru,«Autoritzar» per als cupons al carril o «Autoritzar & Recollir» per recollir del client.
ScotApp_1588,"S'ha de buidar cada cubeta abans de poder seleccionar el botó «Recollida de dispensador».Buideu totes les cubetes de les tremuges de monedes i toqueu «Recollida de dispensador»."
ScotApp_1598,"S'han activat les preferències."
HH_UpdateItemLeadthru,"Desplaceu-vos pel rebut fins a trobar l'article i toqueu «Entrar»."
ScotApp_1304,Targeta de fidelitat acceptada.
XM_CashManagement,"Gestió d'efectiu"
ScotApp_599,Reconfigurant Dispositiu de formularis...
ScotApp_677,677unused
ScotApp_1632,"Retireu la tapa dels bitllets.Comproveu el cable del validador de bitllets i torneu-ho a intentar.Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic.\n\nError al SafePay: %s"
ScotApp_1317,Pagament amb val
ScotApp_803,803unused
ScotApp_1481,"Consulteu el manual del dispositiu per solucionar l'error."
HH_SuspendLeadthru1,Voleu suspendre la transacció actual? Confirmar o cancel·lar.
ScotApp_390,Articles retirats
HH_SuspendLeadthru2,"S'ha suspès la transacció actual. Confirmar. Per cancel·lar, toqueu «Tornar enrere» i cancel·leu."
ScotApp_455,455unused
ScotApp_973,973unused
XM_ManualCoinFillAlert,"Obriu la porta del carril i dipositeu les monedes directament a l'aparell. No les introduïu al receptor de monedes."
XM_CashReplenishLeadthru2,Introduïu efectiu o seleccioneu una funció.
ScotApp_993,Carril tancat
HH_InvalidBarcodeLeadThru,"Recolliu l'article i toqueu «Autoritzar» per continuar amb la transacció."
InsertCoupon,Introduïu el cupó
XM_PurgeInstruction,"Purgueu les operacions:  S'han detectat bitllets rebutjats. Aneu al carril i comproveu el dispositiu."
ScotApp_813,Teclegeu núm. PO / Nom tasca i toqueu «Entrar».
LoadingText,Carregant
OtherPaymentMethod,Altres mètodes de pagament
ScotApp_158,"Aquest article requereix l'autorització de l'establiment. Continueu."
SecurityLaneButtonText,Seguretat
LaunchPadNet_ClearButtonText,Esborrar
CancelItems,Cancel·lar els articles
ScotApp_669,"Ha fallat la impressió de la signatura. S'han produït errors."
ExitFastLaneAndRunProfileBtnSecondaryTxt,Iniciar el Gestor de perfils
KeyInCodeTitle,Introduïu el codi
CouponTooHighTitle,El cupó és massa elevat.
ScotApp_1862,"Verifiqueu l'article de la balança de l'escàner"
ShiftButtonText,Canviar
TimeRestrictedItem,Article amb restricció de temps
VerifySignatureLeadthru,Compareu la signatura del client amb la de la targeta.
ScotApp_1331,Canviar
AmountSaved,Import desat
AssistanceNeededTitle,Es requereix assistència
ScotApp_1472,"El dispositiu reciclador d'efectiu no està preparat"
ScotApp_1428,"Canviar el preu de l'article: \n%s"
ScotApp_895,Finalitzant DBM...
ScotApp_741,741unused
ScotApp_758,758unused
ScanAndBag,"Escanegeu, cerqueu o introduïu un codi d'article per començar."
SecurityDisableText,Seguretat inhabilitada
HelpRequestLeadthru,"Toqueu «Cancel·lar sol·licitud» després d'ajudar el client."
ScotApp_1809,Errors al dispensador del reciclador de monedes
XM_CollectFailure,The collect operation resulted in failure.
XM_TerminalNumber,Número del terminal
ShuttingDown,"S'està tancant"
ScotApp_802,\nCompreu una caixa sencera\nde %s?\n\nSeleccioneu «Sí» o «No».
IncorrectLogin,"Número d'agent o contrasenya incorrectes.\nIntenteu-ho de nou."
ScotApp_1491,"Consulteu el manual del dispositiu per solucionar l'error."
GoBackButtonText,Enrere
OKButtonText,OK
ScotApp_1084,Recollida
ScotApp_936,Limitar/ometre embossament
SystemStartup,"El sistema s'està iniciant... Espereu"
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
AssistedTenderHHLeadthru,"Utilitzeu el Centre d'assistència per fer el pagament."
ScotApp_1181,"S'HA SUPERAT EL LÍMIT DE CUPONS"
ScotApp_976,976unused
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n"
Continue,Voleu continuar?
XM_ManualBothRecyclerFillAlert,Obriu la porta del carril i dipositeu els bitllets al carregador i les monedes a les tremuges. No els introduïu als receptors.
XM_NoteOverflowText,Caixa de recaptació
ScotApp_1261,USERDEFINED3
ScotApp_1271,USERDEFINED13
ScotApp_1241,CRÈDIT
ScotApp_1251,PIP DÈBIT
ScotApp_1221,AUDACTION
ScotApp_1231,VERIFICAT VISUALMENT
ScotApp_1201,PAGAMENT ASSISTIT
ScotApp_1211,DEFECTE
MainButtonText,Principal
ScotApp_598,"No s'ha pogut desar el model %d!"
ScotApp_1281,PAGAMENT ASSISTIT
ScotApp_1291,K - M
XM_BothDispenseFailure,"No s'ha pogut dispensar %s.\nNivell baix d'efectiu o error en el dispensador."
LaneReceiptItemType2,%s
XM_KeyPadEnterCoinCount,Introduïu el recompte de monedes %s emprant el teclat.
ScotApp_702,702unused
ScotApp_1872,1872unused
VoidItemTitle,Anul·lar articles
ScotApp_349,349unused
HH_OutOfSyncNeedAssistLeadthru,"El TPV està desincronitzat, aneu a l'«Mode d'assistència» per resincronitzar-lo."
WeightObserved,WO :
RestrictedItemTitle,Article restringit
CouponCollectionText,Recollida de cupons
LaneReceiptItemType7,%s
StopRAPConfirm,Esteu segur que voleu aturar PAR?
BagItem,Embosseu aquest article.
ScotApp_91,91unused
LaunchPadNet_ShiftButtonText,Canviar
ScotApp_402,No es troba
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s esperat;LSWND3=%s %s observat;
GetDiagFilesButtonText,Obteniu fitxers diag.
PrintReceipt,Imprimiu el rebut
TrainingConfirm,Esteu segur que voleu iniciar el Programa de formació?
ScotApp_1819,Errors al receptor del reciclador de monedes
Exit,Sortir de tot
CancelButtonText,Cancel·lar
ScotApp_801,Comprar caixa
XM_CollectRemainingCoins,"Retireu les monedes de la cubeta de devolució de monedes quan s'hagi completat la dispensació."
ScotApp_189,Opcions carregades.
ScotApp_92,Us donem la benvinguda!
ScotApp_866,Sí
ScotApp_1264,USERDEFINED6
ScotApp_1274,USERDEFINED16
ScotApp_1244,ESTALVIS DE DÈBIT
ScotApp_1254,PIP ESTALVIS DE DÈBIT
ScotApp_1224,ES REQUEREIX PREU
ScotApp_1234,RESTRICCIÓ DE QUANTITAT
ScotApp_1204,NÚMERO DE DOCUMENT
ScotApp_1214,REBUT
SecurityLogText,Fitxer de registre de seguretat:
XM_PickUpFailure,Fallada en la recollida
ApproveUpdateButtonText,Autoritzar & Actualitzar pes
ScotApp_1294,Q - S
SecurityLeadthru,Superviseu la transacció del client per seguretat i toqueu «Eliminar protecció».
XM_Acceptor,Acceptor
ScotApp_358,"Tornar al Mode d'assistència"
SignOnButtonText,Activar
ScotApp_384,384unused
StopStartFastLaneBtnPrimaryTxt,Aturar SelfServ Checkout
Disconnected,Espereu...
SmVisualItemsTitle,Validacions visuals
SmRestrictedItemsLeadthru,Seleccioneu la funció desitjada.
ScotApp_836,Preus & acords del client
ScotApp_1466,"Estat del reciclador d'efectiu ple"
StartFastLaneConfirm,Esteu segur que voleu iniciar SelfServ Checkout?
ApproveAndCollectButtonText,Autoritzar & Recollir
ScotApp_927,Funcionament incorrecte del dispositiu
ScotApp_1884,Alerta assistent intel·ligent
ScanGiftCard,Escanejar targeta regal
ScotApp_1521,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_831,831unused
ScotApp_1031,Escanegeu els cupons.
LaunchPadNet_EnterButtonText,Entrar
GoToLaneOrHHRapLeadthru,"Aneu al carril o HHRap per obtenir l'aprovació"
ScotApp_355,Seleccionar la funció del sistema
ScotApp_894,DBM carregat.
ScotApp_944,Massa peticions per bossa/caixa.  Màx. = %d.
ScotApp_81,Continuar
ChangePriceButtonText,Canvi de preu
ScotApp_401,Inseriu la targeta. Comproveu si hi ha més articles al cistell.
SingleItemAddedFormat,"{0} article que s'afegirà al carro."
SignatureAndNameText,Signatura: %s
XM_GrandTotalText,Suma total: %s
XM_MenuResetFunctions,Funcions de restabliment
VolumeControlButtonText,Control del volum
ScotApp_328,"No s'ha pogut dispensar %s al client. \n* Comproveu els dispensadors de monedes i bitllets.\n* Si estan buits, recarregueu-los.\n* Si no estan buits, traieu-ne els elements encallats.\n* Toqueu «He solucionat el problema»."
ScotApp_82,82unused
HH_ItemNotForSaleLeadthru,"Recolliu l'article del carril i toqueu «Eliminar protecció»."
LaunchPadNet_BackSpaceButtonText,Retrocés
OffLineLaneButtonText,Fora de línia
UnexpectedIncreaseLeadthru,"Go to lane, remove extra items and touch ""Clear Security""."
XM_CoinAcceptorOffline,El receptor de monedes no respon.\n\nApagueu i reinicieu el terminal.
EnterAmount,Introduïu quantitat
SetAllItemsAsideMessage,Compra sencera cancel·lada.\n\nRetireu tots els articles.
XM_LockScreen,Bloquegeu la pantalla
DepositGiftCard,Dipositeu la targeta regal
CouponExceededLimitLeadthru,"Toqueu «Autoritzar cupó» per acceptar el cupó o accediu a l'Assist Mode per anul·lar-lo."
RSMLEPrimaryTxt,Retail Systems Manager LE
XM_DispenseSensorBlock,És possible que la cubeta de devolució de monedes estigui plena o que el sensor estigui trencat. Retireu les monedes o poseu-vos en contacte amb el servei tècnic.
TerminalID,ID del terminal:
ScotApp_701,701unused
ConnectingText,"S'està connectant... Espereu"
NewWeightItemTitle,"No hi ha registre del pes de l'article."
VisualApproveLeadthru,"Toqueu ""Autorització visual"" o toqueu «Mode d'assistència» per modificar la transacció."
ScotApp_242,Targeta encallada al lector de targetes
EnterPin,Introduïu el PIN
ScotApp_1476,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_984,Cinta de transport carregada.
ScotApp_924,924unused
ScotApp_704,Entrada PINPad
SignatureApprovalText,Autorització de signatura
ConfirmVoidTitle,Confirmeu cancel·lació
XM_UndoLoan,Desfer la càrrega
Item,{0} article
UtilityFunctionsTitle,"NCR SelfServ Checkout\nFuncions d'utilitat."
RequestSuspendButtonText,Sol·licitar suspensió
ScotApp_441,"Confirmeu l'import"
Confirm,Voleu cancel·lar tota la compra?
ScotApp_238,"\nEl receptor d'efectiu no ha pogut registrar l'efectiu introduït.\n\nComproveu el caixetí de bitllets."
ScotApp_1262,USERDEFINED4
ScotApp_1272,USERDEFINED14
ScotApp_1242,DÈBIT
ScotApp_1252,PIP DEVOLUCIÓ DE DÈBIT
ScotApp_1222,FORA DE SERVEI
ScotApp_1232,SIGNATURA AUTORITZADA
ScotApp_1202,CARRIL TANCAT
ScotApp_1212,UN ALTRE
SecUnExpectedIncreaseTitle,"Alerta d'embossament"
ScotApp_963,Cancel·lar petició
ScotApp_1282,Es necessita el preu per
ScotApp_1292,N - O
TotalText,Total:
SmEnterBirthdateTitle,Articles restringits
ScotApp_596,NCR SelfServ Checkout AuxDisp carregat.
ScotApp_329,%ss @ %d %s/%s
LaunchPadNet_ReturnToShoppingButtonText,Tornar
ScotApp_971,971unused
XM_ConfirmNoteDispense,* Dispenseu monedes\nImport a dispensar: %s\nRecompte a dispensar: %d
ScotApp_688,688unused
UnexpectedIncreaseTitle,Article inesperat a la balança de seguretat.
ScotApp_146,Seleccioneu el tipus de pagament.
ScotApp_1150,"La porta de l'armari de la impressora està oberta."
XM_PickUpFailureLeadthru,"S'ha rebutjat la recollida. Seleccioneu la funció desitjada."
XM_InvalidStartingBank,"El saldo inicial és major que l'import disponible que pot transferir-se o dispensar-se."
CancelSuspendNowButtonText,Cancel·lar suspensió \nara
XM_Notes,Bitllets
XM_FPIDPrompt,"Introduïu el vostre ID d'usuari i toqueu «Entrar» o situeu el dit sobre el lector d'empremtes dactilars per entrar."
ScotApp_296,296unused
ScotApp_1062,1062unused
ScotApp_1072,Es necessita informació
ScotApp_1042,"REBUT DE SUPORT:\nS'HA IMPRÈS PERQUÈ UN\nSUPORT DOCUMENTAL HA FALLAT.  ADJUNTEU AQUEST\nREBUT AL DOCUMENT PERTINENT.\n----------------------------------------\n"
ScotApp_1052,1052unused
ScotApp_1022,No vull\nembossar aquest article
ScotApp_1032,"L'article EAS continua actiu."
ScotApp_1002,No està en venda
ScotApp_1012,El seu article està en trànsit.
ScotApp_386,Caixetí retirat
ScotApp_1082,"He retirat l'article o la bossa"
ScotApp_1092,"Contingut de l'informe"
HH_ScaleBrokenLeadthru,"Retireu l'article de la balança i toqueu «Balança a zero» a l'escàner."
HH_TransactionCancelLeadThru2,Transacció cancel·lada.
XM_KeyPadInstr,Introduir el recompte emprant el teclat
OtherPayment,Un altre pagament
XM_DispenseCupFullPreemptive,"Agafeu les monedes\nSi cubeta de devolució de monedes està plena, buideu-la ràpidament.\nLa dispensació es posarà en pausa fins que el recipient estigui buit."
ScotApp_925,925unused
ScotApp_852,Tres articles
GenerateLogBtnPrimaryTxt,Generar fitxers de registre de diagnòstic
ScotApp_518,"Introduïu l'efectiu."
ScotApp_1265,USERDEFINED7
ScotApp_1275,USERDEFINED17
ScotApp_1245,CONSULTA DE DÈBIT
ScotApp_1255,PIP CONSULTA DE DÈBIT
ScotApp_1225,ARTICLE DESCONEGUT
ScotApp_1235,ARTICLE EAS ACTIU
ScotApp_1205,"SUPORT A LA ZONA D'EMBOSSAR"
ScotApp_1215,ERROR DE DISPOSITIU
DisableRapApprovalText,Desactiveu autorització RAP
HH_OutOfSyncStopLeadthru,"El servidor del TPV no funciona o està desincronitzat, apagueu el terminal amb el commutador."
ScotApp_1285,Popular
ReEnterIDLeadthru,ID o contrasenya incorrectes. Torneu-ho a intentar utilitzant el teclat que hi ha a sota.
StartTransactionButtonText,Iniciar transacció
ScotApp_357,357unused
XM_PurgeOperationText,Purgueu les operacions
ScotApp_298,298unused
UsePinpad,Utilitzeu el teclat del PIN
ConfirmSuspendDeclinedButtonText,Confirmar rebutjat
AM_RestrictedNotAllowedTitle,Article restringit
ScotApp_746,746unused
TakeCash,Recolliu el canvi retornat
ScotApp_597,Carregant formularis NCR SelfServ Checkout %d...
ScotApp_1061,1061unused
ScotApp_1071,1071unused
ScotApp_1041,Autoritzar la signatura
ScotApp_1051,Autorització del paper
ScotApp_1021,Atenció
BagItemTimerExpiredTitle,Pes esperat a la balança de seguretat.
ScotApp_1001,"No s'ha trobat l'article"
ScotApp_1011,En trànsit...
XM_CashUnbalance,"S'ha produït un error de discrepància al reciclador."
ScotApp_548,548unused
CouponLimitExceededTitle,"S'ha superat el límit de cupons"
Cancel,Cancel·lar
ScotApp_1091,1091unused
XM_PickUpXAmount,Recollir import (x)
UpdateNotAllowedTitle,"No es pot actualitzar l'article"
ScotApp_291,"Hi ha un encallament al tub del dispensador de monedes\n%s\nElimineu l'encallament del dispensador de monedes i, després, toqueu «Encallament eliminat»."
SuspendInProgressText,Suspensió en curs
ScotApp_1480,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_75,Fet
HH_EnterQuantityLeadthru,Introduïu la quantitat i toqueu «Entrar».
ScotApp_1268,USERDEFINED10
ScotApp_1278,USERDEFINED20
ScotApp_1248,TARGETA REGAL
